ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,252.275,4.346,-0.469,-4.634,11.05
2026-02-26T00:10:00+00:00,254.95,4.371,-0.461,-4.684,11.024
2026-02-26T00:15:00+00:00,253.786,4.331,-0.447,-4.651,11.01
2026-02-26T00:20:00+00:00,252.798,4.319,-0.434,-4.637,11.016
2026-02-26T00:25:00+00:00,249.982,4.3,-0.436,-4.588,11.021
2026-02-26T00:30:00+00:00,248.892,4.336,-0.456,-4.569,11.049
2026-02-26T00:35:00+00:00,248.525,4.336,-0.467,-4.543,11.004
2026-02-26T00:40:00+00:00,244.618,4.338,-0.44,-4.458,10.951
2026-02-26T00:45:00+00:00,233.227,4.367,-0.449,-4.213,10.95
2026-02-26T00:50:00+00:00,235.27,4.46,-0.444,-4.274,10.95
2026-02-26T00:55:00+00:00,235.962,4.459,-0.441,-4.27,10.95
2026-02-26T01:00:00+00:00,232.586,4.383,-0.426,-4.212,10.954
2026-02-26T01:05:00+00:00,230.837,4.353,-0.403,-4.209,10.964
2026-02-26T01:10:00+00:00,228.148,4.324,-0.386,-4.166,10.965
2026-02-26T01:15:00+00:00,229.342,4.343,-0.4,-4.181,10.994
2026-02-26T01:20:00+00:00,232.089,4.341,-0.408,-4.239,11.033
2026-02-26T01:25:00+00:00,238.245,4.524,-0.423,-4.387,11.046
2026-02-26T01:30:00+00:00,232.096,4.353,-0.406,-4.254,11.05
2026-02-26T01:35:00+00:00,226.276,4.296,-0.398,-4.148,11.05
2026-02-26T01:40:00+00:00,219.102,4.193,-0.389,-4.002,11.05
2026-02-26T01:45:00+00:00,216.834,4.134,-0.392,-3.96,11.05
2026-02-26T01:50:00+00:00,215.465,4.12,-0.41,-3.928,11.05
2026-02-26T01:55:00+00:00,212.835,4.063,-0.404,-3.885,11.05
2026-02-26T02:00:00+00:00,211.104,4.052,-0.395,-3.862,11.083
2026-02-26T02:05:00+00:00,216.229,4.166,-0.409,-3.929,11.05
2026-02-26T02:10:00+00:00,216.095,4.22,-0.393,-3.927,11.05
2026-02-26T02:15:00+00:00,215.857,4.275,-0.372,-3.931,11.063
2026-02-26T02:20:00+00:00,216.653,4.31,-0.368,-3.945,11.062
2026-02-26T02:25:00+00:00,218.204,4.316,-0.38,-3.986,11.064
2026-02-26T02:30:00+00:00,217.268,4.279,-0.385,-3.969,11.062
2026-02-26T02:35:00+00:00,220.595,4.331,-0.416,-4.03,11.068
2026-02-26T02:40:00+00:00,217.328,4.297,-0.388,-3.964,11.107
2026-02-26T02:45:00+00:00,215.488,4.235,-0.382,-3.929,11.126
2026-02-26T02:50:00+00:00,216.376,4.228,-0.376,-3.933,11.067
2026-02-26T02:55:00+00:00,220.925,4.289,-0.394,-4.011,11.05
2026-02-26T03:00:00+00:00,218.514,4.272,-0.364,-3.989,11.05
2026-02-26T03:05:00+00:00,216.883,4.241,-0.38,-3.962,11.048
2026-02-26T03:10:00+00:00,218.11,4.282,-0.36,-3.982,11.028
2026-02-26T03:15:00+00:00,228.68,4.238,-0.376,-4.214,11.046
2026-02-26T03:20:00+00:00,230.05,4.257,-0.369,-4.235,11.049
2026-02-26T03:25:00+00:00,230.157,4.285,-0.36,-4.238,11.054
