ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,241.06,0.691,-2.818,7.538
2026-02-26T00:10:00+00:00,244.082,0.695,-2.873,7.527
2026-02-26T00:15:00+00:00,244.522,0.701,-2.864,7.517
2026-02-26T00:20:00+00:00,244.602,0.716,-2.788,7.517
2026-02-26T00:25:00+00:00,243.147,0.709,-2.763,7.521
2026-02-26T00:30:00+00:00,241.355,0.712,-2.788,7.542
2026-02-26T00:35:00+00:00,245.576,0.721,-2.829,7.517
2026-02-26T00:40:00+00:00,249.479,0.711,-2.917,7.476
2026-02-26T00:45:00+00:00,251.29,0.714,-2.923,7.467
2026-02-26T00:50:00+00:00,250.322,0.73,-2.926,7.465
2026-02-26T00:55:00+00:00,250.832,0.711,-2.906,7.458
2026-02-26T01:00:00+00:00,249.267,0.722,-2.916,7.483
2026-02-26T01:05:00+00:00,252.446,0.72,-2.999,7.493
2026-02-26T01:10:00+00:00,252.798,0.728,-3.007,7.516
2026-02-26T01:15:00+00:00,252.361,0.727,-2.968,7.517
2026-02-26T01:20:00+00:00,250.938,0.731,-2.967,7.517
2026-02-26T01:25:00+00:00,250.324,0.732,-2.986,7.525
2026-02-26T01:30:00+00:00,249.043,0.736,-2.972,7.525
2026-02-26T01:35:00+00:00,248.183,0.721,-2.973,7.526
2026-02-26T01:40:00+00:00,246.767,0.704,-2.976,7.533
2026-02-26T01:45:00+00:00,245.45,0.704,-2.98,7.533
2026-02-26T01:50:00+00:00,244.82,0.7,-2.952,7.533
2026-02-26T01:55:00+00:00,242.964,0.698,-2.948,7.54
2026-02-26T02:00:00+00:00,241.714,0.703,-2.943,7.566
2026-02-26T02:05:00+00:00,242.15,0.688,-2.939,7.536
2026-02-26T02:10:00+00:00,243.561,0.68,-2.916,7.535
2026-02-26T02:15:00+00:00,243.127,0.68,-2.885,7.536
2026-02-26T02:20:00+00:00,241.977,0.682,-2.877,7.536
2026-02-26T02:25:00+00:00,240.461,0.686,-2.921,7.547
2026-02-26T02:30:00+00:00,239.904,0.679,-2.935,7.548
2026-02-26T02:35:00+00:00,239.288,0.689,-2.935,7.568
2026-02-26T02:40:00+00:00,237.909,0.706,-2.936,7.59
2026-02-26T02:45:00+00:00,236.448,0.69,-2.94,7.592
2026-02-26T02:50:00+00:00,235.517,0.687,-2.933,7.58
2026-02-26T02:55:00+00:00,235.157,0.697,-2.942,7.526
2026-02-26T03:00:00+00:00,233.752,0.707,-2.901,7.554
2026-02-26T03:05:00+00:00,233.921,0.704,-2.867,7.538
2026-02-26T03:10:00+00:00,233.169,0.678,-2.886,7.531
2026-02-26T03:15:00+00:00,233.054,0.682,-2.865,7.533
2026-02-26T03:20:00+00:00,232.038,0.673,-2.895,7.533
2026-02-26T03:25:00+00:00,230.575,0.694,-2.906,7.542
2026-02-26T03:30:00+00:00,229.971,0.72,-2.884,7.545
2026-02-26T03:35:00+00:00,231.676,0.718,-2.872,7.544
2026-02-26T03:40:00+00:00,231.079,0.713,-2.87,7.548
2026-02-26T03:45:00+00:00,229.548,0.714,-2.853,7.56
2026-02-26T03:50:00+00:00,228.166,0.702,-2.848,7.578
2026-02-26T03:55:00+00:00,227.447,0.707,-2.845,7.583
2026-02-26T04:00:00+00:00,227.704,0.72,-2.848,7.578
2026-02-26T04:05:00+00:00,228.298,0.694,-2.84,7.528
2026-02-26T04:10:00+00:00,228.739,0.726,-2.834,7.522
2026-02-26T04:15:00+00:00,228.444,0.732,-2.79,7.517
2026-02-26T04:20:00+00:00,227.578,0.723,-2.806,7.521
2026-02-26T04:25:00+00:00,226.202,0.714,-2.838,7.526
2026-02-26T04:30:00+00:00,225.193,0.698,-2.84,7.525
2026-02-26T04:35:00+00:00,227.606,0.699,-2.846,7.53
2026-02-26T04:40:00+00:00,227.797,0.687,-2.84,7.527
2026-02-26T04:45:00+00:00,227.164,0.692,-2.851,7.533
2026-02-26T04:50:00+00:00,228.172,0.699,-2.822,7.534
2026-02-26T04:55:00+00:00,230.546,0.701,-2.807,7.557
2026-02-26T05:00:00+00:00,230.175,0.705,-2.806,7.541
