ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,251.111,-0.424,-4.968,11.293
2026-02-26T00:10:00+00:00,250.02,-0.42,-4.934,11.263
2026-02-26T00:15:00+00:00,253.46,-0.441,-4.981,11.221
2026-02-26T00:20:00+00:00,252.448,-0.403,-4.947,11.221
2026-02-26T00:25:00+00:00,253.354,-0.426,-4.994,11.244
2026-02-26T00:30:00+00:00,256.147,-0.472,-5.059,11.291
2026-02-26T00:35:00+00:00,261.05,-0.503,-5.143,11.237
2026-02-26T00:40:00+00:00,262.52,-0.525,-5.153,11.2
2026-02-26T00:45:00+00:00,260.811,-0.515,-5.126,11.2
2026-02-26T00:50:00+00:00,257.973,-0.453,-5.017,11.191
2026-02-26T00:55:00+00:00,256.557,-0.433,-5.011,11.195
2026-02-26T01:00:00+00:00,252.908,-0.413,-4.957,11.202
2026-02-26T01:05:00+00:00,253.783,-0.37,-4.973,11.217
2026-02-26T01:10:00+00:00,250.161,-0.37,-4.921,11.233
2026-02-26T01:15:00+00:00,253.861,-0.428,-4.983,11.234
2026-02-26T01:20:00+00:00,252.659,-0.419,-4.973,11.251
2026-02-26T01:25:00+00:00,253.209,-0.43,-4.98,11.29
2026-02-26T01:30:00+00:00,251.393,-0.415,-4.943,11.299
2026-02-26T01:35:00+00:00,246.706,-0.414,-4.855,11.298
2026-02-26T01:40:00+00:00,248.354,-0.43,-4.894,11.3
2026-02-26T01:45:00+00:00,249.847,-0.427,-4.932,11.3
2026-02-26T01:50:00+00:00,246.075,-0.429,-4.858,11.3
2026-02-26T01:55:00+00:00,244.907,-0.404,-4.842,11.3
2026-02-26T02:00:00+00:00,240.69,-0.416,-4.772,11.336
2026-02-26T02:05:00+00:00,236.601,-0.34,-4.681,11.3
2026-02-26T02:10:00+00:00,235.193,-0.36,-4.665,11.3
2026-02-26T02:15:00+00:00,239.386,-0.353,-4.753,11.3
2026-02-26T02:20:00+00:00,239.557,-0.375,-4.759,11.3
2026-02-26T02:25:00+00:00,236.456,-0.385,-4.681,11.3
2026-02-26T02:30:00+00:00,240.604,-0.412,-4.771,11.309
2026-02-26T02:35:00+00:00,243.957,-0.419,-4.847,11.334
2026-02-26T02:40:00+00:00,243.478,-0.449,-4.853,11.36
2026-02-26T02:45:00+00:00,247.019,-0.455,-4.923,11.358
2026-02-26T02:50:00+00:00,242.361,-0.461,-4.829,11.391
2026-02-26T02:55:00+00:00,243.581,-0.458,-4.852,11.4
2026-02-26T03:00:00+00:00,239.545,-0.492,-4.786,11.4
2026-02-26T03:05:00+00:00,235.131,-0.435,-4.683,11.395
2026-02-26T03:10:00+00:00,236.34,-0.447,-4.689,11.351
2026-02-26T03:15:00+00:00,236.127,-0.462,-4.701,11.397
2026-02-26T03:20:00+00:00,237.812,-0.483,-4.718,11.4
2026-02-26T03:25:00+00:00,240.793,-0.478,-4.795,11.4
2026-02-26T03:30:00+00:00,234.047,-0.381,-4.643,11.341
2026-02-26T03:35:00+00:00,231.573,-0.363,-4.592,11.333
2026-02-26T03:40:00+00:00,233.491,-0.347,-4.617,11.333
2026-02-26T03:45:00+00:00,236.598,-0.369,-4.698,11.335
