ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,237.297,1.06,-4.503,11.276
2026-02-26T00:10:00+00:00,239.329,1.062,-4.527,11.258
2026-02-26T00:15:00+00:00,238.602,1.073,-4.504,11.232
2026-02-26T00:20:00+00:00,236.217,1.073,-4.461,11.23
2026-02-26T00:25:00+00:00,236.218,1.066,-4.478,11.246
2026-02-26T00:30:00+00:00,234.368,1.039,-4.435,11.271
2026-02-26T00:35:00+00:00,242.895,1.02,-4.588,11.224
2026-02-26T00:40:00+00:00,244.862,1.022,-4.632,11.197
2026-02-26T00:45:00+00:00,248.801,1.027,-4.717,11.216
2026-02-26T00:50:00+00:00,247.819,1.023,-4.699,11.2
2026-02-26T00:55:00+00:00,246.627,1.028,-4.667,11.2
2026-02-26T01:00:00+00:00,244.01,1.064,-4.62,11.205
2026-02-26T01:05:00+00:00,244.532,1.049,-4.63,11.232
2026-02-26T01:10:00+00:00,241.025,1.06,-4.568,11.249
2026-02-26T01:15:00+00:00,241.763,1.047,-4.593,11.26
2026-02-26T01:20:00+00:00,239.237,1.054,-4.542,11.278
2026-02-26T01:25:00+00:00,237.539,1.039,-4.517,11.299
2026-02-26T01:30:00+00:00,235.46,1.062,-4.477,11.3
2026-02-26T01:35:00+00:00,235.201,1.041,-4.487,11.3
2026-02-26T01:40:00+00:00,232.572,1.034,-4.418,11.3
2026-02-26T01:45:00+00:00,231.993,1.062,-4.419,11.302
2026-02-26T01:50:00+00:00,230.637,1.057,-4.397,11.319
2026-02-26T01:55:00+00:00,230.54,1.044,-4.385,11.331
2026-02-26T02:00:00+00:00,227.352,1.034,-4.318,11.328
2026-02-26T02:05:00+00:00,226.86,1.024,-4.285,11.277
2026-02-26T02:10:00+00:00,226.772,1.02,-4.278,11.275
2026-02-26T02:15:00+00:00,226.458,1.02,-4.275,11.279
2026-02-26T02:20:00+00:00,226.357,1.048,-4.287,11.276
2026-02-26T02:25:00+00:00,224.678,1.032,-4.251,11.294
2026-02-26T02:30:00+00:00,222.352,1.038,-4.214,11.298
2026-02-26T02:35:00+00:00,221.886,1.023,-4.206,11.306
2026-02-26T02:40:00+00:00,220.709,1.048,-4.192,11.322
2026-02-26T02:45:00+00:00,219.147,1.053,-4.167,11.328
2026-02-26T02:50:00+00:00,217.802,1.054,-4.107,11.257
2026-02-26T02:55:00+00:00,217.649,1.042,-4.108,11.26
2026-02-26T03:00:00+00:00,217.926,1.048,-4.122,11.272
2026-02-26T03:05:00+00:00,217.038,1.029,-4.088,11.25
2026-02-26T03:10:00+00:00,215.856,1.033,-4.07,11.228
2026-02-26T03:15:00+00:00,214.527,1.038,-4.052,11.25
2026-02-26T03:20:00+00:00,214.744,1.031,-4.054,11.25
2026-02-26T03:25:00+00:00,215.712,1.033,-4.084,11.278
2026-02-26T03:30:00+00:00,215.281,1.015,-4.064,11.288
2026-02-26T03:35:00+00:00,214.295,1.011,-4.055,11.278
2026-02-26T03:40:00+00:00,214.054,1.028,-4.051,11.286
2026-02-26T03:45:00+00:00,213.973,1.018,-4.042,11.266
2026-02-26T03:50:00+00:00,213.016,1.009,-4.016,11.252
2026-02-26T03:55:00+00:00,214.022,1.017,-4.026,11.266
2026-02-26T04:00:00+00:00,213.538,1.003,-4.026,11.274
2026-02-26T04:05:00+00:00,213.194,1.019,-4.007,11.21
2026-02-26T04:10:00+00:00,213.535,1.027,-4.012,11.2
2026-02-26T04:15:00+00:00,213.252,1.032,-4.004,11.2
2026-02-26T04:20:00+00:00,215.117,1.017,-4.039,11.2
2026-02-26T04:25:00+00:00,217.871,1.0,-4.104,11.2
2026-02-26T04:30:00+00:00,216.302,1.004,-4.064,11.21
2026-02-26T04:35:00+00:00,215.155,0.993,-4.061,11.215
2026-02-26T04:40:00+00:00,217.371,1.002,-4.095,11.222
2026-02-26T04:45:00+00:00,215.943,1.0,-4.075,11.225
2026-02-26T04:50:00+00:00,217.782,0.968,-4.113,11.225
2026-02-26T04:55:00+00:00,220.932,0.958,-4.174,11.225
2026-02-26T05:00:00+00:00,224.308,0.959,-4.229,11.221
2026-02-26T05:05:00+00:00,226.098,0.948,-4.249,11.169
2026-02-26T05:10:00+00:00,228.295,0.963,-4.282,11.125
2026-02-26T05:15:00+00:00,230.352,0.946,-4.328,11.128
2026-02-26T05:20:00+00:00,231.636,0.946,-4.353,11.134
2026-02-26T05:25:00+00:00,231.803,0.951,-4.352,11.125
2026-02-26T05:30:00+00:00,236.08,0.94,-4.44,11.144
2026-02-26T05:35:00+00:00,239.193,0.903,-4.524,11.181
2026-02-26T05:40:00+00:00,242.85,0.864,-4.629,11.225
2026-02-26T05:45:00+00:00,246.375,0.843,-4.706,11.225
2026-02-26T05:50:00+00:00,252.686,0.826,-4.82,11.202
2026-02-26T05:55:00+00:00,257.977,0.794,-4.922,11.186
2026-02-26T06:00:00+00:00,261.753,0.774,-4.991,11.169
2026-02-26T06:05:00+00:00,270.94,0.724,-5.141,11.136
2026-02-26T06:10:00+00:00,279.014,0.63,-5.361,11.217
2026-02-26T06:15:00+00:00,283.856,0.643,-5.474,11.286
2026-02-26T06:20:00+00:00,287.878,0.629,-5.54,11.26
2026-02-26T06:25:00+00:00,292.478,0.614,-5.62,11.196
2026-02-26T06:30:00+00:00,298.662,0.577,-5.744,11.192
2026-02-26T06:35:00+00:00,302.982,0.568,-5.81,11.177
2026-02-26T06:40:00+00:00,310.58,0.508,-5.964,11.186
2026-02-26T06:45:00+00:00,315.41,0.468,-6.104,11.225
2026-02-26T06:50:00+00:00,316.806,0.429,-6.138,11.239
2026-02-26T06:55:00+00:00,320.782,0.384,-6.212,11.226
2026-02-26T07:00:00+00:00,329.066,0.306,-6.364,11.213
2026-02-26T07:05:00+00:00,334.89,0.299,-6.462,11.168
2026-02-26T07:10:00+00:00,344.084,0.229,-6.62,11.157
2026-02-26T07:15:00+00:00,353.48,0.159,-6.82,11.192
2026-02-26T07:20:00+00:00,357.533,0.106,-6.933,11.272
2026-02-26T07:25:00+00:00,361.686,0.098,-6.998,11.247
2026-02-26T07:30:00+00:00,369.204,0.083,-7.128,11.189
2026-02-26T07:35:00+00:00,371.296,0.034,-7.189,11.215
2026-02-26T07:40:00+00:00,373.334,-0.05,-7.217,11.221
2026-02-26T07:45:00+00:00,372.778,-0.066,-7.219,11.223
2026-02-26T07:50:00+00:00,377.248,-0.119,-7.294,11.217
2026-02-26T07:55:00+00:00,373.98,-0.135,-7.245,11.224
2026-02-26T08:00:00+00:00,374.825,-0.083,-7.243,11.209
2026-02-26T08:05:00+00:00,376.733,-0.089,-7.309,11.253
2026-02-26T08:10:00+00:00,372.68,-0.161,-7.354,11.378
2026-02-26T08:15:00+00:00,377.282,-0.158,-7.324,11.259
2026-02-26T08:20:00+00:00,376.52,-0.183,-7.302,11.227
2026-02-26T08:25:00+00:00,376.346,-0.205,-7.288,11.222
2026-02-26T08:30:00+00:00,373.7,-0.161,-7.248,11.227
2026-02-26T08:35:00+00:00,374.915,-0.179,-7.267,11.228
2026-02-26T08:40:00+00:00,378.47,-0.201,-7.316,11.222
2026-02-26T08:45:00+00:00,385.551,-0.256,-7.454,11.209
2026-02-26T08:50:00+00:00,388.132,-0.234,-7.502,11.208
2026-02-26T08:55:00+00:00,387.852,-0.208,-7.501,11.21
2026-02-26T09:00:00+00:00,388.363,-0.19,-7.513,11.211
2026-02-26T09:05:00+00:00,389.958,-0.232,-7.545,11.214
2026-02-26T09:10:00+00:00,394.246,-0.265,-7.628,11.212
2026-02-26T09:15:00+00:00,396.163,-0.251,-7.654,11.2
2026-02-26T09:20:00+00:00,399.138,-0.284,-7.714,11.212
2026-02-26T09:25:00+00:00,397.45,-0.199,-7.694,11.22
2026-02-26T09:30:00+00:00,395.631,-0.262,-7.659,11.224
2026-02-26T09:35:00+00:00,397.034,-0.273,-7.696,11.224
2026-02-26T09:40:00+00:00,400.956,-0.251,-7.765,11.223
2026-02-26T09:45:00+00:00,401.482,-0.263,-7.774,11.225
2026-02-26T09:50:00+00:00,399.931,-0.252,-7.759,11.225
2026-02-26T09:55:00+00:00,397.621,-0.218,-7.706,11.225
2026-02-26T10:00:00+00:00,400.564,-0.201,-7.77,11.225
2026-02-26T10:05:00+00:00,401.368,-0.113,-7.786,11.227
