ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,144.581,-1.539,5.294,33.084
2026-02-26T00:10:00+00:00,149.28,-1.573,5.546,32.91
2026-02-26T00:15:00+00:00,151.507,-1.534,5.009,32.751
2026-02-26T00:20:00+00:00,153.376,-1.532,5.326,32.73
2026-02-26T00:25:00+00:00,154.23,-1.534,5.782,32.921
2026-02-26T00:30:00+00:00,153.03,-1.45,5.667,33.112
2026-02-26T00:35:00+00:00,165.51,-1.504,3.94,32.954
2026-02-26T00:40:00+00:00,173.89,-1.531,3.061,32.881
2026-02-26T00:45:00+00:00,177.529,-1.551,3.254,32.829
2026-02-26T00:50:00+00:00,176.706,-1.642,4.296,32.728
2026-02-26T00:55:00+00:00,178.191,-1.605,4.151,32.728
2026-02-26T01:00:00+00:00,178.767,-1.593,4.471,32.752
2026-02-26T01:05:00+00:00,185.018,-1.622,4.165,32.816
2026-02-26T01:10:00+00:00,183.938,-1.584,4.068,32.854
2026-02-26T01:15:00+00:00,181.662,-1.581,3.614,32.878
2026-02-26T01:20:00+00:00,182.78,-1.609,3.625,32.892
2026-02-26T01:25:00+00:00,179.716,-1.596,4.154,32.927
2026-02-26T01:30:00+00:00,179.078,-1.594,4.441,32.944
2026-02-26T01:35:00+00:00,177.232,-1.601,3.734,32.984
2026-02-26T01:40:00+00:00,175.074,-1.573,3.735,33.022
2026-02-26T01:45:00+00:00,173.284,-1.549,4.728,33.031
2026-02-26T01:50:00+00:00,167.778,-1.537,4.696,33.038
2026-02-26T01:55:00+00:00,167.334,-1.526,4.314,33.05
2026-02-26T02:00:00+00:00,167.216,-1.535,4.178,33.132
2026-02-26T02:05:00+00:00,170.776,-1.58,3.282,33.102
2026-02-26T02:10:00+00:00,171.996,-1.602,3.223,33.04
2026-02-26T02:15:00+00:00,170.358,-1.596,3.254,33.077
2026-02-26T02:20:00+00:00,167.312,-1.562,3.356,33.068
2026-02-26T02:25:00+00:00,162.877,-1.518,3.601,33.098
2026-02-26T02:30:00+00:00,163.07,-1.472,3.49,33.102
2026-02-26T02:35:00+00:00,163.32,-1.47,4.0,33.12
2026-02-26T02:40:00+00:00,163.294,-1.463,4.159,33.18
2026-02-26T02:45:00+00:00,161.707,-1.452,4.56,33.18
2026-02-26T02:50:00+00:00,159.417,-1.446,4.74,33.236
2026-02-26T02:55:00+00:00,157.384,-1.4,4.918,33.25
2026-02-26T03:00:00+00:00,157.082,-1.482,4.979,33.293
2026-02-26T03:05:00+00:00,155.91,-0.843,3.81,33.134
2026-02-26T03:10:00+00:00,153.372,0.234,3.767,33.028
2026-02-26T03:15:00+00:00,153.35,0.11,3.693,33.049
2026-02-26T03:20:00+00:00,152.086,0.101,3.749,33.079
2026-02-26T03:25:00+00:00,151.289,0.075,3.709,33.116
2026-02-26T03:30:00+00:00,148.186,0.062,3.783,33.1
2026-02-26T03:35:00+00:00,146.477,0.065,4.014,33.09
2026-02-26T03:40:00+00:00,146.988,0.031,3.912,33.103
2026-02-26T03:45:00+00:00,145.435,0.089,3.878,33.129
2026-02-26T03:50:00+00:00,144.796,0.133,3.915,33.178
2026-02-26T03:55:00+00:00,144.513,0.195,3.924,33.16
2026-02-26T04:00:00+00:00,143.095,-0.449,4.03,33.138
2026-02-26T04:05:00+00:00,145.279,-0.481,3.912,33.056
2026-02-26T04:10:00+00:00,145.714,-0.412,3.902,33.028
2026-02-26T04:15:00+00:00,145.902,-0.42,3.929,33.012
2026-02-26T04:20:00+00:00,146.22,-0.388,3.813,33.052
2026-02-26T04:25:00+00:00,142.546,-0.4,3.917,33.027
2026-02-26T04:30:00+00:00,141.62,-0.452,3.86,33.08
2026-02-26T04:35:00+00:00,140.443,-0.376,3.131,33.101
2026-02-26T04:40:00+00:00,140.631,-0.37,2.963,33.113
2026-02-26T04:45:00+00:00,140.252,-0.399,3.018,33.132
2026-02-26T04:50:00+00:00,139.31,-0.416,3.283,33.12
2026-02-26T04:55:00+00:00,141.806,-0.416,3.291,33.176
2026-02-26T05:00:00+00:00,141.094,-0.429,3.414,33.151
