ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,199.023,3.831,0.918,-3.689,11.141
2026-02-26T00:10:00+00:00,200.366,3.84,0.926,-3.706,11.114
2026-02-26T00:15:00+00:00,201.802,3.881,0.922,-3.735,11.1
2026-02-26T00:20:00+00:00,199.796,3.831,0.932,-3.699,11.1
2026-02-26T00:25:00+00:00,198.96,3.825,0.953,-3.68,11.1
2026-02-26T00:30:00+00:00,198.258,3.828,0.935,-3.682,11.134
2026-02-26T00:35:00+00:00,205.828,3.947,0.926,-3.805,11.091
2026-02-26T00:40:00+00:00,211.937,4.048,0.895,-3.919,11.045
2026-02-26T00:45:00+00:00,215.076,4.109,0.894,-3.999,11.044
2026-02-26T00:50:00+00:00,215.119,4.095,0.896,-3.997,11.012
2026-02-26T00:55:00+00:00,214.286,4.084,0.918,-3.976,11.005
2026-02-26T01:00:00+00:00,213.918,4.088,0.923,-3.962,11.049
2026-02-26T01:05:00+00:00,214.252,4.095,0.89,-3.978,11.052
2026-02-26T01:10:00+00:00,213.704,4.1,0.897,-3.981,11.071
2026-02-26T01:15:00+00:00,214.314,4.12,0.876,-3.995,11.084
2026-02-26T01:20:00+00:00,211.319,4.086,0.888,-3.933,11.1
2026-02-26T01:25:00+00:00,210.15,4.067,0.9,-3.925,11.1
2026-02-26T01:30:00+00:00,210.699,4.065,0.9,-3.927,11.1
2026-02-26T01:35:00+00:00,209.312,4.034,0.9,-3.902,11.106
2026-02-26T01:40:00+00:00,209.06,4.027,0.902,-3.894,11.116
2026-02-26T01:45:00+00:00,205.63,3.964,0.932,-3.822,11.146
2026-02-26T01:50:00+00:00,203.106,3.926,0.925,-3.784,11.15
2026-02-26T01:55:00+00:00,199.961,3.857,0.926,-3.722,11.15
2026-02-26T02:00:00+00:00,197.103,3.798,0.92,-3.67,11.15
2026-02-26T02:05:00+00:00,200.789,3.87,0.906,-3.722,11.148
2026-02-26T02:10:00+00:00,200.17,3.875,0.913,-3.721,11.145
2026-02-26T02:15:00+00:00,202.425,3.904,0.914,-3.772,11.149
2026-02-26T02:20:00+00:00,201.438,3.884,0.932,-3.745,11.15
2026-02-26T02:25:00+00:00,199.631,3.872,0.927,-3.724,11.15
2026-02-26T02:30:00+00:00,199.304,3.855,0.894,-3.722,11.15
2026-02-26T02:35:00+00:00,199.658,3.872,0.923,-3.74,11.151
2026-02-26T02:40:00+00:00,196.909,3.843,0.932,-3.681,11.184
2026-02-26T02:45:00+00:00,196.764,3.837,0.911,-3.684,11.188
2026-02-26T02:50:00+00:00,195.56,3.812,0.893,-3.655,11.181
2026-02-26T02:55:00+00:00,196.644,3.76,0.893,-3.629,11.033
2026-02-26T03:00:00+00:00,195.07,3.736,0.907,-3.6,11.025
2026-02-26T03:05:00+00:00,195.929,3.738,0.882,-3.604,10.989
2026-02-26T03:10:00+00:00,196.812,3.772,0.9,-3.638,11.034
2026-02-26T03:15:00+00:00,193.286,3.726,0.914,-3.582,11.079
2026-02-26T03:20:00+00:00,193.842,3.726,0.881,-3.587,11.084
2026-02-26T03:25:00+00:00,190.242,3.67,0.887,-3.532,11.1
2026-02-26T03:30:00+00:00,188.694,3.643,0.891,-3.493,11.1
2026-02-26T03:35:00+00:00,187.329,3.618,0.903,-3.452,11.1
2026-02-26T03:40:00+00:00,186.314,3.595,0.909,-3.459,11.1
2026-02-26T03:45:00+00:00,185.37,3.575,0.893,-3.42,11.106
2026-02-26T03:50:00+00:00,185.83,3.578,0.908,-3.432,11.122
2026-02-26T03:55:00+00:00,185.484,3.574,0.876,-3.422,11.131
2026-02-26T04:00:00+00:00,186.126,3.592,0.872,-3.442,11.128
2026-02-26T04:05:00+00:00,184.201,3.538,0.88,-3.376,11.095
2026-02-26T04:10:00+00:00,184.707,3.558,0.881,-3.389,11.078
2026-02-26T04:15:00+00:00,181.299,3.461,0.906,-3.328,11.062
2026-02-26T04:20:00+00:00,180.972,3.451,0.887,-3.311,11.057
2026-02-26T04:25:00+00:00,181.183,3.46,0.886,-3.317,11.062
2026-02-26T04:30:00+00:00,181.727,3.476,0.866,-3.339,11.082
2026-02-26T04:35:00+00:00,183.593,3.514,0.85,-3.386,11.094
2026-02-26T04:40:00+00:00,181.314,3.477,0.85,-3.332,11.1
2026-02-26T04:45:00+00:00,184.237,3.54,0.85,-3.394,11.1
2026-02-26T04:50:00+00:00,181.883,3.498,0.85,-3.351,11.1
2026-02-26T04:55:00+00:00,181.888,3.481,0.85,-3.351,11.1
2026-02-26T05:00:00+00:00,183.135,3.512,0.85,-3.376,11.099
2026-02-26T05:05:00+00:00,182.641,3.484,0.85,-3.35,11.045
2026-02-26T05:10:00+00:00,183.945,3.506,0.85,-3.371,11.025
2026-02-26T05:15:00+00:00,184.706,3.518,0.851,-3.389,11.027
2026-02-26T05:20:00+00:00,183.92,3.497,0.868,-3.363,11.034
2026-02-26T05:25:00+00:00,186.064,3.543,0.862,-3.401,11.01
2026-02-26T05:30:00+00:00,185.475,3.539,0.85,-3.401,10.996
2026-02-26T05:35:00+00:00,185.881,3.535,0.854,-3.404,10.978
2026-02-26T05:40:00+00:00,187.891,3.585,0.849,-3.446,11.038
2026-02-26T05:45:00+00:00,186.902,3.584,0.854,-3.443,11.038
2026-02-26T05:50:00+00:00,187.992,3.58,0.871,-3.446,10.996
2026-02-26T05:55:00+00:00,190.717,3.619,0.85,-3.514,10.974
2026-02-26T06:00:00+00:00,194.756,3.69,0.85,-3.585,10.95
2026-02-26T06:05:00+00:00,198.688,3.791,0.845,-3.666,10.971
2026-02-26T06:10:00+00:00,203.327,3.909,0.824,-3.801,11.114
2026-02-26T06:15:00+00:00,207.79,4.0,0.808,-3.883,11.121
2026-02-26T06:20:00+00:00,208.078,4.016,0.79,-3.885,11.098
2026-02-26T06:25:00+00:00,213.989,4.107,0.785,-4.008,11.042
2026-02-26T06:30:00+00:00,214.223,4.104,0.793,-4.005,11.05
2026-02-26T06:35:00+00:00,220.618,4.2,0.77,-4.119,11.026
2026-02-26T06:40:00+00:00,226.772,4.324,0.762,-4.22,11.005
2026-02-26T06:45:00+00:00,228.052,4.384,0.772,-4.257,11.1
2026-02-26T06:50:00+00:00,228.447,4.403,0.762,-4.27,11.1
2026-02-26T06:55:00+00:00,231.857,4.454,0.776,-4.333,11.09
2026-02-26T07:00:00+00:00,235.695,4.5,0.75,-4.419,11.021
2026-02-26T07:05:00+00:00,242.032,4.602,0.75,-4.538,11.002
2026-02-26T07:10:00+00:00,247.75,4.706,0.75,-4.611,10.978
2026-02-26T07:15:00+00:00,251.541,4.822,0.743,-4.731,11.058
2026-02-26T07:20:00+00:00,253.202,4.88,0.734,-4.812,11.151
2026-02-26T07:25:00+00:00,254.505,4.915,0.739,-4.828,11.15
2026-02-26T07:30:00+00:00,256.113,4.926,0.722,-4.844,11.118
2026-02-26T07:35:00+00:00,262.726,5.03,0.688,-4.962,11.06
2026-02-26T07:40:00+00:00,265.129,5.08,0.67,-5.026,11.078
2026-02-26T07:45:00+00:00,263.867,5.064,0.694,-5.0,11.09
2026-02-26T07:50:00+00:00,269.187,5.151,0.672,-5.097,11.071
2026-02-26T07:55:00+00:00,269.258,5.156,0.676,-5.101,11.084
2026-02-26T08:00:00+00:00,273.55,5.24,0.692,-5.175,11.051
2026-02-26T08:05:00+00:00,277.246,5.316,0.691,-5.232,11.05
2026-02-26T08:10:00+00:00,279.646,5.386,0.662,-5.308,11.124
2026-02-26T08:15:00+00:00,280.864,5.403,0.662,-5.355,11.101
2026-02-26T08:20:00+00:00,282.06,5.43,0.632,-5.358,11.1
2026-02-26T08:25:00+00:00,278.027,5.356,0.618,-5.265,11.1
2026-02-26T08:30:00+00:00,276.936,5.341,0.628,-5.258,11.101
