ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,376.087,6.116,0.295,-7.103,11.028
2026-02-26T00:10:00+00:00,381.68,6.218,0.273,-7.194,11.009
2026-02-26T00:15:00+00:00,379.51,6.131,0.264,-7.135,10.981
2026-02-26T00:20:00+00:00,379.851,6.195,0.268,-7.126,10.984
2026-02-26T00:25:00+00:00,377.594,6.101,0.272,-7.105,11.0
2026-02-26T00:30:00+00:00,373.494,6.006,0.3,-7.046,11.032
2026-02-26T00:35:00+00:00,382.53,6.072,0.236,-7.192,10.975
2026-02-26T00:40:00+00:00,392.15,6.3,0.222,-7.405,10.99
2026-02-26T00:45:00+00:00,397.256,6.392,0.225,-7.512,11.0
2026-02-26T00:50:00+00:00,393.461,6.331,0.246,-7.433,10.999
2026-02-26T00:55:00+00:00,392.078,6.288,0.218,-7.408,11.0
2026-02-26T01:00:00+00:00,390.172,6.274,0.249,-7.383,11.0
2026-02-26T01:05:00+00:00,390.107,6.304,0.254,-7.385,11.017
2026-02-26T01:10:00+00:00,390.998,6.334,0.205,-7.408,11.03
2026-02-26T01:15:00+00:00,388.158,6.276,0.256,-7.376,11.06
2026-02-26T01:20:00+00:00,386.955,6.281,0.252,-7.356,11.082
2026-02-26T01:25:00+00:00,384.886,6.284,0.231,-7.326,11.099
2026-02-26T01:30:00+00:00,383.085,6.27,0.206,-7.314,11.1
2026-02-26T01:35:00+00:00,381.53,6.246,0.168,-7.284,11.1
2026-02-26T01:40:00+00:00,380.344,6.274,0.178,-7.274,11.1
2026-02-26T01:45:00+00:00,377.777,6.184,0.238,-7.232,11.1
2026-02-26T01:50:00+00:00,371.227,6.055,0.274,-7.104,11.12
2026-02-26T01:55:00+00:00,371.305,6.08,0.247,-7.114,11.153
2026-02-26T02:00:00+00:00,368.296,5.951,0.263,-7.03,11.113
2026-02-26T02:05:00+00:00,374.334,6.073,0.228,-7.094,11.035
2026-02-26T02:10:00+00:00,373.512,6.078,0.255,-7.088,11.041
2026-02-26T02:15:00+00:00,373.603,6.094,0.227,-7.099,11.043
2026-02-26T02:20:00+00:00,372.425,6.092,0.244,-7.071,11.041
2026-02-26T02:25:00+00:00,371.124,6.09,0.145,-7.047,11.063
2026-02-26T02:30:00+00:00,369.067,6.072,0.199,-7.008,11.066
2026-02-26T02:35:00+00:00,364.867,5.938,0.245,-6.949,11.078
2026-02-26T02:40:00+00:00,363.782,5.954,0.259,-6.929,11.087
2026-02-26T02:45:00+00:00,361.76,5.973,0.275,-6.88,11.054
2026-02-26T02:50:00+00:00,361.303,6.008,0.258,-6.887,11.082
2026-02-26T02:55:00+00:00,358.316,5.934,0.258,-6.845,11.107
2026-02-26T03:00:00+00:00,357.014,5.886,0.18,-6.81,11.125
2026-02-26T03:05:00+00:00,354.369,5.807,0.175,-6.744,11.079
2026-02-26T03:10:00+00:00,352.449,5.772,0.18,-6.7,11.05
2026-02-26T03:15:00+00:00,349.81,5.751,0.241,-6.654,11.056
2026-02-26T03:20:00+00:00,349.644,5.758,0.18,-6.637,11.069
2026-02-26T03:25:00+00:00,347.309,5.696,0.205,-6.622,11.118
2026-02-26T03:30:00+00:00,347.221,5.716,0.189,-6.607,11.117
2026-02-26T03:35:00+00:00,345.394,5.7,0.182,-6.572,11.114
2026-02-26T03:40:00+00:00,346.862,5.749,0.168,-6.601,11.116
2026-02-26T03:45:00+00:00,344.552,5.695,0.224,-6.574,11.12
2026-02-26T03:50:00+00:00,338.912,5.476,0.186,-6.469,11.125
2026-02-26T03:55:00+00:00,338.83,5.492,0.183,-6.458,11.124
2026-02-26T04:00:00+00:00,342.432,5.686,0.205,-6.53,11.135
2026-02-26T04:05:00+00:00,344.992,5.696,0.283,-6.546,11.095
2026-02-26T04:10:00+00:00,346.638,5.707,0.307,-6.576,11.08
2026-02-26T04:15:00+00:00,345.549,5.67,0.273,-6.557,11.072
2026-02-26T04:20:00+00:00,345.451,5.729,0.26,-6.548,11.071
2026-02-26T04:25:00+00:00,342.673,5.642,0.285,-6.49,11.075
2026-02-26T04:30:00+00:00,343.725,5.664,0.267,-6.512,11.08
2026-02-26T04:35:00+00:00,345.551,5.764,0.277,-6.575,11.101
2026-02-26T04:40:00+00:00,345.48,5.751,0.269,-6.578,11.106
2026-02-26T04:45:00+00:00,348.292,5.762,0.263,-6.624,11.102
2026-02-26T04:50:00+00:00,349.43,5.814,0.288,-6.647,11.114
