ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,298.1,1.372,-5.574,11.158
2026-02-26T00:10:00+00:00,301.403,1.365,-5.618,11.116
2026-02-26T00:15:00+00:00,303.234,1.366,-5.656,11.1
2026-02-26T00:20:00+00:00,301.354,1.371,-5.643,11.1
2026-02-26T00:25:00+00:00,300.131,1.37,-5.631,11.102
2026-02-26T00:30:00+00:00,300.385,1.374,-5.642,11.16
2026-02-26T00:35:00+00:00,308.344,1.345,-5.75,11.101
2026-02-26T00:40:00+00:00,315.969,1.315,-5.913,11.1
2026-02-26T00:45:00+00:00,318.807,1.321,-5.981,11.111
2026-02-26T00:50:00+00:00,317.18,1.352,-5.935,11.086
2026-02-26T00:55:00+00:00,317.193,1.368,-5.905,11.072
2026-02-26T01:00:00+00:00,315.477,1.37,-5.882,11.126
2026-02-26T01:05:00+00:00,321.994,1.357,-6.016,11.133
2026-02-26T01:10:00+00:00,319.612,1.362,-6.003,11.14
2026-02-26T01:15:00+00:00,316.696,1.357,-5.949,11.152
2026-02-26T01:20:00+00:00,314.971,1.371,-5.92,11.167
2026-02-26T01:25:00+00:00,312.542,1.393,-5.883,11.183
2026-02-26T01:30:00+00:00,311.148,1.39,-5.861,11.198
2026-02-26T01:35:00+00:00,310.52,1.387,-5.843,11.2
2026-02-26T01:40:00+00:00,307.764,1.371,-5.789,11.208
2026-02-26T01:45:00+00:00,305.622,1.362,-5.755,11.228
2026-02-26T01:50:00+00:00,305.035,1.389,-5.716,11.239
2026-02-26T01:55:00+00:00,304.413,1.383,-5.72,11.238
2026-02-26T02:00:00+00:00,299.555,1.396,-5.626,11.2
2026-02-26T02:05:00+00:00,302.305,1.347,-5.671,11.194
2026-02-26T02:10:00+00:00,302.323,1.361,-5.682,11.196
2026-02-26T02:15:00+00:00,300.674,1.368,-5.65,11.2
2026-02-26T02:20:00+00:00,300.333,1.363,-5.634,11.2
2026-02-26T02:25:00+00:00,297.806,1.367,-5.615,11.2
2026-02-26T02:30:00+00:00,294.272,1.358,-5.54,11.2
2026-02-26T02:35:00+00:00,293.301,1.358,-5.522,11.2
2026-02-26T02:40:00+00:00,292.585,1.378,-5.524,11.191
2026-02-26T02:45:00+00:00,291.339,1.383,-5.483,11.167
2026-02-26T02:50:00+00:00,290.461,1.379,-5.469,11.173
2026-02-26T02:55:00+00:00,288.788,1.369,-5.438,11.185
2026-02-26T03:00:00+00:00,286.383,1.357,-5.401,11.203
2026-02-26T03:05:00+00:00,285.881,1.33,-5.39,11.176
2026-02-26T03:10:00+00:00,285.495,1.342,-5.369,11.167
2026-02-26T03:15:00+00:00,282.461,1.356,-5.318,11.167
2026-02-26T03:20:00+00:00,280.344,1.368,-5.276,11.176
2026-02-26T03:25:00+00:00,279.228,1.361,-5.27,11.213
2026-02-26T03:30:00+00:00,278.117,1.364,-5.24,11.232
2026-02-26T03:35:00+00:00,278.951,1.348,-5.261,11.216
2026-02-26T03:40:00+00:00,275.813,1.361,-5.214,11.232
2026-02-26T03:45:00+00:00,276.566,1.376,-5.227,11.233
2026-02-26T03:50:00+00:00,274.42,1.369,-5.176,11.239
2026-02-26T03:55:00+00:00,271.671,1.379,-5.143,11.251
2026-02-26T04:00:00+00:00,274.265,1.36,-5.177,11.255
2026-02-26T04:05:00+00:00,275.813,1.349,-5.169,11.18
2026-02-26T04:10:00+00:00,273.398,1.362,-5.15,11.167
2026-02-26T04:15:00+00:00,272.732,1.377,-5.115,11.167
2026-02-26T04:20:00+00:00,272.642,1.358,-5.129,11.173
2026-02-26T04:25:00+00:00,273.559,1.357,-5.131,11.167
2026-02-26T04:30:00+00:00,273.133,1.352,-5.119,11.184
2026-02-26T04:35:00+00:00,272.857,1.334,-5.134,11.191
2026-02-26T04:40:00+00:00,273.111,1.33,-5.152,11.199
2026-02-26T04:45:00+00:00,275.731,1.338,-5.196,11.2
2026-02-26T04:50:00+00:00,275.314,1.343,-5.183,11.213
2026-02-26T04:55:00+00:00,276.415,1.351,-5.19,11.233
2026-02-26T05:00:00+00:00,277.22,1.362,-5.202,11.215
2026-02-26T05:05:00+00:00,280.569,1.332,-5.244,11.146
2026-02-26T05:10:00+00:00,280.953,1.327,-5.281,11.133
2026-02-26T05:15:00+00:00,283.688,1.296,-5.322,11.133
2026-02-26T05:20:00+00:00,285.657,1.229,-5.376,11.133
2026-02-26T05:25:00+00:00,284.236,1.323,-5.319,11.133
2026-02-26T05:30:00+00:00,286.042,1.338,-5.347,11.107
