ValueDate,Amps,Volts
2026-02-26T00:05:00+00:00,196.387,65.394
2026-02-26T00:10:00+00:00,199.348,65.172
2026-02-26T00:15:00+00:00,200.475,65.031
2026-02-26T00:20:00+00:00,200.549,65.083
2026-02-26T00:25:00+00:00,200.161,65.165
2026-02-26T00:30:00+00:00,199.936,65.329
2026-02-26T00:35:00+00:00,207.045,64.945
2026-02-26T00:40:00+00:00,213.299,64.676
2026-02-26T00:45:00+00:00,217.724,64.6
2026-02-26T00:50:00+00:00,218.593,64.518
2026-02-26T00:55:00+00:00,218.652,64.536
2026-02-26T01:00:00+00:00,218.091,64.662
2026-02-26T01:05:00+00:00,217.974,64.675
2026-02-26T01:10:00+00:00,217.226,64.751
2026-02-26T01:15:00+00:00,216.213,64.862
2026-02-26T01:20:00+00:00,214.56,64.959
2026-02-26T01:25:00+00:00,213.56,65.067
2026-02-26T01:30:00+00:00,213.262,65.093
2026-02-26T01:35:00+00:00,212.886,65.168
2026-02-26T01:40:00+00:00,211.306,65.209
2026-02-26T01:45:00+00:00,209.594,65.283
2026-02-26T01:50:00+00:00,207.696,65.367
2026-02-26T01:55:00+00:00,205.394,65.449
2026-02-26T02:00:00+00:00,203.597,65.505
2026-02-26T02:05:00+00:00,204.235,65.343
2026-02-26T02:10:00+00:00,203.649,65.328
2026-02-26T02:15:00+00:00,203.397,65.351
2026-02-26T02:20:00+00:00,202.695,65.336
2026-02-26T02:25:00+00:00,202.771,65.481
2026-02-26T02:30:00+00:00,202.432,65.467
2026-02-26T02:35:00+00:00,201.153,65.517
2026-02-26T02:40:00+00:00,199.857,65.678
2026-02-26T02:45:00+00:00,198.861,65.747
2026-02-26T02:50:00+00:00,198.04,65.793
2026-02-26T02:55:00+00:00,197.775,65.823
2026-02-26T03:00:00+00:00,197.352,65.826
2026-02-26T03:05:00+00:00,197.16,65.708
2026-02-26T03:10:00+00:00,196.359,65.719
2026-02-26T03:15:00+00:00,196.597,65.777
2026-02-26T03:20:00+00:00,195.077,65.862
2026-02-26T03:25:00+00:00,193.763,65.964
2026-02-26T03:30:00+00:00,192.015,65.999
2026-02-26T03:35:00+00:00,191.434,66.012
2026-02-26T03:40:00+00:00,190.408,66.007
2026-02-26T03:45:00+00:00,189.48,66.081
2026-02-26T03:50:00+00:00,188.892,66.148
2026-02-26T03:55:00+00:00,187.754,66.18
2026-02-26T04:00:00+00:00,186.263,66.243
2026-02-26T04:05:00+00:00,187.336,65.89
2026-02-26T04:10:00+00:00,187.315,65.84
2026-02-26T04:15:00+00:00,186.453,65.872
2026-02-26T04:20:00+00:00,186.168,65.897
2026-02-26T04:25:00+00:00,184.943,65.9
2026-02-26T04:30:00+00:00,185.169,66.012
2026-02-26T04:35:00+00:00,185.993,66.004
2026-02-26T04:40:00+00:00,185.641,66.014
2026-02-26T04:45:00+00:00,185.122,66.101
2026-02-26T04:50:00+00:00,184.758,66.124
2026-02-26T04:55:00+00:00,185.628,66.117
2026-02-26T05:00:00+00:00,184.838,66.009
2026-02-26T05:05:00+00:00,184.752,65.719
2026-02-26T05:10:00+00:00,185.501,65.584
2026-02-26T05:15:00+00:00,185.896,65.65
2026-02-26T05:20:00+00:00,185.803,65.63
2026-02-26T05:25:00+00:00,185.325,65.497
2026-02-26T05:30:00+00:00,185.344,65.472
2026-02-26T05:35:00+00:00,184.855,65.471
2026-02-26T05:40:00+00:00,185.977,65.587
2026-02-26T05:45:00+00:00,186.76,65.506
2026-02-26T05:50:00+00:00,188.64,65.391
2026-02-26T05:55:00+00:00,190.366,65.301
2026-02-26T06:00:00+00:00,193.361,65.178
2026-02-26T06:05:00+00:00,200.317,64.689
2026-02-26T06:10:00+00:00,205.514,64.608
2026-02-26T06:15:00+00:00,206.676,65.162
2026-02-26T06:20:00+00:00,210.071,65.154
2026-02-26T06:25:00+00:00,211.736,64.891
2026-02-26T06:30:00+00:00,213.761,64.885
2026-02-26T06:35:00+00:00,217.564,64.761
2026-02-26T06:40:00+00:00,221.103,64.663
2026-02-26T06:45:00+00:00,223.734,64.933
2026-02-26T06:50:00+00:00,225.807,65.033
2026-02-26T06:55:00+00:00,228.064,64.884
2026-02-26T07:00:00+00:00,232.57,64.626
2026-02-26T07:05:00+00:00,236.936,64.473
2026-02-26T07:10:00+00:00,244.25,64.054
2026-02-26T07:15:00+00:00,248.052,63.968
2026-02-26T07:20:00+00:00,250.039,64.909
2026-02-26T07:25:00+00:00,248.755,65.017
2026-02-26T07:30:00+00:00,249.429,64.862
2026-02-26T07:35:00+00:00,250.347,64.682
2026-02-26T07:40:00+00:00,249.745,64.798
2026-02-26T07:45:00+00:00,249.868,64.808
2026-02-26T07:50:00+00:00,251.925,64.822
2026-02-26T07:55:00+00:00,253.346,64.739
2026-02-26T08:00:00+00:00,252.796,64.605
2026-02-26T08:05:00+00:00,253.494,64.48
2026-02-26T08:10:00+00:00,255.022,64.651
2026-02-26T08:15:00+00:00,256.554,65.355
2026-02-26T08:20:00+00:00,253.761,65.272
2026-02-26T08:25:00+00:00,251.179,65.228
2026-02-26T08:30:00+00:00,249.719,65.334
2026-02-26T08:35:00+00:00,247.601,65.331
2026-02-26T08:40:00+00:00,245.922,65.2
2026-02-26T08:45:00+00:00,246.211,65.154
2026-02-26T08:50:00+00:00,246.742,65.131
2026-02-26T08:55:00+00:00,248.692,65.199
2026-02-26T09:00:00+00:00,251.749,65.218
2026-02-26T09:05:00+00:00,252.279,65.158
2026-02-26T09:10:00+00:00,252.328,65.196
2026-02-26T09:15:00+00:00,251.163,65.113
2026-02-26T09:20:00+00:00,250.059,65.308
2026-02-26T09:25:00+00:00,249.168,65.316
2026-02-26T09:30:00+00:00,247.958,65.384
2026-02-26T09:35:00+00:00,247.862,65.403
2026-02-26T09:40:00+00:00,245.866,65.373
2026-02-26T09:45:00+00:00,243.933,65.459
2026-02-26T09:50:00+00:00,236.674,65.454
2026-02-26T09:55:00+00:00,232.39,65.546
2026-02-26T10:00:00+00:00,233.873,65.533
2026-02-26T10:05:00+00:00,231.697,65.573
2026-02-26T10:10:00+00:00,233.874,65.544
2026-02-26T10:15:00+00:00,236.773,65.658
2026-02-26T10:20:00+00:00,240.268,65.559
2026-02-26T10:25:00+00:00,243.861,65.389
2026-02-26T10:30:00+00:00,244.82,65.378
2026-02-26T10:35:00+00:00,247.682,65.438
2026-02-26T10:40:00+00:00,250.253,65.188
2026-02-26T10:45:00+00:00,248.524,65.157
2026-02-26T10:50:00+00:00,246.933,65.132
2026-02-26T10:55:00+00:00,246.792,65.167
2026-02-26T11:00:00+00:00,243.464,65.337
2026-02-26T11:05:00+00:00,241.788,65.639
2026-02-26T11:10:00+00:00,232.902,65.722
2026-02-26T11:15:00+00:00,227.109,65.727
2026-02-26T11:20:00+00:00,220.235,65.898
2026-02-26T11:25:00+00:00,214.612,65.926
2026-02-26T11:30:00+00:00,214.524,65.782
2026-02-26T11:35:00+00:00,212.97,65.815
2026-02-26T11:40:00+00:00,211.039,65.93
2026-02-26T11:45:00+00:00,209.604,65.964
2026-02-26T11:50:00+00:00,211.809,66.105
2026-02-26T11:55:00+00:00,215.125,66.109
2026-02-26T12:00:00+00:00,220.675,66.15
2026-02-26T12:05:00+00:00,226.514,65.964
2026-02-26T12:10:00+00:00,222.232,65.831
2026-02-26T12:15:00+00:00,213.372,65.788
2026-02-26T12:20:00+00:00,210.317,65.774
2026-02-26T12:25:00+00:00,203.024,65.769
2026-02-26T12:30:00+00:00,198.951,65.818
2026-02-26T12:35:00+00:00,196.235,65.592
2026-02-26T12:40:00+00:00,194.049,65.577
2026-02-26T12:45:00+00:00,201.868,65.596
2026-02-26T12:50:00+00:00,204.535,65.709
2026-02-26T12:55:00+00:00,205.869,65.776
2026-02-26T13:00:00+00:00,214.629,65.82
2026-02-26T13:05:00+00:00,224.354,65.707
2026-02-26T13:10:00+00:00,227.745,65.563
2026-02-26T13:15:00+00:00,229.351,65.697
2026-02-26T13:20:00+00:00,227.987,65.685
2026-02-26T13:25:00+00:00,223.042,65.721
2026-02-26T13:30:00+00:00,211.243,65.494
2026-02-26T13:35:00+00:00,205.157,65.592
2026-02-26T13:40:00+00:00,207.687,65.431
2026-02-26T13:45:00+00:00,211.447,65.388
2026-02-26T13:50:00+00:00,209.848,65.404
2026-02-26T13:55:00+00:00,211.915,65.743
2026-02-26T14:00:00+00:00,213.381,65.718
2026-02-26T14:05:00+00:00,212.793,65.819
2026-02-26T14:10:00+00:00,209.598,65.926
2026-02-26T14:15:00+00:00,209.304,66.013
2026-02-26T14:20:00+00:00,208.143,65.977
2026-02-26T14:25:00+00:00,205.441,65.9
2026-02-26T14:30:00+00:00,207.456,65.836
2026-02-26T14:35:00+00:00,207.547,65.664
2026-02-26T14:40:00+00:00,213.634,65.657
2026-02-26T14:45:00+00:00,203.795,65.674
2026-02-26T14:50:00+00:00,196.771,65.634
2026-02-26T14:55:00+00:00,209.149,65.654
2026-02-26T15:00:00+00:00,215.13,65.865
2026-02-26T15:05:00+00:00,226.384,66.013
2026-02-26T15:10:00+00:00,234.981,66.269
2026-02-26T15:15:00+00:00,235.548,66.523
2026-02-26T15:20:00+00:00,236.159,66.633
2026-02-26T15:25:00+00:00,236.615,66.485
2026-02-26T15:30:00+00:00,237.261,65.85
2026-02-26T15:35:00+00:00,239.637,65.74
2026-02-26T15:40:00+00:00,239.481,65.65
2026-02-26T15:45:00+00:00,242.698,65.534
2026-02-26T15:50:00+00:00,245.811,65.223
2026-02-26T15:55:00+00:00,248.49,65.276
2026-02-26T16:00:00+00:00,252.839,65.157
2026-02-26T16:05:00+00:00,253.416,64.936
2026-02-26T16:10:00+00:00,254.636,65.046
2026-02-26T16:15:00+00:00,246.077,65.207
2026-02-26T16:20:00+00:00,244.371,65.22
2026-02-26T16:25:00+00:00,243.078,65.498
2026-02-26T16:30:00+00:00,241.848,65.605
2026-02-26T16:35:00+00:00,243.582,65.495
2026-02-26T16:40:00+00:00,244.245,65.379
2026-02-26T16:45:00+00:00,248.918,65.1
2026-02-26T16:50:00+00:00,253.757,64.729
2026-02-26T16:55:00+00:00,257.477,64.555
2026-02-26T17:00:00+00:00,262.502,64.84
2026-02-26T17:05:00+00:00,267.262,64.871
