ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,13.039,0.573,-0.25,33.005
2026-02-26T00:10:00+00:00,13.057,0.6,-0.253,32.931
2026-02-26T00:15:00+00:00,13.076,0.672,-0.256,33.379
2026-02-26T00:20:00+00:00,13.094,0.625,-0.258,33.4
2026-02-26T00:25:00+00:00,13.113,0.578,-0.261,33.431
2026-02-26T00:30:00+00:00,13.132,0.53,-0.264,33.53
2026-02-26T00:35:00+00:00,13.15,0.61,-0.267,33.367
2026-02-26T00:40:00+00:00,13.169,0.62,-0.269,33.327
2026-02-26T00:45:00+00:00,13.187,0.616,-0.272,33.547
2026-02-26T00:50:00+00:00,13.206,0.54,-0.275,33.5
2026-02-26T00:55:00+00:00,13.224,0.615,-0.278,33.477
2026-02-26T01:00:00+00:00,13.243,0.592,-0.28,33.528
2026-02-26T01:05:00+00:00,13.262,0.621,-0.283,33.589
2026-02-26T01:10:00+00:00,13.28,0.647,-0.286,33.6
2026-02-26T01:15:00+00:00,13.299,0.581,-0.288,33.639
2026-02-26T01:20:00+00:00,13.317,0.568,-0.291,33.7
2026-02-26T01:25:00+00:00,13.336,0.619,-0.294,33.752
2026-02-26T01:30:00+00:00,13.354,0.563,-0.297,33.8
2026-02-26T01:35:00+00:00,13.373,0.609,-0.278,33.453
2026-02-26T01:40:00+00:00,13.392,0.649,-0.203,33.268
2026-02-26T01:45:00+00:00,13.41,0.57,-0.207,33.3
2026-02-26T01:50:00+00:00,13.429,0.601,-0.212,33.3
2026-02-26T01:55:00+00:00,13.447,0.582,-0.216,33.303
2026-02-26T02:00:00+00:00,13.466,0.599,-0.221,33.399
2026-02-26T02:05:00+00:00,13.484,0.629,-0.225,33.302
2026-02-26T02:10:00+00:00,13.503,0.623,-0.229,33.3
2026-02-26T02:15:00+00:00,13.521,0.55,-0.234,33.3
2026-02-26T02:20:00+00:00,13.54,0.611,-0.238,33.3
2026-02-26T02:25:00+00:00,13.559,0.583,-0.243,33.324
2026-02-26T02:30:00+00:00,13.577,0.613,-0.247,33.315
2026-02-26T02:35:00+00:00,13.596,0.615,-0.251,33.381
2026-02-26T02:40:00+00:00,13.614,0.616,-0.256,33.4
2026-02-26T02:45:00+00:00,13.633,0.553,-0.26,33.463
2026-02-26T02:50:00+00:00,13.651,0.646,-0.265,33.5
2026-02-26T02:55:00+00:00,13.67,0.555,-0.269,33.5
2026-02-26T03:00:00+00:00,13.689,0.615,-0.274,33.525
2026-02-26T03:05:00+00:00,13.707,0.653,-0.278,33.486
2026-02-26T03:10:00+00:00,13.726,0.59,-0.282,33.422
2026-02-26T03:15:00+00:00,13.744,0.535,-0.287,33.498
2026-02-26T03:20:00+00:00,13.763,0.643,-0.291,33.5
2026-02-26T03:25:00+00:00,13.781,0.557,-0.296,33.568
2026-02-26T03:30:00+00:00,13.8,0.643,-0.252,33.597
2026-02-26T03:35:00+00:00,13.819,0.654,-0.217,33.583
2026-02-26T03:40:00+00:00,13.837,0.608,-0.235,33.6
2026-02-26T03:45:00+00:00,13.856,0.562,-0.253,33.6
2026-02-26T03:50:00+00:00,13.874,0.538,-0.27,33.513
2026-02-26T03:55:00+00:00,13.893,0.602,-0.288,33.1
2026-02-26T04:00:00+00:00,13.911,0.647,-0.239,33.123
2026-02-26T04:05:00+00:00,13.93,0.652,-0.217,32.975
2026-02-26T04:10:00+00:00,13.949,0.609,-0.235,32.935
2026-02-26T04:15:00+00:00,13.967,0.567,-0.254,32.9
2026-02-26T04:20:00+00:00,13.986,0.525,-0.272,32.92
2026-02-26T04:25:00+00:00,14.004,0.599,-0.29,32.907
2026-02-26T04:30:00+00:00,14.023,0.614,-0.236,32.978
2026-02-26T04:35:00+00:00,14.041,0.611,-0.208,32.989
2026-02-26T04:40:00+00:00,14.06,0.592,-0.217,33.0
2026-02-26T04:45:00+00:00,14.078,0.596,-0.226,33.0
2026-02-26T04:50:00+00:00,14.097,0.603,-0.236,33.003
2026-02-26T04:55:00+00:00,14.116,0.583,-0.245,33.012
2026-02-26T05:00:00+00:00,14.134,0.654,-0.254,32.997
2026-02-26T05:05:00+00:00,14.153,0.574,-0.263,33.147
2026-02-26T05:10:00+00:00,14.171,0.606,-0.273,33.3
2026-02-26T05:15:00+00:00,14.19,0.594,-0.282,33.3
2026-02-26T05:20:00+00:00,14.208,0.583,-0.291,33.3
2026-02-26T05:25:00+00:00,14.227,0.611,-0.252,33.28
2026-02-26T05:30:00+00:00,14.246,0.598,-0.216,33.221
2026-02-26T05:35:00+00:00,14.264,0.622,-0.233,33.217
2026-02-26T05:40:00+00:00,14.283,0.609,-0.25,33.3
2026-02-26T05:45:00+00:00,14.301,0.542,-0.267,33.3
2026-02-26T05:50:00+00:00,14.32,0.618,-0.285,33.202
2026-02-26T05:55:00+00:00,14.338,0.623,-0.247,33.164
2026-02-26T06:00:00+00:00,14.357,0.61,-0.218,33.099
2026-02-26T06:05:00+00:00,14.376,0.571,-0.236,33.192
2026-02-26T06:10:00+00:00,14.394,0.628,-0.254,33.567
2026-02-26T06:15:00+00:00,14.413,0.564,-0.272,33.328
2026-02-26T06:20:00+00:00,14.431,0.588,-0.29,33.307
2026-02-26T06:25:00+00:00,14.45,0.652,-0.229,33.181
2026-02-26T06:30:00+00:00,14.468,0.642,-0.219,33.18
2026-02-26T06:35:00+00:00,14.487,0.591,-0.238,33.139
2026-02-26T06:40:00+00:00,14.506,0.54,-0.256,33.029
2026-02-26T06:45:00+00:00,14.524,0.588,-0.274,33.275
2026-02-26T06:50:00+00:00,14.543,0.585,-0.286,33.258
2026-02-26T06:55:00+00:00,14.561,0.646,-0.209,33.189
2026-02-26T07:00:00+00:00,14.58,0.588,-0.226,33.073
2026-02-26T07:05:00+00:00,14.598,0.61,-0.243,32.947
2026-02-26T07:10:00+00:00,14.617,0.608,-0.261,33.21
2026-02-26T07:15:00+00:00,14.635,0.565,-0.278,33.091
2026-02-26T07:20:00+00:00,14.654,0.595,-0.283,33.28
