ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,289.516,-1.4,5.436,11.302
2026-02-26T00:10:00+00:00,291.134,-1.388,5.486,11.297
2026-02-26T00:15:00+00:00,287.881,-1.382,5.4,11.245
2026-02-26T00:20:00+00:00,286.028,-1.408,5.34,11.3
2026-02-26T00:25:00+00:00,283.592,-1.414,5.29,11.3
2026-02-26T00:30:00+00:00,282.172,-1.388,5.288,11.279
2026-02-26T00:35:00+00:00,285.376,-1.347,5.353,11.261
2026-02-26T00:40:00+00:00,285.506,-1.364,5.328,11.244
2026-02-26T00:45:00+00:00,287.614,-1.343,5.375,11.218
2026-02-26T00:50:00+00:00,286.61,-1.356,5.338,11.22
2026-02-26T00:55:00+00:00,288.478,-1.304,5.376,11.198
2026-02-26T01:00:00+00:00,284.28,-1.386,5.295,11.244
2026-02-26T01:05:00+00:00,285.136,-1.378,5.328,11.25
2026-02-26T01:10:00+00:00,283.302,-1.372,5.27,11.272
2026-02-26T01:15:00+00:00,282.798,-1.387,5.283,11.283
2026-02-26T01:20:00+00:00,281.864,-1.387,5.259,11.281
2026-02-26T01:25:00+00:00,281.874,-1.384,5.264,11.3
2026-02-26T01:30:00+00:00,280.126,-1.4,5.236,11.3
2026-02-26T01:35:00+00:00,277.684,-1.376,5.199,11.3
2026-02-26T01:40:00+00:00,275.748,-1.396,5.162,11.3
2026-02-26T01:45:00+00:00,274.286,-1.384,5.139,11.304
2026-02-26T01:50:00+00:00,272.946,-1.364,5.12,11.32
2026-02-26T01:55:00+00:00,272.788,-1.368,5.114,11.34
2026-02-26T02:00:00+00:00,272.935,-1.394,5.133,11.345
2026-02-26T02:05:00+00:00,274.199,-1.358,5.144,11.3
2026-02-26T02:10:00+00:00,272.468,-1.35,5.111,11.3
2026-02-26T02:15:00+00:00,272.922,-1.365,5.113,11.302
2026-02-26T02:20:00+00:00,272.382,-1.376,5.118,11.318
2026-02-26T02:25:00+00:00,272.034,-1.38,5.11,11.335
2026-02-26T02:30:00+00:00,269.77,-1.322,5.064,11.328
2026-02-26T02:35:00+00:00,271.35,-1.331,5.111,11.34
2026-02-26T02:40:00+00:00,269.686,-1.378,5.079,11.368
2026-02-26T02:45:00+00:00,267.951,-1.39,5.048,11.391
2026-02-26T02:50:00+00:00,269.197,-1.366,5.074,11.4
2026-02-26T02:55:00+00:00,268.849,-1.341,5.07,11.4
2026-02-26T03:00:00+00:00,268.157,-1.366,5.071,11.4
2026-02-26T03:05:00+00:00,267.974,-1.334,5.06,11.374
2026-02-26T03:10:00+00:00,264.896,-1.331,5.011,11.376
2026-02-26T03:15:00+00:00,265.808,-1.33,5.025,11.376
2026-02-26T03:20:00+00:00,266.59,-1.332,5.034,11.388
2026-02-26T03:25:00+00:00,266.828,-1.336,5.05,11.388
2026-02-26T03:30:00+00:00,265.444,-1.35,5.022,11.206
2026-02-26T03:35:00+00:00,264.67,-1.351,5.012,11.346
2026-02-26T03:40:00+00:00,264.733,-1.332,5.019,11.4
2026-02-26T03:45:00+00:00,264.98,-1.338,5.02,11.4
2026-02-26T03:50:00+00:00,262.589,-1.342,4.975,11.394
2026-02-26T03:55:00+00:00,263.154,-1.352,4.982,11.383
2026-02-26T04:00:00+00:00,262.772,-1.326,4.972,11.423
2026-02-26T04:05:00+00:00,264.246,-1.342,4.99,11.388
2026-02-26T04:10:00+00:00,265.903,-1.362,5.014,11.371
2026-02-26T04:15:00+00:00,266.83,-1.371,5.024,11.364
2026-02-26T04:20:00+00:00,264.73,-1.337,5.014,11.381
2026-02-26T04:25:00+00:00,267.757,-1.326,5.058,11.374
2026-02-26T04:30:00+00:00,264.625,-1.32,5.003,11.363
2026-02-26T04:35:00+00:00,266.812,-1.346,5.042,11.4
2026-02-26T04:40:00+00:00,266.924,-1.35,5.049,11.4
2026-02-26T04:45:00+00:00,266.297,-1.344,5.047,11.4
2026-02-26T04:50:00+00:00,269.234,-1.37,5.101,11.4
2026-02-26T04:55:00+00:00,273.462,-1.342,5.172,11.4
2026-02-26T05:00:00+00:00,273.742,-1.34,5.176,11.398
2026-02-26T05:05:00+00:00,278.713,-1.272,5.258,11.327
2026-02-26T05:10:00+00:00,279.784,-1.272,5.264,11.3
2026-02-26T05:15:00+00:00,282.638,-1.262,5.338,11.32
2026-02-26T05:20:00+00:00,279.333,-1.319,5.264,11.321
2026-02-26T05:25:00+00:00,277.772,-1.382,5.213,11.3
2026-02-26T05:30:00+00:00,279.651,-1.357,5.242,11.3
2026-02-26T05:35:00+00:00,281.566,-1.322,5.292,11.3
2026-02-26T05:40:00+00:00,284.356,-1.26,5.374,11.3
2026-02-26T05:45:00+00:00,285.718,-1.308,5.38,11.3
2026-02-26T05:50:00+00:00,290.293,-1.319,5.49,11.28
2026-02-26T05:55:00+00:00,297.799,-1.293,5.624,11.3
2026-02-26T06:00:00+00:00,298.848,-1.271,5.656,11.273
2026-02-26T06:05:00+00:00,308.957,-1.234,5.804,11.193
2026-02-26T06:10:00+00:00,315.899,-1.148,6.05,11.352
