ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,310.797,6.104,1.425,-5.829,11.352
2026-02-26T00:10:00+00:00,316.026,6.188,1.428,-5.928,11.322
2026-02-26T00:15:00+00:00,321.554,6.284,1.416,-6.042,11.3
2026-02-26T00:20:00+00:00,320.074,6.258,1.428,-5.966,11.3
2026-02-26T00:25:00+00:00,320.113,6.273,1.422,-6.001,11.306
2026-02-26T00:30:00+00:00,320.174,6.292,1.438,-6.023,11.348
2026-02-26T00:35:00+00:00,329.878,6.461,1.377,-6.203,11.304
2026-02-26T00:40:00+00:00,338.292,6.592,1.37,-6.339,11.259
2026-02-26T00:45:00+00:00,342.605,6.666,1.393,-6.405,11.25
2026-02-26T00:50:00+00:00,341.554,6.658,1.392,-6.38,11.25
2026-02-26T00:55:00+00:00,341.065,6.64,1.4,-6.334,11.25
2026-02-26T01:00:00+00:00,339.613,6.629,1.412,-6.327,11.262
2026-02-26T01:05:00+00:00,345.928,6.752,1.406,-6.439,11.278
2026-02-26T01:10:00+00:00,345.715,6.764,1.398,-6.44,11.3
2026-02-26T01:15:00+00:00,343.462,6.712,1.398,-6.39,11.3
2026-02-26T01:20:00+00:00,339.152,6.638,1.402,-6.334,11.304
2026-02-26T01:25:00+00:00,340.692,6.677,1.386,-6.381,11.334
2026-02-26T01:30:00+00:00,338.616,6.649,1.404,-6.344,11.336
2026-02-26T01:35:00+00:00,338.018,6.644,1.402,-6.326,11.35
2026-02-26T01:40:00+00:00,336.871,6.635,1.388,-6.35,11.35
2026-02-26T01:45:00+00:00,332.964,6.536,1.411,-6.248,11.35
2026-02-26T01:50:00+00:00,330.858,6.497,1.42,-6.222,11.35
2026-02-26T01:55:00+00:00,328.112,6.45,1.423,-6.159,11.35
2026-02-26T02:00:00+00:00,327.98,6.45,1.394,-6.164,11.366
2026-02-26T02:05:00+00:00,331.304,6.499,1.418,-6.22,11.349
2026-02-26T02:10:00+00:00,328.234,6.451,1.417,-6.134,11.349
2026-02-26T02:15:00+00:00,327.071,6.406,1.426,-6.132,11.35
2026-02-26T02:20:00+00:00,325.249,6.379,1.42,-6.14,11.35
2026-02-26T02:25:00+00:00,320.474,6.295,1.402,-6.049,11.35
2026-02-26T02:30:00+00:00,320.59,6.302,1.384,-6.072,11.35
2026-02-26T02:35:00+00:00,323.418,6.359,1.414,-6.102,11.366
2026-02-26T02:40:00+00:00,317.63,6.274,1.447,-5.978,11.398
2026-02-26T02:45:00+00:00,316.287,6.242,1.43,-5.952,11.4
2026-02-26T02:50:00+00:00,318.466,6.276,1.431,-5.978,11.374
2026-02-26T02:55:00+00:00,316.947,6.139,1.438,-5.876,11.2
2026-02-26T03:00:00+00:00,314.539,6.086,1.459,-5.797,11.2
2026-02-26T03:05:00+00:00,317.658,6.158,1.413,-5.851,11.216
2026-02-26T03:10:00+00:00,315.313,6.139,1.378,-5.847,11.248
2026-02-26T03:15:00+00:00,307.068,5.985,1.398,-5.69,11.25
2026-02-26T03:20:00+00:00,305.025,5.943,1.434,-5.644,11.25
2026-02-26T03:25:00+00:00,306.488,5.984,1.441,-5.672,11.255
2026-02-26T03:30:00+00:00,303.441,5.926,1.428,-5.63,11.254
2026-02-26T03:35:00+00:00,303.842,5.935,1.419,-5.643,11.266
2026-02-26T03:40:00+00:00,305.338,5.961,1.423,-5.67,11.266
2026-02-26T03:45:00+00:00,304.62,5.96,1.432,-5.637,11.296
2026-02-26T03:50:00+00:00,300.401,5.902,1.447,-5.549,11.3
2026-02-26T03:55:00+00:00,297.797,5.845,1.451,-5.512,11.3
2026-02-26T04:00:00+00:00,295.821,5.803,1.445,-5.482,11.302
2026-02-26T04:05:00+00:00,298.184,5.812,1.432,-5.5,11.253
2026-02-26T04:10:00+00:00,293.827,5.749,1.448,-5.446,11.25
2026-02-26T04:15:00+00:00,295.108,5.755,1.426,-5.469,11.247
2026-02-26T04:20:00+00:00,292.141,5.701,1.426,-5.41,11.242
2026-02-26T04:25:00+00:00,295.854,5.778,1.404,-5.469,11.25
2026-02-26T04:30:00+00:00,293.052,5.71,1.38,-5.44,11.25
2026-02-26T04:35:00+00:00,291.552,5.684,1.385,-5.452,11.25
2026-02-26T04:40:00+00:00,286.592,5.597,1.391,-5.349,11.25
2026-02-26T04:45:00+00:00,286.99,5.604,1.418,-5.364,11.25
2026-02-26T04:50:00+00:00,291.19,5.69,1.43,-5.426,11.252
2026-02-26T04:55:00+00:00,291.997,5.688,1.404,-5.44,11.25
2026-02-26T05:00:00+00:00,286.201,5.592,1.386,-5.338,11.25
