ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,221.847,1.218,-4.018,32.753
2026-02-26T00:10:00+00:00,225.948,1.215,-4.062,32.689
2026-02-26T00:15:00+00:00,226.338,1.259,-4.091,32.66
2026-02-26T00:20:00+00:00,232.598,4.029,-3.915,32.806
2026-02-26T00:25:00+00:00,232.798,4.246,-3.856,32.794
2026-02-26T00:30:00+00:00,231.433,4.222,-3.886,32.838
2026-02-26T00:35:00+00:00,239.09,4.184,-4.029,32.757
2026-02-26T00:40:00+00:00,243.356,4.196,-4.106,32.732
2026-02-26T00:45:00+00:00,244.05,4.234,-4.185,33.278
2026-02-26T00:50:00+00:00,244.047,4.245,-4.183,33.283
2026-02-26T00:55:00+00:00,243.087,4.27,-4.173,33.288
2026-02-26T01:00:00+00:00,241.091,4.326,-4.147,33.348
2026-02-26T01:05:00+00:00,243.992,4.337,-4.184,33.379
2026-02-26T01:10:00+00:00,243.676,4.295,-4.183,33.404
2026-02-26T01:15:00+00:00,241.585,4.297,-4.141,33.448
2026-02-26T01:20:00+00:00,240.516,4.309,-4.121,33.492
2026-02-26T01:25:00+00:00,237.52,4.396,-4.045,33.525
2026-02-26T01:30:00+00:00,232.55,2.994,-4.125,33.433
2026-02-26T01:35:00+00:00,229.852,1.15,-4.279,33.344
2026-02-26T01:40:00+00:00,228.552,1.152,-4.194,33.338
2026-02-26T01:45:00+00:00,227.881,1.163,-4.186,33.328
2026-02-26T01:50:00+00:00,225.152,1.143,-4.153,33.382
2026-02-26T01:55:00+00:00,223.358,1.164,-4.16,33.444
2026-02-26T02:00:00+00:00,223.365,1.171,-4.051,33.076
2026-02-26T02:05:00+00:00,227.517,1.145,-4.11,32.718
2026-02-26T02:10:00+00:00,226.006,1.152,-4.081,32.722
2026-02-26T02:15:00+00:00,225.106,1.143,-4.062,32.699
2026-02-26T02:20:00+00:00,225.02,1.097,-4.054,32.729
2026-02-26T02:25:00+00:00,224.888,1.121,-4.029,32.739
2026-02-26T02:30:00+00:00,222.827,1.156,-4.022,32.783
2026-02-26T02:35:00+00:00,222.841,1.161,-4.035,32.867
2026-02-26T02:40:00+00:00,222.934,1.147,-4.034,32.884
2026-02-26T02:45:00+00:00,222.96,1.148,-4.027,32.932
2026-02-26T02:50:00+00:00,221.726,1.159,-4.021,32.967
2026-02-26T02:55:00+00:00,219.604,1.204,-3.958,32.992
2026-02-26T03:00:00+00:00,218.893,1.234,-3.966,32.993
2026-02-26T03:05:00+00:00,218.949,1.155,-3.968,32.931
2026-02-26T03:10:00+00:00,217.603,1.138,-3.933,32.889
2026-02-26T03:15:00+00:00,215.618,1.173,-3.929,32.92
2026-02-26T03:20:00+00:00,214.952,1.154,-3.89,32.935
2026-02-26T03:25:00+00:00,214.564,1.16,-3.883,32.984
2026-02-26T03:30:00+00:00,211.941,1.161,-3.829,32.999
2026-02-26T03:35:00+00:00,212.673,1.133,-3.823,32.892
2026-02-26T03:40:00+00:00,211.362,1.191,-3.818,32.913
2026-02-26T03:45:00+00:00,212.588,1.176,-3.831,32.961
2026-02-26T03:50:00+00:00,211.279,1.201,-3.829,33.067
2026-02-26T03:55:00+00:00,209.773,1.226,-3.796,33.068
2026-02-26T04:00:00+00:00,206.461,1.24,-3.721,33.088
2026-02-26T04:05:00+00:00,206.53,1.205,-3.722,32.906
2026-02-26T04:10:00+00:00,204.158,1.217,-3.645,32.855
2026-02-26T04:15:00+00:00,201.044,1.247,-3.558,32.843
2026-02-26T04:20:00+00:00,199.475,1.218,-3.516,32.755
2026-02-26T04:25:00+00:00,198.856,1.244,-3.528,32.866
2026-02-26T04:30:00+00:00,199.555,1.214,-3.599,32.949
2026-02-26T04:35:00+00:00,201.666,1.227,-3.618,32.985
2026-02-26T04:40:00+00:00,200.507,1.242,-3.585,33.023
2026-02-26T04:45:00+00:00,199.518,1.248,-3.6,33.033
2026-02-26T04:50:00+00:00,199.464,1.271,-3.602,33.067
2026-02-26T04:55:00+00:00,199.719,1.274,-3.563,33.067
2026-02-26T05:00:00+00:00,201.089,1.241,-3.582,33.048
2026-02-26T05:05:00+00:00,203.02,1.201,-3.607,32.861
2026-02-26T05:10:00+00:00,202.356,1.243,-3.615,32.817
2026-02-26T05:15:00+00:00,203.098,1.262,-3.623,32.816
2026-02-26T05:20:00+00:00,205.661,1.241,-3.66,32.785
2026-02-26T05:25:00+00:00,206.69,1.205,-3.679,32.696
2026-02-26T05:30:00+00:00,207.054,1.228,-3.712,32.703
2026-02-26T05:35:00+00:00,208.378,1.2,-3.744,32.698
2026-02-26T05:40:00+00:00,209.698,1.144,-3.777,32.777
2026-02-26T05:45:00+00:00,211.517,1.136,-3.788,32.716
2026-02-26T05:50:00+00:00,215.419,1.138,-3.905,32.681
2026-02-26T05:55:00+00:00,217.798,1.578,-3.894,32.655
2026-02-26T06:00:00+00:00,226.315,4.149,-3.764,32.811
2026-02-26T06:05:00+00:00,231.497,4.157,-3.889,32.944
2026-02-26T06:10:00+00:00,236.546,3.801,-4.057,33.385
2026-02-26T06:15:00+00:00,233.004,1.017,-4.36,33.43
2026-02-26T06:20:00+00:00,237.214,0.996,-4.427,33.337
2026-02-26T06:25:00+00:00,240.872,0.932,-4.484,33.267
2026-02-26T06:30:00+00:00,245.961,0.944,-4.631,33.304
2026-02-26T06:35:00+00:00,248.817,0.914,-4.677,33.258
2026-02-26T06:40:00+00:00,255.661,0.836,-4.802,33.098
2026-02-26T06:45:00+00:00,259.26,0.851,-4.898,33.198
2026-02-26T06:50:00+00:00,259.901,0.838,-4.937,33.282
2026-02-26T06:55:00+00:00,263.449,0.853,-5.025,33.278
2026-02-26T07:00:00+00:00,266.015,0.879,-5.03,33.148
2026-02-26T07:05:00+00:00,271.507,0.89,-5.099,33.11
2026-02-26T07:10:00+00:00,279.119,0.809,-5.242,32.875
