ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,226.267,1.224,-4.224,11.25
2026-02-26T00:10:00+00:00,229.981,1.218,-4.282,11.22
2026-02-26T00:15:00+00:00,230.689,1.224,-4.303,11.185
2026-02-26T00:20:00+00:00,231.443,1.226,-4.295,11.175
2026-02-26T00:25:00+00:00,231.453,1.228,-4.31,11.203
2026-02-26T00:30:00+00:00,232.118,1.226,-4.329,11.248
2026-02-26T00:35:00+00:00,244.6,1.142,-4.57,11.172
2026-02-26T00:40:00+00:00,254.35,1.126,-4.758,11.15
2026-02-26T00:45:00+00:00,260.74,1.126,-4.884,11.149
2026-02-26T00:50:00+00:00,258.87,1.154,-4.838,11.138
2026-02-26T00:55:00+00:00,256.556,1.146,-4.787,11.125
2026-02-26T01:00:00+00:00,256.01,1.15,-4.786,11.148
2026-02-26T01:05:00+00:00,259.334,1.156,-4.86,11.15
2026-02-26T01:10:00+00:00,260.316,1.16,-4.88,11.15
2026-02-26T01:15:00+00:00,257.735,1.165,-4.832,11.153
2026-02-26T01:20:00+00:00,256.237,1.164,-4.807,11.165
2026-02-26T01:25:00+00:00,252.777,1.16,-4.756,11.189
2026-02-26T01:30:00+00:00,250.94,1.171,-4.712,11.207
2026-02-26T01:35:00+00:00,251.337,1.166,-4.714,11.208
2026-02-26T01:40:00+00:00,249.225,1.181,-4.689,11.218
2026-02-26T01:45:00+00:00,247.621,1.175,-4.636,11.234
2026-02-26T01:50:00+00:00,246.756,1.199,-4.627,11.245
2026-02-26T01:55:00+00:00,244.222,1.185,-4.579,11.25
2026-02-26T02:00:00+00:00,242.15,1.172,-4.548,11.25
2026-02-26T02:05:00+00:00,242.652,1.146,-4.551,11.248
2026-02-26T02:10:00+00:00,240.252,1.159,-4.492,11.247
2026-02-26T02:15:00+00:00,240.711,1.178,-4.504,11.25
2026-02-26T02:20:00+00:00,239.642,1.197,-4.478,11.25
2026-02-26T02:25:00+00:00,238.019,1.185,-4.44,11.25
2026-02-26T02:30:00+00:00,234.415,1.169,-4.387,11.25
2026-02-26T02:35:00+00:00,232.817,1.168,-4.366,11.25
2026-02-26T02:40:00+00:00,232.55,1.179,-4.357,11.257
2026-02-26T02:45:00+00:00,230.447,1.196,-4.317,11.272
2026-02-26T02:50:00+00:00,229.032,1.205,-4.286,11.306
2026-02-26T02:55:00+00:00,228.262,1.208,-4.27,11.285
2026-02-26T03:00:00+00:00,225.86,1.234,-4.203,11.244
2026-02-26T03:05:00+00:00,223.458,1.204,-4.153,11.212
2026-02-26T03:10:00+00:00,222.211,1.182,-4.114,11.175
2026-02-26T03:15:00+00:00,220.421,1.175,-4.095,11.198
2026-02-26T03:20:00+00:00,219.996,1.188,-4.098,11.22
2026-02-26T03:25:00+00:00,219.178,1.194,-4.079,11.244
2026-02-26T03:30:00+00:00,216.233,1.195,-4.021,11.25
2026-02-26T03:35:00+00:00,215.868,1.223,-4.007,11.25
2026-02-26T03:40:00+00:00,216.234,1.208,-4.018,11.25
2026-02-26T03:45:00+00:00,214.008,1.194,-3.984,11.25
2026-02-26T03:50:00+00:00,210.671,1.238,-3.91,11.25
2026-02-26T03:55:00+00:00,209.566,1.23,-3.894,11.259
2026-02-26T04:00:00+00:00,208.059,1.216,-3.843,11.224
2026-02-26T04:05:00+00:00,206.166,1.223,-3.769,11.132
2026-02-26T04:10:00+00:00,204.897,1.218,-3.737,11.125
2026-02-26T04:15:00+00:00,203.79,1.196,-3.71,11.125
2026-02-26T04:20:00+00:00,204.165,1.216,-3.726,11.125
2026-02-26T04:25:00+00:00,203.289,1.207,-3.715,11.125
2026-02-26T04:30:00+00:00,201.975,1.216,-3.686,11.138
2026-02-26T04:35:00+00:00,202.66,1.206,-3.709,11.15
2026-02-26T04:40:00+00:00,202.94,1.216,-3.707,11.15
2026-02-26T04:45:00+00:00,203.102,1.244,-3.71,11.15
2026-02-26T04:50:00+00:00,201.902,1.244,-3.686,11.15
2026-02-26T04:55:00+00:00,200.764,1.255,-3.664,11.15
2026-02-26T05:00:00+00:00,201.919,1.255,-3.679,11.15
2026-02-26T05:05:00+00:00,203.13,1.261,-3.692,11.118
2026-02-26T05:10:00+00:00,204.871,1.262,-3.71,11.084
2026-02-26T05:15:00+00:00,205.456,1.252,-3.733,11.085
2026-02-26T05:20:00+00:00,204.516,1.274,-3.701,11.106
2026-02-26T05:25:00+00:00,203.2,1.26,-3.692,11.06
2026-02-26T05:30:00+00:00,200.592,1.269,-3.626,11.054
2026-02-26T05:35:00+00:00,198.712,1.249,-3.576,11.05
2026-02-26T05:40:00+00:00,200.506,1.245,-3.62,11.058
2026-02-26T05:45:00+00:00,199.938,1.264,-3.597,11.053
2026-02-26T05:50:00+00:00,200.172,1.258,-3.591,11.05
2026-02-26T05:55:00+00:00,202.796,1.25,-3.657,11.052
2026-02-26T06:00:00+00:00,207.946,1.255,-3.782,11.128
2026-02-26T06:05:00+00:00,214.915,1.205,-3.928,11.103
2026-02-26T06:10:00+00:00,219.888,1.171,-4.038,11.109
2026-02-26T06:15:00+00:00,221.641,1.197,-4.137,11.254
2026-02-26T06:20:00+00:00,225.992,1.212,-4.233,11.256
2026-02-26T06:25:00+00:00,226.952,1.204,-4.238,11.241
2026-02-26T06:30:00+00:00,233.633,1.2,-4.367,11.24
2026-02-26T06:35:00+00:00,237.559,1.171,-4.444,11.24
2026-02-26T06:40:00+00:00,241.529,1.169,-4.515,11.19
2026-02-26T06:45:00+00:00,243.527,1.196,-4.587,11.27
2026-02-26T06:50:00+00:00,242.95,1.216,-4.565,11.295
2026-02-26T06:55:00+00:00,246.832,1.223,-4.644,11.276
2026-02-26T07:00:00+00:00,250.267,1.198,-4.706,11.25
2026-02-26T07:05:00+00:00,254.981,1.172,-4.787,11.244
2026-02-26T07:10:00+00:00,256.018,1.161,-4.79,11.17
