ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,318.154,-0.393,-6.133,11.2
2026-02-26T00:10:00+00:00,321.88,-0.384,-6.196,11.199
2026-02-26T00:15:00+00:00,321.364,-0.378,-6.184,11.183
2026-02-26T00:20:00+00:00,318.196,-0.386,-6.104,11.176
2026-02-26T00:25:00+00:00,316.97,-0.38,-6.088,11.198
2026-02-26T00:30:00+00:00,316.464,-0.404,-6.1,11.2
2026-02-26T00:35:00+00:00,316.679,-0.482,-6.078,11.154
2026-02-26T00:40:00+00:00,316.898,-0.437,-6.06,11.1
2026-02-26T00:45:00+00:00,315.756,-0.395,-6.027,11.1
2026-02-26T00:50:00+00:00,317.0,-0.392,-6.052,11.1
2026-02-26T00:55:00+00:00,313.864,-0.35,-5.997,11.1
2026-02-26T01:00:00+00:00,312.908,-0.359,-5.999,11.136
2026-02-26T01:05:00+00:00,310.998,-0.343,-5.964,11.158
2026-02-26T01:10:00+00:00,306.305,-0.292,-5.877,11.175
2026-02-26T01:15:00+00:00,306.872,-0.305,-5.887,11.18
2026-02-26T01:20:00+00:00,306.436,-0.338,-5.88,11.196
2026-02-26T01:25:00+00:00,304.14,-0.329,-5.851,11.2
2026-02-26T01:30:00+00:00,301.22,-0.328,-5.794,11.2
2026-02-26T01:35:00+00:00,302.418,-0.378,-5.82,11.2
2026-02-26T01:40:00+00:00,300.217,-0.361,-5.781,11.2
2026-02-26T01:45:00+00:00,298.968,-0.344,-5.763,11.2
2026-02-26T01:50:00+00:00,297.254,-0.364,-5.738,11.2
2026-02-26T01:55:00+00:00,294.395,-0.356,-5.684,11.212
2026-02-26T02:00:00+00:00,292.566,-0.357,-5.661,11.28
2026-02-26T02:05:00+00:00,294.626,-0.34,-5.694,11.207
2026-02-26T02:10:00+00:00,294.887,-0.334,-5.7,11.216
2026-02-26T02:15:00+00:00,295.194,-0.354,-5.696,11.251
2026-02-26T02:20:00+00:00,294.972,-0.343,-5.708,11.236
2026-02-26T02:25:00+00:00,291.663,-0.346,-5.651,11.274
2026-02-26T02:30:00+00:00,296.445,-0.402,-5.73,11.245
2026-02-26T02:35:00+00:00,295.515,-0.395,-5.728,11.273
2026-02-26T02:40:00+00:00,293.996,-0.336,-5.707,11.298
2026-02-26T02:45:00+00:00,292.548,-0.338,-5.667,11.3
2026-02-26T02:50:00+00:00,292.81,-0.351,-5.686,11.3
2026-02-26T02:55:00+00:00,288.783,-0.337,-5.616,11.3
2026-02-26T03:00:00+00:00,290.332,-0.34,-5.66,11.3
2026-02-26T03:05:00+00:00,290.148,-0.379,-5.635,11.299
2026-02-26T03:10:00+00:00,289.124,-0.416,-5.599,11.288
2026-02-26T03:15:00+00:00,287.717,-0.412,-5.587,11.298
2026-02-26T03:20:00+00:00,285.687,-0.379,-5.54,11.3
2026-02-26T03:25:00+00:00,288.088,-0.369,-5.597,11.3
2026-02-26T03:30:00+00:00,287.293,-0.393,-5.586,11.3
2026-02-26T03:35:00+00:00,286.553,-0.427,-5.566,11.3
