ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,339.678,0.64,-5.689,11.3
2026-02-26T00:10:00+00:00,338.073,0.688,-5.656,11.252
2026-02-26T00:15:00+00:00,337.943,0.712,-5.636,11.208
2026-02-26T00:20:00+00:00,335.928,0.7,-5.586,11.207
2026-02-26T00:25:00+00:00,329.205,0.705,-5.435,11.252
2026-02-26T00:30:00+00:00,325.689,0.7,-5.402,11.296
2026-02-26T00:35:00+00:00,338.139,0.68,-5.505,11.21
2026-02-26T00:40:00+00:00,353.665,0.671,-5.714,11.2
2026-02-26T00:45:00+00:00,355.072,0.582,-5.698,11.2
2026-02-26T00:50:00+00:00,354.491,0.503,-5.67,11.2
2026-02-26T00:55:00+00:00,357.481,0.673,-5.73,11.2
2026-02-26T01:00:00+00:00,350.399,0.681,-5.595,11.2
2026-02-26T01:05:00+00:00,350.542,0.687,-5.612,11.2
2026-02-26T01:10:00+00:00,348.167,0.673,-5.61,11.2
2026-02-26T01:15:00+00:00,351.88,0.69,-5.706,11.211
2026-02-26T01:20:00+00:00,348.971,0.64,-5.691,11.235
2026-02-26T01:25:00+00:00,345.854,0.685,-5.674,11.292
2026-02-26T01:30:00+00:00,342.634,0.669,-5.646,11.294
2026-02-26T01:35:00+00:00,341.6,0.668,-5.595,11.296
2026-02-26T01:40:00+00:00,337.951,0.682,-5.492,11.3
2026-02-26T01:45:00+00:00,333.235,0.676,-5.366,11.3
2026-02-26T01:50:00+00:00,337.477,0.636,-5.556,11.3
2026-02-26T01:55:00+00:00,337.353,0.665,-5.601,11.3
2026-02-26T02:00:00+00:00,333.188,0.606,-5.549,11.323
2026-02-26T02:05:00+00:00,336.61,0.537,-5.566,11.3
2026-02-26T02:10:00+00:00,339.551,0.447,-5.659,11.26
2026-02-26T02:15:00+00:00,337.678,0.462,-5.624,11.2
2026-02-26T02:20:00+00:00,335.084,0.436,-5.574,11.2
2026-02-26T02:25:00+00:00,332.307,0.488,-5.546,11.2
2026-02-26T02:30:00+00:00,329.838,0.474,-5.496,11.203
2026-02-26T02:35:00+00:00,328.224,0.56,-5.456,11.224
2026-02-26T02:40:00+00:00,324.457,0.55,-5.359,11.25
2026-02-26T02:45:00+00:00,326.654,0.559,-5.446,11.25
2026-02-26T02:50:00+00:00,324.125,0.505,-5.406,11.276
2026-02-26T02:55:00+00:00,321.842,0.53,-5.366,11.272
2026-02-26T03:00:00+00:00,319.935,0.549,-5.378,11.3
2026-02-26T03:05:00+00:00,318.709,0.558,-5.337,11.278
2026-02-26T03:10:00+00:00,316.56,0.556,-5.302,11.24
2026-02-26T03:15:00+00:00,316.504,0.552,-5.313,11.27
2026-02-26T03:20:00+00:00,317.037,0.595,-5.324,11.28
2026-02-26T03:25:00+00:00,312.638,0.613,-5.276,11.3
2026-02-26T03:30:00+00:00,308.542,0.652,-5.186,11.3
2026-02-26T03:35:00+00:00,310.191,0.61,-5.267,11.3
2026-02-26T03:40:00+00:00,307.487,0.638,-5.167,11.3
