ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,573.075,-0.834,-10.841,11.2
2026-02-26T00:10:00+00:00,565.315,-0.729,-10.631,11.2
2026-02-26T00:15:00+00:00,573.628,-0.764,-10.757,11.19
2026-02-26T00:20:00+00:00,567.051,-0.747,-10.701,11.196
2026-02-26T00:25:00+00:00,567.657,-0.752,-10.683,11.193
2026-02-26T00:30:00+00:00,567.093,-0.879,-10.716,11.21
2026-02-26T00:35:00+00:00,536.019,-0.883,-10.03,11.177
2026-02-26T00:40:00+00:00,544.222,-0.989,-10.165,11.158
2026-02-26T00:45:00+00:00,554.252,-1.249,-10.342,11.166
2026-02-26T00:50:00+00:00,558.999,-1.249,-10.381,11.139
2026-02-26T00:55:00+00:00,561.234,-1.295,-10.382,11.138
2026-02-26T01:00:00+00:00,565.78,-1.354,-10.49,11.177
2026-02-26T01:05:00+00:00,597.831,-1.387,-11.112,11.168
2026-02-26T01:10:00+00:00,606.861,-1.432,-11.267,11.165
2026-02-26T01:15:00+00:00,607.169,-1.451,-11.307,11.176
2026-02-26T01:20:00+00:00,588.887,-1.367,-10.97,11.218
2026-02-26T01:25:00+00:00,592.726,-1.397,-11.059,11.216
2026-02-26T01:30:00+00:00,603.75,-1.674,-11.125,11.189
2026-02-26T01:35:00+00:00,608.476,-1.942,-11.039,11.162
2026-02-26T01:40:00+00:00,620.848,-2.072,-11.334,11.208
2026-02-26T01:45:00+00:00,627.933,-2.176,-11.384,11.231
2026-02-26T01:50:00+00:00,613.941,-2.154,-11.198,11.259
2026-02-26T01:55:00+00:00,612.829,-2.158,-11.116,11.264
2026-02-26T02:00:00+00:00,608.691,-2.15,-11.107,11.277
2026-02-26T02:05:00+00:00,615.657,-2.153,-11.196,11.256
2026-02-26T02:10:00+00:00,620.448,-2.176,-11.271,11.248
2026-02-26T02:15:00+00:00,606.585,-2.154,-11.059,11.264
2026-02-26T02:20:00+00:00,605.225,-2.133,-11.004,11.264
2026-02-26T02:25:00+00:00,599.186,-2.135,-10.903,11.283
2026-02-26T02:30:00+00:00,566.937,-1.725,-10.461,11.298
2026-02-26T02:35:00+00:00,546.629,-1.309,-10.193,11.323
2026-02-26T02:40:00+00:00,553.211,-1.318,-10.344,11.312
2026-02-26T02:45:00+00:00,553.359,-1.327,-10.34,11.274
2026-02-26T02:50:00+00:00,552.092,-1.333,-10.324,11.298
2026-02-26T02:55:00+00:00,547.972,-1.323,-10.249,11.3
2026-02-26T03:00:00+00:00,547.636,-1.312,-10.227,11.3
2026-02-26T03:05:00+00:00,544.58,-1.321,-10.164,11.292
2026-02-26T03:10:00+00:00,549.701,-1.375,-10.215,11.265
2026-02-26T03:15:00+00:00,535.481,-1.264,-9.983,11.277
2026-02-26T03:20:00+00:00,520.292,-0.98,-9.815,11.31
2026-02-26T03:25:00+00:00,505.919,-0.714,-9.585,11.3
2026-02-26T03:30:00+00:00,506.633,-0.737,-9.609,11.3
2026-02-26T03:35:00+00:00,504.656,-0.739,-9.567,11.3
2026-02-26T03:40:00+00:00,505.34,-0.735,-9.59,11.3
2026-02-26T03:45:00+00:00,501.417,-0.732,-9.521,11.3
2026-02-26T03:50:00+00:00,496.011,-0.71,-9.419,11.309
2026-02-26T03:55:00+00:00,493.396,-0.714,-9.339,11.272
2026-02-26T04:00:00+00:00,494.99,-0.751,-9.38,11.268
2026-02-26T04:05:00+00:00,502.702,-0.811,-9.43,11.187
2026-02-26T04:10:00+00:00,520.375,-0.882,-9.75,11.165
2026-02-26T04:15:00+00:00,524.488,-0.908,-9.819,11.156
2026-02-26T04:20:00+00:00,523.038,-0.892,-9.789,11.159
2026-02-26T04:25:00+00:00,526.433,-0.908,-9.841,11.159
2026-02-26T04:30:00+00:00,538.395,-0.941,-10.044,11.155
2026-02-26T04:35:00+00:00,531.761,-0.934,-9.961,11.229
2026-02-26T04:40:00+00:00,542.214,-0.97,-10.166,11.232
2026-02-26T04:45:00+00:00,550.998,-0.983,-10.34,11.233
2026-02-26T04:50:00+00:00,540.713,-0.943,-10.155,11.235
2026-02-26T04:55:00+00:00,544.908,-0.975,-10.204,11.233
2026-02-26T05:00:00+00:00,540.83,-0.98,-10.142,11.231
2026-02-26T05:05:00+00:00,534.206,-0.866,-9.998,11.163
2026-02-26T05:10:00+00:00,552.595,-0.955,-10.298,11.136
2026-02-26T05:15:00+00:00,539.146,-0.908,-10.062,11.138
2026-02-26T05:20:00+00:00,554.029,-0.989,-10.304,11.134
2026-02-26T05:25:00+00:00,537.566,-0.77,-10.049,11.15
2026-02-26T05:30:00+00:00,520.532,-0.638,-9.783,11.165
2026-02-26T05:35:00+00:00,531.169,-0.702,-9.93,11.148
2026-02-26T05:40:00+00:00,515.588,-0.637,-9.73,11.171
2026-02-26T05:45:00+00:00,527.169,-0.65,-9.95,11.166
2026-02-26T05:50:00+00:00,515.578,-0.608,-9.71,11.159
2026-02-26T05:55:00+00:00,524.629,-0.659,-9.888,11.133
2026-02-26T06:00:00+00:00,514.245,-0.571,-9.658,11.104
2026-02-26T06:05:00+00:00,525.227,-0.584,-9.795,11.047
2026-02-26T06:10:00+00:00,534.008,-0.588,-10.01,11.065
2026-02-26T06:15:00+00:00,528.91,-0.443,-10.101,11.183
2026-02-26T06:20:00+00:00,524.536,-0.366,-10.052,11.192
2026-02-26T06:25:00+00:00,530.374,-0.384,-10.094,11.163
2026-02-26T06:30:00+00:00,522.056,-0.3,-9.967,11.177
2026-02-26T06:35:00+00:00,522.571,-0.266,-10.0,11.191
2026-02-26T06:40:00+00:00,527.185,-0.304,-10.074,11.142
2026-02-26T06:45:00+00:00,532.075,-0.323,-10.255,11.2
2026-02-26T06:50:00+00:00,534.205,-0.276,-10.317,11.219
2026-02-26T06:55:00+00:00,530.3,-0.274,-10.226,11.2
2026-02-26T07:00:00+00:00,534.559,-0.247,-10.263,11.192
2026-02-26T07:05:00+00:00,539.687,-0.243,-10.363,11.202
2026-02-26T07:10:00+00:00,557.746,-0.275,-10.634,11.122
2026-02-26T07:15:00+00:00,563.173,-0.302,-10.783,11.106
2026-02-26T07:20:00+00:00,568.017,-0.372,-10.897,11.142
2026-02-26T07:25:00+00:00,595.463,-0.784,-11.169,11.073
2026-02-26T07:30:00+00:00,601.531,-1.128,-11.284,11.101
2026-02-26T07:35:00+00:00,611.787,-1.119,-11.393,11.049
2026-02-26T07:40:00+00:00,618.644,-1.154,-11.552,11.085
2026-02-26T07:45:00+00:00,612.278,-1.147,-11.419,11.095
2026-02-26T07:50:00+00:00,609.01,-1.132,-11.386,11.096
2026-02-26T07:55:00+00:00,612.518,-1.094,-11.497,11.104
2026-02-26T08:00:00+00:00,619.773,-1.064,-11.617,11.071
2026-02-26T08:05:00+00:00,623.58,-1.058,-11.666,11.065
2026-02-26T08:10:00+00:00,631.712,-1.062,-11.793,11.061
2026-02-26T08:15:00+00:00,620.309,-1.095,-11.629,11.095
2026-02-26T08:20:00+00:00,616.993,-1.059,-11.549,11.071
2026-02-26T08:25:00+00:00,625.432,-1.099,-11.701,11.067
2026-02-26T08:30:00+00:00,622.226,-1.122,-11.624,11.081
2026-02-26T08:35:00+00:00,612.893,-1.079,-11.459,11.08
2026-02-26T08:40:00+00:00,612.863,-1.064,-11.432,11.067
2026-02-26T08:45:00+00:00,624.711,-1.178,-11.594,11.055
2026-02-26T08:50:00+00:00,634.678,-1.252,-11.758,11.038
2026-02-26T08:55:00+00:00,632.691,-1.157,-11.787,11.054
2026-02-26T09:00:00+00:00,650.537,-1.205,-12.079,11.033
2026-02-26T09:05:00+00:00,646.359,-1.216,-12.035,11.038
2026-02-26T09:10:00+00:00,642.049,-1.18,-11.974,11.048
2026-02-26T09:15:00+00:00,671.362,-1.258,-12.505,11.02
2026-02-26T09:20:00+00:00,668.823,-1.276,-12.522,11.072
2026-02-26T09:25:00+00:00,662.499,-1.246,-12.426,11.08
2026-02-26T09:30:00+00:00,671.883,-1.29,-12.614,11.08
2026-02-26T09:35:00+00:00,691.955,-1.357,-12.982,11.068
2026-02-26T09:40:00+00:00,678.396,-1.305,-12.707,11.08
2026-02-26T09:45:00+00:00,649.606,-0.6,-12.436,11.165
2026-02-26T09:50:00+00:00,645.368,-0.568,-12.354,11.189
2026-02-26T09:55:00+00:00,646.2,-0.561,-12.405,11.185
2026-02-26T10:00:00+00:00,649.399,-0.559,-12.5,11.186
2026-02-26T10:05:00+00:00,649.47,-0.531,-12.488,11.187
2026-02-26T10:10:00+00:00,645.365,-0.536,-12.442,11.197
2026-02-26T10:15:00+00:00,649.522,-0.551,-12.501,11.208
2026-02-26T10:20:00+00:00,664.905,-0.673,-12.733,11.193
2026-02-26T10:25:00+00:00,670.289,-0.596,-12.853,11.155
2026-02-26T10:30:00+00:00,663.25,-0.554,-12.694,11.156
2026-02-26T10:35:00+00:00,668.515,-0.614,-12.839,11.156
2026-02-26T10:40:00+00:00,677.351,-0.693,-12.975,11.129
2026-02-26T10:45:00+00:00,670.276,-0.636,-12.807,11.132
2026-02-26T10:50:00+00:00,673.002,-0.664,-12.865,11.126
2026-02-26T10:55:00+00:00,672.422,-0.721,-12.841,11.116
2026-02-26T11:00:00+00:00,679.969,-0.719,-12.97,11.124
2026-02-26T11:05:00+00:00,680.063,-0.684,-13.004,11.141
2026-02-26T11:10:00+00:00,692.544,-0.788,-13.245,11.135
2026-02-26T11:15:00+00:00,677.031,-0.7,-12.924,11.14
2026-02-26T11:20:00+00:00,682.442,-0.91,-13.026,11.191
2026-02-26T11:25:00+00:00,672.961,-0.772,-12.91,11.218
2026-02-26T11:30:00+00:00,667.277,-0.689,-12.822,11.185
2026-02-26T11:35:00+00:00,674.669,-0.671,-12.984,11.143
2026-02-26T11:40:00+00:00,668.03,-0.626,-12.861,11.186
2026-02-26T11:45:00+00:00,666.634,-0.597,-12.831,11.185
2026-02-26T11:50:00+00:00,666.45,-0.543,-12.888,11.229
2026-02-26T11:55:00+00:00,663.388,-0.519,-12.823,11.245
2026-02-26T12:00:00+00:00,665.537,-0.533,-12.923,11.263
2026-02-26T12:05:00+00:00,672.724,-0.567,-13.02,11.241
2026-02-26T12:10:00+00:00,677.28,-0.729,-13.018,11.204
2026-02-26T12:15:00+00:00,673.109,-0.88,-12.847,11.159
2026-02-26T12:20:00+00:00,674.626,-1.01,-12.827,11.122
2026-02-26T12:25:00+00:00,684.992,-1.096,-12.984,11.104
2026-02-26T12:30:00+00:00,692.767,-1.1,-13.114,11.112
2026-02-26T12:35:00+00:00,694.881,-1.069,-13.091,11.073
2026-02-26T12:40:00+00:00,696.662,-1.173,-13.164,11.101
2026-02-26T12:45:00+00:00,694.583,-1.177,-13.16,11.131
2026-02-26T12:50:00+00:00,692.942,-1.242,-13.186,11.165
2026-02-26T12:55:00+00:00,691.599,-1.239,-13.19,11.19
2026-02-26T13:00:00+00:00,690.509,-1.195,-13.188,11.209
2026-02-26T13:05:00+00:00,690.215,-1.182,-13.176,11.212
2026-02-26T13:10:00+00:00,684.205,-0.931,-13.095,11.17
2026-02-26T13:15:00+00:00,682.947,-0.859,-13.103,11.198
2026-02-26T13:20:00+00:00,681.991,-0.837,-13.082,11.193
2026-02-26T13:25:00+00:00,677.716,-0.824,-12.978,11.204
2026-02-26T13:30:00+00:00,677.531,-0.805,-12.973,11.182
2026-02-26T13:35:00+00:00,673.593,-0.825,-12.934,11.225
2026-02-26T13:40:00+00:00,686.497,-1.145,-13.043,11.156
2026-02-26T13:45:00+00:00,710.199,-1.558,-13.334,11.106
2026-02-26T13:50:00+00:00,717.418,-1.576,-13.439,11.1
2026-02-26T13:55:00+00:00,714.117,-1.594,-13.437,11.109
2026-02-26T14:00:00+00:00,708.858,-1.694,-13.356,11.118
2026-02-26T14:05:00+00:00,708.944,-1.676,-13.319,11.127
2026-02-26T14:10:00+00:00,726.793,-1.986,-13.572,11.14
2026-02-26T14:15:00+00:00,734.487,-2.007,-13.643,11.118
2026-02-26T14:20:00+00:00,735.346,-1.997,-13.704,11.123
2026-02-26T14:25:00+00:00,739.75,-2.017,-13.808,11.102
2026-02-26T14:30:00+00:00,726.258,-1.943,-13.516,11.118
2026-02-26T14:35:00+00:00,730.401,-1.974,-13.544,11.072
2026-02-26T14:40:00+00:00,727.865,-1.978,-13.485,11.071
2026-02-26T14:45:00+00:00,732.867,-1.941,-13.552,11.066
2026-02-26T14:50:00+00:00,725.225,-1.966,-13.431,11.065
2026-02-26T14:55:00+00:00,740.36,-2.185,-13.746,11.108
2026-02-26T15:00:00+00:00,718.155,-2.069,-13.421,11.165
2026-02-26T15:05:00+00:00,704.221,-2.008,-13.218,11.206
2026-02-26T15:10:00+00:00,718.068,-2.121,-13.493,11.236
2026-02-26T15:15:00+00:00,726.446,-2.192,-13.734,11.238
2026-02-26T15:20:00+00:00,731.635,-2.221,-13.799,11.303
2026-02-26T15:25:00+00:00,733.673,-2.179,-13.794,11.292
2026-02-26T15:30:00+00:00,727.034,-2.179,-13.659,11.267
2026-02-26T15:35:00+00:00,723.415,-2.106,-13.672,11.268
2026-02-26T15:40:00+00:00,716.78,-1.879,-13.582,11.269
2026-02-26T15:45:00+00:00,724.106,-1.569,-13.807,11.242
2026-02-26T15:50:00+00:00,709.541,-1.277,-13.587,11.239
2026-02-26T15:55:00+00:00,667.775,-0.409,-13.011,11.273
2026-02-26T16:00:00+00:00,671.582,-0.349,-13.068,11.236
2026-02-26T16:05:00+00:00,687.76,-0.49,-13.362,11.162
2026-02-26T16:10:00+00:00,687.212,-0.517,-13.292,11.183
2026-02-26T16:15:00+00:00,705.17,-0.647,-13.631,11.233
2026-02-26T16:20:00+00:00,714.004,-0.708,-13.774,11.224
2026-02-26T16:25:00+00:00,717.382,-0.704,-13.856,11.235
2026-02-26T16:30:00+00:00,720.059,-0.718,-13.927,11.258
2026-02-26T16:35:00+00:00,719.535,-0.684,-13.914,11.245
2026-02-26T16:40:00+00:00,722.008,-0.642,-13.953,11.238
2026-02-26T16:45:00+00:00,729.494,-0.643,-14.064,11.218
2026-02-26T16:50:00+00:00,744.12,-0.709,-14.263,11.142
2026-02-26T16:55:00+00:00,742.989,-0.676,-14.154,11.108
2026-02-26T17:00:00+00:00,744.663,-0.658,-14.306,11.128
2026-02-26T17:05:00+00:00,749.721,-0.627,-14.328,11.111
2026-02-26T17:10:00+00:00,755.383,-0.662,-14.56,11.158
2026-02-26T17:15:00+00:00,759.391,-0.638,-14.583,11.132
2026-02-26T17:20:00+00:00,769.877,-0.672,-14.737,11.113
2026-02-26T17:25:00+00:00,769.288,-0.669,-14.77,11.122
2026-02-26T17:30:00+00:00,782.244,-0.605,-15.038,11.135
2026-02-26T17:35:00+00:00,784.645,-0.602,-15.003,11.128
2026-02-26T17:40:00+00:00,794.76,-0.733,-15.172,11.124
2026-02-26T17:45:00+00:00,783.577,-0.82,-15.008,11.151
2026-02-26T17:50:00+00:00,759.391,-0.804,-14.664,11.258
2026-02-26T17:55:00+00:00,738.738,-0.597,-14.364,11.293
2026-02-26T18:00:00+00:00,744.281,-0.651,-14.487,11.315
2026-02-26T18:05:00+00:00,742.784,-0.637,-14.41,11.303
2026-02-26T18:10:00+00:00,753.124,-0.832,-14.482,11.25
2026-02-26T18:15:00+00:00,758.365,-0.939,-14.557,11.232
2026-02-26T18:20:00+00:00,762.467,-0.938,-14.581,11.202
2026-02-26T18:25:00+00:00,753.74,-0.795,-14.492,11.221
