ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,232.443,4.441,0.689,-4.377,11.05
2026-02-26T00:10:00+00:00,232.393,4.43,0.679,-4.37,11.012
2026-02-26T00:15:00+00:00,232.205,4.419,0.67,-4.363,11.006
2026-02-26T00:20:00+00:00,231.623,4.445,0.643,-4.396,11.074
2026-02-26T00:25:00+00:00,232.552,4.483,0.662,-4.414,11.126
2026-02-26T00:30:00+00:00,228.268,4.438,0.654,-4.36,11.204
2026-02-26T00:35:00+00:00,233.916,4.509,0.646,-4.46,11.161
2026-02-26T00:40:00+00:00,237.393,4.576,0.648,-4.529,11.142
2026-02-26T00:45:00+00:00,237.721,4.657,0.639,-4.617,11.343
2026-02-26T00:50:00+00:00,236.762,4.619,0.638,-4.596,11.33
2026-02-26T00:55:00+00:00,236.881,4.622,0.654,-4.593,11.31
2026-02-26T01:00:00+00:00,235.564,4.616,0.66,-4.576,11.345
2026-02-26T01:05:00+00:00,235.319,4.62,0.653,-4.569,11.349
2026-02-26T01:10:00+00:00,234.914,4.61,0.66,-4.555,11.35
2026-02-26T01:15:00+00:00,233.461,4.591,0.65,-4.539,11.37
2026-02-26T01:20:00+00:00,233.299,4.599,0.65,-4.536,11.386
2026-02-26T01:25:00+00:00,233.185,4.592,0.673,-4.512,11.338
2026-02-26T01:30:00+00:00,231.219,4.545,0.676,-4.472,11.339
2026-02-26T01:35:00+00:00,230.202,4.523,0.672,-4.457,11.33
2026-02-26T01:40:00+00:00,229.707,4.508,0.678,-4.442,11.329
2026-02-26T01:45:00+00:00,228.613,4.49,0.677,-4.408,11.344
2026-02-26T01:50:00+00:00,228.036,4.479,0.686,-4.407,11.35
2026-02-26T01:55:00+00:00,226.06,4.446,0.687,-4.379,11.35
2026-02-26T02:00:00+00:00,226.236,4.389,0.694,-4.318,11.198
2026-02-26T02:05:00+00:00,225.259,4.346,0.684,-4.287,11.128
2026-02-26T02:10:00+00:00,222.478,4.298,0.686,-4.257,11.15
2026-02-26T02:15:00+00:00,223.928,4.329,0.686,-4.269,11.15
2026-02-26T02:20:00+00:00,223.579,4.318,0.684,-4.266,11.15
2026-02-26T02:25:00+00:00,222.646,4.304,0.688,-4.26,11.15
2026-02-26T02:30:00+00:00,221.918,4.29,0.688,-4.244,11.15
2026-02-26T02:35:00+00:00,222.954,4.303,0.684,-4.26,11.15
2026-02-26T02:40:00+00:00,221.691,4.284,0.69,-4.247,11.15
2026-02-26T02:45:00+00:00,220.1,4.242,0.691,-4.227,11.159
2026-02-26T02:50:00+00:00,219.832,4.26,0.686,-4.222,11.196
2026-02-26T02:55:00+00:00,217.981,4.224,0.684,-4.196,11.2
2026-02-26T03:00:00+00:00,217.724,4.214,0.687,-4.194,11.204
2026-02-26T03:05:00+00:00,217.054,4.199,0.679,-4.168,11.184
2026-02-26T03:10:00+00:00,216.347,4.164,0.657,-4.148,11.15
2026-02-26T03:15:00+00:00,215.596,4.152,0.666,-4.122,11.153
2026-02-26T03:20:00+00:00,214.946,4.159,0.688,-4.101,11.18
2026-02-26T03:25:00+00:00,213.459,4.143,0.686,-4.075,11.198
2026-02-26T03:30:00+00:00,215.901,4.186,0.684,-4.126,11.205
2026-02-26T03:35:00+00:00,216.425,4.194,0.679,-4.105,11.204
2026-02-26T03:40:00+00:00,215.916,4.192,0.675,-4.102,11.214
2026-02-26T03:45:00+00:00,215.331,4.188,0.665,-4.118,11.228
2026-02-26T03:50:00+00:00,214.362,4.178,0.658,-4.126,11.246
2026-02-26T03:55:00+00:00,213.658,4.183,0.677,-4.107,11.25
2026-02-26T04:00:00+00:00,213.688,4.168,0.674,-4.116,11.248
2026-02-26T04:05:00+00:00,214.376,4.136,0.688,-4.103,11.159
2026-02-26T04:10:00+00:00,215.131,4.148,0.666,-4.113,11.15
2026-02-26T04:15:00+00:00,214.88,4.142,0.669,-4.085,11.15
2026-02-26T04:20:00+00:00,217.077,4.168,0.66,-4.1,11.15
2026-02-26T04:25:00+00:00,216.89,4.181,0.659,-4.121,11.15
2026-02-26T04:30:00+00:00,215.674,4.155,0.663,-4.126,11.163
2026-02-26T04:35:00+00:00,217.602,4.209,0.662,-4.166,11.186
2026-02-26T04:40:00+00:00,218.91,4.237,0.664,-4.186,11.199
2026-02-26T04:45:00+00:00,218.822,4.236,0.663,-4.19,11.203
2026-02-26T04:50:00+00:00,220.074,4.268,0.666,-4.224,11.217
2026-02-26T04:55:00+00:00,220.14,4.268,0.664,-4.236,11.213
2026-02-26T05:00:00+00:00,220.826,4.285,0.656,-4.255,11.211
2026-02-26T05:05:00+00:00,225.44,4.346,0.637,-4.323,11.155
2026-02-26T05:10:00+00:00,229.005,4.422,0.63,-4.377,11.15
2026-02-26T05:15:00+00:00,230.956,4.452,0.627,-4.418,11.15
2026-02-26T05:20:00+00:00,232.803,4.499,0.636,-4.442,11.15
2026-02-26T05:25:00+00:00,232.518,4.486,0.606,-4.439,11.138
2026-02-26T05:30:00+00:00,235.354,4.532,0.626,-4.478,11.099
2026-02-26T05:35:00+00:00,237.947,4.572,0.608,-4.538,11.075
2026-02-26T05:40:00+00:00,239.934,4.645,0.586,-4.603,11.14
2026-02-26T05:45:00+00:00,241.706,4.671,0.564,-4.606,11.14
2026-02-26T05:50:00+00:00,244.778,4.702,0.568,-4.664,11.083
2026-02-26T05:55:00+00:00,248.508,4.758,0.568,-4.736,11.067
2026-02-26T06:00:00+00:00,248.466,4.748,0.538,-4.737,11.05
2026-02-26T06:05:00+00:00,261.733,5.053,0.377,-5.052,11.162
2026-02-26T06:10:00+00:00,269.088,5.266,0.31,-5.253,11.323
2026-02-26T06:15:00+00:00,271.897,5.304,0.332,-5.299,11.269
2026-02-26T06:20:00+00:00,274.575,5.322,0.325,-5.312,11.201
2026-02-26T06:25:00+00:00,279.93,5.433,0.3,-5.429,11.185
2026-02-26T06:30:00+00:00,278.534,5.39,0.259,-5.401,11.163
2026-02-26T06:35:00+00:00,281.58,5.42,0.196,-5.456,11.12
2026-02-26T06:40:00+00:00,288.837,5.562,0.209,-5.571,11.105
2026-02-26T06:45:00+00:00,293.976,5.7,0.067,-5.674,11.181
2026-02-26T06:50:00+00:00,297.834,5.764,0.117,-5.736,11.188
2026-02-26T06:55:00+00:00,298.564,5.742,0.108,-5.765,11.116
2026-02-26T07:00:00+00:00,303.044,5.823,0.099,-5.804,11.1
2026-02-26T07:05:00+00:00,314.042,6.028,0.086,-6.019,11.092
