ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,300.028,0.429,-5.756,11.25
2026-02-26T00:10:00+00:00,305.282,0.459,-5.844,11.244
2026-02-26T00:15:00+00:00,309.401,0.498,-5.909,11.203
2026-02-26T00:20:00+00:00,310.94,0.467,-5.948,11.192
2026-02-26T00:25:00+00:00,305.412,0.493,-5.831,11.238
2026-02-26T00:30:00+00:00,301.696,0.478,-5.777,11.25
2026-02-26T00:35:00+00:00,309.995,0.44,-5.931,11.18
2026-02-26T00:40:00+00:00,314.025,0.41,-5.992,11.192
2026-02-26T00:45:00+00:00,313.006,0.414,-5.987,11.25
2026-02-26T00:50:00+00:00,315.213,0.429,-6.017,11.234
2026-02-26T00:55:00+00:00,314.481,0.468,-5.994,11.23
2026-02-26T01:00:00+00:00,314.521,0.459,-6.009,11.25
2026-02-26T01:05:00+00:00,315.338,0.464,-6.039,11.25
2026-02-26T01:10:00+00:00,313.18,0.496,-6.008,11.25
2026-02-26T01:15:00+00:00,313.46,0.478,-6.013,11.254
2026-02-26T01:20:00+00:00,309.74,0.47,-5.951,11.284
2026-02-26T01:25:00+00:00,310.798,0.472,-5.98,11.313
2026-02-26T01:30:00+00:00,307.33,0.476,-5.914,11.324
2026-02-26T01:35:00+00:00,304.302,0.478,-5.866,11.35
2026-02-26T01:40:00+00:00,303.538,0.458,-5.848,11.349
2026-02-26T01:45:00+00:00,303.153,0.454,-5.84,11.35
2026-02-26T01:50:00+00:00,298.595,0.452,-5.768,11.35
2026-02-26T01:55:00+00:00,293.99,0.454,-5.674,11.35
2026-02-26T02:00:00+00:00,290.608,0.482,-5.594,11.294
2026-02-26T02:05:00+00:00,290.454,0.487,-5.56,11.25
2026-02-26T02:10:00+00:00,292.821,0.486,-5.614,11.25
2026-02-26T02:15:00+00:00,294.798,0.496,-5.662,11.25
2026-02-26T02:20:00+00:00,291.215,0.501,-5.576,11.25
2026-02-26T02:25:00+00:00,290.972,0.466,-5.586,11.25
2026-02-26T02:30:00+00:00,290.908,0.476,-5.581,11.25
2026-02-26T02:35:00+00:00,286.896,0.478,-5.512,11.25
2026-02-26T02:40:00+00:00,285.499,0.48,-5.498,11.27
2026-02-26T02:45:00+00:00,280.868,0.474,-5.403,11.297
2026-02-26T02:50:00+00:00,280.226,0.475,-5.399,11.343
2026-02-26T02:55:00+00:00,278.56,0.495,-5.365,11.318
2026-02-26T03:00:00+00:00,279.374,0.514,-5.333,11.25
2026-02-26T03:05:00+00:00,279.728,0.478,-5.346,11.24
2026-02-26T03:10:00+00:00,283.342,0.454,-5.39,11.2
2026-02-26T03:15:00+00:00,279.186,0.445,-5.332,11.224
2026-02-26T03:20:00+00:00,277.522,0.474,-5.3,11.24
2026-02-26T03:25:00+00:00,277.371,0.463,-5.301,11.25
2026-02-26T03:30:00+00:00,274.522,0.459,-5.249,11.25
2026-02-26T03:35:00+00:00,277.517,0.461,-5.308,11.25
2026-02-26T03:40:00+00:00,274.242,0.464,-5.252,11.25
2026-02-26T03:45:00+00:00,270.541,0.462,-5.174,11.25
2026-02-26T03:50:00+00:00,270.714,0.498,-5.162,11.26
2026-02-26T03:55:00+00:00,269.47,0.473,-5.156,11.262
2026-02-26T04:00:00+00:00,269.002,0.458,-5.142,11.266
2026-02-26T04:05:00+00:00,267.414,0.435,-5.093,11.242
2026-02-26T04:10:00+00:00,263.194,0.471,-5.001,11.225
2026-02-26T04:15:00+00:00,264.75,0.483,-5.017,11.224
2026-02-26T04:20:00+00:00,264.788,0.493,-5.018,11.215
2026-02-26T04:25:00+00:00,265.756,0.466,-5.046,11.226
2026-02-26T04:30:00+00:00,264.066,0.468,-5.01,11.24
2026-02-26T04:35:00+00:00,266.224,0.452,-5.074,11.246
2026-02-26T04:40:00+00:00,267.588,0.469,-5.092,11.25
2026-02-26T04:45:00+00:00,267.376,0.444,-5.076,11.25
2026-02-26T04:50:00+00:00,271.272,0.453,-5.174,11.25
2026-02-26T04:55:00+00:00,269.159,0.466,-5.126,11.25
2026-02-26T05:00:00+00:00,269.042,0.484,-5.116,11.248
2026-02-26T05:05:00+00:00,270.908,0.467,-5.126,11.194
2026-02-26T05:10:00+00:00,270.704,0.468,-5.11,11.17
2026-02-26T05:15:00+00:00,272.25,0.488,-5.138,11.173
2026-02-26T05:20:00+00:00,275.562,0.437,-5.214,11.17
2026-02-26T05:25:00+00:00,275.238,0.448,-5.194,11.15
2026-02-26T05:30:00+00:00,280.458,0.414,-5.287,11.148
2026-02-26T05:35:00+00:00,288.548,0.382,-5.46,11.16
2026-02-26T05:40:00+00:00,282.484,0.408,-5.398,11.25
2026-02-26T05:45:00+00:00,285.779,0.396,-5.455,11.25
2026-02-26T05:50:00+00:00,293.422,0.386,-5.597,11.233
2026-02-26T05:55:00+00:00,299.115,0.355,-5.698,11.18
2026-02-26T06:00:00+00:00,305.006,0.324,-5.81,11.166
2026-02-26T06:05:00+00:00,318.764,0.318,-6.052,11.174
2026-02-26T06:10:00+00:00,330.102,0.187,-6.304,11.216
2026-02-26T06:15:00+00:00,335.264,0.077,-6.417,11.266
2026-02-26T06:20:00+00:00,338.527,0.119,-6.466,11.221
2026-02-26T06:25:00+00:00,343.248,0.115,-6.537,11.197
2026-02-26T06:30:00+00:00,350.002,0.059,-6.66,11.197
2026-02-26T06:35:00+00:00,357.125,0.052,-6.781,11.182
2026-02-26T06:40:00+00:00,366.535,0.014,-6.944,11.145
2026-02-26T06:45:00+00:00,375.78,0.018,-7.169,11.2
2026-02-26T06:50:00+00:00,372.631,0.044,-7.114,11.2
2026-02-26T06:55:00+00:00,378.508,0.047,-7.204,11.2
2026-02-26T07:00:00+00:00,388.574,-0.015,-7.388,11.157
2026-02-26T07:05:00+00:00,392.394,-0.039,-7.454,11.131
2026-02-26T07:10:00+00:00,410.467,-0.169,-7.856,11.22
2026-02-26T07:15:00+00:00,413.99,-0.224,-7.918,11.201
2026-02-26T07:20:00+00:00,416.792,-0.248,-7.994,11.25
2026-02-26T07:25:00+00:00,421.482,-0.262,-8.073,11.238
2026-02-26T07:30:00+00:00,427.356,-0.26,-8.146,11.172
2026-02-26T07:35:00+00:00,437.262,-0.249,-8.314,11.15
2026-02-26T07:40:00+00:00,437.783,-0.362,-8.324,11.15
