Timestamp,Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-04T23:10:00,1043.70,267.57,783.43,51.50,107.34,0.92,107.80
2026-03-04T23:15:00,1050.93,280.22,778.07,63.58,107.35,0.80,108.48
2026-03-04T23:20:00,1050.84,287.18,771.77,66.70,110.54,0.80,109.18
2026-03-04T23:25:00,1042.45,285.95,765.32,66.70,109.03,0.85,109.39
2026-03-04T23:30:00,1044.01,285.72,767.38,59.54,108.29,8.93,109.02
2026-03-04T23:35:00,1020.96,286.55,743.83,43.62,110.26,24.10,108.52
2026-03-04T23:40:00,1010.59,256.75,763.46,28.20,112.84,7.18,108.55
2026-03-04T23:45:00,1023.01,253.20,779.63,18.09,114.36,12.42,108.36
2026-03-04T23:50:00,974.51,238.70,746.19,2.40,114.84,13.20,108.34
2026-03-04T23:55:00,963.21,235.81,737.81,2.40,112.66,11.94,108.70
2026-03-05T00:00:00,974.33,264.73,719.33,19.22,111.48,25.89,108.30
2026-03-05T00:05:00,1011.78,277.96,742.64,31.40,109.70,29.19,107.69
2026-03-05T00:10:00,998.85,276.39,729.91,31.40,107.84,29.90,107.26
2026-03-05T00:15:00,1008.17,270.92,744.19,28.61,105.79,29.57,106.96
2026-03-05T00:20:00,991.38,265.45,733.60,23.91,105.42,29.02,107.08
2026-03-05T00:25:00,990.03,260.55,737.90,23.90,103.72,25.43,107.35
2026-03-05T00:30:00,987.38,235.70,759.36,23.90,103.80,0.90,107.14
2026-03-05T00:35:00,1004.08,244.12,767.77,23.90,103.44,8.84,108.03
2026-03-05T00:40:00,1002.10,246.93,763.32,23.90,104.32,10.66,108.03
2026-03-05T00:45:00,1002.84,231.54,779.21,15.48,106.70,1.64,107.62
2026-03-05T00:50:00,978.66,213.70,772.14,2.50,103.40,1.14,106.67
2026-03-05T00:55:00,1031.70,239.10,800.39,2.50,101.55,28.32,106.82
2026-03-05T01:00:00,973.97,211.95,769.68,2.50,96.63,5.33,107.54
2026-03-05T01:05:00,971.25,214.23,764.58,4.37,97.22,5.85,106.80
2026-03-05T01:10:00,978.98,226.08,761.00,13.20,99.68,5.86,107.35
2026-03-05T01:15:00,983.67,236.34,756.33,18.98,104.47,5.98,106.93
2026-03-05T01:20:00,985.69,231.52,763.83,19.10,99.73,5.81,106.91
2026-03-05T01:25:00,976.71,231.15,754.59,19.11,99.52,5.86,106.70
2026-03-05T01:30:00,977.21,235.52,750.52,26.21,97.25,5.81,106.25
2026-03-05T01:35:00,991.50,245.62,755.34,38.48,94.89,5.78,106.48
2026-03-05T01:40:00,965.97,235.34,740.20,32.10,90.35,5.80,107.09
2026-03-05T01:45:00,1012.70,240.20,781.66,2.40,88.17,42.29,107.37
2026-03-05T01:50:00,1018.93,245.16,782.11,2.40,88.11,47.09,107.58
2026-03-05T01:55:00,1016.43,246.85,777.32,10.75,82.30,46.22,107.70
2026-03-05T02:00:00,943.19,194.43,756.22,3.98,81.05,1.94,107.48
2026-03-05T02:05:00,920.74,191.84,735.72,2.40,80.28,1.84,107.31
2026-03-05T02:10:00,931.54,190.29,747.81,2.40,79.38,1.00,107.51
2026-03-05T02:15:00,922.87,189.81,739.51,2.41,78.53,0.93,107.95
2026-03-05T02:20:00,935.31,194.05,747.79,8.68,76.44,0.93,108.02
2026-03-05T02:25:00,941.15,202.86,745.05,18.30,75.70,0.99,107.87
2026-03-05T02:30:00,1006.23,238.73,774.14,18.48,75.61,36.62,108.02
2026-03-05T02:35:00,927.84,200.59,733.86,18.30,72.76,1.02,108.52
2026-03-05T02:40:00,924.60,197.00,733.44,20.44,68.97,1.09,106.71
2026-03-05T02:45:00,932.66,204.35,733.70,29.70,65.87,1.02,107.74
2026-03-05T02:50:00,919.02,201.47,722.53,29.70,63.23,0.89,107.64
2026-03-05T02:55:00,928.83,199.50,734.07,29.70,61.28,0.84,107.66
2026-03-05T03:00:00,924.01,201.85,727.77,29.70,62.77,1.60,107.83
2026-03-05T03:05:00,919.52,195.93,729.59,24.35,62.13,1.29,108.21
2026-03-05T03:10:00,923.18,184.04,745.37,2.97,59.81,12.84,108.46
2026-03-05T03:15:00,999.55,237.50,768.93,18.81,59.30,51.69,108.14
2026-03-05T03:20:00,1004.65,235.11,776.24,16.40,58.55,52.02,108.12
2026-03-05T03:25:00,970.63,217.99,759.52,2.40,59.53,47.64,108.41
2026-03-05T03:30:00,898.67,172.07,733.23,2.40,58.01,3.01,108.65
2026-03-05T03:35:00,899.29,208.32,697.84,2.40,59.19,38.23,108.29
2026-03-05T03:40:00,922.47,184.48,744.63,2.40,57.75,15.59,108.74
2026-03-05T03:45:00,904.45,173.60,737.24,2.40,55.77,6.80,108.66
2026-03-05T03:50:00,910.61,182.23,735.39,9.10,56.13,8.21,108.98
2026-03-05T03:55:00,951.11,224.54,734.62,56.00,55.47,3.58,109.47
2026-03-05T04:00:00,965.29,228.18,745.44,56.02,55.75,7.03,109.36
2026-03-05T04:05:00,978.01,202.62,783.83,6.35,56.35,30.77,109.29
2026-03-05T04:10:00,1004.93,211.33,801.86,2.40,56.06,43.81,109.08
2026-03-05T04:15:00,999.30,212.10,794.91,7.57,53.59,42.38,108.56
2026-03-05T04:20:00,998.51,212.74,793.64,9.40,51.64,43.01,108.71
2026-03-05T04:25:00,1006.61,205.45,808.80,4.24,50.57,41.89,108.66
2026-03-05T04:30:00,953.84,193.53,767.19,33.97,49.85,1.07,108.63
2026-03-05T04:35:00,1000.33,226.25,780.79,45.60,50.55,21.56,108.58
2026-03-05T04:40:00,992.07,207.39,791.52,26.47,49.51,22.92,108.45
2026-03-05T04:45:00,981.81,200.14,788.61,18.40,49.57,23.61,108.64
2026-03-05T04:50:00,991.84,212.81,786.16,31.02,48.10,25.47,108.22
2026-03-05T04:55:00,1015.38,244.87,777.01,63.20,48.23,25.46,108.04
2026-03-05T05:00:00,961.02,193.34,774.00,22.62,47.98,14.30,108.29
2026-03-05T05:05:00,949.26,188.53,766.98,17.00,48.51,14.44,108.58
2026-03-05T05:10:00,958.13,187.00,776.77,17.00,46.92,14.56,108.54
2026-03-05T05:15:00,957.45,182.79,779.95,17.00,45.78,12.04,107.99
2026-03-05T05:20:00,955.07,174.25,785.51,7.70,44.17,14.71,107.61
2026-03-05T05:25:00,945.84,174.93,775.63,13.03,43.57,11.06,107.48
2026-03-05T05:30:00,989.45,206.75,787.49,43.20,44.56,11.93,107.07
2026-03-05T05:35:00,979.98,196.85,787.89,33.40,43.47,13.49,106.48
2026-03-05T05:40:00,960.32,180.41,784.20,11.70,41.52,18.21,109.03
2026-03-05T05:45:00,1013.64,243.10,774.69,21.45,40.64,58.98,122.12
2026-03-05T05:50:00,1017.82,237.43,784.65,14.10,39.86,61.24,122.28
2026-03-05T05:55:00,1011.71,247.36,767.87,14.10,39.41,71.87,122.00
2026-03-05T06:00:00,1035.13,252.19,786.38,14.10,40.96,74.84,122.33
2026-03-05T06:05:00,1046.89,300.81,749.56,14.10,43.44,121.14,122.16
2026-03-05T06:10:00,1058.44,310.23,751.34,14.10,45.54,128.77,121.80
2026-03-05T06:15:00,1071.97,301.78,771.98,6.72,43.82,129.99,121.25
2026-03-05T06:20:00,1076.78,294.81,783.37,4.50,42.99,125.76,121.40
2026-03-05T06:25:00,1090.80,250.47,841.08,4.31,42.67,82.06,121.46
2026-03-05T06:30:00,1105.36,296.78,808.61,3.55,43.18,128.52,121.57
2026-03-05T06:35:00,1130.46,318.48,811.98,5.70,45.58,145.68,121.54
2026-03-05T06:40:00,1133.08,324.80,808.33,5.70,45.20,152.04,121.88
2026-03-05T06:45:00,1143.98,327.71,816.28,5.70,45.65,155.09,121.30
2026-03-05T06:50:00,1165.87,329.28,836.63,4.17,46.75,156.70,121.68
2026-03-05T06:55:00,1130.38,305.76,824.66,4.44,47.78,133.49,120.10
2026-03-05T07:00:00,1113.50,225.25,888.28,5.04,47.04,64.32,108.87
2026-03-05T07:05:00,1104.52,195.01,909.56,5.90,45.65,36.30,107.19
2026-03-05T07:10:00,1102.26,197.38,904.88,14.70,45.63,29.80,107.25
2026-03-05T07:15:00,1111.05,205.21,905.84,21.19,45.70,32.12,106.23
2026-03-05T07:20:00,1124.21,217.20,907.06,26.15,44.96,39.45,106.64
2026-03-05T07:25:00,1123.22,208.76,914.42,31.63,43.28,24.81,109.05
2026-03-05T07:30:00,1146.37,231.32,915.04,37.38,42.65,41.26,110.07
2026-03-05T07:35:00,1143.98,235.26,908.68,43.53,43.74,38.49,109.57
2026-03-05T07:40:00,1149.93,243.57,906.35,48.85,45.74,39.11,109.87
2026-03-05T07:45:00,1206.48,269.68,936.86,54.74,45.68,59.42,109.88
2026-03-05T07:50:00,1204.36,301.24,903.14,59.64,47.42,83.49,110.78
2026-03-05T07:55:00,1235.37,328.82,906.61,66.13,46.68,105.16,110.84
2026-03-05T08:00:00,1167.28,304.19,863.25,73.85,45.89,65.81,118.67
2026-03-05T08:05:00,1170.97,362.00,809.02,89.83,44.59,104.54,123.06
2026-03-05T08:10:00,1182.71,376.62,806.08,101.86,41.65,109.62,123.48
2026-03-05T08:15:00,1173.89,382.76,791.16,111.06,39.14,109.77,122.75
2026-03-05T08:20:00,1172.65,386.69,786.08,118.57,38.39,109.63,120.08
2026-03-05T08:25:00,1176.13,358.13,818.27,124.75,37.28,76.31,119.75
2026-03-05T08:30:00,1173.17,347.02,826.72,127.63,38.32,61.41,119.67
2026-03-05T08:35:00,1174.97,359.40,815.72,139.63,38.22,62.10,119.45
2026-03-05T08:40:00,1184.73,355.39,829.49,152.70,39.54,43.39,119.74
2026-03-05T08:45:00,1187.52,343.52,844.16,160.58,38.27,30.71,113.97
2026-03-05T08:50:00,1201.18,351.08,850.45,168.28,39.19,36.17,107.47
2026-03-05T08:55:00,1197.39,350.42,847.26,175.04,40.39,27.88,107.16
2026-03-05T09:00:00,1200.84,353.14,847.99,162.17,40.86,42.75,107.39
2026-03-05T09:05:00,1184.29,343.96,840.59,151.54,40.78,44.02,107.65
2026-03-05T09:10:00,1187.19,351.36,835.86,165.08,39.59,39.15,107.55
2026-03-05T09:15:00,1195.56,377.16,818.54,199.31,38.61,31.65,107.63
2026-03-05T09:20:00,1195.02,382.31,812.76,204.91,38.65,30.72,108.05
2026-03-05T09:25:00,1177.59,352.63,825.26,175.84,38.18,30.77,107.85
2026-03-05T09:30:00,1176.79,330.94,845.92,150.63,38.85,35.02,106.50
2026-03-05T09:35:00,1171.06,337.12,834.26,158.71,38.40,36.11,103.93
2026-03-05T09:40:00,1175.12,338.37,837.10,164.10,37.45,33.26,103.57
2026-03-05T09:45:00,1161.88,336.24,825.92,169.47,37.67,25.21,103.88
2026-03-05T09:50:00,1161.23,347.17,814.81,169.82,39.59,34.13,103.66
2026-03-05T09:55:00,1170.46,356.60,814.15,176.33,40.45,37.03,102.85
2026-03-05T10:00:00,1176.93,398.59,778.75,190.13,43.94,61.74,102.80
2026-03-05T10:05:00,1165.31,398.62,766.97,192.76,46.07,56.99,102.84
2026-03-05T10:10:00,1193.61,427.86,766.00,219.83,49.63,56.12,102.32
2026-03-05T10:15:00,1201.40,443.20,758.34,233.44,51.68,56.10,102.01
2026-03-05T10:20:00,1175.10,417.40,757.99,213.39,52.14,49.88,102.01
2026-03-05T10:25:00,1185.34,413.44,772.13,227.57,52.54,30.23,103.13
2026-03-05T10:30:00,1218.80,415.09,804.09,235.57,54.07,21.69,103.79
2026-03-05T10:35:00,1218.82,417.59,801.56,235.91,57.87,23.50,100.34
2026-03-05T10:40:00,1230.84,413.69,817.03,228.12,63.56,22.67,99.34
2026-03-05T10:45:00,1218.78,419.36,799.46,232.34,64.58,22.60,99.86
2026-03-05T10:50:00,1203.95,414.61,789.46,224.46,68.26,21.62,100.34
2026-03-05T10:55:00,1201.74,405.46,796.31,213.40,71.61,20.53,99.92
2026-03-05T11:00:00,1204.52,413.88,790.70,226.29,70.29,16.92,100.42
2026-03-05T11:05:00,1226.27,433.98,792.55,243.64,73.13,17.50,99.76
2026-03-05T11:10:00,1243.23,449.21,793.99,256.22,75.72,17.63,99.64
2026-03-05T11:10:00,1251.13,444.43,806.94,249.90,77.24,17.62,99.71
2026-03-05T11:15:00,1246.15,441.94,804.55,250.40,74.12,17.70,99.75
2026-03-05T11:20:00,1192.13,388.50,803.71,195.36,75.03,17.74,100.60
2026-03-05T11:25:00,1157.12,379.12,778.22,185.38,75.87,17.12,100.79
2026-03-05T11:30:00,1199.28,414.28,785.12,225.39,76.93,10.87,101.12
2026-03-05T11:35:00,1197.56,402.41,795.38,218.59,71.65,10.74,101.23
2026-03-05T11:40:00,1137.43,343.58,794.04,156.12,73.68,12.59,101.24
2026-03-05T11:45:00,1174.25,363.92,810.47,174.04,72.05,16.98,100.88
2026-03-05T11:50:00,1213.04,391.90,821.47,205.04,70.65,14.97,101.25
2026-03-05T11:55:00,1199.63,376.45,823.13,196.17,68.20,10.87,101.22
2026-03-05T12:00:00,1223.19,387.27,836.28,191.52,71.79,23.46,100.56
2026-03-05T12:05:00,1259.43,407.71,852.03,204.20,68.12,34.15,101.26
2026-03-05T12:10:00,1232.89,402.56,830.63,210.63,70.36,21.48,100.14
2026-03-05T12:15:00,1247.77,411.86,836.17,213.01,69.33,29.32,100.24
2026-03-05T12:20:00,1221.70,402.33,819.62,192.78,74.78,33.38,101.41
2026-03-05T12:25:00,1170.95,344.94,826.40,143.77,67.44,32.49,101.27
2026-03-05T12:30:00,1168.32,330.82,837.68,146.03,61.02,23.54,100.25
2026-03-05T12:35:00,1169.96,319.14,850.86,137.06,60.07,23.48,98.56
2026-03-05T12:40:00,1160.34,308.86,851.75,126.67,60.07,23.44,98.69
2026-03-05T12:45:00,1171.43,295.05,876.78,118.74,54.39,23.35,98.58
2026-03-05T12:50:00,1188.30,319.49,869.04,140.13,57.37,23.47,98.56
2026-03-05T12:55:00,1197.10,325.99,871.22,146.80,56.82,24.14,98.24
2026-03-05T13:00:00,1236.03,337.43,898.60,134.24,55.59,47.05,100.59
2026-03-05T13:05:00,1275.89,346.45,929.55,128.81,51.70,64.07,101.88
2026-03-05T13:10:00,1294.02,350.88,943.38,135.28,50.93,63.02,101.67
2026-03-05T13:15:00,1279.38,332.98,946.51,129.46,47.56,52.67,103.31
2026-03-05T13:20:00,1280.80,339.77,941.33,137.67,44.94,51.57,105.61
2026-03-05T13:25:00,1245.93,312.13,934.10,109.46,47.83,49.67,105.15
