Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:20:00,211.57,0.44,211.13,0.02,0.00,0.32,0.10
2026-03-05T05:25:00,211.78,0.49,211.29,0.01,0.00,0.38,0.10
2026-03-05T05:30:00,212,0.37,211.63,0.00,0.00,0.27,0.10
2026-03-05T05:35:00,213.03,0.41,212.62,0.01,0.00,0.30,0.10
2026-03-05T05:40:00,213.82,0.53,213.29,0.00,0.00,0.43,0.10
2026-03-05T05:45:00,213.42,4.34,209.08,0.01,0.00,4.23,0.10
2026-03-05T05:50:00,215.31,36,179.31,0.02,0.00,35.88,0.10
2026-03-05T05:55:00,217.86,36.5,181.36,0.00,0.00,36.40,0.10
2026-03-05T06:00:00,221.77,36.46,185.31,0.00,0.00,36.36,0.10
2026-03-05T06:05:00,227.23,36.47,190.76,0.00,0.00,36.37,0.10
2026-03-05T06:10:00,231.89,36.65,195.24,0.00,0.00,36.55,0.10
2026-03-05T06:15:00,235.32,36.79,198.53,0.00,0.00,36.69,0.10
2026-03-05T06:20:00,237.56,36.93,200.63,0.00,0.00,36.83,0.10
2026-03-05T06:25:00,239.08,36.93,202.15,0.02,0.00,36.81,0.10
2026-03-05T06:30:00,240.48,36.87,203.61,0.01,0.00,36.76,0.10
2026-03-05T06:35:00,243.38,36.93,206.45,0.00,0.00,36.83,0.10
2026-03-05T06:40:00,246.99,37.06,209.93,0.00,0.00,36.96,0.10
2026-03-05T06:45:00,249.62,36.98,212.64,0.00,0.00,36.88,0.10
2026-03-05T06:50:00,252.23,36.96,215.27,0.00,0.00,36.86,0.10
2026-03-05T06:55:00,255.33,36.93,218.40,0.00,0.00,36.83,0.10
2026-03-05T07:00:00,259.13,33.47,225.66,0.00,0.00,33.37,0.10
2026-03-05T07:05:00,261.39,6.05,255.34,0.04,0.00,5.91,0.10
2026-03-05T07:10:00,265.68,0.55,265.13,0.21,0.00,0.24,0.10
2026-03-05T07:15:00,267.94,0.59,267.35,0.26,0.00,0.23,0.10
2026-03-05T07:20:00,269.32,0.75,268.57,0.35,0.00,0.30,0.10
2026-03-05T07:25:00,272.8,1,271.80,0.60,0.00,0.30,0.10
2026-03-05T07:30:00,273.36,1.02,272.34,0.69,0.00,0.23,0.10
2026-03-05T07:35:00,274.56,1.55,273.01,1.15,0.00,0.30,0.10
2026-03-05T07:40:00,275.45,1.81,273.64,1.41,0.00,0.30,0.10
2026-03-05T07:45:00,274.67,2.12,272.55,1.72,0.00,0.30,0.10
2026-03-05T07:50:00,275.24,2.27,272.97,1.87,0.00,0.30,0.10
2026-03-05T07:55:00,275.26,2.57,272.69,2.20,0.00,0.27,0.10
2026-03-05T08:00:00,275.71,2.85,272.86,2.55,0.00,0.20,0.10
2026-03-05T08:05:00,278.21,2.69,275.52,2.32,0.00,0.27,0.10
2026-03-05T08:10:00,278.83,2.35,276.48,1.95,0.00,0.30,0.10
2026-03-05T08:15:00,277.97,2.32,275.65,1.93,0.00,0.29,0.10
2026-03-05T08:20:00,276.88,2.85,274.03,2.48,0.00,0.27,0.10
