Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:20:00,80.5,0,80.50,0.00,0.00,0.00,0.00
2026-03-05T05:25:00,80.98,0,80.98,0.00,0.00,0.00,0.00
2026-03-05T05:30:00,80.82,0,80.82,0.00,0.00,0.00,0.00
2026-03-05T05:35:00,81.33,0,81.33,0.00,0.00,0.00,0.00
2026-03-05T05:40:00,81.32,0,81.32,0.00,0.00,0.00,0.00
2026-03-05T05:45:00,81.47,0,81.47,0.00,0.00,0.00,0.00
2026-03-05T05:50:00,82.43,0,82.43,0.00,0.00,0.00,0.00
2026-03-05T05:55:00,83.26,0,83.26,0.00,0.00,0.00,0.00
2026-03-05T06:00:00,84.13,0,84.13,0.00,0.00,0.00,0.00
2026-03-05T06:05:00,85.61,0,85.61,0.00,0.00,0.00,0.00
2026-03-05T06:10:00,87.12,0,87.12,0.00,0.00,0.00,0.00
2026-03-05T06:15:00,89.01,0,89.01,0.00,0.00,0.00,0.00
2026-03-05T06:20:00,89.6,0,89.60,0.00,0.00,0.00,0.00
2026-03-05T06:25:00,89.88,0,89.88,0.00,0.00,0.00,0.00
2026-03-05T06:30:00,90.72,0,90.72,0.00,0.00,0.00,0.00
2026-03-05T06:35:00,92.27,0,92.27,0.00,0.00,0.00,0.00
2026-03-05T06:40:00,93.43,0,93.43,0.00,0.00,0.00,0.00
2026-03-05T06:45:00,94.25,0,94.25,0.00,0.00,0.00,0.00
2026-03-05T06:50:00,95.11,0,95.11,0.00,0.00,0.00,0.00
2026-03-05T06:55:00,95.64,0,95.64,0.00,0.00,0.00,0.00
2026-03-05T07:00:00,97.07,0,97.07,0.00,0.00,0.00,0.00
2026-03-05T07:05:00,99.54,0.03,99.51,0.03,0.00,0.00,0.00
2026-03-05T07:10:00,101.56,0.13,101.43,0.13,0.00,0.00,0.00
2026-03-05T07:15:00,102.84,0.13,102.71,0.13,0.00,0.00,0.00
2026-03-05T07:20:00,102.95,0.24,102.71,0.24,0.00,0.00,0.00
2026-03-05T07:25:00,103.11,0.27,102.84,0.27,0.00,0.00,0.00
2026-03-05T07:30:00,103.64,0.39,103.25,0.39,0.00,0.00,0.00
2026-03-05T07:35:00,103.97,0.43,103.54,0.43,0.00,0.00,0.00
2026-03-05T07:40:00,103.96,0.52,103.44,0.52,0.00,0.00,0.00
2026-03-05T07:45:00,103.39,0.63,102.76,0.63,0.00,0.00,0.00
2026-03-05T07:50:00,103.41,0.73,102.68,0.73,0.00,0.00,0.00
2026-03-05T07:55:00,103.85,0.78,103.07,0.78,0.00,0.00,0.00
2026-03-05T08:00:00,103.11,0.9,102.21,0.90,0.00,0.00,0.00
2026-03-05T08:05:00,102.74,1.01,101.73,1.01,0.00,0.00,0.00
2026-03-05T08:10:00,102.4,1.12,101.28,1.12,0.00,0.00,0.00
2026-03-05T08:15:00,99.87,1.19,98.68,1.19,0.00,0.00,0.00
2026-03-05T08:20:00,96.97,1.32,95.65,1.32,0.00,0.00,0.00
2026-03-05T08:25:00,97.19,1.42,95.77,1.42,0.00,0.00,0.00
2026-03-05T08:30:00,97.68,1.55,96.13,1.55,0.00,0.00,0.00
2026-03-05T08:35:00,97.08,1.66,95.42,1.66,0.00,0.00,0.00
2026-03-05T08:40:00,96.63,1.77,94.86,1.77,0.00,0.00,0.00
2026-03-05T08:45:00,96.08,1.87,94.21,1.87,0.00,0.00,0.00
2026-03-05T08:50:00,95.21,1.99,93.22,1.99,0.00,0.00,0.00
2026-03-05T08:55:00,94.75,2.08,92.67,2.08,0.00,0.00,0.00
2026-03-05T09:00:00,94.72,2.19,92.53,2.19,0.00,0.00,0.00
2026-03-05T09:05:00,95.3,2.3,93.00,2.30,0.00,0.00,0.00
2026-03-05T09:10:00,95.68,2.38,93.30,2.38,0.00,0.00,0.00
2026-03-05T09:15:00,95.08,2.49,92.59,2.49,0.00,0.00,0.00
2026-03-05T09:20:00,94.83,2.58,92.25,2.58,0.00,0.00,0.00
2026-03-05T09:25:00,94.49,2.71,91.78,2.71,0.00,0.00,0.00
2026-03-05T09:30:00,94.64,2.77,91.87,2.77,0.00,0.00,0.00
2026-03-05T09:35:00,93.66,2.84,90.82,2.84,0.00,0.00,0.00
2026-03-05T09:40:00,94.03,2.95,91.08,2.95,0.00,0.00,0.00
2026-03-05T09:45:00,93.63,3,90.63,3.00,0.00,0.00,0.00
2026-03-05T09:50:00,93.02,3.1,89.92,3.10,0.00,0.00,0.00
2026-03-05T09:55:00,92.63,3.14,89.49,3.14,0.00,0.00,0.00
2026-03-05T10:00:00,92.19,3.22,88.97,3.22,0.00,0.00,0.00
