Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:20:00,305.91,46.61,259.30,0.49,6.41,0.10,39.61
2026-03-05T05:25:00,302.21,46.78,255.43,0.43,5.99,0.10,40.26
2026-03-05T05:30:00,305.03,45.76,259.27,0.38,5.74,0.10,39.54
2026-03-05T05:35:00,307.39,43.91,263.48,0.48,5.53,0.10,37.80
2026-03-05T05:40:00,313.33,41.39,271.94,0.51,5.80,0.10,34.98
2026-03-05T05:45:00,310.09,42.24,267.85,0.51,5.47,0.10,36.16
2026-03-05T05:50:00,308.76,43.57,265.19,0.50,5.33,0.10,37.64
2026-03-05T05:55:00,306.37,46.62,259.75,0.47,5.91,0.10,40.14
2026-03-05T06:00:00,312.01,46.23,265.78,0.51,6.47,0.10,39.15
2026-03-05T06:05:00,310.92,47.07,263.85,0.50,6.75,0.10,39.72
2026-03-05T06:10:00,321.41,48.22,273.19,0.49,7.13,0.10,40.50
2026-03-05T06:15:00,326.85,46.59,280.26,0.49,7.31,0.10,38.69
2026-03-05T06:20:00,325.36,49.38,275.98,0.44,7.52,0.10,41.32
2026-03-05T06:25:00,335.74,46.81,288.93,0.48,7.33,0.10,38.90
2026-03-05T06:30:00,318.39,46.04,272.35,0.49,7.39,0.10,38.06
2026-03-05T06:35:00,317.85,43.86,273.99,0.39,7.59,0.10,35.78
2026-03-05T06:40:00,318.16,45.96,272.20,0.41,7.60,0.10,37.85
2026-03-05T06:45:00,316.58,46.52,270.06,0.53,7.19,0.10,38.70
2026-03-05T06:50:00,321.13,45.38,275.75,0.51,6.77,0.10,38.00
2026-03-05T06:55:00,336.91,42.37,294.54,0.47,6.87,0.10,34.93
2026-03-05T07:00:00,335.97,43.54,292.43,0.64,6.95,0.10,35.85
2026-03-05T07:05:00,340.37,44.49,295.88,0.79,7.43,0.10,36.17
2026-03-05T07:10:00,344.88,44.93,299.95,0.94,7.99,0.10,35.90
2026-03-05T07:15:00,344.64,46.44,298.20,1.12,7.92,0.10,37.30
2026-03-05T07:20:00,341.08,49.41,291.67,1.45,8.10,0.10,39.76
2026-03-05T07:25:00,338.45,49.98,288.47,1.78,8.12,0.10,39.98
2026-03-05T07:30:00,344.73,49.59,295.14,2.24,7.76,0.10,39.49
2026-03-05T07:35:00,343.81,48.97,294.84,2.62,7.98,0.10,38.27
2026-03-05T07:40:00,343.43,51.43,292.00,3.15,8.35,0.10,39.83
2026-03-05T07:45:00,343.44,51.35,292.09,3.62,8.44,0.10,39.19
2026-03-05T07:50:00,347.77,49.75,298.02,4.20,8.35,0.10,37.10
2026-03-05T07:55:00,349.01,50.47,298.54,4.76,7.68,0.10,37.93
2026-03-05T08:00:00,348.71,51.71,297.00,5.37,7.61,0.10,38.63
2026-03-05T08:05:00,350.66,51.8,298.86,5.83,6.99,0.10,38.88
2026-03-05T08:10:00,357.01,49.53,307.48,6.50,5.95,0.10,36.98
2026-03-05T08:15:00,358.75,49.42,309.33,7.37,5.45,0.10,36.50
2026-03-05T08:20:00,358.51,48,310.51,8.44,5.20,0.10,34.26
2026-03-05T08:25:00,360.15,47.83,312.32,9.41,4.90,0.10,33.42
2026-03-05T08:30:00,366.01,46.78,319.23,10.31,4.73,0.10,31.64
2026-03-05T08:35:00,365.58,48.38,317.20,11.07,4.77,0.10,32.44
2026-03-05T08:40:00,355.3,50.83,304.47,11.78,4.43,0.10,34.52
2026-03-05T08:45:00,350.58,53.35,297.23,12.58,4.07,0.10,36.60
2026-03-05T08:50:00,358.88,54.52,304.36,13.41,3.76,0.10,37.25
2026-03-05T08:55:00,373.75,53.6,320.15,14.11,3.47,0.10,35.92
2026-03-05T09:00:00,371.49,55.73,315.76,15.03,3.04,0.10,37.56
2026-03-05T09:05:00,370.49,55.24,315.25,16.23,2.45,0.10,36.46
2026-03-05T09:10:00,371.34,55.3,316.04,17.58,2.35,0.10,35.27
2026-03-05T09:15:00,370.57,56.28,314.29,18.16,2.34,0.10,35.68
2026-03-05T09:20:00,364.16,57,307.16,19.39,2.24,0.10,35.27
2026-03-05T09:25:00,362.92,57.31,305.61,20.50,2.15,0.10,34.56
2026-03-05T09:30:00,365.96,56.78,309.18,21.34,2.15,0.10,33.19
2026-03-05T09:35:00,362.75,55.87,306.88,21.95,1.96,0.10,31.86
2026-03-05T09:40:00,351.56,59.52,292.04,22.68,2.01,0.10,34.73
2026-03-05T09:45:00,343.42,62.44,280.98,23.14,1.94,0.10,37.26
2026-03-05T09:50:00,337.27,63.96,273.31,23.73,2.08,0.10,38.05
2026-03-05T09:55:00,337.06,64.42,272.64,24.39,2.14,0.10,37.79
2026-03-05T10:00:00,328.74,65.32,263.42,24.85,2.16,0.10,38.21
2026-03-05T10:05:00,301.54,65.66,235.88,25.36,1.98,0.10,38.22
2026-03-05T10:10:00,289.98,66.85,223.13,25.71,2.08,0.10,38.96
2026-03-05T10:15:00,286.56,69,217.56,26.20,1.80,0.10,40.90
2026-03-05T10:20:00,286.43,69.53,216.90,26.58,1.73,0.10,41.12
2026-03-05T10:25:00,281.12,71.85,209.27,27.09,1.68,0.10,42.98
2026-03-05T10:30:00,275.41,71.87,203.54,27.47,1.74,0.10,42.56
2026-03-05T10:35:00,282.12,71.38,210.74,27.79,1.94,0.10,41.55
2026-03-05T10:40:00,291.35,74.23,217.12,28.23,1.92,0.10,43.98
2026-03-05T10:45:00,286.79,74.96,211.83,28.59,2.07,0.10,44.20
2026-03-05T10:50:00,291.9,71.81,220.09,28.94,2.11,0.10,40.66
2026-03-05T10:55:00,285.41,73.33,212.08,29.36,1.96,0.10,41.91
2026-03-05T11:00:00,283.6,73.11,210.49,29.58,1.94,0.10,41.49
2026-03-05T11:05:00,280.57,74.65,205.92,29.92,1.97,0.10,42.66
2026-03-05T11:10:00,283.57,75.33,208.24,30.24,2.07,0.10,42.92
2026-03-05T11:15:00,278.56,77.2,201.36,30.48,2.60,0.10,44.02
2026-03-06T06:20:00,295.22,54.83,240.39,0.46,10.89,0.10,43.38
2026-03-06T06:25:00,301.59,53.5,248.09,0.48,9.72,0.10,43.20
2026-03-06T06:30:00,302.84,53.92,248.92,0.46,10.19,0.10,43.17
2026-03-06T06:35:00,308.98,52.33,256.65,0.47,10.25,0.10,41.51
2026-03-06T06:40:00,314.44,53.36,261.08,0.51,11.70,0.10,41.05
2026-03-06T06:45:00,318.35,55.52,262.83,0.49,12.94,0.10,41.99
2026-03-06T06:50:00,317.53,56.21,261.32,0.50,12.64,0.10,42.97
2026-03-06T06:55:00,320.17,56.9,263.27,0.52,11.39,0.10,44.89
2026-03-06T07:00:00,325.42,55.33,270.09,0.55,10.28,0.10,44.40
2026-03-06T07:05:00,340.05,49.84,290.21,0.52,9.38,0.10,39.84
2026-03-06T07:10:00,340.37,52.41,287.96,0.40,9.98,0.10,41.93
2026-03-06T07:15:00,345.08,51.72,293.36,0.39,9.70,0.10,41.53
2026-03-06T07:20:00,348.51,52.73,295.78,0.52,10.98,0.10,41.13
2026-03-06T07:25:00,353.23,54.36,298.87,0.53,12.12,0.10,41.61
2026-03-06T07:30:00,355.85,54.93,300.92,0.55,13.02,0.10,41.26
2026-03-06T07:35:00,352.87,55.56,297.31,0.54,14.16,0.10,40.76
2026-03-06T07:40:00,358.89,55.6,303.29,0.55,13.75,0.10,41.20
2026-03-06T07:45:00,359.04,57.19,301.85,0.71,13.03,0.10,43.35
2026-03-06T07:50:00,367.83,56.38,311.45,0.77,11.35,0.10,44.16
2026-03-06T07:55:00,374.01,56.62,317.39,0.77,11.38,0.10,44.37
2026-03-06T08:00:00,379.54,57.28,322.26,0.77,11.79,0.10,44.62
2026-03-06T08:05:00,377.8,58.27,319.53,0.85,11.02,0.10,46.30
2026-03-06T08:10:00,387.93,55.4,332.53,0.88,12.31,0.10,42.11
2026-03-06T08:15:00,387.66,55.92,331.74,0.84,13.95,0.10,41.03
2026-03-06T08:20:00,395.3,52.93,342.37,0.94,10.69,0.10,41.20
2026-03-06T08:25:00,396.45,53.36,343.09,1.05,10.18,0.10,42.03
2026-03-06T08:30:00,392.97,54.85,338.12,1.06,9.53,0.10,44.16
2026-03-06T08:35:00,387.53,56.07,331.46,1.07,9.62,0.10,45.28
2026-03-06T08:40:00,389.62,56.71,332.91,1.17,11.70,0.10,43.74
2026-03-06T08:45:00,390.9,57.34,333.56,1.26,12.93,0.10,43.05
2026-03-06T08:50:00,399.19,53.72,345.47,1.25,11.45,0.10,40.92
2026-03-06T08:55:00,397.06,53.85,343.21,1.18,10.48,0.10,42.09
2026-03-06T09:00:00,396.3,57.28,339.02,1.24,11.92,0.10,44.02
2026-03-06T09:05:00,396.82,55.13,341.69,1.38,11.10,0.10,42.55
2026-03-06T09:10:00,403.1,53.59,349.51,1.45,10.75,0.10,41.29
2026-03-06T09:15:00,409.77,52.61,357.16,1.63,10.81,0.10,40.07
2026-03-06T09:20:00,410.48,53.32,357.16,1.66,10.16,0.10,41.40
2026-03-06T09:25:00,413.5,52.76,360.74,1.64,11.04,0.10,39.98
2026-03-06T09:30:00,413.44,52.85,360.59,1.61,10.92,0.10,40.22
2026-03-06T09:35:00,407.97,51.59,356.38,1.60,9.60,0.10,40.29
2026-03-06T09:40:00,410.46,52.54,357.92,1.67,10.93,0.10,39.84
2026-03-06T09:45:00,408.51,53.42,355.09,1.78,10.46,0.10,41.08
2026-03-06T09:50:00,412.28,51.43,360.85,1.78,10.71,0.10,38.84
2026-03-06T09:55:00,413.84,50.79,363.05,1.71,9.61,0.10,39.37
2026-03-06T10:00:00,409.8,52.62,357.18,1.63,9.57,0.10,41.32
2026-03-06T10:05:00,402.72,54.66,348.06,1.73,9.67,0.10,43.16
2026-03-06T10:10:00,402.79,53.67,349.12,1.93,7.88,0.10,43.76
2026-03-06T10:15:00,405.74,52.25,353.49,1.93,7.90,0.10,42.32
2026-03-06T10:20:00,408.13,50.91,357.22,1.96,8.85,0.10,40.00
2026-03-06T10:25:00,408.24,50.99,357.25,2.26,9.88,0.10,38.75
2026-03-06T10:30:00,409.36,49.89,359.47,2.34,8.67,0.10,38.78
2026-03-06T10:35:00,397.43,53.45,343.98,2.25,9.10,0.10,42.00
2026-03-06T10:40:00,394.59,55.04,339.55,2.39,9.95,0.10,42.60
2026-03-06T10:45:00,396.88,53.37,343.51,2.33,9.49,0.10,41.45
2026-03-06T10:50:00,401.99,51.84,350.15,2.52,7.61,0.10,41.61
2026-03-06T10:55:00,404.1,52.25,351.85,2.65,6.96,0.10,42.54
2026-03-06T11:00:00,400.09,54.25,345.84,3.01,7.44,0.10,43.70
2026-03-06T11:05:00,404.11,54.09,350.02,3.37,7.16,0.10,43.46
2026-03-06T11:10:00,402.85,53.67,349.18,3.85,7.45,0.10,42.27
2026-03-06T11:15:00,409.96,52.37,357.59,4.27,7.80,0.10,40.20
2026-03-06T11:20:00,407.09,52.72,354.37,4.18,7.22,0.10,41.22
2026-03-06T11:25:00,407.87,53.56,354.31,4.38,7.14,0.10,41.94
2026-03-06T11:30:00,413.08,52.86,360.22,4.29,7.25,0.10,41.22
2026-03-06T11:35:00,416.75,50.76,365.99,4.26,6.74,0.10,39.66
2026-03-06T11:40:00,411.07,51.54,359.53,4.31,6.47,0.10,40.66
2026-03-06T11:45:00,417.58,51.8,365.78,4.96,6.69,0.10,40.05
2026-03-06T11:50:00,422.54,51.05,371.49,4.20,6.80,0.10,39.95
2026-03-06T11:55:00,420.89,52.65,368.24,4.27,7.47,0.10,40.81
2026-03-06T12:00:00,416.73,54.36,362.37,4.23,6.95,0.10,43.08
2026-03-06T12:05:00,415.11,53.36,361.75,3.74,5.80,0.10,43.72
