Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:20:00,199.04,40.87,158.17,1.07,31.29,0.00,8.51
2026-03-05T05:25:00,199.55,40.04,159.51,1.15,30.36,0.00,8.53
2026-03-05T05:30:00,199.13,40.99,158.14,1.11,30.73,0.00,9.15
2026-03-05T05:35:00,200.1,41.06,159.04,1.04,31.27,0.00,8.75
2026-03-05T05:40:00,200.45,39.74,160.71,1.04,31.25,0.00,7.45
2026-03-05T05:45:00,201.46,39.45,162.01,1.06,30.83,0.00,7.56
2026-03-05T05:50:00,203.66,39.46,164.20,1.09,30.30,0.00,8.07
2026-03-05T05:55:00,207.95,39.74,168.21,1.10,29.80,0.00,8.84
2026-03-05T06:00:00,209.52,39.88,169.64,1.07,30.34,0.00,8.47
2026-03-05T06:05:00,214.16,39.32,174.84,1.13,30.32,0.00,7.87
2026-03-05T06:10:00,219.27,37.48,181.79,1.15,29.13,0.00,7.20
2026-03-05T06:15:00,223.16,38.21,184.95,1.16,28.36,0.00,8.69
2026-03-05T06:20:00,226.67,37.89,188.78,1.20,27.78,0.00,8.91
2026-03-05T06:25:00,229.49,38.13,191.36,1.27,27.73,0.00,9.13
2026-03-05T06:30:00,229.92,37.6,192.32,1.16,27.85,0.00,8.59
2026-03-05T06:35:00,233.4,38.15,195.25,1.15,28.08,0.00,8.92
2026-03-05T06:40:00,238.28,38.32,199.96,1.23,28.00,0.00,9.09
2026-03-05T06:45:00,234.77,37.43,197.34,1.99,26.47,0.00,8.97
2026-03-05T06:50:00,236.45,36.06,200.39,2.25,25.50,0.00,8.31
2026-03-05T06:55:00,238.98,36.69,202.29,2.67,25.42,0.00,8.60
2026-03-05T07:00:00,241.47,36.26,205.21,3.22,24.56,0.00,8.48
2026-03-05T07:05:00,245.71,35.36,210.35,3.83,23.73,0.00,7.80
2026-03-05T07:10:00,253.35,36.4,216.95,4.62,22.67,0.00,9.11
2026-03-05T07:15:00,255.79,36.72,219.07,5.69,22.35,0.00,8.68
2026-03-05T07:20:00,255.11,37.46,217.65,6.99,21.95,0.00,8.52
2026-03-05T07:25:00,255.1,38.71,216.39,8.57,22.09,0.00,8.05
2026-03-05T07:30:00,256.71,41.15,215.56,10.56,21.75,0.00,8.84
2026-03-05T07:35:00,256.3,43.27,213.03,12.70,21.66,0.00,8.91
2026-03-05T07:40:00,254.8,44.1,210.70,14.91,21.64,0.00,7.55
2026-03-05T07:45:00,254.69,45.87,208.82,17.26,22.32,0.00,6.29
2026-03-05T07:50:00,252.25,46.05,206.20,19.69,21.02,0.00,5.34
2026-03-05T07:55:00,252.24,49.31,202.93,22.43,20.71,0.00,6.17
2026-03-05T08:00:00,250.46,52.39,198.07,25.23,20.23,0.00,6.93
2026-03-05T08:05:00,251.01,55.33,195.68,27.98,20.31,0.00,7.04
2026-03-05T08:10:00,251.51,57,194.51,30.86,20.27,0.00,5.87
2026-03-05T08:15:00,252.16,60.61,191.55,33.62,20.06,0.00,6.93
2026-03-05T08:20:00,250.24,62.42,187.82,36.19,19.39,0.00,6.84
2026-03-05T08:25:00,246.14,64.15,181.99,39.10,19.22,0.00,5.83
2026-03-05T08:30:00,245.13,67.64,177.49,42.05,19.10,0.00,6.49
2026-03-05T08:35:00,245.46,71.06,174.40,44.80,18.66,0.00,7.60
2026-03-05T08:40:00,245.79,73.18,172.61,47.73,18.07,0.00,7.38
2026-03-05T08:45:00,243.29,75.72,167.57,50.75,17.61,0.00,7.36
2026-03-05T08:50:00,244.23,77.57,166.66,53.68,16.66,0.00,7.23
2026-03-05T08:55:00,244.28,79.67,164.61,56.72,15.43,0.00,7.52
2026-03-05T09:00:00,241.86,80.8,161.06,59.39,14.42,0.00,6.99
2026-03-05T09:05:00,241.2,82.58,158.62,61.97,13.93,0.00,6.68
2026-03-05T09:10:00,242.16,86.13,156.03,65.08,13.52,0.00,7.53
2026-03-05T09:15:00,241.76,88.94,152.82,67.66,13.22,0.00,8.06
2026-03-05T09:20:00,241.35,92.21,149.14,70.14,12.94,0.00,9.13
2026-03-05T09:25:00,239.81,93.31,146.50,72.43,12.15,0.00,8.73
2026-03-05T09:30:00,237.86,94.8,143.06,74.53,11.84,0.00,8.43
2026-03-05T09:35:00,237.31,97.13,140.18,76.76,11.47,0.00,8.90
2026-03-05T09:40:00,233.66,96.76,136.90,78.88,11.07,0.00,6.81
2026-03-05T09:45:00,232.11,97.75,134.36,80.99,10.15,0.00,6.61
2026-03-05T09:50:00,230.05,98.71,131.34,82.48,9.83,0.00,6.40
2026-03-05T09:55:00,227.67,99.65,128.02,83.45,9.51,0.00,6.69
