Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:15:00,47.75,3.93,43.82,0.00,1.55,0.20,2.18
2026-03-05T05:20:00,47.54,3.81,43.73,0.00,1.45,0.20,2.16
2026-03-05T05:25:00,47.46,3.51,43.95,0.00,1.18,0.20,2.13
2026-03-05T05:30:00,48.18,3.66,44.52,0.00,1.35,0.20,2.11
2026-03-05T05:35:00,48.51,3.63,44.88,0.00,1.32,0.20,2.11
2026-03-05T05:40:00,49.13,3.27,45.86,0.01,0.95,0.20,2.11
2026-03-05T05:45:00,49.86,3.49,46.37,0.00,1.16,0.20,2.13
2026-03-05T05:50:00,50.63,3.42,47.21,0.01,1.09,0.20,2.12
2026-03-05T05:55:00,51.34,3.14,48.20,0.00,0.77,0.20,2.17
2026-03-05T06:00:00,52.09,3.09,49.00,0.00,0.75,0.20,2.14
2026-03-05T06:05:00,53.61,3.16,50.45,0.00,0.82,0.20,2.14
2026-03-05T06:10:00,55.4,3.16,52.24,0.00,0.78,0.20,2.18
2026-03-05T06:15:00,56.64,3.16,53.48,0.00,0.82,0.20,2.14
2026-03-05T06:20:00,57.35,3.16,54.19,0.00,0.83,0.20,2.13
2026-03-05T06:25:00,57.86,3.2,54.66,0.00,0.86,0.20,2.14
2026-03-05T06:30:00,58.46,3.29,55.17,0.00,0.93,0.20,2.16
2026-03-05T06:35:00,59.44,3.41,56.03,0.00,1.08,0.20,2.13
2026-03-05T06:40:00,60.4,3.59,56.81,0.00,1.27,0.20,2.12
2026-03-05T06:45:00,60.92,3.7,57.22,0.00,1.36,0.20,2.14
2026-03-05T06:50:00,62.17,3.72,58.45,0.00,1.39,0.20,2.13
2026-03-05T06:55:00,63.15,3.5,59.65,0.00,1.18,0.20,2.12
2026-03-05T07:00:00,64.25,3.39,60.86,0.00,1.07,0.20,2.12
2026-03-05T07:05:00,65.3,3.5,61.80,0.00,1.16,0.20,2.14
2026-03-05T07:10:00,67.35,3.72,63.63,0.09,1.29,0.20,2.14
2026-03-05T07:15:00,68.31,3.86,64.45,0.18,1.33,0.20,2.15
2026-03-05T07:20:00,69.95,3.92,66.03,0.29,1.28,0.20,2.15
2026-03-05T07:25:00,70.58,4.13,66.45,0.53,1.26,0.20,2.14
2026-03-05T07:30:00,70.91,4.36,66.55,0.78,1.22,0.20,2.16
2026-03-05T07:35:00,72.03,4.72,67.31,1.23,1.11,0.20,2.18
2026-03-05T07:40:00,72.21,4.73,67.48,1.49,0.88,0.20,2.16
2026-03-05T07:45:00,72.59,4.89,67.70,1.59,0.92,0.20,2.18
2026-03-05T07:50:00,73.09,5.29,67.80,2.02,0.90,0.20,2.17
2026-03-05T07:55:00,74.12,6.12,68.00,2.53,1.24,0.20,2.15
2026-03-05T08:00:00,74.93,7.35,67.58,3.47,1.25,0.20,2.43
2026-03-05T08:05:00,76.14,16.19,59.95,3.99,1.51,0.20,10.49
2026-03-05T08:10:00,77.69,21.91,55.78,5.42,1.49,0.20,14.80
2026-03-05T08:15:00,77.11,21.36,55.75,5.49,0.88,0.20,14.79
2026-03-05T08:20:00,77.86,21.8,56.06,6.10,0.69,0.20,14.81
2026-03-05T08:25:00,78.01,22.09,55.92,6.56,0.52,0.20,14.81
2026-03-05T08:30:00,78.74,22.72,56.02,7.01,0.71,0.20,14.80
2026-03-05T08:35:00,79.32,23.14,56.18,7.31,0.84,0.20,14.79
