Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:15:00,90.58,18.45,72.13,15.04,1.18,0.00,2.23
2026-03-05T05:20:00,91.21,18.54,72.67,15.04,1.27,0.00,2.23
2026-03-05T05:25:00,82.16,8.94,73.22,5.58,1.13,0.00,2.23
2026-03-05T05:30:00,87.83,14.33,73.50,10.95,1.15,0.00,2.23
2026-03-05T05:35:00,119.28,44.44,74.84,41.27,0.94,0.00,2.23
2026-03-05T05:40:00,109.79,34.2,75.59,31.01,0.96,0.00,2.23
2026-03-05T05:45:00,88.55,12.76,75.79,9.75,0.78,0.00,2.23
2026-03-05T05:50:00,99.35,22.64,76.71,19.61,0.80,0.00,2.23
2026-03-05T05:55:00,93.97,15.16,78.81,12.15,0.78,0.00,2.23
2026-03-05T06:00:00,96,15.11,80.89,12.15,0.73,0.00,2.23
2026-03-05T06:05:00,99.35,14.86,84.49,12.15,0.47,0.00,2.24
2026-03-05T06:10:00,98.51,15.2,83.31,12.15,0.82,0.00,2.23
2026-03-05T06:15:00,99.51,15.22,84.29,12.15,0.84,0.00,2.23
2026-03-05T06:20:00,92.76,7.8,84.96,4.77,0.79,0.00,2.24
2026-03-05T06:25:00,92.87,5.53,87.34,2.53,0.77,0.00,2.23
2026-03-05T06:30:00,97.29,5.14,92.15,2.35,0.56,0.00,2.23
2026-03-05T06:35:00,94.95,4.53,90.42,1.68,0.60,0.00,2.25
2026-03-05T06:40:00,98.95,6.5,92.45,3.73,0.53,0.00,2.24
2026-03-05T06:45:00,98.52,6.39,92.13,3.73,0.42,0.00,2.24
2026-03-05T06:50:00,98.76,6.27,92.49,3.55,0.48,0.00,2.24
2026-03-05T06:55:00,99.28,4.64,94.64,1.93,0.48,0.00,2.23
2026-03-05T07:00:00,97.49,4.81,92.68,1.93,0.64,0.00,2.24
2026-03-05T07:05:00,99.89,4.76,95.13,2.05,0.48,0.00,2.23
2026-03-05T07:10:00,102.45,4.95,97.50,2.27,0.44,0.00,2.24
2026-03-05T07:15:00,107.08,12.04,95.04,9.35,0.45,0.00,2.24
2026-03-05T07:20:00,110.39,16.07,94.32,13.40,0.42,0.00,2.25
2026-03-05T07:25:00,111.16,17.25,93.91,14.50,0.52,0.00,2.23
2026-03-05T07:30:00,112.92,17.9,95.02,15.21,0.46,0.00,2.23
2026-03-05T07:35:00,112.86,18.83,94.03,16.04,0.55,0.00,2.24
2026-03-05T07:40:00,111.38,19.56,91.82,16.71,0.61,0.00,2.24
2026-03-05T07:45:00,110.94,19.26,91.68,16.36,0.67,0.00,2.23
2026-03-05T07:50:00,111.77,19.44,92.33,16.33,0.88,0.00,2.23
2026-03-05T07:55:00,108.92,20.25,88.67,16.99,1.02,0.00,2.24
2026-03-05T08:00:00,109.88,21.49,88.39,18.18,1.07,0.00,2.24
2026-03-05T08:05:00,107.68,23.14,84.54,19.99,0.92,0.00,2.23
2026-03-05T08:10:00,105.57,25.08,80.49,21.82,1.03,0.00,2.23
2026-03-05T08:15:00,104.48,26.45,78.03,23.31,0.91,0.00,2.23
