Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:20:00,4.18,4.18,0.00,0.00,2.06,0.10,2.02
2026-03-05T05:25:00,3.94,3.94,0.00,0.00,1.80,0.12,2.02
2026-03-05T05:30:00,3.78,3.78,0.00,0.00,1.56,0.20,2.02
2026-03-05T05:35:00,3.73,3.73,0.00,0.00,1.51,0.20,2.02
2026-03-05T05:40:00,3.91,3.91,0.00,0.01,1.68,0.20,2.02
2026-03-05T05:45:00,3.99,3.99,0.00,0.00,1.77,0.20,2.02
2026-03-05T05:50:00,3.99,3.99,0.00,0.01,1.76,0.20,2.02
2026-03-05T05:55:00,3.7,3.7,0.00,0.00,1.48,0.20,2.02
2026-03-05T06:00:00,3.68,3.68,0.00,0.00,1.46,0.20,2.02
2026-03-05T06:05:00,3.69,3.69,0.00,0.00,1.47,0.20,2.02
2026-03-05T06:10:00,3.47,3.47,0.00,0.00,1.25,0.20,2.02
2026-03-05T06:15:00,3.93,3.93,0.00,0.00,1.71,0.20,2.02
2026-03-05T06:20:00,3.8,3.8,0.00,0.00,1.65,0.20,1.95
2026-03-05T06:25:00,4.14,4.14,0.00,0.00,1.94,0.20,2.00
2026-03-05T06:30:00,7.66,7.66,0.00,0.00,1.96,3.69,2.01
2026-03-05T06:35:00,20.44,20.44,0.00,0.00,1.86,16.60,1.98
2026-03-05T06:40:00,20.74,20.74,0.00,0.00,2.31,16.49,1.94
2026-03-05T06:45:00,20.49,20.49,0.00,0.00,2.02,16.50,1.97
2026-03-05T06:50:00,20.54,20.54,0.00,0.00,2.09,16.49,1.96
2026-03-05T06:55:00,20.65,20.65,0.00,0.00,2.19,16.50,1.96
2026-03-05T07:00:00,21.12,21.12,0.00,0.00,2.51,16.63,1.98
2026-03-05T07:05:00,21.52,21.52,0.00,0.00,2.60,16.90,2.02
2026-03-05T07:10:00,10.25,10.25,0.00,0.00,2.71,5.52,2.02
2026-03-05T07:15:00,4.74,4.74,0.00,0.17,2.27,0.28,2.02
2026-03-05T07:20:00,4.24,4.24,0.00,0.28,1.77,0.20,1.99
2026-03-05T07:25:00,4.19,4.19,0.00,0.68,1.36,0.20,1.95
2026-03-05T07:30:00,4.19,4.19,0.00,0.90,1.16,0.15,1.98
2026-03-05T07:35:00,4.44,4.44,0.00,1.40,1.03,0.00,2.01
2026-03-05T07:40:00,5.15,5.15,0.00,1.76,1.37,0.00,2.02
2026-03-05T07:45:00,5.86,5.86,0.00,2.14,1.71,0.00,2.01
2026-03-05T07:50:00,6.39,6.39,0.00,2.74,1.63,0.00,2.02
2026-03-05T07:55:00,6.47,6.47,0.00,3.02,1.47,0.00,1.98
2026-03-05T08:00:00,7.6,7.6,0.00,4.04,1.60,0.00,1.96
2026-03-05T08:05:00,7.82,7.82,0.00,4.44,1.39,0.00,1.99
2026-03-05T08:10:00,8.89,8.89,0.00,5.67,1.23,0.00,1.99
2026-03-05T08:15:00,9.09,9.09,0.00,6.03,1.04,0.00,2.02
2026-03-05T08:20:00,9.57,9.57,0.00,6.72,0.90,0.00,1.95
2026-03-05T08:25:00,10.53,10.53,0.00,7.52,1.05,0.00,1.96
2026-03-05T08:30:00,10.86,10.86,0.00,8.04,0.83,0.00,1.99
2026-03-05T08:35:00,11.12,11.12,0.00,8.36,0.76,0.00,2.00
2026-03-05T08:40:00,12.81,12.81,0.00,9.90,0.97,0.00,1.94
2026-03-05T08:45:00,11.84,11.84,0.00,8.87,1.00,0.00,1.97
2026-03-05T08:50:00,11.26,11.26,0.00,8.35,0.89,0.00,2.02
2026-03-05T08:55:00,12.79,12.79,0.00,9.80,1.05,0.00,1.94
2026-03-05T09:00:00,14.59,14.59,0.00,11.44,1.22,0.00,1.93
2026-03-05T09:05:00,15.23,15.23,0.00,11.91,1.38,0.00,1.94
2026-03-05T09:10:00,15.85,15.85,0.00,12.62,1.21,0.00,2.02
2026-03-05T09:15:00,15.9,15.9,0.00,13.00,0.94,0.00,1.96
2026-03-05T09:20:00,15.93,15.93,0.00,13.13,0.80,0.00,2.00
2026-03-05T09:25:00,15.59,15.59,0.00,12.84,0.73,0.00,2.02
2026-03-05T09:30:00,16.16,16.16,0.00,13.36,0.78,0.00,2.02
2026-03-05T09:35:00,15.19,15.19,0.00,12.40,0.77,0.00,2.02
2026-03-05T09:40:00,16.28,16.28,0.00,13.74,0.52,0.00,2.02
2026-03-05T09:45:00,16.23,16.23,0.00,13.75,0.46,0.00,2.02
2026-03-05T09:50:00,16.92,16.92,0.00,14.43,0.47,0.00,2.02
2026-03-05T09:55:00,16.28,16.28,0.00,13.71,0.55,0.00,2.02
2026-03-05T10:00:00,16.65,16.65,0.00,14.19,0.44,0.00,2.02
2026-03-05T10:05:00,16.77,16.77,0.00,14.35,0.41,0.00,2.01
2026-03-05T10:10:00,15.59,15.59,0.00,13.12,0.45,0.00,2.02
