Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:20:00,124.39,1.5,122.89,0.24,0.00,0.35,0.91
2026-03-05T05:25:00,124.34,1.43,122.91,0.24,0.00,0.28,0.91
2026-03-05T05:30:00,124.51,1.32,123.19,0.24,0.00,0.17,0.91
2026-03-05T05:35:00,124.67,1.2,123.47,0.24,0.00,0.05,0.91
2026-03-05T05:40:00,125.37,1.25,124.12,0.24,0.00,0.10,0.91
2026-03-05T05:45:00,127.61,3.77,123.84,0.24,0.00,2.62,0.91
2026-03-05T05:50:00,138.6,20.21,118.39,0.24,0.00,19.06,0.91
2026-03-05T05:55:00,140.57,20.82,119.75,0.24,0.00,19.67,0.91
2026-03-05T06:00:00,141.92,20.7,121.22,0.24,0.00,19.55,0.91
2026-03-05T06:05:00,145.2,20.67,124.53,0.24,0.00,19.52,0.91
2026-03-05T06:10:00,148.37,20.81,127.56,0.24,0.00,19.66,0.91
2026-03-05T06:15:00,150,20.86,129.14,0.24,0.00,19.71,0.91
2026-03-05T06:20:00,151.19,20.86,130.33,0.24,0.00,19.71,0.91
2026-03-05T06:25:00,152.23,20.76,131.47,0.24,0.00,19.61,0.91
2026-03-05T06:30:00,153.94,20.8,133.14,0.24,0.00,19.65,0.91
2026-03-05T06:35:00,156.44,20.77,135.67,0.24,0.00,19.62,0.91
2026-03-05T06:40:00,159.05,20.8,138.25,0.24,0.00,19.65,0.91
2026-03-05T06:45:00,160.75,20.89,139.86,0.24,0.00,19.74,0.91
2026-03-05T06:50:00,161.04,20.97,140.07,0.24,0.00,19.82,0.91
2026-03-05T06:55:00,161.69,20.88,140.81,0.24,0.00,19.73,0.91
2026-03-05T07:00:00,162.72,18.84,143.88,0.25,0.00,17.68,0.91
2026-03-05T07:05:00,155.52,4.44,151.08,0.45,0.00,3.08,0.91
2026-03-05T07:10:00,156.38,1.72,154.66,0.59,0.00,0.22,0.91
2026-03-05T07:15:00,157.74,2.17,155.57,1.04,0.00,0.22,0.91
2026-03-05T07:20:00,159.05,2.83,156.22,1.62,0.00,0.30,0.91
2026-03-05T07:25:00,159.84,3.36,156.48,2.18,0.00,0.27,0.91
2026-03-05T07:30:00,160.39,3.81,156.58,2.80,0.00,0.10,0.91
2026-03-05T07:35:00,160.34,4.22,156.12,3.21,0.00,0.10,0.91
2026-03-05T07:40:00,161.31,4.68,156.63,3.66,0.00,0.11,0.91
2026-03-05T07:45:00,161.49,5.16,156.33,4.11,0.00,0.14,0.91
2026-03-05T07:50:00,162.34,5.87,156.47,4.66,0.00,0.30,0.91
2026-03-05T07:55:00,162.88,6.14,156.74,4.93,0.00,0.30,0.91
2026-03-05T08:00:00,162.75,6.09,156.66,5.06,0.00,0.12,0.91
2026-03-05T08:05:00,163.55,6.17,157.38,5.16,0.00,0.10,0.91
2026-03-05T08:10:00,164.87,6.28,158.59,5.27,0.00,0.10,0.91
2026-03-05T08:15:00,165.3,6.63,158.67,5.62,0.00,0.10,0.91
2026-03-05T08:20:00,165.92,7.4,158.52,6.19,0.00,0.30,0.91
2026-03-05T08:25:00,166.15,8.31,157.84,7.10,0.00,0.30,0.91
2026-03-05T08:30:00,165.61,9.09,156.52,7.99,0.00,0.19,0.91
2026-03-05T08:35:00,166.3,9.51,156.79,8.43,0.00,0.17,0.91
2026-03-05T08:40:00,167.64,9.63,158.01,8.62,0.00,0.10,0.91
2026-03-05T08:45:00,167.31,9.79,157.52,8.78,0.00,0.10,0.91
2026-03-05T08:50:00,167.67,10.04,157.63,8.84,0.00,0.29,0.91
2026-03-05T08:55:00,167.48,10.89,156.59,9.69,0.00,0.29,0.91
2026-03-05T09:00:00,167.77,11.73,156.04,10.72,0.00,0.10,0.91
2026-03-05T09:05:00,167.82,12.73,155.09,11.72,0.00,0.10,0.91
2026-03-05T09:10:00,166.34,13.73,152.61,12.71,0.00,0.11,0.91
2026-03-05T09:15:00,164.87,14.33,150.54,13.22,0.00,0.20,0.91
2026-03-05T09:20:00,162.88,14.79,148.09,13.60,0.00,0.28,0.91
2026-03-05T09:25:00,160.79,15.56,145.23,14.35,0.00,0.30,0.91
2026-03-05T09:30:00,161.48,16.3,145.18,15.22,0.00,0.17,0.91
2026-03-05T09:35:00,162.62,17.02,145.60,16.01,0.00,0.10,0.91
2026-03-05T09:40:00,163,18.11,144.89,17.13,0.00,0.07,0.91
2026-03-05T09:45:00,163.52,17.47,146.05,16.46,0.00,0.10,0.91
2026-03-05T09:50:00,164.35,15.93,148.42,14.76,0.00,0.26,0.91
2026-03-05T09:55:00,164.79,15.03,149.76,13.82,0.00,0.30,0.91
2026-03-05T10:00:00,166.04,14.63,151.41,13.49,0.00,0.23,0.91
2026-03-05T10:05:00,166.66,14.4,152.26,13.39,0.00,0.10,0.91
2026-03-05T10:10:00,165.34,14.74,150.60,13.73,0.00,0.10,0.91
2026-03-05T10:15:00,165.51,16.13,149.38,15.12,0.00,0.10,0.91
2026-03-05T10:20:00,165.07,17.44,147.63,16.34,0.00,0.19,0.91
2026-03-05T10:25:00,164.7,17.1,147.60,15.89,0.00,0.30,0.91
2026-03-05T10:30:00,163.68,17,146.68,15.85,0.00,0.24,0.91
2026-03-05T10:35:00,162.85,16.37,146.48,15.36,0.00,0.10,0.91
2026-03-05T10:40:00,162.2,16.41,145.79,15.40,0.00,0.10,0.91
2026-03-05T10:45:00,161.44,16.07,145.37,15.06,0.00,0.10,0.91
2026-03-05T10:50:00,160.52,16.73,143.79,15.65,0.00,0.17,0.91
2026-03-05T10:55:00,159.36,17.73,141.63,16.31,0.00,0.51,0.91
2026-03-05T11:00:00,158.81,18.39,140.42,16.46,0.00,1.02,0.91
2026-03-05T11:05:00,157.15,18.28,138.87,16.27,0.00,1.10,0.91
2026-03-05T11:10:00,155.96,17.6,138.36,16.01,0.00,0.68,0.91
2026-03-05T11:15:00,155.38,16.38,139.00,15.32,0.00,0.15,0.91
2026-03-06T06:20:00,133.61,1.42,132.19,0.24,0.00,0.47,0.71
2026-03-06T06:25:00,134.8,1.43,133.37,0.24,0.00,0.48,0.71
2026-03-06T06:30:00,136.83,1.26,135.57,0.24,0.00,0.31,0.71
2026-03-06T06:35:00,139.51,1.02,138.49,0.24,0.00,0.07,0.71
2026-03-06T06:40:00,141.55,1.13,140.42,0.24,0.00,0.18,0.71
2026-03-06T06:45:00,143.72,1.2,142.52,0.24,0.00,0.25,0.71
2026-03-06T06:50:00,146.21,1.44,144.77,0.24,0.00,0.49,0.71
2026-03-06T06:55:00,149.09,1.41,147.68,0.24,0.00,0.46,0.71
2026-03-06T07:00:00,154.04,1.25,152.79,0.24,0.00,0.30,0.71
2026-03-06T07:05:00,156.18,1.18,155.00,0.24,0.00,0.23,0.71
2026-03-06T07:10:00,158.83,1.21,157.62,0.24,0.00,0.26,0.71
2026-03-06T07:15:00,161.41,1.18,160.23,0.24,0.00,0.23,0.71
2026-03-06T07:20:00,163.18,1.36,161.82,0.33,0.00,0.32,0.71
2026-03-06T07:25:00,164.49,1.44,163.05,0.37,0.00,0.36,0.71
2026-03-06T07:30:00,165.38,1.58,163.80,0.53,0.00,0.34,0.71
2026-03-06T07:35:00,165.07,1.68,163.39,0.75,0.00,0.22,0.71
2026-03-06T07:40:00,166.1,1.94,164.16,1.02,0.00,0.21,0.71
2026-03-06T07:45:00,167.04,2.4,164.64,1.39,0.00,0.30,0.71
2026-03-06T07:50:00,168.13,2.94,165.19,1.79,0.00,0.44,0.71
2026-03-06T07:55:00,169.43,3.2,166.23,2.10,0.00,0.39,0.71
2026-03-06T08:00:00,170.02,3.33,166.69,2.45,0.00,0.17,0.71
2026-03-06T08:05:00,170.92,3.69,167.23,2.76,0.00,0.22,0.71
2026-03-06T08:10:00,172.01,3.94,168.07,2.91,0.00,0.32,0.71
2026-03-06T08:15:00,171.64,4.22,167.42,3.24,0.00,0.27,0.71
2026-03-06T08:20:00,170.87,4.75,166.12,3.70,0.00,0.34,0.71
2026-03-06T08:25:00,169.66,5.38,164.28,4.18,0.00,0.49,0.71
2026-03-06T08:30:00,168.88,5.78,163.10,4.70,0.00,0.37,0.71
2026-03-06T08:35:00,169.02,5.82,163.20,4.91,0.00,0.22,0.69
2026-03-06T08:40:00,169.59,5.86,163.73,5.01,0.00,0.15,0.70
2026-03-06T08:45:00,170.17,5.95,164.22,5.03,0.00,0.29,0.63
2026-03-06T08:50:00,170.51,6.24,164.27,5.25,0.00,0.38,0.61
2026-03-06T08:55:00,171.62,6.54,165.08,5.50,0.00,0.43,0.61
2026-03-06T09:00:00,171.95,6.83,165.12,5.95,0.00,0.27,0.61
2026-03-06T09:05:00,173.63,7.38,166.25,6.48,0.00,0.29,0.61
2026-03-06T09:10:00,174.34,7.84,166.50,6.94,0.00,0.29,0.61
2026-03-06T09:15:00,174.64,8.41,166.23,7.50,0.00,0.30,0.61
2026-03-06T09:20:00,175.81,9.08,166.73,8.21,0.00,0.26,0.61
2026-03-06T09:25:00,178.77,10.01,168.76,8.90,0.00,0.50,0.61
2026-03-06T09:30:00,177.9,10.13,167.77,9.14,0.00,0.38,0.61
2026-03-06T09:35:00,177.38,10.49,166.89,9.66,0.00,0.22,0.61
2026-03-06T09:40:00,178.39,11.49,166.90,10.63,0.00,0.25,0.61
2026-03-06T09:45:00,178.81,11.57,167.24,10.68,0.00,0.28,0.61
2026-03-06T09:50:00,178.52,11.43,167.09,10.49,0.00,0.28,0.66
2026-03-06T09:55:00,179.11,11.67,167.44,10.59,0.00,0.37,0.71
2026-03-06T10:00:00,178.96,11.79,167.17,10.74,0.00,0.34,0.71
2026-03-06T10:05:00,177.71,12.18,165.53,11.19,0.00,0.28,0.71
2026-03-06T10:10:00,178.2,12.4,165.80,11.39,0.00,0.30,0.71
2026-03-06T10:15:00,177.86,12.16,165.70,11.17,0.00,0.28,0.71
2026-03-06T10:20:00,176.59,12.2,164.39,11.27,0.00,0.22,0.71
2026-03-06T10:25:00,176.43,12.2,164.23,11.16,0.00,0.33,0.71
2026-03-06T10:30:00,175.99,12.12,163.87,11.00,0.00,0.41,0.71
2026-03-06T10:35:00,174.81,11.93,162.88,10.93,0.00,0.29,0.71
2026-03-06T10:40:00,175.78,11.68,164.10,10.67,0.00,0.30,0.71
2026-03-06T10:45:00,175.8,11.19,164.61,10.28,0.00,0.20,0.71
2026-03-06T10:50:00,175.77,11.01,164.76,10.00,0.00,0.30,0.71
2026-03-06T10:55:00,175.44,10.67,164.77,9.54,0.00,0.42,0.71
2026-03-06T11:00:00,174.77,10.31,164.46,9.19,0.00,0.41,0.71
2026-03-06T11:05:00,173.84,9.47,164.37,8.64,0.00,0.12,0.71
2026-03-06T11:10:00,173.55,8.88,164.67,7.99,0.00,0.18,0.71
2026-03-06T11:15:00,172.98,8.39,164.59,7.45,0.00,0.23,0.71
2026-03-06T11:20:00,172.48,8.14,164.34,7.13,0.00,0.30,0.71
2026-03-06T11:25:00,172.33,7.83,164.50,6.76,0.00,0.36,0.71
2026-03-06T11:30:00,172.87,7.78,165.09,6.61,0.00,0.46,0.71
2026-03-06T11:35:00,173.41,7.6,165.81,6.56,0.00,0.33,0.71
2026-03-06T11:40:00,173.46,7.8,165.66,6.84,0.00,0.25,0.71
2026-03-06T11:45:00,173.31,7.85,165.46,6.91,0.00,0.23,0.71
2026-03-06T11:50:00,173.3,7.89,165.41,6.90,0.00,0.28,0.71
2026-03-06T11:55:00,173.5,7.89,165.61,6.85,0.00,0.33,0.71
2026-03-06T12:00:00,173.75,8.23,165.52,7.15,0.00,0.37,0.71
2026-03-06T12:05:00,176.26,8.72,167.54,7.70,0.00,0.31,0.71
2026-03-06T12:10:00,177.12,9.03,168.09,8.02,0.00,0.30,0.71
2026-03-06T12:15:00,177.62,9.36,168.26,8.33,0.00,0.32,0.71
2026-03-06T12:20:00,176.66,9.44,167.22,8.51,0.00,0.22,0.71
2026-03-06T12:25:00,176.56,9.64,166.92,8.66,0.00,0.27,0.71
2026-03-06T12:30:00,176.43,10.04,166.39,8.85,0.00,0.48,0.71
2026-03-06T12:35:00,176.24,10.29,165.95,9.22,0.00,0.36,0.71
2026-03-06T07:30:00,165.38,1.58,163.80,0.53,,0.34,0.71
2026-03-06T07:35:00,165.07,1.68,163.39,0.75,,0.22,0.71
