Timestamp,Net Demand,Generation,Import,Solar,Wind,STOR,Other
2026-03-05T05:20:00,133.1,9.47,123.63,6.45,0.00,0.00,3.02
2026-03-05T05:25:00,132.93,9.34,123.59,6.30,0.00,0.00,3.04
2026-03-05T05:30:00,133.13,9.29,123.84,6.22,0.00,0.00,3.07
2026-03-05T05:35:00,134.07,9.69,124.38,6.65,0.00,0.00,3.04
2026-03-05T05:40:00,133.75,9.41,124.34,6.36,0.00,0.00,3.05
2026-03-05T05:45:00,134.58,9.33,125.25,6.30,0.00,0.00,3.03
2026-03-05T05:50:00,135.39,9.43,125.96,6.40,0.00,0.00,3.03
2026-03-05T05:55:00,135.97,9.31,126.66,6.31,0.00,0.00,3.00
2026-03-05T06:00:00,137.43,9.38,128.05,6.35,0.00,0.00,3.03
2026-03-05T06:05:00,137.2,9.38,127.82,6.30,0.00,0.00,3.08
2026-03-05T06:10:00,138.4,9.23,129.17,6.17,0.00,0.00,3.06
2026-03-05T06:15:00,139.47,9.26,130.21,6.20,0.00,0.00,3.06
2026-03-05T06:20:00,141.07,9.57,131.50,6.53,0.00,0.00,3.04
2026-03-05T06:25:00,142.16,9.96,132.20,6.92,0.00,0.00,3.04
2026-03-05T06:30:00,142.68,9.89,132.79,6.81,0.00,0.00,3.08
2026-03-05T06:35:00,118.4,9.7,108.70,6.68,0.00,0.00,3.02
2026-03-05T06:40:00,116.36,10.33,106.03,7.35,0.00,0.00,2.98
2026-03-05T06:45:00,117.32,10.2,107.12,7.19,0.00,0.00,3.01
2026-03-05T06:50:00,118.3,10.24,108.06,7.21,0.00,0.00,3.03
2026-03-05T06:55:00,119.84,10.16,109.68,7.15,0.00,0.00,3.01
2026-03-05T07:00:00,120.51,9.76,110.75,6.79,0.00,0.00,2.97
2026-03-05T07:05:00,121.75,9.86,111.89,6.87,0.00,0.00,2.99
2026-03-05T07:10:00,124.13,10.52,113.61,7.48,0.00,0.00,3.04
2026-03-05T07:15:00,125.81,10.3,115.51,7.30,0.00,0.00,3.00
2026-03-05T07:20:00,127.8,10.15,117.65,7.20,0.00,0.00,2.95
2026-03-05T07:25:00,128.67,10.62,118.05,7.61,0.00,0.00,3.01
2026-03-05T07:30:00,128.51,10.4,118.11,7.46,0.00,0.00,2.94
2026-03-05T07:35:00,127.82,10.14,117.68,7.18,0.00,0.00,2.96
2026-03-05T07:40:00,128.64,10.45,118.19,7.52,0.00,0.00,2.93
2026-03-05T07:45:00,129.43,10.36,119.07,7.40,0.00,0.00,2.96
2026-03-05T07:50:00,129.28,9.95,119.33,6.98,0.00,0.00,2.97
2026-03-05T07:55:00,129.14,10.33,118.81,7.41,0.00,0.00,2.92
2026-03-05T08:00:00,129.24,10,119.24,7.07,0.00,0.00,2.93
2026-03-05T08:05:00,130.25,9.99,120.26,7.05,0.00,0.00,2.94
2026-03-05T08:10:00,131.74,10.45,121.29,7.50,0.00,0.00,2.95
2026-03-05T08:15:00,130.94,10.15,120.79,7.16,0.00,0.00,2.99
2026-03-05T08:20:00,131.06,10.42,120.64,7.43,0.00,0.00,2.99
