Upload Date,Region,Incident ID,Confirmed Off,Predicted Off,Restored,Status,Planned,Category,Resource Status,Start Time,ETR,Voltage,Location Latitude,Location Longitude,Postcodes
2026-03-05T11:15:00,South West,INCD-12750-u,1,38,0,In Progress,false,LV GENERIC,ONS,2026-03-05T08:38:00,2026-03-05T12:07:00,LV,51.3853,-2.359132,"BA1 5BD, BA1 5BE, BA1 5BG, BA1 5BX, BA1 5BN"
2026-03-05T11:15:00,South West,INCD-12749-u,1,0,23,In Progress,false,LV DAMAGE,COMP,2026-03-05T08:34:00,,LV,50.22438,-5.087717,TR3 6JE
2026-03-05T11:15:00,South West,INCD-21083-t,0,134,0,In Progress,false,LV UNDERGROUND,ONS,2026-03-05T08:55:00,,LV,50.91186,-3.473771,"EX16 6HD, EX16 6HS, EX16 6HW, EX16 6HT, EX16 6HU, EX16 6HR, EX16 6HB, EX16 6HP, EX16 6HY"
2026-03-05T11:15:00,South West,INCD-12760-u,4,0,0,In Progress,false,HV ISOLATION,ONS,2026-03-05T09:35:00,2026-03-05T14:00:00,HV,50.41099,-4.774512,"PL30 5DP, PL26 8RP"
2026-03-05T11:15:00,South Wales,INCD-5857-j,3,0,0,In Progress,false,LV UNDERGROUND,COMP,2026-03-05T07:51:00,2026-03-05T14:00:00,LV,51.52368,-3.230983,CF14 7BX
2026-03-05T11:15:00,West Midlands,INCD-59090-m,1943,0,0,Awaiting,false,HV GENERIC,UNASSIGNED,2026-03-05T11:12:00,2026-03-05T13:00:00,HV,53.06074,-2.054944,"ST13 7DA, ST9 0DT, ST9 0EB, ST9 0HU, ST9 0HT, ST9 0EQ, ST9 0JE, ST9 0JX, ST9 0BN, ST9 0DY, ST9 0JD, ST9 0EL, ST9 0EG, ST9 0DZ, ST9 0HY, ST9 0BD, ST9 0LW, ST9 0HZ, ST9 0JF, ST9 0HW, ST9 0EX, ST9 0AT, ST13 7BZ, ST9 0AR, ST9 0EJ, ST9 0FA, ST9 0DQ, ST9 0NA, ST13 7BH, ST9 0EZ, ST9 0FB, ST9 0EN, ST9 0DJ, ST9 0ER, ST9 0BH, ST13 7DJ, ST9 0BA, ST9 0ED, ST9 0LT, ST9 0HR, ST9 0HA, ST9 0DW, ST9 0ET, ST9 0BB, ST9 0AP, ST13 7BY, ST9 0JA, ST13 7BW, ST9 0DH, ST9 0LU, ST9 0LD, ST9 0HX, ST9 0JB, ST9 0EP, ST9 0EU, ST9 0EW, ST9 0HS, ST9 0EA, ST13 7BX, ST13 7BQ, ST9 0EH, ST9 0LN, ST9 0EY, ST9 0AH, ST9 0BG, ST13 7DH, ST9 0EE, ST9 0JG, ST9 0LX, ST9 0FE, ST13 7DQ, ST9 0EF, ST9 0AL, ST13 7DD, ST9 0ES, ST9 0BQ, ST9 0NB, ST9 0DU, ST13 7DB, ST9 0FD, ST9 0HJ, ST9 0HL, ST9 0AS, ST9 0LS, ST9 0HD, ST13 7BT, ST9 0AQ, ST9 0AX, ST9 0AN, ST9 0AU, ST9 0BL, ST13 7BL, ST9 0AY, ST13 7BP, ST9 0DN, ST9 0AA, ST13 7DF, ST9 0HP, ST9 0HN, ST9 0AE, ST9 0LY, ST13 7BS, ST9 0AD, ST13 5RE, ST13 7BU, ST9 0JQ, ST13 7DG"
2026-03-05T11:15:00,West Midlands,INCD-63059-p,1,0,0,In Progress,false,LV UNDERGROUND,COMP,2026-03-05T07:29:00,,LV,51.91552,-2.21101,GL2 9RH
2026-03-05T11:15:00,West Midlands,INCD-63060-p,2,0,0,In Progress,false,LV FUSE,COMP,2026-03-05T07:39:00,,LV,51.73283,-2.520875,GL15 5NN
2026-03-05T11:15:00,West Midlands,INCD-59075-m,0,62,0,In Progress,false,LV GENERIC,DISP,2026-03-05T09:46:00,,LV,52.56424,-2.077731,"WV14 0EP, WV14 0EH, WV14 0BJ, WV14 0AX, WV14 0DB, WV14 0FA, WV14 9SG, WV14 0HH"
2026-03-05T11:15:00,West Midlands,INCD-63063-p,0,3,0,In Progress,false,LV FUSE,DISP,2026-03-05T09:53:00,,LV,51.92983,-2.737583,"HR2 8PB, HR2 8PD"
