ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,92.706,1.789,-0.136,1.732,11.152
2026-02-25T00:10:00+00:00,96.974,1.872,-0.132,1.792,11.146
2026-02-25T00:15:00+00:00,97.598,1.883,-0.13,1.804,11.142
2026-02-25T00:20:00+00:00,97.116,1.874,-0.142,1.788,11.149
2026-02-25T00:25:00+00:00,99.73,1.928,-0.143,1.849,11.157
2026-02-25T00:30:00+00:00,101.151,1.956,-0.144,1.87,11.17
2026-02-25T00:35:00+00:00,103.059,1.991,-0.138,1.919,11.157
2026-02-25T00:40:00+00:00,106.51,2.062,-0.15,1.982,11.174
2026-02-25T00:45:00+00:00,108.562,2.103,-0.136,2.034,11.181
2026-02-25T00:50:00+00:00,110.068,2.132,-0.148,2.062,11.186
2026-02-25T00:55:00+00:00,108.898,2.112,-0.176,2.045,11.198
2026-02-25T01:00:00+00:00,108.588,2.104,-0.167,2.037,11.182
2026-02-25T01:05:00+00:00,110.872,2.141,-0.152,2.072,11.152
2026-02-25T01:10:00+00:00,112.352,2.17,-0.145,2.101,11.149
2026-02-25T01:15:00+00:00,111.7,2.158,-0.15,2.084,11.156
2026-02-25T01:20:00+00:00,108.038,2.089,-0.142,2.021,11.157
2026-02-25T01:25:00+00:00,106.297,2.056,-0.159,1.976,11.164
2026-02-25T01:30:00+00:00,107.316,2.076,-0.158,2.01,11.173
2026-02-25T01:35:00+00:00,106.447,2.059,-0.126,2.001,11.163
2026-02-25T01:40:00+00:00,101.914,1.974,-0.149,1.908,11.176
2026-02-25T01:45:00+00:00,103.488,2.004,-0.139,1.94,11.178
2026-02-25T01:50:00+00:00,104.14,2.018,-0.166,1.951,11.197
2026-02-25T01:55:00+00:00,103.718,2.013,-0.154,1.944,11.2
2026-02-25T02:00:00+00:00,103.768,2.013,-0.158,1.94,11.198
2026-02-25T02:05:00+00:00,100.601,1.95,-0.141,1.904,11.19
2026-02-25T02:10:00+00:00,98.038,1.902,-0.156,1.861,11.2
2026-02-25T02:15:00+00:00,95.952,1.865,-0.168,1.832,11.224
2026-02-25T02:20:00+00:00,94.376,1.837,-0.166,1.8,11.234
2026-02-25T02:25:00+00:00,93.732,1.825,-0.168,1.77,11.24
2026-02-25T02:30:00+00:00,92.576,1.802,-0.146,1.751,11.237
2026-02-25T02:35:00+00:00,88.387,1.72,-0.147,1.68,11.237
2026-02-25T02:40:00+00:00,87.302,1.7,-0.176,1.65,11.245
2026-02-25T02:45:00+00:00,89.253,1.74,-0.182,1.676,11.248
2026-02-25T02:50:00+00:00,90.416,1.764,-0.167,1.694,11.264
2026-02-25T02:55:00+00:00,86.574,1.69,-0.156,1.638,11.272
2026-02-25T03:00:00+00:00,82.882,1.618,-0.182,1.561,11.276
2026-02-25T03:05:00+00:00,83.768,1.632,-0.146,1.567,11.253
2026-02-25T03:10:00+00:00,83.835,1.633,-0.134,1.564,11.249
2026-02-25T03:15:00+00:00,83.298,1.622,-0.114,1.574,11.244
2026-02-25T03:20:00+00:00,85.54,1.667,-0.136,1.595,11.251
2026-02-25T03:25:00+00:00,85.413,1.666,-0.134,1.594,11.248
2026-02-25T03:30:00+00:00,85.702,1.672,-0.17,1.592,11.26
2026-02-25T03:35:00+00:00,85.078,1.65,-0.15,1.598,11.2
2026-02-25T03:40:00+00:00,82.758,1.604,-0.158,1.53,11.188
2026-02-25T03:45:00+00:00,82.074,1.591,-0.162,1.518,11.194
2026-02-25T03:50:00+00:00,80.945,1.57,-0.162,1.492,11.197
2026-02-25T03:55:00+00:00,78.895,1.532,-0.17,1.456,11.208
2026-02-25T04:00:00+00:00,78.644,1.528,-0.16,1.446,11.212
2026-02-25T04:05:00+00:00,79.122,1.546,-0.154,1.472,11.288
2026-02-25T04:10:00+00:00,81.024,1.58,-0.132,1.515,11.259
2026-02-25T04:15:00+00:00,81.357,1.58,-0.164,1.515,11.218
2026-02-25T04:20:00+00:00,82.395,1.601,-0.15,1.528,11.218
2026-02-25T04:25:00+00:00,81.029,1.574,-0.146,1.508,11.217
2026-02-25T04:30:00+00:00,82.574,1.604,-0.137,1.538,11.212
2026-02-25T04:35:00+00:00,83.184,1.614,-0.144,1.547,11.208
2026-02-25T04:40:00+00:00,80.796,1.568,-0.133,1.496,11.206
2026-02-25T04:45:00+00:00,83.875,1.628,-0.158,1.568,11.219
2026-02-25T04:50:00+00:00,83.276,1.616,-0.15,1.553,11.208
2026-02-25T04:55:00+00:00,82.644,1.604,-0.13,1.536,11.203
2026-02-25T05:00:00+00:00,81.481,1.583,-0.142,1.519,11.215
2026-02-25T05:05:00+00:00,82.076,1.594,-0.138,1.531,11.206
2026-02-25T05:10:00+00:00,79.909,1.55,-0.158,1.473,11.205
2026-02-25T05:15:00+00:00,80.934,1.571,-0.147,1.501,11.204
2026-02-25T05:20:00+00:00,81.912,1.589,-0.15,1.528,11.198
2026-02-25T05:25:00+00:00,77.186,1.498,-0.141,1.436,11.206
2026-02-25T05:30:00+00:00,80.523,1.564,-0.159,1.506,11.21
2026-02-25T05:35:00+00:00,79.776,1.55,-0.146,1.489,11.216
2026-02-25T05:40:00+00:00,83.222,1.616,-0.146,1.536,11.208
2026-02-25T05:45:00+00:00,83.934,1.626,-0.14,1.558,11.192
2026-02-25T05:50:00+00:00,83.568,1.624,-0.092,1.552,11.217
2026-02-25T05:55:00+00:00,84.998,1.656,-0.12,1.58,11.244
2026-02-25T06:00:00+00:00,86.738,1.688,-0.126,1.61,11.234
2026-02-25T06:05:00+00:00,88.25,1.715,-0.128,1.65,11.221
2026-02-25T06:10:00+00:00,91.35,1.79,-0.103,1.723,11.318
2026-02-25T06:15:00+00:00,92.146,1.796,-0.127,1.723,11.255
2026-02-25T06:20:00+00:00,92.201,1.796,-0.142,1.7,11.244
2026-02-25T06:25:00+00:00,93.164,1.816,-0.14,1.715,11.245
2026-02-25T06:30:00+00:00,97.329,1.894,-0.131,1.78,11.233
2026-02-25T06:35:00+00:00,96.836,1.888,-0.106,1.809,11.26
2026-02-25T06:40:00+00:00,97.806,1.903,-0.108,1.807,11.234
2026-02-25T06:45:00+00:00,97.628,1.896,-0.078,1.81,11.215
2026-02-25T06:50:00+00:00,99.332,1.928,-0.116,1.848,11.205
2026-02-25T06:55:00+00:00,102.366,1.983,-0.097,1.892,11.183
2026-02-25T07:00:00+00:00,104.666,2.027,-0.143,1.906,11.174
2026-02-25T07:05:00+00:00,105.264,2.032,-0.119,1.916,11.146
2026-02-25T07:10:00+00:00,112.496,2.167,-0.141,2.045,11.122
2026-02-25T07:15:00+00:00,115.774,2.228,-0.109,2.118,11.108
2026-02-25T07:20:00+00:00,118.049,2.276,-0.112,2.172,11.127
2026-02-25T07:25:00+00:00,118.017,2.276,-0.097,2.191,11.136
2026-02-25T07:30:00+00:00,120.29,2.322,-0.14,2.19,11.146
2026-02-25T07:35:00+00:00,122.204,2.356,-0.118,2.243,11.131
2026-02-25T07:40:00+00:00,120.433,2.319,-0.122,2.214,11.122
2026-02-25T07:45:00+00:00,122.306,2.352,-0.1,2.23,11.106
2026-02-25T07:50:00+00:00,122.848,2.364,-0.089,2.248,11.106
2026-02-25T07:55:00+00:00,122.694,2.36,-0.083,2.242,11.107
2026-02-25T08:00:00+00:00,121.495,2.344,-0.058,2.22,11.141
2026-02-25T08:05:00+00:00,119.934,2.318,-0.053,2.21,11.16
2026-02-25T08:10:00+00:00,121.225,2.348,-0.011,2.28,11.183
2026-02-25T08:15:00+00:00,122.038,2.362,-0.016,2.27,11.18
2026-02-25T08:20:00+00:00,123.194,2.387,-0.046,2.276,11.185
