ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,71.359,1.382,0.29,-1.234,11.183
2026-02-25T00:10:00+00:00,68.399,1.332,0.276,-1.177,11.233
2026-02-25T00:15:00+00:00,69.27,1.348,0.294,-1.192,11.236
2026-02-25T00:20:00+00:00,66.285,1.29,0.288,-1.13,11.236
2026-02-25T00:25:00+00:00,66.376,1.293,0.276,-1.136,11.231
2026-02-25T00:30:00+00:00,63.118,1.229,0.27,-1.062,11.24
2026-02-25T00:35:00+00:00,69.866,1.36,0.268,-1.215,11.226
2026-02-25T00:40:00+00:00,74.366,1.448,0.27,-1.312,11.244
2026-02-25T00:45:00+00:00,79.866,1.557,0.278,-1.428,11.25
2026-02-25T00:50:00+00:00,77.446,1.51,0.261,-1.384,11.252
2026-02-25T00:55:00+00:00,81.131,1.582,0.265,-1.46,11.258
2026-02-25T01:00:00+00:00,81.347,1.585,0.275,-1.459,11.245
2026-02-25T01:05:00+00:00,83.091,1.615,0.264,-1.498,11.22
2026-02-25T01:10:00+00:00,84.188,1.638,0.255,-1.522,11.222
2026-02-25T01:15:00+00:00,81.245,1.58,0.276,-1.454,11.233
2026-02-25T01:20:00+00:00,82.295,1.6,0.254,-1.482,11.226
2026-02-25T01:25:00+00:00,77.589,1.51,0.271,-1.382,11.234
2026-02-25T01:30:00+00:00,76.116,1.482,0.275,-1.35,11.236
2026-02-25T01:35:00+00:00,75.084,1.463,0.278,-1.327,11.241
2026-02-25T01:40:00+00:00,78.818,1.534,0.287,-1.404,11.244
2026-02-25T01:45:00+00:00,81.529,1.588,0.285,-1.463,11.245
2026-02-25T01:50:00+00:00,80.651,1.572,0.275,-1.449,11.254
2026-02-25T01:55:00+00:00,78.728,1.536,0.294,-1.402,11.264
2026-02-25T02:00:00+00:00,70.603,1.378,0.279,-1.232,11.264
2026-02-25T02:05:00+00:00,67.701,1.32,0.284,-1.168,11.253
2026-02-25T02:10:00+00:00,69.669,1.36,0.282,-1.214,11.261
2026-02-25T02:15:00+00:00,71.388,1.395,0.29,-1.248,11.278
2026-02-25T02:20:00+00:00,66.051,1.292,0.275,-1.137,11.287
2026-02-25T02:25:00+00:00,65.546,1.282,0.269,-1.132,11.288
2026-02-25T02:30:00+00:00,67.584,1.322,0.277,-1.17,11.286
2026-02-25T02:35:00+00:00,70.692,1.381,0.264,-1.242,11.278
2026-02-25T02:40:00+00:00,70.778,1.383,0.269,-1.242,11.279
2026-02-25T02:45:00+00:00,63.726,1.246,0.266,-1.087,11.286
2026-02-25T02:50:00+00:00,64.268,1.259,0.271,-1.103,11.306
2026-02-25T02:55:00+00:00,63.618,1.246,0.286,-1.078,11.312
2026-02-25T03:00:00+00:00,59.185,1.16,0.275,-0.981,11.31
2026-02-25T03:05:00+00:00,56.728,1.11,0.252,-0.934,11.292
2026-02-25T03:10:00+00:00,53.69,1.05,0.242,-0.864,11.29
2026-02-25T03:15:00+00:00,53.386,1.046,0.257,-0.855,11.294
2026-02-25T03:20:00+00:00,56.406,1.104,0.254,-0.923,11.292
2026-02-25T03:25:00+00:00,53.333,1.044,0.262,-0.849,11.296
2026-02-25T03:30:00+00:00,47.694,0.934,0.254,-0.716,11.304
2026-02-25T03:35:00+00:00,52.014,1.014,0.264,-0.816,11.247
2026-02-25T03:40:00+00:00,50.329,0.979,0.251,-0.778,11.229
2026-02-25T03:45:00+00:00,52.105,1.014,0.269,-0.817,11.234
2026-02-25T03:50:00+00:00,48.528,0.945,0.274,-0.732,11.244
2026-02-25T03:55:00+00:00,47.45,0.925,0.28,-0.701,11.248
2026-02-25T04:00:00+00:00,50.23,0.978,0.267,-0.774,11.247
2026-02-25T04:05:00+00:00,52.382,1.027,0.278,-0.823,11.318
2026-02-25T04:10:00+00:00,55.726,1.09,0.246,-0.913,11.286
2026-02-25T04:15:00+00:00,56.746,1.106,0.236,-0.936,11.24
2026-02-25T04:20:00+00:00,58.466,1.138,0.223,-0.981,11.241
2026-02-25T04:25:00+00:00,53.938,1.05,0.236,-0.874,11.244
2026-02-25T04:30:00+00:00,58.275,1.135,0.241,-0.97,11.243
2026-02-25T04:35:00+00:00,60.701,1.181,0.234,-1.025,11.233
2026-02-25T04:40:00+00:00,57.54,1.12,0.226,-0.956,11.236
2026-02-25T04:45:00+00:00,57.848,1.126,0.242,-0.964,11.24
2026-02-25T04:50:00+00:00,59.804,1.164,0.22,-1.014,11.233
2026-02-25T04:55:00+00:00,58.125,1.132,0.236,-0.97,11.233
2026-02-25T05:00:00+00:00,57.376,1.118,0.24,-0.953,11.236
2026-02-25T05:05:00+00:00,58.29,1.134,0.257,-0.969,11.233
2026-02-25T05:10:00+00:00,57.323,1.115,0.252,-0.947,11.223
2026-02-25T05:15:00+00:00,58.326,1.134,0.256,-0.968,11.222
2026-02-25T05:20:00+00:00,56.86,1.106,0.242,-0.942,11.222
2026-02-25T05:25:00+00:00,53.996,1.05,0.217,-0.884,11.225
2026-02-25T05:30:00+00:00,52.842,1.028,0.243,-0.849,11.23
2026-02-25T05:35:00+00:00,51.377,1.001,0.243,-0.816,11.234
2026-02-25T05:40:00+00:00,52.578,1.023,0.239,-0.845,11.233
2026-02-25T05:45:00+00:00,53.412,1.038,0.213,-0.868,11.22
2026-02-25T05:50:00+00:00,55.826,1.088,0.196,-0.93,11.249
2026-02-25T05:55:00+00:00,55.256,1.08,0.216,-0.918,11.28
2026-02-25T06:00:00+00:00,56.224,1.098,0.207,-0.94,11.274
2026-02-25T06:05:00+00:00,59.509,1.162,0.208,-1.011,11.265
2026-02-25T06:10:00+00:00,61.991,1.217,0.193,-1.074,11.33
2026-02-25T06:15:00+00:00,67.79,1.321,0.196,-1.196,11.249
2026-02-25T06:20:00+00:00,67.81,1.32,0.204,-1.2,11.24
2026-02-25T06:25:00+00:00,68.844,1.34,0.186,-1.224,11.241
2026-02-25T06:30:00+00:00,68.962,1.342,0.188,-1.224,11.236
2026-02-25T06:35:00+00:00,76.036,1.484,0.183,-1.376,11.274
2026-02-25T06:40:00+00:00,81.724,1.594,0.18,-1.494,11.264
2026-02-25T06:45:00+00:00,83.61,1.629,0.175,-1.535,11.25
2026-02-25T06:50:00+00:00,85.489,1.664,0.166,-1.573,11.23
2026-02-25T06:55:00+00:00,83.444,1.621,0.149,-1.529,11.218
2026-02-25T07:00:00+00:00,90.827,1.764,0.16,-1.678,11.215
2026-02-25T07:05:00+00:00,89.162,1.73,0.162,-1.643,11.2
2026-02-25T07:10:00+00:00,91.586,1.773,0.175,-1.686,11.179
2026-02-25T07:15:00+00:00,94.193,1.822,0.166,-1.741,11.169
2026-02-25T07:20:00+00:00,102.308,1.982,0.184,-1.907,11.189
2026-02-25T07:25:00+00:00,102.578,1.991,0.223,-1.91,11.206
2026-02-25T07:30:00+00:00,99.288,1.928,0.202,-1.849,11.21
2026-02-25T07:35:00+00:00,105.574,2.047,0.186,-1.975,11.198
2026-02-25T07:40:00+00:00,103.206,1.999,0.154,-1.928,11.18
2026-02-25T07:45:00+00:00,100.463,1.946,0.16,-1.872,11.178
2026-02-25T07:50:00+00:00,96.043,1.859,0.128,-1.782,11.178
2026-02-25T07:55:00+00:00,98.798,1.912,0.158,-1.838,11.175
2026-02-25T08:00:00+00:00,97.934,1.902,0.175,-1.824,11.216
2026-02-25T08:05:00+00:00,96.982,1.886,0.126,-1.809,11.229
2026-02-25T08:10:00+00:00,97.39,1.898,0.096,-1.825,11.25
2026-02-25T08:15:00+00:00,97.307,1.896,0.115,-1.821,11.251
2026-02-25T08:20:00+00:00,100.53,1.96,0.091,-1.886,11.257
2026-02-25T08:25:00+00:00,99.456,1.938,0.068,-1.867,11.254
2026-02-25T08:30:00+00:00,96.728,1.888,0.067,-1.812,11.27
2026-02-25T08:35:00+00:00,91.676,1.788,0.072,-1.708,11.256
2026-02-25T08:40:00+00:00,89.058,1.736,0.069,-1.654,11.253
2026-02-25T08:45:00+00:00,87.216,1.7,0.067,-1.616,11.252
2026-02-25T08:50:00+00:00,91.11,1.774,0.058,-1.697,11.24
2026-02-25T08:55:00+00:00,93.647,1.822,0.083,-1.748,11.234
2026-02-25T09:00:00+00:00,89.645,1.744,0.071,-1.665,11.232
2026-02-25T09:05:00+00:00,93.192,1.814,0.06,-1.738,11.236
2026-02-25T09:10:00+00:00,99.718,1.939,0.09,-1.87,11.232
2026-02-25T09:15:00+00:00,98.313,1.91,0.073,-1.84,11.215
2026-02-25T09:20:00+00:00,96.43,1.875,0.056,-1.804,11.228
2026-02-25T09:25:00+00:00,95.441,1.856,0.045,-1.784,11.232
2026-02-25T09:30:00+00:00,95.962,1.866,0.03,-1.797,11.232
