ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,170.536,3.294,0.537,-3.236,11.225
2026-02-25T00:10:00+00:00,174.406,3.358,0.541,-3.302,11.195
2026-02-25T00:15:00+00:00,176.316,3.397,0.51,-3.342,11.184
2026-02-25T00:20:00+00:00,176.481,3.399,0.544,-3.341,11.184
2026-02-25T00:25:00+00:00,177.438,3.417,0.584,-3.356,11.183
2026-02-25T00:30:00+00:00,179.824,3.464,0.516,-3.411,11.192
2026-02-25T00:35:00+00:00,192.09,3.7,0.541,-3.65,11.183
2026-02-25T00:40:00+00:00,198.974,3.825,0.528,-3.779,11.168
2026-02-25T00:45:00+00:00,202.098,3.886,0.567,-3.834,11.172
2026-02-25T00:50:00+00:00,202.041,3.882,0.55,-3.834,11.169
2026-02-25T00:55:00+00:00,204.896,3.944,0.49,-3.902,11.189
2026-02-25T01:00:00+00:00,202.066,3.895,0.511,-3.858,11.198
2026-02-25T01:05:00+00:00,200.754,3.86,0.516,-3.814,11.172
2026-02-25T01:10:00+00:00,202.294,3.887,0.505,-3.84,11.169
2026-02-25T01:15:00+00:00,201.334,3.874,0.46,-3.834,11.176
2026-02-25T01:20:00+00:00,196.049,3.776,0.534,-3.724,11.184
2026-02-25T01:25:00+00:00,196.99,3.792,0.514,-3.738,11.188
2026-02-25T01:30:00+00:00,193.928,3.739,0.54,-3.686,11.201
2026-02-25T01:35:00+00:00,192.798,3.717,0.54,-3.664,11.198
2026-02-25T01:40:00+00:00,199.294,3.835,0.436,-3.788,11.188
2026-02-25T01:45:00+00:00,190.532,3.674,0.45,-3.634,11.198
2026-02-25T01:50:00+00:00,190.241,3.672,0.423,-3.637,11.215
2026-02-25T01:55:00+00:00,190.667,3.682,0.372,-3.648,11.226
2026-02-25T02:00:00+00:00,187.38,3.62,0.406,-3.584,11.228
2026-02-25T02:05:00+00:00,185.026,3.572,0.42,-3.54,11.218
2026-02-25T02:10:00+00:00,185.172,3.57,0.434,-3.532,11.208
2026-02-25T02:15:00+00:00,184.663,3.566,0.414,-3.528,11.225
2026-02-25T02:20:00+00:00,189.196,3.656,0.326,-3.63,11.242
2026-02-25T02:25:00+00:00,194.562,3.758,0.288,-3.744,11.244
2026-02-25T02:30:00+00:00,194.047,3.746,0.306,-3.726,11.239
2026-02-25T02:35:00+00:00,192.887,3.722,0.311,-3.686,11.23
2026-02-25T02:40:00+00:00,190.272,3.682,0.324,-3.648,11.257
2026-02-25T02:45:00+00:00,186.808,3.608,0.336,-3.576,11.241
2026-02-25T02:50:00+00:00,186.297,3.61,0.342,-3.581,11.268
2026-02-25T02:55:00+00:00,185.076,3.595,0.318,-3.554,11.292
2026-02-25T03:00:00+00:00,184.32,3.574,0.343,-3.544,11.276
2026-02-25T03:05:00+00:00,186.062,3.602,0.338,-3.558,11.254
2026-02-25T03:10:00+00:00,184.971,3.576,0.34,-3.542,11.247
2026-02-25T03:15:00+00:00,186.695,3.609,0.28,-3.593,11.248
2026-02-25T03:20:00+00:00,186.152,3.606,0.318,-3.582,11.262
2026-02-25T03:25:00+00:00,183.982,3.558,0.314,-3.524,11.256
2026-02-25T03:30:00+00:00,183.346,3.553,0.324,-3.528,11.275
2026-02-25T03:35:00+00:00,183.738,3.553,0.312,-3.528,11.248
2026-02-25T03:40:00+00:00,181.516,3.496,0.356,-3.474,11.215
2026-02-25T03:45:00+00:00,177.148,3.424,0.405,-3.38,11.238
2026-02-25T03:50:00+00:00,176.951,3.422,0.384,-3.398,11.238
2026-02-25T03:55:00+00:00,180.909,3.499,0.334,-3.473,11.247
2026-02-25T04:00:00+00:00,181.386,3.512,0.35,-3.478,11.256
2026-02-25T04:05:00+00:00,180.003,3.498,0.358,-3.451,11.296
2026-02-25T04:10:00+00:00,180.698,3.508,0.366,-3.473,11.289
2026-02-25T04:15:00+00:00,182.323,3.532,0.339,-3.49,11.263
2026-02-25T04:20:00+00:00,182.982,3.548,0.304,-3.51,11.27
2026-02-25T04:25:00+00:00,181.381,3.512,0.333,-3.482,11.264
2026-02-25T04:30:00+00:00,181.263,3.513,0.31,-3.482,11.264
2026-02-25T04:35:00+00:00,184.321,3.566,0.312,-3.55,11.259
2026-02-25T04:40:00+00:00,188.529,3.654,0.247,-3.63,11.278
2026-02-25T04:45:00+00:00,185.266,3.589,0.304,-3.556,11.274
2026-02-25T04:50:00+00:00,183.344,3.546,0.308,-3.53,11.263
2026-02-25T04:55:00+00:00,182.645,3.536,0.321,-3.516,11.26
2026-02-25T05:00:00+00:00,180.504,3.501,0.342,-3.488,11.282
2026-02-25T05:05:00+00:00,183.416,3.554,0.328,-3.53,11.272
2026-02-25T05:10:00+00:00,186.19,3.604,0.328,-3.567,11.265
2026-02-25T05:15:00+00:00,183.692,3.559,0.356,-3.53,11.269
2026-02-25T05:20:00+00:00,186.038,3.605,0.32,-3.574,11.274
2026-02-25T05:25:00+00:00,184.899,3.582,0.331,-3.568,11.276
2026-02-25T05:30:00+00:00,184.432,3.578,0.349,-3.544,11.282
2026-02-25T05:35:00+00:00,180.713,3.507,0.384,-3.476,11.282
2026-02-25T05:40:00+00:00,177.85,3.452,0.426,-3.412,11.284
2026-02-25T05:45:00+00:00,176.842,3.429,0.484,-3.379,11.26
2026-02-25T05:50:00+00:00,178.482,3.46,0.492,-3.413,11.264
2026-02-25T05:55:00+00:00,179.16,3.48,0.558,-3.422,11.279
2026-02-25T06:00:00+00:00,184.061,3.566,0.492,-3.523,11.26
2026-02-25T06:05:00+00:00,189.786,3.66,0.48,-3.616,11.219
2026-02-25T06:10:00+00:00,191.364,3.686,0.488,-3.638,11.182
2026-02-25T06:15:00+00:00,192.255,3.692,0.547,-3.635,11.154
2026-02-25T06:20:00+00:00,195.064,3.738,0.48,-3.692,11.138
2026-02-25T06:25:00+00:00,200.793,3.85,0.42,-3.818,11.146
2026-02-25T06:30:00+00:00,198.716,3.809,0.401,-3.775,11.147
2026-02-25T06:35:00+00:00,202.717,3.936,0.396,-3.906,11.218
2026-02-25T06:40:00+00:00,204.959,3.989,0.361,-3.958,11.234
2026-02-25T06:45:00+00:00,209.098,4.074,0.394,-4.045,11.239
2026-02-25T06:50:00+00:00,211.888,4.116,0.39,-4.082,11.206
2026-02-25T06:55:00+00:00,215.048,4.168,0.355,-4.14,11.181
2026-02-25T07:00:00+00:00,217.332,4.216,0.342,-4.19,11.189
2026-02-25T07:05:00+00:00,227.335,4.388,0.186,-4.372,11.148
2026-02-25T07:10:00+00:00,234.252,4.508,0.106,-4.488,11.112
2026-02-25T07:15:00+00:00,233.086,4.488,0.123,-4.464,11.121
2026-02-25T07:20:00+00:00,245.064,4.716,-0.064,-4.698,11.137
2026-02-25T07:25:00+00:00,245.09,4.73,-0.058,-4.712,11.161
2026-02-25T07:30:00+00:00,248.164,4.788,-0.134,-4.778,11.166
2026-02-25T07:35:00+00:00,251.768,4.842,-0.121,-4.834,11.129
2026-02-25T07:40:00+00:00,246.842,4.742,-0.036,-4.732,11.114
2026-02-25T07:45:00+00:00,249.384,4.791,-0.107,-4.776,11.12
2026-02-25T07:50:00+00:00,252.342,4.838,-0.146,-4.818,11.098
2026-02-25T07:55:00+00:00,253.63,4.862,-0.13,-4.846,11.095
2026-02-25T08:00:00+00:00,254.528,4.883,-0.124,-4.866,11.101
2026-02-25T08:05:00+00:00,256.424,4.925,-0.12,-4.906,11.114
2026-02-25T08:10:00+00:00,260.366,4.997,-0.158,-4.982,11.107
2026-02-25T08:15:00+00:00,264.042,5.066,-0.18,-5.038,11.106
2026-02-25T08:20:00+00:00,263.741,5.066,-0.224,-5.044,11.118
2026-02-25T08:25:00+00:00,265.874,5.107,-0.149,-5.084,11.122
2026-02-25T08:30:00+00:00,259.396,5.006,-0.073,-4.99,11.168
2026-02-25T08:35:00+00:00,263.042,5.071,-0.154,-5.069,11.164
2026-02-25T08:40:00+00:00,262.29,5.059,-0.046,-5.047,11.163
2026-02-25T08:45:00+00:00,248.202,4.794,0.106,-4.778,11.163
2026-02-25T08:50:00+00:00,249.154,4.813,0.126,-4.796,11.164
2026-02-25T08:55:00+00:00,251.36,4.849,0.078,-4.832,11.152
2026-02-25T09:00:00+00:00,254.221,4.9,0.047,-4.882,11.145
2026-02-25T09:05:00+00:00,258.549,4.976,0.04,-4.962,11.138
2026-02-25T09:10:00+00:00,268.57,5.162,-0.184,-5.151,11.131
2026-02-25T09:15:00+00:00,262.646,5.044,-0.076,-5.032,11.118
2026-02-25T09:20:00+00:00,264.201,5.092,0.044,-5.072,11.145
2026-02-25T09:25:00+00:00,264.68,5.1,0.018,-5.08,11.156
2026-02-25T09:30:00+00:00,261.334,5.051,0.06,-5.035,11.177
2026-02-25T09:35:00+00:00,261.279,5.044,0.034,-5.038,11.168
2026-02-25T09:40:00+00:00,264.6,5.107,0.048,-5.09,11.163
2026-02-25T09:45:00+00:00,268.688,5.194,-0.06,-5.198,11.186
2026-02-25T09:50:00+00:00,267.153,5.16,-0.17,-5.147,11.185
2026-02-25T09:55:00+00:00,263.038,5.082,-0.073,-5.073,11.178
2026-02-25T10:00:00+00:00,259.498,5.018,-0.068,-5.0,11.192
2026-02-25T10:05:00+00:00,255.042,4.938,0.001,-4.942,11.198
2026-02-25T10:10:00+00:00,257.204,4.986,0.006,-4.974,11.216
2026-02-25T10:15:00+00:00,252.593,4.902,0.03,-4.89,11.226
2026-02-25T10:20:00+00:00,253.339,4.921,0.08,-4.912,11.23
2026-02-25T10:25:00+00:00,282.418,5.47,-0.009,-5.447,11.207
2026-02-25T10:30:00+00:00,298.614,5.779,-0.068,-5.761,11.202
2026-02-25T10:35:00+00:00,298.58,5.788,-0.072,-5.77,11.222
2026-02-25T10:40:00+00:00,295.032,5.706,-0.122,-5.689,11.2
2026-02-25T10:45:00+00:00,269.132,5.22,-0.238,-5.194,11.226
2026-02-25T10:50:00+00:00,266.317,5.156,-0.16,-5.128,11.214
2026-02-25T10:55:00+00:00,272.006,5.276,-0.182,-5.244,11.232
2026-02-25T11:00:00+00:00,268.506,5.21,-0.166,-5.19,11.24
2026-02-25T11:05:00+00:00,269.83,5.232,-0.213,-5.204,11.23
2026-02-25T11:10:00+00:00,270.091,5.238,-0.212,-5.218,11.236
2026-02-25T11:15:00+00:00,265.094,5.128,-0.158,-5.107,11.198
2026-02-25T11:20:00+00:00,265.74,5.132,-0.166,-5.118,11.179
2026-02-25T11:25:00+00:00,269.8,5.214,-0.262,-5.196,11.192
2026-02-25T11:30:00+00:00,262.83,5.094,-0.196,-5.065,11.223
2026-02-25T11:35:00+00:00,262.931,5.102,-0.167,-5.094,11.236
2026-02-25T11:40:00+00:00,263.594,5.117,-0.214,-5.108,11.24
2026-02-25T11:45:00+00:00,263.523,5.116,-0.166,-5.112,11.24
2026-02-25T11:50:00+00:00,261.016,5.066,-0.146,-5.047,11.238
2026-02-25T11:55:00+00:00,255.933,4.972,-0.084,-4.97,11.241
2026-02-25T12:00:00+00:00,256.196,4.978,-0.014,-4.976,11.238
2026-02-25T12:05:00+00:00,253.915,4.934,0.013,-4.908,11.236
2026-02-25T12:10:00+00:00,255.472,4.966,0.001,-4.958,11.248
2026-02-25T12:15:00+00:00,254.129,4.94,-0.016,-4.925,11.248
2026-02-25T12:20:00+00:00,253.936,4.94,0.008,-4.91,11.252
2026-02-25T12:25:00+00:00,253.558,4.924,-0.024,-4.916,11.24
2026-02-25T12:30:00+00:00,244.071,4.704,0.222,-4.69,11.19
2026-02-25T12:35:00+00:00,248.984,4.756,0.249,-4.734,11.129
2026-02-25T12:40:00+00:00,255.348,4.92,0.074,-4.898,11.176
