ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,3.21,0.077,-0.036,0.034,11.149
2026-02-25T00:10:00+00:00,3.205,0.077,-0.037,0.038,11.119
2026-02-25T00:15:00+00:00,3.201,0.077,-0.039,0.04,11.115
2026-02-25T00:20:00+00:00,3.197,0.077,-0.04,0.042,11.104
2026-02-25T00:25:00+00:00,3.682,0.076,-0.041,0.045,11.094
2026-02-25T00:30:00+00:00,4.018,0.077,-0.044,0.048,11.096
2026-02-25T00:35:00+00:00,3.843,0.077,-0.045,0.05,11.08
2026-02-25T00:40:00+00:00,3.669,0.077,-0.047,0.053,11.069
2026-02-25T00:45:00+00:00,3.494,0.077,-0.048,0.056,11.078
2026-02-25T00:50:00+00:00,4.041,0.077,-0.05,0.058,11.083
2026-02-25T00:55:00+00:00,4.398,0.077,-0.052,0.061,11.093
2026-02-25T01:00:00+00:00,4.438,0.077,-0.041,0.064,11.088
2026-02-25T01:05:00+00:00,4.478,0.077,-0.039,0.066,11.064
2026-02-25T01:10:00+00:00,4.499,0.078,-0.045,0.068,11.065
2026-02-25T01:15:00+00:00,4.24,0.08,-0.048,0.046,11.068
2026-02-25T01:20:00+00:00,4.328,0.076,-0.042,0.049,11.029
2026-02-25T01:25:00+00:00,4.222,0.076,-0.04,0.05,11.029
2026-02-25T01:30:00+00:00,4.353,0.076,-0.044,0.05,11.038
2026-02-25T01:35:00+00:00,4.308,0.077,-0.038,0.046,11.053
2026-02-25T01:40:00+00:00,4.308,0.076,-0.044,0.053,11.034
2026-02-25T01:45:00+00:00,4.422,0.078,-0.041,0.056,11.043
2026-02-25T01:50:00+00:00,4.329,0.078,-0.04,0.049,11.079
2026-02-25T01:55:00+00:00,4.371,0.078,-0.045,0.051,11.093
2026-02-25T02:00:00+00:00,4.346,0.078,-0.04,0.05,11.079
2026-02-25T02:05:00+00:00,4.321,0.078,-0.043,0.047,11.057
2026-02-25T02:10:00+00:00,4.424,0.078,-0.039,0.054,11.07
2026-02-25T02:15:00+00:00,4.358,0.078,-0.044,0.046,11.103
2026-02-25T02:20:00+00:00,4.402,0.078,-0.038,0.053,11.136
2026-02-25T02:25:00+00:00,4.393,0.078,-0.044,0.044,11.137
2026-02-25T02:30:00+00:00,4.377,0.078,-0.038,0.05,11.137
2026-02-25T02:35:00+00:00,4.451,0.078,-0.044,0.056,11.128
2026-02-25T02:40:00+00:00,4.413,0.078,-0.04,0.05,11.132
2026-02-25T02:45:00+00:00,4.418,0.078,-0.041,0.05,11.14
2026-02-25T02:50:00+00:00,4.444,0.078,-0.04,0.05,11.166
2026-02-25T02:55:00+00:00,4.462,0.078,-0.036,0.051,11.168
2026-02-25T03:00:00+00:00,4.451,0.078,-0.055,0.049,11.167
2026-02-25T03:05:00+00:00,4.403,0.077,-0.066,0.05,11.148
2026-02-25T03:10:00+00:00,4.473,0.078,-0.065,0.048,11.142
2026-02-25T03:15:00+00:00,4.469,0.078,-0.077,0.05,11.148
2026-02-25T03:20:00+00:00,4.436,0.077,-0.078,0.048,11.151
2026-02-25T03:25:00+00:00,4.568,0.077,-0.08,0.054,11.15
2026-02-25T03:30:00+00:00,4.361,0.077,-0.087,0.048,11.155
2026-02-25T03:35:00+00:00,4.518,0.077,-0.092,0.052,11.116
2026-02-25T03:40:00+00:00,4.603,0.078,-0.096,0.048,11.106
2026-02-25T03:45:00+00:00,4.512,0.077,-0.1,0.05,11.129
2026-02-25T03:50:00+00:00,4.472,0.077,-0.1,0.052,11.13
2026-02-25T03:55:00+00:00,4.63,0.077,-0.108,0.052,11.136
2026-02-25T04:00:00+00:00,4.431,0.078,-0.118,0.046,11.14
2026-02-25T04:05:00+00:00,4.338,0.078,-0.11,0.032,11.189
