ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,52.616,1.034,-0.118,1.027,11.373
2026-02-25T00:10:00+00:00,53.571,1.038,-0.118,1.04,11.338
2026-02-25T00:15:00+00:00,55.284,1.08,-0.098,1.075,11.326
2026-02-25T00:20:00+00:00,55.227,1.08,-0.098,1.072,11.318
2026-02-25T00:25:00+00:00,54.799,1.076,-0.114,1.064,11.308
2026-02-25T00:30:00+00:00,54.488,1.062,-0.136,1.054,11.31
2026-02-25T00:35:00+00:00,55.969,1.091,-0.122,1.086,11.288
2026-02-25T00:40:00+00:00,58.657,1.134,-0.071,1.124,11.266
2026-02-25T00:45:00+00:00,60.655,1.175,-0.049,1.172,11.262
2026-02-25T00:50:00+00:00,59.216,1.164,-0.06,1.152,11.273
2026-02-25T00:55:00+00:00,59.286,1.158,-0.099,1.152,11.291
2026-02-25T01:00:00+00:00,59.518,1.163,-0.075,1.156,11.288
2026-02-25T01:05:00+00:00,60.125,1.169,-0.087,1.162,11.259
2026-02-25T01:10:00+00:00,59.031,1.157,-0.07,1.144,11.26
2026-02-25T01:15:00+00:00,59.464,1.154,-0.112,1.156,11.264
2026-02-25T01:20:00+00:00,59.36,1.162,-0.072,1.156,11.265
2026-02-25T01:25:00+00:00,59.428,1.158,-0.068,1.157,11.3
2026-02-25T01:30:00+00:00,58.516,1.152,-0.077,1.152,11.31
2026-02-25T01:35:00+00:00,59.055,1.156,-0.101,1.152,11.325
2026-02-25T01:40:00+00:00,60.55,1.178,-0.052,1.179,11.293
2026-02-25T01:45:00+00:00,60.687,1.184,-0.064,1.172,11.307
2026-02-25T01:50:00+00:00,58.6,1.156,-0.101,1.134,11.362
2026-02-25T01:55:00+00:00,58.354,1.147,-0.084,1.134,11.379
2026-02-25T02:00:00+00:00,58.142,1.144,-0.069,1.132,11.364
2026-02-25T02:05:00+00:00,58.792,1.153,-0.076,1.138,11.338
2026-02-25T02:10:00+00:00,59.463,1.165,-0.067,1.154,11.344
2026-02-25T02:15:00+00:00,58.366,1.149,-0.048,1.135,11.384
2026-02-25T02:20:00+00:00,58.804,1.153,-0.033,1.148,11.408
2026-02-25T02:25:00+00:00,60.112,1.182,-0.04,1.17,11.414
2026-02-25T02:30:00+00:00,60.382,1.196,-0.046,1.178,11.41
2026-02-25T02:35:00+00:00,60.037,1.189,-0.044,1.172,11.401
2026-02-25T02:40:00+00:00,59.275,1.177,-0.053,1.164,11.414
2026-02-25T02:45:00+00:00,59.997,1.184,-0.051,1.174,11.418
2026-02-25T02:50:00+00:00,60.178,1.19,-0.035,1.177,11.44
2026-02-25T02:55:00+00:00,58.416,1.16,-0.037,1.148,11.451
2026-02-25T03:00:00+00:00,57.452,1.142,-0.054,1.127,11.449
2026-02-25T03:05:00+00:00,56.58,1.118,-0.068,1.107,11.432
2026-02-25T03:10:00+00:00,57.694,1.138,-0.064,1.132,11.42
2026-02-25T03:15:00+00:00,57.061,1.132,-0.063,1.114,11.43
2026-02-25T03:20:00+00:00,58.683,1.155,-0.052,1.146,11.424
2026-02-25T03:25:00+00:00,56.213,1.116,-0.07,1.102,11.436
2026-02-25T03:30:00+00:00,57.211,1.13,-0.072,1.122,11.436
2026-02-25T03:35:00+00:00,57.443,1.134,-0.062,1.117,11.396
2026-02-25T03:40:00+00:00,56.303,1.111,-0.078,1.098,11.391
2026-02-25T03:45:00+00:00,56.296,1.116,-0.082,1.102,11.414
2026-02-25T03:50:00+00:00,53.828,1.066,-0.102,1.055,11.429
2026-02-25T03:55:00+00:00,53.99,1.062,-0.124,1.059,11.434
2026-02-25T04:00:00+00:00,54.46,1.072,-0.104,1.072,11.434
2026-02-25T04:05:00+00:00,54.708,1.078,-0.126,1.069,11.485
2026-02-25T04:10:00+00:00,54.546,1.076,-0.138,1.072,11.471
2026-02-25T04:15:00+00:00,53.954,1.07,-0.127,1.06,11.448
2026-02-25T04:20:00+00:00,55.284,1.092,-0.088,1.088,11.438
2026-02-25T04:25:00+00:00,55.126,1.09,-0.088,1.084,11.442
2026-02-25T04:30:00+00:00,53.452,1.064,-0.118,1.056,11.45
2026-02-25T04:35:00+00:00,52.864,1.049,-0.107,1.043,11.445
2026-02-25T04:40:00+00:00,53.161,1.051,-0.099,1.048,11.441
2026-02-25T04:45:00+00:00,53.056,1.05,-0.113,1.043,11.45
2026-02-25T04:50:00+00:00,53.201,1.053,-0.118,1.046,11.456
2026-02-25T04:55:00+00:00,53.028,1.053,-0.11,1.042,11.45
2026-02-25T05:00:00+00:00,53.096,1.042,-0.118,1.039,11.456
2026-02-25T05:05:00+00:00,53.257,1.052,-0.101,1.044,11.451
2026-02-25T05:10:00+00:00,53.766,1.06,-0.094,1.06,11.445
