ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,97.148,1.84,0.368,-1.8,10.94
2026-02-25T00:10:00+00:00,99.668,1.889,0.363,-1.846,10.939
2026-02-25T00:15:00+00:00,98.725,1.866,0.367,-1.823,10.937
2026-02-25T00:20:00+00:00,101.92,1.93,0.315,-1.903,10.928
2026-02-25T00:25:00+00:00,101.971,1.925,0.32,-1.894,10.936
2026-02-25T00:30:00+00:00,101.633,1.93,0.306,-1.899,10.95
2026-02-25T00:35:00+00:00,108.603,2.057,0.295,-2.029,10.936
2026-02-25T00:40:00+00:00,112.425,2.13,0.302,-2.097,10.942
2026-02-25T00:45:00+00:00,115.643,2.194,0.283,-2.166,10.949
2026-02-25T00:50:00+00:00,112.173,2.13,0.3,-2.094,10.958
2026-02-25T00:55:00+00:00,111.793,2.123,0.286,-2.093,10.963
2026-02-25T01:00:00+00:00,112.993,2.145,0.285,-2.112,10.948
2026-02-25T01:05:00+00:00,115.149,2.176,0.289,-2.156,10.922
2026-02-25T01:10:00+00:00,112.821,2.129,0.297,-2.097,10.923
2026-02-25T01:15:00+00:00,111.687,2.121,0.296,-2.085,10.931
2026-02-25T01:20:00+00:00,109.984,2.076,0.296,-2.045,10.932
2026-02-25T01:25:00+00:00,113.375,2.147,0.3,-2.12,10.935
2026-02-25T01:30:00+00:00,111.618,2.112,0.315,-2.081,10.944
2026-02-25T01:35:00+00:00,112.253,2.127,0.292,-2.101,10.938
2026-02-25T01:40:00+00:00,110.443,2.09,0.29,-2.053,10.946
2026-02-25T01:45:00+00:00,109.657,2.075,0.288,-2.046,10.953
2026-02-25T01:50:00+00:00,107.257,2.039,0.331,-2.001,10.976
2026-02-25T01:55:00+00:00,108.476,2.063,0.319,-2.031,10.978
2026-02-25T02:00:00+00:00,106.965,2.035,0.327,-2.002,10.978
2026-02-25T02:05:00+00:00,107.239,2.031,0.3,-2.01,10.965
2026-02-25T02:10:00+00:00,108.492,2.059,0.314,-2.033,10.97
2026-02-25T02:15:00+00:00,109.043,2.072,0.288,-2.043,10.985
2026-02-25T02:20:00+00:00,107.846,2.049,0.322,-2.024,11.001
2026-02-25T02:25:00+00:00,105.617,2.021,0.314,-1.982,11.004
2026-02-25T02:30:00+00:00,107.97,2.055,0.299,-2.025,11.004
2026-02-25T02:35:00+00:00,105.967,2.015,0.288,-1.984,11.001
2026-02-25T02:40:00+00:00,105.961,2.023,0.276,-1.994,11.004
2026-02-25T02:45:00+00:00,106.593,2.036,0.299,-2.006,11.01
2026-02-25T02:50:00+00:00,102.573,1.966,0.312,-1.934,11.03
2026-02-25T02:55:00+00:00,100.033,1.912,0.319,-1.88,11.042
2026-02-25T03:00:00+00:00,98.31,1.884,0.33,-1.855,11.046
2026-02-25T03:05:00+00:00,98.347,1.885,0.332,-1.845,11.031
2026-02-25T03:10:00+00:00,97.285,1.86,0.33,-1.83,11.027
2026-02-25T03:15:00+00:00,98.915,1.885,0.309,-1.859,11.023
2026-02-25T03:20:00+00:00,95.583,1.829,0.319,-1.781,11.031
2026-02-25T03:25:00+00:00,97.196,1.858,0.314,-1.829,11.025
2026-02-25T03:30:00+00:00,94.473,1.8,0.32,-1.764,11.034
2026-02-25T03:35:00+00:00,96.678,1.841,0.304,-1.801,10.978
2026-02-25T03:40:00+00:00,93.094,1.777,0.347,-1.731,10.969
2026-02-25T03:45:00+00:00,94.132,1.785,0.35,-1.747,10.979
2026-02-25T03:50:00+00:00,93.685,1.778,0.348,-1.738,10.983
2026-02-25T03:55:00+00:00,96.641,1.838,0.35,-1.801,10.988
2026-02-25T04:00:00+00:00,97.942,1.862,0.357,-1.818,10.991
2026-02-25T04:05:00+00:00,96.805,1.854,0.316,-1.813,11.058
2026-02-25T04:10:00+00:00,96.107,1.834,0.316,-1.799,11.032
2026-02-25T04:15:00+00:00,99.142,1.887,0.294,-1.857,10.984
2026-02-25T04:20:00+00:00,99.009,1.882,0.285,-1.856,10.984
2026-02-25T04:25:00+00:00,97.646,1.857,0.296,-1.825,10.988
2026-02-25T04:30:00+00:00,96.383,1.835,0.321,-1.802,10.989
2026-02-25T04:35:00+00:00,94.321,1.792,0.305,-1.759,10.981
2026-02-25T04:40:00+00:00,94.382,1.791,0.321,-1.753,10.986
2026-02-25T04:45:00+00:00,92.525,1.758,0.336,-1.72,10.993
2026-02-25T04:50:00+00:00,95.082,1.804,0.327,-1.772,10.982
2026-02-25T04:55:00+00:00,92.74,1.763,0.329,-1.732,10.984
2026-02-25T05:00:00+00:00,94.498,1.801,0.326,-1.759,10.991
2026-02-25T05:05:00+00:00,94.355,1.795,0.31,-1.751,10.979
2026-02-25T05:10:00+00:00,95.71,1.821,0.319,-1.784,10.977
2026-02-25T05:15:00+00:00,90.961,1.731,0.321,-1.694,10.977
2026-02-25T05:20:00+00:00,95.676,1.813,0.306,-1.784,10.968
2026-02-25T05:25:00+00:00,96.797,1.837,0.285,-1.808,10.969
2026-02-25T05:30:00+00:00,97.142,1.848,0.308,-1.814,10.975
2026-02-25T05:35:00+00:00,97.356,1.852,0.313,-1.822,10.979
2026-02-25T05:40:00+00:00,96.029,1.823,0.317,-1.796,10.975
2026-02-25T05:45:00+00:00,96.584,1.835,0.338,-1.798,10.969
2026-02-25T05:50:00+00:00,95.054,1.809,0.337,-1.771,10.998
2026-02-25T05:55:00+00:00,99.869,1.905,0.32,-1.874,11.018
2026-02-25T06:00:00+00:00,101.247,1.92,0.294,-1.896,11.007
2026-02-25T06:05:00+00:00,106.184,2.022,0.272,-1.992,10.984
2026-02-25T06:10:00+00:00,107.205,2.058,0.28,-2.035,11.073
2026-02-25T06:15:00+00:00,107.692,2.058,0.306,-2.028,11.029
2026-02-25T06:20:00+00:00,107.847,2.059,0.317,-2.029,11.019
2026-02-25T06:25:00+00:00,108.029,2.06,0.275,-2.032,11.015
2026-02-25T06:30:00+00:00,108.487,2.069,0.285,-2.039,11.012
2026-02-25T06:35:00+00:00,111.286,2.128,0.285,-2.099,11.034
2026-02-25T06:40:00+00:00,115.175,2.188,0.266,-2.163,11.004
2026-02-25T06:45:00+00:00,116.449,2.211,0.253,-2.188,10.99
2026-02-25T06:50:00+00:00,120.409,2.289,0.289,-2.259,10.981
2026-02-25T06:55:00+00:00,119.567,2.273,0.325,-2.233,10.968
2026-02-25T07:00:00+00:00,125.912,2.388,0.29,-2.364,10.952
2026-02-25T07:05:00+00:00,127.07,2.404,0.302,-2.375,10.928
2026-02-25T07:10:00+00:00,128.459,2.426,0.273,-2.403,10.902
2026-02-25T07:15:00+00:00,126.028,2.38,0.286,-2.354,10.897
2026-02-25T07:20:00+00:00,132.842,2.51,0.3,-2.482,10.915
2026-02-25T07:25:00+00:00,134.187,2.536,0.312,-2.512,10.93
2026-02-25T07:30:00+00:00,133.768,2.532,0.313,-2.504,10.938
2026-02-25T07:35:00+00:00,137.043,2.595,0.317,-2.566,10.922
2026-02-25T07:40:00+00:00,135.607,2.561,0.273,-2.534,10.899
2026-02-25T07:45:00+00:00,138.663,2.614,0.231,-2.598,10.885
2026-02-25T07:50:00+00:00,134.562,2.536,0.219,-2.518,10.881
2026-02-25T07:55:00+00:00,137.462,2.587,0.233,-2.574,10.884
2026-02-25T08:00:00+00:00,140.925,2.665,0.251,-2.652,10.922
2026-02-25T08:05:00+00:00,144.066,2.731,0.268,-2.711,10.945
2026-02-25T08:10:00+00:00,140.331,2.664,0.26,-2.645,10.963
2026-02-25T08:15:00+00:00,138.357,2.629,0.283,-2.607,10.971
2026-02-25T08:20:00+00:00,138.834,2.641,0.254,-2.622,10.971
2026-02-25T08:25:00+00:00,136.535,2.593,0.247,-2.581,10.971
2026-02-25T08:30:00+00:00,140.684,2.677,0.256,-2.66,10.98
2026-02-25T08:35:00+00:00,140.223,2.66,0.255,-2.638,10.948
