ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,160.753,3.178,-0.51,2.9,11.412
2026-02-25T00:10:00+00:00,162.326,3.2,-0.514,2.929,11.377
2026-02-25T00:15:00+00:00,162.106,3.194,-0.522,2.923,11.378
2026-02-25T00:20:00+00:00,162.529,3.196,-0.55,2.923,11.364
2026-02-25T00:25:00+00:00,160.3,3.154,-0.543,2.865,11.352
2026-02-25T00:30:00+00:00,158.746,3.123,-0.546,2.822,11.355
2026-02-25T00:35:00+00:00,160.466,3.15,-0.542,2.859,11.332
2026-02-25T00:40:00+00:00,162.346,3.178,-0.554,2.898,11.321
2026-02-25T00:45:00+00:00,162.716,3.193,-0.549,2.874,11.332
2026-02-25T00:50:00+00:00,160.514,3.153,-0.554,2.832,11.341
2026-02-25T00:55:00+00:00,157.85,3.105,-0.558,2.795,11.353
2026-02-25T01:00:00+00:00,156.352,3.074,-0.55,2.758,11.345
2026-02-25T01:05:00+00:00,154.552,3.029,-0.557,2.745,11.323
2026-02-25T01:10:00+00:00,152.148,2.994,-0.561,2.702,11.326
2026-02-25T01:15:00+00:00,151.504,2.976,-0.558,2.693,11.327
2026-02-25T01:20:00+00:00,151.718,2.972,-0.562,2.686,11.295
2026-02-25T01:25:00+00:00,150.006,2.939,-0.564,2.626,11.299
2026-02-25T01:30:00+00:00,150.305,2.936,-0.566,2.665,11.309
2026-02-25T01:35:00+00:00,150.945,2.962,-0.57,2.647,11.318
2026-02-25T01:40:00+00:00,148.893,2.923,-0.572,2.625,11.302
2026-02-25T01:45:00+00:00,148.884,2.914,-0.568,2.626,11.314
2026-02-25T01:50:00+00:00,147.815,2.915,-0.58,2.596,11.352
2026-02-25T01:55:00+00:00,145.326,2.864,-0.56,2.554,11.369
2026-02-25T02:00:00+00:00,145.199,2.856,-0.54,2.55,11.356
2026-02-25T02:05:00+00:00,147.578,2.894,-0.556,2.597,11.331
2026-02-25T02:10:00+00:00,146.346,2.875,-0.578,2.558,11.344
2026-02-25T02:15:00+00:00,147.072,2.9,-0.572,2.56,11.377
2026-02-25T02:20:00+00:00,145.389,2.873,-0.542,2.556,11.407
2026-02-25T02:25:00+00:00,143.895,2.847,-0.542,2.542,11.414
2026-02-25T02:30:00+00:00,143.83,2.842,-0.548,2.525,11.41
2026-02-25T02:35:00+00:00,142.023,2.811,-0.559,2.492,11.401
2026-02-25T02:40:00+00:00,140.51,2.778,-0.566,2.465,11.409
2026-02-25T02:45:00+00:00,139.13,2.75,-0.582,2.439,11.419
2026-02-25T02:50:00+00:00,137.248,2.717,-0.56,2.394,11.442
2026-02-25T02:55:00+00:00,136.026,2.7,-0.558,2.38,11.445
2026-02-25T03:00:00+00:00,136.384,2.706,-0.551,2.386,11.443
2026-02-25T03:05:00+00:00,135.471,2.68,-0.536,2.386,11.425
2026-02-25T03:10:00+00:00,134.888,2.672,-0.553,2.378,11.419
2026-02-25T03:15:00+00:00,135.536,2.68,-0.556,2.367,11.422
2026-02-25T03:20:00+00:00,134.679,2.672,-0.552,2.357,11.427
2026-02-25T03:25:00+00:00,134.647,2.665,-0.551,2.332,11.427
2026-02-25T03:30:00+00:00,133.035,2.638,-0.578,2.311,11.433
2026-02-25T03:35:00+00:00,133.974,2.644,-0.58,2.33,11.392
2026-02-25T03:40:00+00:00,133.281,2.631,-0.578,2.316,11.39
2026-02-25T03:45:00+00:00,133.056,2.635,-0.564,2.321,11.412
2026-02-25T03:50:00+00:00,131.933,2.617,-0.564,2.302,11.416
2026-02-25T03:55:00+00:00,131.053,2.6,-0.572,2.276,11.418
2026-02-25T04:00:00+00:00,131.002,2.588,-0.562,2.287,11.427
2026-02-25T04:05:00+00:00,130.706,2.592,-0.552,2.314,11.471
2026-02-25T04:10:00+00:00,130.018,2.585,-0.542,2.324,11.46
2026-02-25T04:15:00+00:00,131.096,2.596,-0.534,2.336,11.428
2026-02-25T04:20:00+00:00,130.489,2.583,-0.536,2.346,11.433
2026-02-25T04:25:00+00:00,131.16,2.601,-0.539,2.308,11.434
2026-02-25T04:30:00+00:00,131.393,2.601,-0.558,2.324,11.426
2026-02-25T04:35:00+00:00,131.219,2.602,-0.576,2.332,11.426
2026-02-25T04:40:00+00:00,131.082,2.592,-0.58,2.326,11.427
2026-02-25T04:45:00+00:00,130.614,2.59,-0.581,2.314,11.434
2026-02-25T04:50:00+00:00,129.999,2.571,-0.565,2.324,11.437
2026-02-25T04:55:00+00:00,130.577,2.583,-0.57,2.318,11.434
2026-02-25T05:00:00+00:00,131.868,2.608,-0.562,2.331,11.435
2026-02-25T05:05:00+00:00,131.824,2.604,-0.562,2.328,11.428
2026-02-25T05:10:00+00:00,130.752,2.59,-0.55,2.309,11.423
2026-02-25T05:15:00+00:00,130.728,2.582,-0.556,2.326,11.413
2026-02-25T05:20:00+00:00,132.39,2.615,-0.562,2.331,11.416
2026-02-25T05:25:00+00:00,132.381,2.617,-0.568,2.326,11.418
2026-02-25T05:30:00+00:00,133.312,2.632,-0.572,2.34,11.421
2026-02-25T05:35:00+00:00,134.642,2.665,-0.552,2.368,11.437
