ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,195.191,3.816,-0.385,3.807,11.296
2026-02-25T00:10:00+00:00,196.824,3.843,-0.385,3.778,11.268
2026-02-25T00:15:00+00:00,197.257,3.847,-0.401,3.782,11.267
2026-02-25T00:20:00+00:00,192.587,3.76,-0.465,3.691,11.27
2026-02-25T00:25:00+00:00,190.772,3.722,-0.453,3.624,11.257
2026-02-25T00:30:00+00:00,190.709,3.711,-0.449,3.663,11.254
2026-02-25T00:35:00+00:00,193.393,3.767,-0.454,3.69,11.232
2026-02-25T00:40:00+00:00,193.073,3.754,-0.505,3.695,11.226
2026-02-25T00:45:00+00:00,192.764,3.755,-0.472,3.687,11.239
2026-02-25T00:50:00+00:00,190.796,3.712,-0.451,3.627,11.242
2026-02-25T00:55:00+00:00,187.537,3.661,-0.497,3.547,11.26
2026-02-25T01:00:00+00:00,182.7,3.565,-0.526,3.492,11.262
2026-02-25T01:05:00+00:00,184.339,3.583,-0.467,3.522,11.228
2026-02-25T01:10:00+00:00,186.158,3.611,-0.439,3.569,11.213
2026-02-25T01:15:00+00:00,189.287,3.668,-0.46,3.623,11.213
2026-02-25T01:20:00+00:00,189.112,3.683,-0.454,3.629,11.259
2026-02-25T01:25:00+00:00,186.642,3.649,-0.49,3.586,11.285
2026-02-25T01:30:00+00:00,185.53,3.636,-0.479,3.549,11.308
2026-02-25T01:35:00+00:00,185.073,3.633,-0.521,3.552,11.336
2026-02-25T01:40:00+00:00,183.017,3.584,-0.511,3.534,11.3
2026-02-25T01:45:00+00:00,184.31,3.605,-0.44,3.564,11.303
2026-02-25T01:50:00+00:00,183.813,3.613,-0.462,3.56,11.337
2026-02-25T01:55:00+00:00,184.487,3.626,-0.45,3.561,11.351
2026-02-25T02:00:00+00:00,184.123,3.62,-0.446,3.559,11.334
2026-02-25T02:05:00+00:00,180.247,3.545,-0.481,3.473,11.31
2026-02-25T02:10:00+00:00,172.986,3.391,-0.526,3.36,11.339
2026-02-25T02:15:00+00:00,173.572,3.413,-0.525,3.382,11.369
2026-02-25T02:20:00+00:00,172.795,3.417,-0.57,3.36,11.415
2026-02-25T02:25:00+00:00,174.237,3.441,-0.518,3.426,11.409
2026-02-25T02:30:00+00:00,173.093,3.424,-0.528,3.389,11.407
2026-02-25T02:35:00+00:00,171.622,3.388,-0.526,3.357,11.393
2026-02-25T02:40:00+00:00,169.299,3.348,-0.53,3.304,11.398
2026-02-25T02:45:00+00:00,168.183,3.325,-0.551,3.294,11.413
2026-02-25T02:50:00+00:00,170.354,3.375,-0.574,3.298,11.442
2026-02-25T02:55:00+00:00,171.656,3.397,-0.512,3.34,11.441
2026-02-25T03:00:00+00:00,173.795,3.437,-0.454,3.401,11.426
2026-02-25T03:05:00+00:00,174.294,3.444,-0.454,3.403,11.4
2026-02-25T03:10:00+00:00,172.644,3.406,-0.454,3.376,11.392
2026-02-25T03:15:00+00:00,171.611,3.387,-0.49,3.353,11.405
2026-02-25T03:20:00+00:00,166.524,3.301,-0.59,3.252,11.435
2026-02-25T03:25:00+00:00,168.823,3.342,-0.523,3.295,11.433
