ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,62.563,1.184,0.212,-1.154,11.004
2026-02-25T00:10:00+00:00,62.905,1.205,0.205,-1.175,11.012
2026-02-25T00:15:00+00:00,65.065,1.24,0.198,-1.229,11.003
2026-02-25T00:20:00+00:00,68.229,1.294,0.19,-1.263,10.995
2026-02-25T00:25:00+00:00,67.136,1.275,0.233,-1.244,11.01
2026-02-25T00:30:00+00:00,63.886,1.221,0.243,-1.2,11.028
2026-02-25T00:35:00+00:00,63.825,1.213,0.232,-1.185,11.017
2026-02-25T00:40:00+00:00,64.894,1.239,0.221,-1.219,11.028
2026-02-25T00:45:00+00:00,67.985,1.299,0.211,-1.269,11.033
2026-02-25T00:50:00+00:00,69.837,1.334,0.224,-1.307,11.034
2026-02-25T00:55:00+00:00,71.864,1.369,0.243,-1.322,11.041
2026-02-25T01:00:00+00:00,69.472,1.336,0.236,-1.293,11.023
2026-02-25T01:05:00+00:00,71.791,1.37,0.229,-1.359,11.0
2026-02-25T01:10:00+00:00,71.638,1.365,0.222,-1.352,11.004
2026-02-25T01:15:00+00:00,72.321,1.378,0.214,-1.355,11.009
2026-02-25T01:20:00+00:00,70.96,1.353,0.207,-1.354,11.013
2026-02-25T01:25:00+00:00,70.929,1.352,0.2,-1.323,11.017
2026-02-25T01:30:00+00:00,67.897,1.294,0.198,-1.277,11.014
2026-02-25T01:35:00+00:00,68.713,1.311,0.227,-1.287,11.02
2026-02-25T01:40:00+00:00,65.951,1.259,0.206,-1.224,11.024
2026-02-25T01:45:00+00:00,64.799,1.237,0.216,-1.216,11.029
2026-02-25T01:50:00+00:00,61.79,1.181,0.225,-1.162,11.038
2026-02-25T01:55:00+00:00,61.495,1.176,0.206,-1.157,11.035
2026-02-25T02:00:00+00:00,62.489,1.196,0.196,-1.187,11.031
2026-02-25T02:05:00+00:00,65.775,1.256,0.219,-1.237,11.032
2026-02-25T02:10:00+00:00,64.925,1.238,0.244,-1.214,11.04
2026-02-25T02:15:00+00:00,65.07,1.245,0.236,-1.22,11.059
2026-02-25T02:20:00+00:00,64.569,1.238,0.243,-1.216,11.071
2026-02-25T02:25:00+00:00,63.627,1.22,0.239,-1.201,11.075
2026-02-25T02:30:00+00:00,62.322,1.195,0.232,-1.156,11.078
2026-02-25T02:35:00+00:00,60.58,1.162,0.224,-1.133,11.081
2026-02-25T02:40:00+00:00,60.156,1.153,0.217,-1.116,11.077
2026-02-25T02:45:00+00:00,60.098,1.155,0.209,-1.123,11.082
2026-02-25T02:50:00+00:00,58.669,1.125,0.216,-1.109,11.09
2026-02-25T02:55:00+00:00,59.918,1.151,0.244,-1.12,11.099
2026-02-25T03:00:00+00:00,57.222,1.099,0.237,-1.082,11.102
2026-02-25T03:05:00+00:00,55.624,1.068,0.23,-1.037,11.086
2026-02-25T03:10:00+00:00,53.45,1.028,0.223,-0.985,11.087
2026-02-25T03:15:00+00:00,52.658,1.011,0.216,-0.994,11.092
2026-02-25T03:20:00+00:00,53.77,1.033,0.209,-0.998,11.089
2026-02-25T03:25:00+00:00,55.063,1.057,0.204,-1.026,11.081
2026-02-25T03:30:00+00:00,53.879,1.038,0.227,-1.004,11.094
2026-02-25T03:35:00+00:00,56.393,1.077,0.202,-1.047,11.028
2026-02-25T03:40:00+00:00,54.762,1.045,0.23,-1.016,11.021
2026-02-25T03:45:00+00:00,54.687,1.042,0.23,-1.015,11.022
2026-02-25T03:50:00+00:00,55.232,1.053,0.23,-1.032,11.03
2026-02-25T03:55:00+00:00,54.671,1.039,0.23,-1.007,11.041
2026-02-25T04:00:00+00:00,52.274,1.001,0.23,-0.962,11.048
2026-02-25T04:05:00+00:00,53.065,1.021,0.23,-0.98,11.11
2026-02-25T04:10:00+00:00,51.157,0.982,0.23,-0.954,11.08
2026-02-25T04:15:00+00:00,51.769,0.99,0.23,-0.96,11.042
2026-02-25T04:20:00+00:00,51.152,0.978,0.23,-0.949,11.038
2026-02-25T04:25:00+00:00,50.145,0.959,0.232,-0.929,11.035
2026-02-25T04:30:00+00:00,52.004,0.995,0.238,-0.968,11.04
2026-02-25T04:35:00+00:00,50.475,0.968,0.243,-0.932,11.037
2026-02-25T04:40:00+00:00,51.145,0.978,0.248,-0.943,11.041
2026-02-25T04:45:00+00:00,51.704,0.989,0.254,-0.953,11.037
2026-02-25T04:50:00+00:00,52.06,0.996,0.259,-0.953,11.034
2026-02-25T04:55:00+00:00,50.385,0.963,0.264,-0.937,11.037
