ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,158.587,3.101,-0.29,2.794,11.294
2026-02-25T00:10:00+00:00,160.218,3.126,-0.292,2.79,11.263
2026-02-25T00:15:00+00:00,157.53,3.072,-0.285,2.786,11.264
2026-02-25T00:20:00+00:00,159.74,3.112,-0.284,2.792,11.258
2026-02-25T00:25:00+00:00,157.469,3.076,-0.293,2.782,11.26
2026-02-25T00:30:00+00:00,156.187,3.05,-0.282,2.732,11.266
2026-02-25T00:35:00+00:00,153.148,2.99,-0.303,2.712,11.264
2026-02-25T00:40:00+00:00,152.883,2.981,-0.294,2.728,11.262
2026-02-25T00:45:00+00:00,153.024,2.992,-0.271,2.73,11.269
2026-02-25T00:50:00+00:00,152.821,2.982,-0.291,2.71,11.267
2026-02-25T00:55:00+00:00,152.15,2.971,-0.278,2.733,11.274
2026-02-25T01:00:00+00:00,150.892,2.947,-0.29,2.662,11.276
2026-02-25T01:05:00+00:00,152.656,2.972,-0.288,2.714,11.25
2026-02-25T01:10:00+00:00,152.946,2.981,-0.326,2.728,11.253
2026-02-25T01:15:00+00:00,153.546,2.997,-0.321,2.726,11.267
2026-02-25T01:20:00+00:00,153.825,3.006,-0.282,2.718,11.266
2026-02-25T01:25:00+00:00,150.572,2.946,-0.286,2.67,11.277
2026-02-25T01:30:00+00:00,149.824,2.928,-0.288,2.654,11.284
2026-02-25T01:35:00+00:00,149.771,2.927,-0.282,2.657,11.277
2026-02-25T01:40:00+00:00,148.896,2.908,-0.298,2.649,11.29
2026-02-25T01:45:00+00:00,148.698,2.912,-0.276,2.66,11.294
2026-02-25T01:50:00+00:00,147.764,2.899,-0.312,2.641,11.312
2026-02-25T01:55:00+00:00,147.412,2.9,-0.308,2.607,11.323
2026-02-25T02:00:00+00:00,145.165,2.852,-0.318,2.582,11.319
2026-02-25T02:05:00+00:00,147.058,2.882,-0.324,2.617,11.309
2026-02-25T02:10:00+00:00,146.799,2.872,-0.33,2.607,11.31
2026-02-25T02:15:00+00:00,146.249,2.868,-0.364,2.6,11.33
2026-02-25T02:20:00+00:00,145.752,2.856,-0.344,2.58,11.301
2026-02-25T02:25:00+00:00,142.893,2.784,-0.289,2.554,11.282
2026-02-25T02:30:00+00:00,141.909,2.779,-0.286,2.538,11.288
2026-02-25T02:35:00+00:00,141.972,2.766,-0.278,2.532,11.277
2026-02-25T02:40:00+00:00,142.025,2.772,-0.282,2.524,11.281
2026-02-25T02:45:00+00:00,142.12,2.779,-0.308,2.492,11.282
2026-02-25T02:50:00+00:00,140.308,2.746,-0.327,2.479,11.31
2026-02-25T02:55:00+00:00,138.236,2.719,-0.324,2.452,11.328
2026-02-25T03:00:00+00:00,139.662,2.74,-0.278,2.453,11.319
2026-02-25T03:05:00+00:00,139.403,2.722,-0.258,2.48,11.286
2026-02-25T03:10:00+00:00,141.012,2.751,-0.246,2.488,11.272
2026-02-25T03:15:00+00:00,139.906,2.734,-0.233,2.488,11.276
