ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,92.098,1.78,0.447,-1.729,11.21
2026-02-25T00:10:00+00:00,92.452,1.785,0.438,-1.726,11.183
2026-02-25T00:15:00+00:00,92.684,1.788,0.44,-1.726,11.175
2026-02-25T00:20:00+00:00,91.798,1.776,0.452,-1.724,11.178
2026-02-25T00:25:00+00:00,90.497,1.763,0.468,-1.702,11.182
2026-02-25T00:30:00+00:00,89.902,1.764,0.462,-1.693,11.194
2026-02-25T00:35:00+00:00,90.05,1.756,0.45,-1.673,11.185
2026-02-25T00:40:00+00:00,90.017,1.743,0.438,-1.66,11.178
2026-02-25T00:45:00+00:00,89.489,1.749,0.456,-1.653,11.185
2026-02-25T00:50:00+00:00,88.564,1.744,0.459,-1.632,11.19
2026-02-25T00:55:00+00:00,88.365,1.724,0.476,-1.636,11.204
2026-02-25T01:00:00+00:00,88.191,1.719,0.474,-1.65,11.198
2026-02-25T01:05:00+00:00,88.427,1.722,0.472,-1.63,11.179
2026-02-25T01:10:00+00:00,88.143,1.714,0.47,-1.638,11.183
2026-02-25T01:15:00+00:00,87.472,1.724,0.468,-1.635,11.192
2026-02-25T01:20:00+00:00,86.742,1.707,0.466,-1.614,11.201
2026-02-25T01:25:00+00:00,86.321,1.706,0.463,-1.606,11.207
2026-02-25T01:30:00+00:00,86.206,1.686,0.461,-1.598,11.212
2026-02-25T01:35:00+00:00,86.759,1.707,0.459,-1.589,11.209
2026-02-25T01:40:00+00:00,85.064,1.676,0.457,-1.579,11.222
2026-02-25T01:45:00+00:00,84.545,1.641,0.456,-1.562,11.225
2026-02-25T01:50:00+00:00,83.962,1.654,0.474,-1.557,11.227
2026-02-25T01:55:00+00:00,82.667,1.624,0.48,-1.529,11.25
2026-02-25T02:00:00+00:00,82.208,1.598,0.48,-1.512,11.242
2026-02-25T02:05:00+00:00,82.652,1.612,0.481,-1.564,11.228
2026-02-25T02:10:00+00:00,82.214,1.615,0.48,-1.555,11.234
2026-02-25T02:15:00+00:00,81.763,1.618,0.481,-1.537,11.256
2026-02-25T02:20:00+00:00,81.329,1.602,0.481,-1.524,11.266
2026-02-25T02:25:00+00:00,80.924,1.6,0.482,-1.513,11.266
2026-02-25T02:30:00+00:00,80.52,1.602,0.482,-1.507,11.278
2026-02-25T02:35:00+00:00,80.11,1.588,0.482,-1.502,11.267
2026-02-25T02:40:00+00:00,79.598,1.564,0.482,-1.483,11.272
2026-02-25T02:45:00+00:00,79.018,1.562,0.482,-1.492,11.27
