ValueDate,Current Inst,Derived MVA,Volts Inst
2026-02-25T00:05:00+00:00,118.182,2.176,10.638
2026-02-25T00:10:00+00:00,120.735,2.218,10.604
2026-02-25T00:15:00+00:00,120.118,2.205,10.599
2026-02-25T00:20:00+00:00,121.665,2.245,10.673
2026-02-25T00:25:00+00:00,119.542,2.218,10.714
2026-02-25T00:30:00+00:00,118.292,2.198,10.735
2026-02-25T00:35:00+00:00,115.39,2.141,10.708
2026-02-25T00:40:00+00:00,115.736,2.147,10.705
2026-02-25T00:45:00+00:00,115.316,2.138,10.712
2026-02-25T00:50:00+00:00,114.497,2.124,10.716
2026-02-25T00:55:00+00:00,114.264,2.122,10.718
2026-02-25T01:00:00+00:00,114.338,2.122,10.707
2026-02-25T01:05:00+00:00,114.553,2.122,10.69
2026-02-25T01:10:00+00:00,113.541,2.102,10.695
2026-02-25T01:15:00+00:00,112.371,2.08,10.695
2026-02-25T01:20:00+00:00,111.27,2.058,10.694
2026-02-25T01:25:00+00:00,110.542,2.049,10.698
2026-02-25T01:30:00+00:00,110.05,2.04,10.696
2026-02-25T01:35:00+00:00,112.008,2.072,10.691
2026-02-25T01:40:00+00:00,112.648,2.09,10.696
2026-02-25T01:45:00+00:00,112.026,2.075,10.708
2026-02-25T01:50:00+00:00,112.505,2.091,10.728
2026-02-25T01:55:00+00:00,110.389,2.052,10.733
2026-02-25T02:00:00+00:00,110.248,2.047,10.732
2026-02-25T02:05:00+00:00,109.703,2.037,10.722
2026-02-25T02:10:00+00:00,109.744,2.039,10.733
2026-02-25T02:15:00+00:00,110.262,2.055,10.754
2026-02-25T02:20:00+00:00,111.132,2.067,10.751
2026-02-25T02:25:00+00:00,108.535,2.023,10.77
2026-02-25T02:30:00+00:00,107.365,2.003,10.772
2026-02-25T02:35:00+00:00,107.36,2.001,10.77
2026-02-25T02:40:00+00:00,107.732,2.011,10.776
2026-02-25T02:45:00+00:00,106.186,1.984,10.796
2026-02-25T02:50:00+00:00,106.55,1.996,10.812
2026-02-25T02:55:00+00:00,106.116,1.989,10.808
2026-02-25T03:00:00+00:00,104.226,1.954,10.81
2026-02-25T03:05:00+00:00,103.302,1.93,10.779
2026-02-25T03:10:00+00:00,102.346,1.91,10.77
2026-02-25T03:15:00+00:00,101.486,1.896,10.787
2026-02-25T03:20:00+00:00,101.907,1.903,10.784
2026-02-25T03:25:00+00:00,103.262,1.928,10.782
2026-02-25T03:30:00+00:00,103.194,1.928,10.794
2026-02-25T03:35:00+00:00,102.782,1.916,10.769
2026-02-25T03:40:00+00:00,102.548,1.914,10.776
2026-02-25T03:45:00+00:00,102.49,1.915,10.79
2026-02-25T03:50:00+00:00,102.637,1.918,10.796
2026-02-25T03:55:00+00:00,102.344,1.916,10.81
2026-02-25T04:00:00+00:00,101.334,1.898,10.817
2026-02-25T04:05:00+00:00,101.682,1.907,10.822
2026-02-25T04:10:00+00:00,101.538,1.883,10.709
2026-02-25T04:15:00+00:00,101.5,1.88,10.695
2026-02-25T04:20:00+00:00,101.989,1.886,10.686
2026-02-25T04:25:00+00:00,100.856,1.868,10.684
2026-02-25T04:30:00+00:00,101.795,1.881,10.686
2026-02-25T04:35:00+00:00,102.318,1.894,10.689
2026-02-25T04:40:00+00:00,102.885,1.904,10.698
2026-02-25T04:45:00+00:00,102.077,1.892,10.695
2026-02-25T04:50:00+00:00,101.917,1.888,10.693
2026-02-25T04:55:00+00:00,102.09,1.89,10.694
2026-02-25T05:00:00+00:00,102.942,1.904,10.694
2026-02-25T05:05:00+00:00,103.261,1.91,10.673
2026-02-25T05:10:00+00:00,103.817,1.916,10.659
2026-02-25T05:15:00+00:00,103.226,1.906,10.656
2026-02-25T05:20:00+00:00,103.994,1.919,10.652
2026-02-25T05:25:00+00:00,104.31,1.926,10.656
2026-02-25T05:30:00+00:00,105.162,1.94,10.658
2026-02-25T05:35:00+00:00,107.01,1.975,10.662
2026-02-25T05:40:00+00:00,107.302,1.981,10.646
2026-02-25T05:45:00+00:00,108.55,1.999,10.629
2026-02-25T05:50:00+00:00,111.29,2.047,10.632
2026-02-25T05:55:00+00:00,114.208,2.104,10.631
2026-02-25T06:00:00+00:00,115.358,2.126,10.625
2026-02-25T06:05:00+00:00,117.57,2.156,10.591
2026-02-25T06:10:00+00:00,120.179,2.216,10.64
2026-02-25T06:15:00+00:00,120.84,2.223,10.612
2026-02-25T06:20:00+00:00,122.58,2.264,10.674
2026-02-25T06:25:00+00:00,124.298,2.303,10.706
2026-02-25T06:30:00+00:00,126.18,2.34,10.704
2026-02-25T06:35:00+00:00,126.037,2.352,10.762
2026-02-25T06:40:00+00:00,126.512,2.343,10.69
2026-02-25T06:45:00+00:00,130.675,2.417,10.664
2026-02-25T06:50:00+00:00,132.032,2.44,10.656
2026-02-25T06:55:00+00:00,131.358,2.42,10.63
2026-02-25T07:00:00+00:00,135.01,2.492,10.648
2026-02-25T07:05:00+00:00,140.306,2.584,10.634
2026-02-25T07:10:00+00:00,146.058,2.68,10.588
2026-02-25T07:15:00+00:00,149.522,2.74,10.572
2026-02-25T07:20:00+00:00,150.168,2.76,10.626
2026-02-25T07:25:00+00:00,149.338,2.755,10.655
2026-02-25T07:30:00+00:00,151.689,2.8,10.666
2026-02-25T07:35:00+00:00,153.442,2.832,10.65
2026-02-25T07:40:00+00:00,154.997,2.851,10.62
2026-02-25T07:45:00+00:00,155.91,2.867,10.609
2026-02-25T07:50:00+00:00,157.663,2.894,10.597
2026-02-25T07:55:00+00:00,160.33,2.942,10.59
2026-02-25T08:00:00+00:00,159.115,2.924,10.609
2026-02-25T08:05:00+00:00,157.264,2.896,10.631
2026-02-25T08:10:00+00:00,157.704,2.905,10.629
2026-02-25T08:15:00+00:00,158.508,2.918,10.63
2026-02-25T08:20:00+00:00,159.373,2.936,10.626
2026-02-25T08:25:00+00:00,160.947,2.964,10.642
2026-02-25T08:30:00+00:00,159.21,2.939,10.657
2026-02-25T08:35:00+00:00,161.116,2.974,10.655
2026-02-25T08:40:00+00:00,163.862,3.024,10.649
2026-02-25T08:45:00+00:00,163.99,3.026,10.644
2026-02-25T08:50:00+00:00,162.708,3.001,10.645
2026-02-25T08:55:00+00:00,161.964,2.984,10.629
2026-02-25T09:00:00+00:00,167.717,3.087,10.631
2026-02-25T09:05:00+00:00,169.372,3.122,10.646
2026-02-25T09:10:00+00:00,171.29,3.155,10.642
2026-02-25T09:15:00+00:00,171.044,3.145,10.619
2026-02-25T09:20:00+00:00,169.832,3.131,10.648
2026-02-25T09:25:00+00:00,170.79,3.152,10.657
2026-02-25T09:30:00+00:00,173.454,3.203,10.665
2026-02-25T09:35:00+00:00,173.997,3.214,10.668
2026-02-25T09:40:00+00:00,175.862,3.25,10.669
2026-02-25T09:45:00+00:00,175.925,3.255,10.686
2026-02-25T09:50:00+00:00,177.002,3.274,10.677
2026-02-25T09:55:00+00:00,178.824,3.308,10.686
2026-02-25T10:00:00+00:00,176.503,3.271,10.706
2026-02-25T10:05:00+00:00,177.537,3.292,10.715
2026-02-25T10:10:00+00:00,180.708,3.352,10.715
2026-02-25T10:15:00+00:00,181.029,3.359,10.714
2026-02-25T10:20:00+00:00,179.024,3.324,10.719
2026-02-25T10:25:00+00:00,181.56,3.367,10.706
2026-02-25T10:30:00+00:00,182.204,3.382,10.72
2026-02-25T10:35:00+00:00,178.898,3.324,10.724
2026-02-25T10:40:00+00:00,176.368,3.279,10.73
2026-02-25T10:45:00+00:00,174.184,3.236,10.73
2026-02-25T10:50:00+00:00,171.846,3.194,10.738
2026-02-25T10:55:00+00:00,172.72,3.218,10.766
2026-02-25T11:00:00+00:00,172.224,3.212,10.774
2026-02-25T11:05:00+00:00,172.847,3.193,10.66
2026-02-25T11:10:00+00:00,170.212,3.132,10.618
2026-02-25T11:15:00+00:00,167.326,3.09,10.662
2026-02-25T11:20:00+00:00,164.038,3.034,10.695
2026-02-25T11:25:00+00:00,163.273,3.04,10.758
2026-02-25T11:30:00+00:00,168.385,3.142,10.779
2026-02-25T11:35:00+00:00,168.068,3.141,10.791
2026-02-25T11:40:00+00:00,166.462,3.108,10.778
