ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,39.83,0.734,0.06,-0.73,10.934
2026-02-25T00:10:00+00:00,40.214,0.754,0.061,-0.738,10.895
2026-02-25T00:15:00+00:00,38.97,0.742,0.06,-0.742,10.885
2026-02-25T00:20:00+00:00,40.376,0.754,0.072,-0.756,10.885
2026-02-25T00:25:00+00:00,40.124,0.764,0.073,-0.739,10.912
2026-02-25T00:30:00+00:00,40.311,0.766,0.052,-0.754,10.936
2026-02-25T00:35:00+00:00,40.714,0.75,0.046,-0.766,10.903
2026-02-25T00:40:00+00:00,41.098,0.768,0.052,-0.774,10.894
2026-02-25T00:45:00+00:00,41.204,0.786,0.06,-0.792,10.912
2026-02-25T00:50:00+00:00,41.638,0.786,0.05,-0.806,10.916
2026-02-25T00:55:00+00:00,41.498,0.792,0.048,-0.814,10.922
2026-02-25T01:00:00+00:00,42.011,0.784,0.048,-0.816,10.916
2026-02-25T01:05:00+00:00,42.948,0.804,0.055,-0.795,10.884
2026-02-25T01:10:00+00:00,42.382,0.802,0.062,-0.786,10.888
2026-02-25T01:15:00+00:00,41.744,0.783,0.064,-0.776,10.894
2026-02-25T01:20:00+00:00,41.241,0.794,0.05,-0.753,10.896
2026-02-25T01:25:00+00:00,39.728,0.76,0.046,-0.735,10.916
2026-02-25T01:30:00+00:00,39.196,0.736,0.043,-0.727,10.925
2026-02-25T01:35:00+00:00,39.404,0.744,0.04,-0.737,10.937
2026-02-25T01:40:00+00:00,39.572,0.741,0.037,-0.738,10.923
2026-02-25T01:45:00+00:00,39.499,0.767,0.034,-0.738,10.933
2026-02-25T01:50:00+00:00,38.415,0.754,0.036,-0.738,10.976
2026-02-25T01:55:00+00:00,39.272,0.735,0.039,-0.738,10.982
2026-02-25T02:00:00+00:00,39.34,0.742,0.041,-0.75,10.968
2026-02-25T02:05:00+00:00,40.069,0.738,0.044,-0.773,10.943
2026-02-25T02:10:00+00:00,40.598,0.758,0.046,-0.769,10.959
2026-02-25T02:15:00+00:00,40.434,0.752,0.034,-0.744,11.001
2026-02-25T02:20:00+00:00,40.31,0.759,0.024,-0.74,11.03
2026-02-25T02:25:00+00:00,39.958,0.766,0.024,-0.748,11.029
2026-02-25T02:30:00+00:00,39.136,0.77,0.024,-0.741,11.032
2026-02-25T02:35:00+00:00,38.992,0.738,0.023,-0.736,11.019
2026-02-25T02:40:00+00:00,38.756,0.74,0.023,-0.732,11.032
2026-02-25T02:45:00+00:00,38.436,0.75,0.022,-0.728,11.041
2026-02-25T02:50:00+00:00,37.558,0.743,0.022,-0.714,11.062
2026-02-25T02:55:00+00:00,37.702,0.72,0.025,-0.718,11.035
2026-02-25T03:00:00+00:00,38.729,0.724,0.03,-0.724,11.03
