ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,98.847,1.933,0.08,1.762,11.292
2026-02-25T00:10:00+00:00,99.667,1.943,0.07,1.781,11.254
2026-02-25T00:15:00+00:00,98.799,1.926,0.047,1.748,11.257
2026-02-25T00:20:00+00:00,97.737,1.903,0.051,1.737,11.246
2026-02-25T00:25:00+00:00,97.21,1.894,0.075,1.73,11.245
2026-02-25T00:30:00+00:00,93.005,1.812,0.072,1.641,11.25
2026-02-25T00:35:00+00:00,97.023,1.894,0.092,1.72,11.274
2026-02-25T00:40:00+00:00,99.974,1.958,0.095,1.784,11.307
2026-02-25T00:45:00+00:00,99.814,1.959,0.117,1.798,11.328
2026-02-25T00:50:00+00:00,99.338,1.95,0.078,1.768,11.332
2026-02-25T00:55:00+00:00,97.398,1.914,0.063,1.74,11.349
2026-02-25T01:00:00+00:00,96.552,1.898,0.068,1.718,11.346
2026-02-25T01:05:00+00:00,95.896,1.88,0.081,1.695,11.316
2026-02-25T01:10:00+00:00,94.06,1.845,0.054,1.667,11.322
2026-02-25T01:15:00+00:00,93.532,1.831,0.044,1.654,11.312
2026-02-25T01:20:00+00:00,92.57,1.806,0.113,1.62,11.258
2026-02-25T01:25:00+00:00,94.216,1.839,0.084,1.666,11.27
2026-02-25T01:30:00+00:00,92.472,1.807,0.057,1.645,11.292
2026-02-25T01:35:00+00:00,95.544,1.874,0.097,1.706,11.328
2026-02-25T01:40:00+00:00,96.118,1.876,0.11,1.705,11.264
2026-02-25T01:45:00+00:00,94.186,1.84,0.09,1.667,11.278
2026-02-25T01:50:00+00:00,93.232,1.832,0.112,1.668,11.35
2026-02-25T01:55:00+00:00,94.004,1.852,0.094,1.69,11.376
2026-02-25T02:00:00+00:00,93.832,1.846,0.076,1.673,11.352
2026-02-25T02:05:00+00:00,92.547,1.813,0.077,1.636,11.311
2026-02-25T02:10:00+00:00,91.122,1.789,0.08,1.632,11.332
2026-02-25T02:15:00+00:00,93.326,1.837,0.108,1.666,11.376
2026-02-25T02:20:00+00:00,94.404,1.855,0.097,1.686,11.338
2026-02-25T02:25:00+00:00,95.155,1.864,0.06,1.7,11.298
2026-02-25T02:30:00+00:00,95.611,1.868,0.076,1.706,11.286
2026-02-25T02:35:00+00:00,97.556,1.904,0.085,1.738,11.272
2026-02-25T02:40:00+00:00,95.613,1.868,0.069,1.7,11.276
2026-02-25T02:45:00+00:00,95.932,1.876,0.066,1.716,11.289
2026-02-25T02:50:00+00:00,94.717,1.857,0.052,1.686,11.32
2026-02-25T02:55:00+00:00,92.562,1.817,0.034,1.664,11.33
2026-02-25T03:00:00+00:00,89.063,1.748,0.038,1.602,11.332
2026-02-25T03:05:00+00:00,93.774,1.837,0.081,1.682,11.31
2026-02-25T03:10:00+00:00,93.172,1.824,0.072,1.668,11.296
2026-02-25T03:15:00+00:00,90.972,1.781,0.054,1.628,11.306
2026-02-25T03:20:00+00:00,91.452,1.791,0.062,1.635,11.308
2026-02-25T03:25:00+00:00,88.612,1.736,0.064,1.59,11.305
2026-02-25T03:30:00+00:00,90.431,1.772,0.102,1.622,11.311
2026-02-25T03:35:00+00:00,88.926,1.736,0.036,1.579,11.279
2026-02-25T03:40:00+00:00,92.328,1.801,0.141,1.652,11.265
2026-02-25T03:45:00+00:00,93.844,1.836,0.098,1.66,11.295
2026-02-25T03:50:00+00:00,93.702,1.833,0.094,1.68,11.292
2026-02-25T03:55:00+00:00,94.271,1.843,0.112,1.68,11.29
2026-02-25T04:00:00+00:00,93.315,1.826,0.076,1.668,11.3
2026-02-25T04:05:00+00:00,91.006,1.789,0.051,1.629,11.348
2026-02-25T04:10:00+00:00,90.682,1.778,0.054,1.632,11.328
2026-02-25T04:15:00+00:00,93.75,1.835,0.052,1.676,11.298
2026-02-25T04:20:00+00:00,89.726,1.756,0.055,1.607,11.304
2026-02-25T04:25:00+00:00,91.869,1.8,0.07,1.638,11.311
2026-02-25T04:30:00+00:00,91.393,1.789,0.099,1.633,11.302
2026-02-25T04:35:00+00:00,91.568,1.789,0.109,1.632,11.29
2026-02-25T04:40:00+00:00,93.506,1.826,0.116,1.666,11.277
2026-02-25T04:45:00+00:00,95.032,1.858,0.123,1.702,11.286
2026-02-25T04:50:00+00:00,95.216,1.862,0.103,1.7,11.296
2026-02-25T04:55:00+00:00,95.938,1.876,0.097,1.722,11.294
2026-02-25T05:00:00+00:00,97.668,1.909,0.114,1.755,11.288
2026-02-25T05:05:00+00:00,100.553,1.965,0.118,1.808,11.28
2026-02-25T05:10:00+00:00,101.642,1.989,0.12,1.826,11.294
2026-02-25T05:15:00+00:00,105.195,2.054,0.155,1.878,11.273
2026-02-25T05:20:00+00:00,103.316,2.018,0.141,1.851,11.276
2026-02-25T05:25:00+00:00,101.67,1.987,0.113,1.816,11.285
2026-02-25T05:30:00+00:00,107.932,2.11,0.16,1.932,11.285
2026-02-25T05:35:00+00:00,101.66,1.991,0.142,1.826,11.304
2026-02-25T05:40:00+00:00,101.46,1.985,0.156,1.814,11.294
2026-02-25T05:45:00+00:00,104.33,2.037,0.118,1.876,11.274
2026-02-25T05:50:00+00:00,104.289,2.036,0.137,1.882,11.282
2026-02-25T05:55:00+00:00,108.246,2.117,0.142,1.942,11.289
