ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,40.91,0.782,0.015,0.016,11.068
2026-02-25T00:10:00+00:00,43.828,0.837,0.015,0.02,11.02
2026-02-25T00:15:00+00:00,45.9,0.876,0.015,0.041,11.008
2026-02-25T00:20:00+00:00,45.056,0.859,0.015,0.047,10.999
2026-02-25T00:25:00+00:00,45.632,0.869,0.015,0.052,11.002
2026-02-25T00:30:00+00:00,46.358,0.884,0.015,0.048,11.016
2026-02-25T00:35:00+00:00,49.628,0.942,0.015,0.032,10.978
2026-02-25T00:40:00+00:00,51.076,0.97,0.015,0.017,10.971
2026-02-25T00:45:00+00:00,48.84,0.931,0.015,0.002,11.003
2026-02-25T00:50:00+00:00,51.204,0.976,0.015,-0.013,11.002
2026-02-25T00:55:00+00:00,49.262,0.94,0.015,-0.028,11.018
2026-02-25T01:00:00+00:00,47.796,0.913,0.015,0.046,11.024
2026-02-25T01:05:00+00:00,47.802,0.909,0.015,0.062,10.985
2026-02-25T01:10:00+00:00,48.055,0.918,0.015,0.055,10.986
2026-02-25T01:15:00+00:00,46.505,0.885,0.015,0.063,11.001
2026-02-25T01:20:00+00:00,46.456,0.883,0.01,0.029,10.985
2026-02-25T01:25:00+00:00,44.702,0.854,-0.01,0.061,11.0
2026-02-25T01:30:00+00:00,44.942,0.856,0.009,0.058,11.006
2026-02-25T01:35:00+00:00,47.652,0.91,0.002,0.058,11.022
2026-02-25T01:40:00+00:00,48.083,0.915,0.002,0.034,10.995
2026-02-25T01:45:00+00:00,49.114,0.935,0.006,0.004,11.0
2026-02-25T01:50:00+00:00,47.951,0.919,0.003,0.002,11.054
2026-02-25T01:55:00+00:00,47.06,0.902,0.004,-0.014,11.067
2026-02-25T02:00:00+00:00,46.902,0.897,0.006,-0.03,11.05
2026-02-25T02:05:00+00:00,47.323,0.901,0.007,-0.047,11.015
2026-02-25T02:10:00+00:00,47.979,0.917,0.006,-0.064,11.025
2026-02-25T02:15:00+00:00,47.706,0.914,0.011,-0.08,11.074
2026-02-25T02:20:00+00:00,44.148,0.851,0.007,-0.096,11.121
2026-02-25T02:25:00+00:00,43.66,0.84,0.002,-0.042,11.106
2026-02-25T02:30:00+00:00,49.45,0.95,-0.002,-0.031,11.09
2026-02-25T02:35:00+00:00,48.34,0.928,0.01,-0.04,11.09
2026-02-25T02:40:00+00:00,44.882,0.863,0.015,-0.05,11.108
2026-02-25T02:45:00+00:00,44.299,0.854,0.013,-0.06,11.128
2026-02-25T02:50:00+00:00,46.704,0.903,0.011,-0.07,11.155
2026-02-25T02:55:00+00:00,43.677,0.845,0.008,-0.032,11.151
2026-02-25T03:00:00+00:00,45.222,0.872,0.006,0.024,11.137
2026-02-25T03:05:00+00:00,47.504,0.915,0.004,0.031,11.11
2026-02-25T03:10:00+00:00,47.538,0.91,0.002,0.032,11.104
2026-02-25T03:15:00+00:00,45.155,0.87,0.0,0.033,11.12
2026-02-25T03:20:00+00:00,41.442,0.798,-0.002,0.034,11.139
2026-02-25T03:25:00+00:00,42.648,0.821,-0.002,0.035,11.133
2026-02-25T03:30:00+00:00,44.05,0.85,0.005,0.037,11.136
2026-02-25T03:35:00+00:00,40.836,0.786,0.013,0.038,11.114
2026-02-25T03:40:00+00:00,42.49,0.817,0.008,0.04,11.101
2026-02-25T03:45:00+00:00,41.177,0.796,0.004,0.041,11.141
2026-02-25T03:50:00+00:00,40.061,0.774,-0.0,0.042,11.157
2026-02-25T03:55:00+00:00,42.015,0.812,0.0,0.044,11.151
2026-02-25T04:00:00+00:00,39.754,0.768,0.005,0.046,11.16
2026-02-25T04:05:00+00:00,43.835,0.845,0.005,0.048,11.162
2026-02-25T04:10:00+00:00,43.478,0.836,0.005,0.048,11.128
2026-02-25T04:15:00+00:00,41.342,0.797,0.006,0.05,11.106
2026-02-25T04:20:00+00:00,44.874,0.861,0.003,0.052,11.085
2026-02-25T04:25:00+00:00,39.941,0.77,0.007,0.053,11.105
2026-02-25T04:30:00+00:00,42.415,0.816,0.005,0.055,11.096
2026-02-25T04:35:00+00:00,45.365,0.867,0.005,0.056,11.075
2026-02-25T04:40:00+00:00,42.582,0.817,0.006,0.058,11.074
2026-02-25T04:45:00+00:00,41.274,0.793,0.008,0.06,11.094
2026-02-25T04:50:00+00:00,40.86,0.786,0.015,0.061,11.106
2026-02-25T04:55:00+00:00,42.28,0.813,0.014,0.062,11.105
2026-02-25T05:00:00+00:00,39.845,0.766,0.005,0.064,11.114
2026-02-25T05:05:00+00:00,39.507,0.76,-0.002,0.066,11.106
2026-02-25T05:10:00+00:00,40.278,0.774,-0.038,0.067,11.114
2026-02-25T05:15:00+00:00,40.311,0.775,-0.024,0.065,11.102
2026-02-25T05:20:00+00:00,40.45,0.779,0.003,0.053,11.102
2026-02-25T05:25:00+00:00,39.399,0.76,0.004,0.051,11.113
2026-02-25T05:30:00+00:00,37.882,0.731,0.005,0.044,11.121
2026-02-25T05:35:00+00:00,37.783,0.728,0.004,0.045,11.134
2026-02-25T05:40:00+00:00,39.345,0.754,-0.017,0.046,11.108
2026-02-25T05:45:00+00:00,37.976,0.73,0.006,0.046,11.074
