ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,55.145,0.212,-1.043,11.266
2026-02-25T00:10:00+00:00,57.123,0.212,-1.08,11.432
2026-02-25T00:15:00+00:00,55.866,0.211,-1.105,11.471
2026-02-25T00:20:00+00:00,57.87,0.21,-1.118,11.464
2026-02-25T00:25:00+00:00,59.354,0.219,-1.108,11.469
2026-02-25T00:30:00+00:00,58.92,0.24,-1.099,11.485
2026-02-25T00:35:00+00:00,58.931,0.246,-1.116,11.456
2026-02-25T00:40:00+00:00,60.2,0.236,-1.152,11.436
2026-02-25T00:45:00+00:00,60.894,0.224,-1.16,11.501
2026-02-25T00:50:00+00:00,61.558,0.256,-1.162,11.501
2026-02-25T00:55:00+00:00,61.225,0.234,-1.162,11.498
2026-02-25T01:00:00+00:00,61.061,0.233,-1.16,11.49
2026-02-25T01:05:00+00:00,60.706,0.25,-1.147,11.461
2026-02-25T01:10:00+00:00,60.574,0.225,-1.155,11.461
2026-02-25T01:15:00+00:00,59.29,0.195,-1.137,11.463
2026-02-25T01:20:00+00:00,59.465,0.164,-1.138,11.458
2026-02-25T01:25:00+00:00,61.252,0.185,-1.129,11.474
2026-02-25T01:30:00+00:00,61.116,0.176,-1.156,11.477
2026-02-25T01:35:00+00:00,61.427,0.161,-1.165,11.469
2026-02-25T01:40:00+00:00,61.129,0.175,-1.159,11.479
2026-02-25T01:45:00+00:00,60.352,0.219,-1.139,11.499
2026-02-25T01:50:00+00:00,60.688,0.174,-1.12,11.515
2026-02-25T01:55:00+00:00,60.532,0.202,-1.103,11.521
2026-02-25T02:00:00+00:00,58.315,0.228,-1.087,11.515
2026-02-25T02:05:00+00:00,57.031,0.243,-1.108,11.512
2026-02-25T02:10:00+00:00,57.03,0.256,-1.071,11.535
2026-02-25T02:15:00+00:00,56.949,0.251,-1.056,11.426
2026-02-25T02:20:00+00:00,55.227,0.241,-1.041,11.363
2026-02-25T02:25:00+00:00,53.643,0.231,-1.023,11.339
2026-02-25T02:30:00+00:00,52.24,0.232,-1.006,11.358
2026-02-25T02:35:00+00:00,52.506,0.241,-1.016,11.355
2026-02-25T02:40:00+00:00,53.238,0.203,-1.006,11.382
2026-02-25T02:45:00+00:00,54.314,0.208,-1.02,11.391
2026-02-25T02:50:00+00:00,53.271,0.213,-1.01,11.327
2026-02-25T02:55:00+00:00,52.8,0.219,-1.008,11.315
2026-02-25T03:00:00+00:00,55.309,0.224,-1.023,11.295
2026-02-25T03:05:00+00:00,56.602,0.23,-1.033,11.257
2026-02-25T03:10:00+00:00,56.586,0.235,-1.034,11.244
2026-02-25T03:15:00+00:00,56.018,0.24,-1.018,11.398
2026-02-25T03:20:00+00:00,55.45,0.246,-1.012,11.429
2026-02-25T03:25:00+00:00,55.76,0.246,-0.996,11.428
2026-02-25T03:30:00+00:00,53.306,0.234,-0.964,11.443
2026-02-25T03:35:00+00:00,53.868,0.229,-0.986,11.445
2026-02-25T03:40:00+00:00,52.039,0.227,-0.981,11.459
2026-02-25T03:45:00+00:00,51.173,0.226,-0.986,11.473
2026-02-25T03:50:00+00:00,50.52,0.224,-0.992,11.469
2026-02-25T03:55:00+00:00,50.623,0.223,-0.992,11.479
2026-02-25T04:00:00+00:00,52.888,0.221,-0.996,11.479
2026-02-25T04:05:00+00:00,55.158,0.22,-1.037,11.491
2026-02-25T04:10:00+00:00,53.965,0.222,-1.026,11.478
2026-02-25T04:15:00+00:00,53.579,0.225,-1.022,11.477
2026-02-25T04:20:00+00:00,52.003,0.227,-0.963,11.477
2026-02-25T04:25:00+00:00,50.837,0.229,-0.94,11.461
2026-02-25T04:30:00+00:00,49.938,0.231,-0.938,11.445
2026-02-25T04:35:00+00:00,50.294,0.234,-0.949,11.464
2026-02-25T04:40:00+00:00,50.223,0.236,-0.941,11.481
2026-02-25T04:45:00+00:00,52.923,0.238,-0.946,11.477
2026-02-25T04:50:00+00:00,50.687,0.241,-0.932,11.472
2026-02-25T04:55:00+00:00,49.669,0.243,-0.943,11.483
2026-02-25T05:00:00+00:00,49.356,0.245,-0.922,11.5
2026-02-25T05:05:00+00:00,50.401,0.247,-0.925,11.491
2026-02-25T05:10:00+00:00,52.032,0.25,-0.95,11.457
2026-02-25T05:15:00+00:00,50.016,0.252,-0.904,11.451
2026-02-25T05:20:00+00:00,51.11,0.254,-0.947,11.451
2026-02-25T05:25:00+00:00,50.046,0.256,-0.968,11.45
2026-02-25T05:30:00+00:00,50.364,0.259,-0.955,11.457
2026-02-25T05:35:00+00:00,50.203,0.235,-0.914,11.454
2026-02-25T05:40:00+00:00,52.135,0.221,-0.968,11.448
2026-02-25T05:45:00+00:00,53.115,0.223,-1.001,11.428
2026-02-25T05:50:00+00:00,53.571,0.224,-1.013,11.416
2026-02-25T05:55:00+00:00,53.137,0.225,-1.025,11.416
2026-02-25T06:00:00+00:00,55.693,0.227,-1.025,11.404
2026-02-25T06:05:00+00:00,56.682,0.228,-1.032,11.406
2026-02-25T06:10:00+00:00,58.087,0.23,-1.07,11.398
2026-02-25T06:15:00+00:00,57.578,0.23,-1.111,11.437
2026-02-25T06:20:00+00:00,58.33,0.23,-1.118,11.419
2026-02-25T06:25:00+00:00,62.006,0.23,-1.184,11.433
2026-02-25T06:30:00+00:00,62.812,0.23,-1.154,11.433
2026-02-25T06:35:00+00:00,63.1,0.23,-1.172,11.44
2026-02-25T06:40:00+00:00,69.466,0.23,-1.277,11.41
2026-02-25T06:45:00+00:00,69.879,0.229,-1.281,11.45
2026-02-25T06:50:00+00:00,70.893,0.239,-1.343,11.433
2026-02-25T06:55:00+00:00,70.988,0.237,-1.313,11.413
2026-02-25T07:00:00+00:00,69.91,0.235,-1.299,11.419
2026-02-25T07:05:00+00:00,68.023,0.233,-1.304,11.436
2026-02-25T07:10:00+00:00,70.531,0.229,-1.341,11.426
2026-02-25T07:15:00+00:00,75.296,0.187,-1.421,11.409
2026-02-25T07:20:00+00:00,79.267,0.192,-1.505,11.448
2026-02-25T07:25:00+00:00,78.892,0.201,-1.494,11.477
2026-02-25T07:30:00+00:00,80.167,0.213,-1.508,11.485
2026-02-25T07:35:00+00:00,76.408,0.223,-1.456,11.465
2026-02-25T07:40:00+00:00,78.81,0.213,-1.499,11.439
2026-02-25T07:45:00+00:00,79.342,0.214,-1.504,11.427
2026-02-25T07:50:00+00:00,76.772,0.213,-1.451,11.415
2026-02-25T07:55:00+00:00,76.24,0.217,-1.456,11.414
2026-02-25T08:00:00+00:00,74.677,0.23,-1.44,11.436
2026-02-25T08:05:00+00:00,77.437,0.214,-1.482,11.451
2026-02-25T08:10:00+00:00,73.443,0.164,-1.451,11.428
2026-02-25T08:15:00+00:00,73.841,0.202,-1.479,11.437
2026-02-25T08:20:00+00:00,74.002,0.176,-1.439,11.445
2026-02-25T08:25:00+00:00,73.172,0.194,-1.441,11.465
2026-02-25T08:30:00+00:00,74.649,0.19,-1.471,11.481
2026-02-25T08:35:00+00:00,74.326,0.228,-1.486,11.47
2026-02-25T08:40:00+00:00,72.601,0.223,-1.44,11.45
2026-02-25T08:45:00+00:00,75.105,0.201,-1.464,11.441
2026-02-25T08:50:00+00:00,76.796,0.211,-1.534,11.426
2026-02-25T08:55:00+00:00,80.082,0.173,-1.559,11.418
2026-02-25T09:00:00+00:00,80.055,0.182,-1.559,11.436
2026-02-25T09:05:00+00:00,79.214,0.226,-1.532,11.464
2026-02-25T09:10:00+00:00,80.625,0.243,-1.582,11.458
2026-02-25T09:15:00+00:00,82.465,0.207,-1.626,11.449
