ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,30.342,0.583,-6.3,0.014,11.119
2026-02-25T00:10:00+00:00,30.772,0.592,-6.316,0.016,11.084
2026-02-25T00:15:00+00:00,31.897,0.612,-6.308,0.024,11.079
2026-02-25T00:20:00+00:00,33.126,0.636,-6.308,0.031,11.066
2026-02-25T00:25:00+00:00,31.238,0.6,-6.313,0.02,11.102
2026-02-25T00:30:00+00:00,31.276,0.604,-6.304,0.012,11.143
2026-02-25T00:35:00+00:00,29.343,0.564,-6.308,0.006,11.122
2026-02-25T00:40:00+00:00,30.546,0.588,-6.311,0.007,11.114
2026-02-25T00:45:00+00:00,30.954,0.596,-6.318,0.016,11.12
2026-02-25T00:50:00+00:00,28.184,0.544,-6.312,-0.006,11.123
2026-02-25T00:55:00+00:00,31.013,0.597,-6.308,0.016,11.118
2026-02-25T01:00:00+00:00,29.782,0.574,-6.312,0.009,11.122
2026-02-25T01:05:00+00:00,29.934,0.575,-6.31,0.012,11.086
2026-02-25T01:10:00+00:00,32.008,0.613,-6.31,0.021,11.083
2026-02-25T01:15:00+00:00,32.366,0.624,-6.303,0.026,11.093
2026-02-25T01:20:00+00:00,31.83,0.614,-6.314,0.016,11.106
2026-02-25T01:25:00+00:00,30.044,0.579,-6.287,0.012,11.125
2026-02-25T01:30:00+00:00,29.704,0.574,-6.312,0.01,11.129
2026-02-25T01:35:00+00:00,33.295,0.641,-6.296,0.032,11.144
2026-02-25T01:40:00+00:00,31.472,0.607,-6.3,0.022,11.132
2026-02-25T01:45:00+00:00,30.011,0.579,-6.29,0.01,11.148
2026-02-25T01:50:00+00:00,27.912,0.541,-6.28,-0.008,11.193
2026-02-25T01:55:00+00:00,28.008,0.543,-6.264,-0.006,11.206
2026-02-25T02:00:00+00:00,27.38,0.53,-6.292,-0.01,11.196
2026-02-25T02:05:00+00:00,26.986,0.522,-6.284,-0.013,11.171
2026-02-25T02:10:00+00:00,27.124,0.524,-6.275,-0.016,11.192
2026-02-25T02:15:00+00:00,27.158,0.529,-6.268,-0.02,11.232
2026-02-25T02:20:00+00:00,29.41,0.573,-6.166,0.006,11.266
2026-02-25T02:25:00+00:00,28.97,0.563,-6.186,0.006,11.265
2026-02-25T02:30:00+00:00,28.618,0.558,-6.146,-0.005,11.264
2026-02-25T02:35:00+00:00,27.194,0.53,-6.273,-0.015,11.255
2026-02-25T02:40:00+00:00,27.658,0.54,-6.275,-0.014,11.259
2026-02-25T02:45:00+00:00,26.774,0.524,-6.278,-0.018,11.278
2026-02-25T02:50:00+00:00,25.078,0.488,-6.25,-0.031,11.287
2026-02-25T02:55:00+00:00,26.268,0.512,-6.26,-0.022,11.244
2026-02-25T03:00:00+00:00,25.947,0.504,-6.259,-0.024,11.236
2026-02-25T03:05:00+00:00,25.847,0.502,-5.822,-0.019,11.206
2026-02-25T03:10:00+00:00,26.559,0.516,-6.264,-0.014,11.196
2026-02-25T03:15:00+00:00,26.171,0.508,-6.293,-0.019,11.206
2026-02-25T03:20:00+00:00,24.677,0.476,-6.274,-0.035,11.221
2026-02-25T03:25:00+00:00,24.046,0.467,-6.276,-0.034,11.227
2026-02-25T03:30:00+00:00,24.858,0.481,-6.289,-0.03,11.226
2026-02-25T03:35:00+00:00,24.072,0.468,-6.27,-0.035,11.192
2026-02-25T03:40:00+00:00,23.732,0.458,-6.046,-0.035,11.185
2026-02-25T03:45:00+00:00,25.292,0.49,-6.234,-0.025,11.215
2026-02-25T03:50:00+00:00,24.461,0.476,-6.158,-0.034,11.244
