ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,63.194,1.223,0.041,1.071,11.172
2026-02-25T00:10:00+00:00,63.69,1.226,0.049,1.112,11.128
2026-02-25T00:15:00+00:00,65.453,1.262,0.042,1.098,11.114
2026-02-25T00:20:00+00:00,65.534,1.261,0.009,1.118,11.111
2026-02-25T00:25:00+00:00,65.947,1.262,0.023,1.166,11.118
2026-02-25T00:30:00+00:00,66.281,1.273,0.007,1.14,11.13
2026-02-25T00:35:00+00:00,68.893,1.32,-0.007,1.197,11.095
2026-02-25T00:40:00+00:00,74.544,1.426,-0.046,1.28,11.064
2026-02-25T00:45:00+00:00,78.244,1.491,-0.014,1.41,11.062
2026-02-25T00:50:00+00:00,76.442,1.465,-0.039,1.302,11.072
2026-02-25T00:55:00+00:00,76.214,1.461,-0.012,1.342,11.083
2026-02-25T01:00:00+00:00,75.619,1.445,0.021,1.272,11.077
2026-02-25T01:05:00+00:00,78.161,1.494,-0.006,1.308,11.026
2026-02-25T01:10:00+00:00,77.676,1.484,-0.008,1.299,11.032
2026-02-25T01:15:00+00:00,75.484,1.442,-0.04,1.255,11.052
2026-02-25T01:20:00+00:00,76.221,1.455,0.008,1.3,11.03
2026-02-25T01:25:00+00:00,75.054,1.439,0.013,1.292,11.034
2026-02-25T01:30:00+00:00,74.994,1.428,0.01,1.253,11.028
2026-02-25T01:35:00+00:00,74.422,1.427,-0.003,1.265,11.048
2026-02-25T01:40:00+00:00,74.864,1.428,0.032,1.326,11.033
2026-02-25T01:45:00+00:00,74.37,1.423,0.026,1.273,11.049
2026-02-25T01:50:00+00:00,75.196,1.436,0.077,1.26,11.086
2026-02-25T01:55:00+00:00,74.848,1.436,0.062,1.28,11.096
2026-02-25T02:00:00+00:00,76.006,1.458,0.061,1.31,11.078
2026-02-25T02:05:00+00:00,75.786,1.449,0.046,1.28,11.046
2026-02-25T02:10:00+00:00,75.688,1.453,0.03,1.293,11.053
2026-02-25T02:15:00+00:00,74.418,1.438,0.03,1.263,11.106
2026-02-25T02:20:00+00:00,73.55,1.414,0.012,1.254,11.141
2026-02-25T02:25:00+00:00,72.947,1.402,0.01,1.275,11.141
2026-02-25T02:30:00+00:00,72.584,1.402,-0.002,1.292,11.142
2026-02-25T02:35:00+00:00,74.353,1.428,0.002,1.262,11.126
2026-02-25T02:40:00+00:00,73.336,1.416,0.017,1.247,11.155
2026-02-25T02:45:00+00:00,73.999,1.426,0.017,1.289,11.168
2026-02-25T02:50:00+00:00,72.779,1.41,0.076,1.266,11.202
2026-02-25T02:55:00+00:00,71.281,1.379,0.149,1.234,11.204
2026-02-25T03:00:00+00:00,69.828,1.355,0.053,1.223,11.208
2026-02-25T03:05:00+00:00,70.427,1.362,0.054,1.252,11.176
2026-02-25T03:10:00+00:00,70.289,1.362,0.06,1.224,11.174
2026-02-25T03:15:00+00:00,67.598,1.314,0.039,1.178,11.194
2026-02-25T03:20:00+00:00,67.771,1.31,0.016,1.173,11.2
2026-02-25T03:25:00+00:00,67.812,1.316,0.04,1.188,11.207
2026-02-25T03:30:00+00:00,67.448,1.312,0.016,1.176,11.21
2026-02-25T03:35:00+00:00,66.511,1.286,0.015,1.138,11.17
2026-02-25T03:40:00+00:00,67.099,1.294,0.004,1.16,11.161
2026-02-25T03:45:00+00:00,66.858,1.297,0.036,1.136,11.212
2026-02-25T03:50:00+00:00,66.185,1.292,0.005,1.146,11.23
2026-02-25T03:55:00+00:00,64.862,1.268,-0.027,1.121,11.245
2026-02-25T04:00:00+00:00,66.258,1.289,-0.01,1.13,11.247
2026-02-25T04:05:00+00:00,68.488,1.333,0.026,1.174,11.269
2026-02-25T04:10:00+00:00,67.736,1.321,-0.02,1.164,11.253
2026-02-25T04:15:00+00:00,67.832,1.316,-0.014,1.198,11.236
2026-02-25T04:20:00+00:00,67.035,1.306,0.014,1.196,11.231
2026-02-25T04:25:00+00:00,66.5,1.294,0.076,1.184,11.232
