ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,61.154,1.187,0.34,-1.064,11.294
2026-02-25T00:10:00+00:00,61.212,1.198,0.328,-1.09,11.26
2026-02-25T00:15:00+00:00,61.551,1.2,0.337,-1.087,11.26
2026-02-25T00:20:00+00:00,61.152,1.197,0.334,-1.088,11.256
2026-02-25T00:25:00+00:00,60.939,1.189,0.34,-1.08,11.249
2026-02-25T00:30:00+00:00,60.004,1.174,0.334,-1.074,11.26
2026-02-25T00:35:00+00:00,60.245,1.17,0.353,-1.07,11.252
2026-02-25T00:40:00+00:00,61.055,1.192,0.357,-1.082,11.243
2026-02-25T00:45:00+00:00,60.277,1.174,0.371,-1.078,11.247
2026-02-25T00:50:00+00:00,60.05,1.173,0.372,-1.084,11.25
2026-02-25T00:55:00+00:00,59.814,1.169,0.371,-1.058,11.264
2026-02-25T01:00:00+00:00,59.897,1.162,0.37,-1.056,11.264
2026-02-25T01:05:00+00:00,59.598,1.156,0.364,-1.052,11.242
2026-02-25T01:10:00+00:00,58.014,1.137,0.37,-1.038,11.242
2026-02-25T01:15:00+00:00,57.973,1.122,0.376,-1.022,11.252
2026-02-25T01:20:00+00:00,58.049,1.13,0.359,-1.048,11.25
2026-02-25T01:25:00+00:00,57.444,1.122,0.372,-1.042,11.259
2026-02-25T01:30:00+00:00,58.022,1.129,0.347,-1.046,11.264
2026-02-25T01:35:00+00:00,57.124,1.114,0.37,-1.022,11.263
2026-02-25T01:40:00+00:00,57.376,1.119,0.361,-1.024,11.272
2026-02-25T01:45:00+00:00,57.438,1.122,0.363,-1.012,11.284
2026-02-25T01:50:00+00:00,56.818,1.11,0.355,-1.003,11.298
2026-02-25T01:55:00+00:00,55.775,1.092,0.342,-0.998,11.308
2026-02-25T02:00:00+00:00,55.348,1.085,0.334,-0.999,11.302
2026-02-25T02:05:00+00:00,56.056,1.098,0.334,-1.012,11.293
2026-02-25T02:10:00+00:00,55.549,1.086,0.349,-1.005,11.296
2026-02-25T02:15:00+00:00,55.873,1.091,0.352,-1.005,11.318
2026-02-25T02:20:00+00:00,55.46,1.088,0.356,-1.018,11.338
2026-02-25T02:25:00+00:00,54.433,1.066,0.355,-1.0,11.342
2026-02-25T02:30:00+00:00,54.548,1.069,0.362,-1.004,11.348
2026-02-25T02:35:00+00:00,54.956,1.079,0.357,-0.986,11.34
2026-02-25T02:40:00+00:00,53.067,1.042,0.352,-0.982,11.346
2026-02-25T02:45:00+00:00,53.165,1.044,0.358,-0.969,11.349
2026-02-25T02:50:00+00:00,52.884,1.041,0.355,-0.962,11.375
2026-02-25T02:55:00+00:00,52.938,1.042,0.355,-0.97,11.386
2026-02-25T03:00:00+00:00,52.216,1.025,0.352,-0.972,11.378
2026-02-25T03:05:00+00:00,52.792,1.036,0.356,-0.976,11.349
2026-02-25T03:10:00+00:00,52.354,1.027,0.354,-0.979,11.341
2026-02-25T03:15:00+00:00,52.855,1.036,0.354,-0.956,11.352
2026-02-25T03:20:00+00:00,52.351,1.03,0.356,-0.966,11.356
2026-02-25T03:25:00+00:00,51.195,1.007,0.344,-0.935,11.358
2026-02-25T03:30:00+00:00,51.014,1.002,0.338,-0.945,11.362
