ValueDate,Derived MVA,MVAr Inst,MW Inst
2026-02-25T00:05:00+00:00,0.873,0.113,0.814
2026-02-25T00:10:00+00:00,0.89,0.106,0.848
2026-02-25T00:15:00+00:00,0.903,0.102,0.852
2026-02-25T00:20:00+00:00,0.914,0.104,0.859
2026-02-25T00:25:00+00:00,0.946,0.123,0.888
2026-02-25T00:30:00+00:00,0.949,0.102,0.885
2026-02-25T00:35:00+00:00,0.938,0.099,0.876
2026-02-25T00:40:00+00:00,0.986,0.106,0.932
2026-02-25T00:45:00+00:00,0.979,0.105,0.924
2026-02-25T00:50:00+00:00,0.99,0.106,0.934
2026-02-25T00:55:00+00:00,0.983,0.105,0.934
2026-02-25T01:00:00+00:00,1.026,0.104,0.992
2026-02-25T01:05:00+00:00,1.018,0.1,0.985
2026-02-25T01:10:00+00:00,1.022,0.11,0.982
2026-02-25T01:15:00+00:00,1.028,0.107,0.986
2026-02-25T01:20:00+00:00,1.016,0.109,0.974
2026-02-25T01:25:00+00:00,0.999,0.118,0.964
2026-02-25T01:30:00+00:00,0.977,0.121,0.934
2026-02-25T01:35:00+00:00,0.917,0.127,0.865
2026-02-25T01:40:00+00:00,0.932,0.122,0.883
2026-02-25T01:45:00+00:00,0.926,0.2,0.884
2026-02-25T01:50:00+00:00,0.926,0.15,0.867
2026-02-25T01:55:00+00:00,0.923,0.126,0.867
2026-02-25T02:00:00+00:00,0.954,0.127,0.899
2026-02-25T02:05:00+00:00,0.969,0.121,0.913
2026-02-25T02:10:00+00:00,0.96,0.146,0.897
2026-02-25T02:15:00+00:00,0.958,0.124,0.903
2026-02-25T02:20:00+00:00,0.972,0.146,0.912
2026-02-25T02:25:00+00:00,0.925,0.142,0.859
2026-02-25T02:30:00+00:00,0.9,0.148,0.838
2026-02-25T02:35:00+00:00,0.906,0.133,0.844
2026-02-25T02:40:00+00:00,0.917,0.138,0.85
2026-02-25T02:45:00+00:00,0.938,0.128,0.883
2026-02-25T02:50:00+00:00,0.963,0.122,0.912
2026-02-25T02:55:00+00:00,0.976,0.128,0.935
2026-02-25T03:00:00+00:00,0.982,0.118,0.933
2026-02-25T03:05:00+00:00,0.98,0.136,0.926
2026-02-25T03:10:00+00:00,0.928,0.143,0.859
2026-02-25T03:15:00+00:00,0.91,0.14,0.838
2026-02-25T03:20:00+00:00,0.912,0.141,0.848
2026-02-25T03:25:00+00:00,0.903,0.154,0.838
2026-02-25T03:30:00+00:00,0.898,0.135,0.836
2026-02-25T03:35:00+00:00,0.881,0.145,0.817
2026-02-25T03:40:00+00:00,0.888,0.159,0.828
2026-02-25T03:45:00+00:00,0.875,0.142,0.811
2026-02-25T03:50:00+00:00,0.892,0.154,0.824
2026-02-25T03:55:00+00:00,0.94,0.15,0.862
2026-02-25T04:00:00+00:00,0.925,0.115,0.843
2026-02-25T04:05:00+00:00,0.835,0.123,0.843
2026-02-25T04:10:00+00:00,0.772,0.134,0.81
2026-02-25T04:15:00+00:00,0.736,0.132,0.77
2026-02-25T04:20:00+00:00,0.708,0.135,0.754
2026-02-25T04:25:00+00:00,0.708,0.138,0.752
2026-02-25T04:30:00+00:00,0.71,0.143,0.757
2026-02-25T04:35:00+00:00,0.701,0.15,0.748
2026-02-25T04:40:00+00:00,0.721,0.122,0.762
2026-02-25T04:45:00+00:00,0.698,0.126,0.744
2026-02-25T04:50:00+00:00,0.716,0.138,0.764
2026-02-25T04:55:00+00:00,0.72,0.133,0.758
2026-02-25T05:00:00+00:00,0.704,0.144,0.741
2026-02-25T05:05:00+00:00,0.662,0.152,0.698
2026-02-25T05:10:00+00:00,0.669,0.158,0.702
2026-02-25T05:15:00+00:00,0.672,0.145,0.698
2026-02-25T05:20:00+00:00,0.679,0.152,0.708
2026-02-25T05:25:00+00:00,0.692,0.146,0.718
2026-02-25T05:30:00+00:00,0.728,0.156,0.774
