ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,102.032,2.004,-0.308,1.969,11.334
2026-02-25T00:10:00+00:00,101.761,1.991,-0.316,1.956,11.295
2026-02-25T00:15:00+00:00,101.626,1.99,-0.316,1.954,11.302
2026-02-25T00:20:00+00:00,101.366,1.983,-0.3,1.946,11.298
2026-02-25T00:25:00+00:00,100.444,1.963,-0.3,1.926,11.296
2026-02-25T00:30:00+00:00,99.28,1.944,-0.332,1.904,11.301
2026-02-25T00:35:00+00:00,98.636,1.929,-0.316,1.892,11.283
2026-02-25T00:40:00+00:00,98.181,1.918,-0.303,1.88,11.275
2026-02-25T00:45:00+00:00,98.19,1.924,-0.311,1.884,11.292
2026-02-25T00:50:00+00:00,97.943,1.915,-0.316,1.879,11.296
2026-02-25T00:55:00+00:00,97.336,1.909,-0.31,1.868,11.315
2026-02-25T01:00:00+00:00,96.076,1.884,-0.311,1.848,11.316
2026-02-25T01:05:00+00:00,95.715,1.872,-0.312,1.832,11.288
2026-02-25T01:10:00+00:00,94.267,1.846,-0.308,1.806,11.292
2026-02-25T01:15:00+00:00,93.527,1.83,-0.312,1.792,11.302
2026-02-25T01:20:00+00:00,93.375,1.826,-0.314,1.788,11.289
2026-02-25T01:25:00+00:00,92.486,1.812,-0.33,1.767,11.296
2026-02-25T01:30:00+00:00,91.172,1.784,-0.312,1.742,11.298
2026-02-25T01:35:00+00:00,91.133,1.78,-0.32,1.745,11.292
2026-02-25T01:40:00+00:00,90.487,1.765,-0.313,1.722,11.292
2026-02-25T01:45:00+00:00,90.442,1.772,-0.3,1.73,11.298
2026-02-25T01:50:00+00:00,89.762,1.758,-0.309,1.715,11.319
2026-02-25T01:55:00+00:00,91.013,1.79,-0.314,1.745,11.336
2026-02-25T02:00:00+00:00,91.258,1.787,-0.319,1.748,11.329
2026-02-25T02:05:00+00:00,92.028,1.804,-0.307,1.767,11.313
2026-02-25T02:10:00+00:00,90.68,1.777,-0.302,1.74,11.32
2026-02-25T02:15:00+00:00,90.852,1.785,-0.304,1.744,11.344
2026-02-25T02:20:00+00:00,90.584,1.78,-0.296,1.737,11.352
2026-02-25T02:25:00+00:00,88.849,1.748,-0.302,1.708,11.359
2026-02-25T02:30:00+00:00,88.694,1.745,-0.3,1.707,11.372
2026-02-25T02:35:00+00:00,88.238,1.736,-0.298,1.695,11.36
2026-02-25T02:40:00+00:00,88.933,1.746,-0.298,1.709,11.352
2026-02-25T02:45:00+00:00,86.802,1.706,-0.306,1.67,11.346
2026-02-25T02:50:00+00:00,85.969,1.69,-0.314,1.651,11.388
2026-02-25T02:55:00+00:00,86.009,1.7,-0.314,1.66,11.402
2026-02-25T03:00:00+00:00,85.666,1.692,-0.314,1.648,11.406
2026-02-25T03:05:00+00:00,84.971,1.672,-0.298,1.631,11.364
2026-02-25T03:10:00+00:00,84.393,1.658,-0.299,1.613,11.352
2026-02-25T03:15:00+00:00,84.709,1.667,-0.3,1.622,11.353
2026-02-25T03:20:00+00:00,84.446,1.662,-0.298,1.624,11.367
2026-02-25T03:25:00+00:00,84.793,1.668,-0.302,1.631,11.365
2026-02-25T03:30:00+00:00,84.218,1.659,-0.3,1.62,11.372
2026-02-25T03:35:00+00:00,84.591,1.662,-0.298,1.619,11.342
2026-02-25T03:40:00+00:00,83.352,1.636,-0.318,1.588,11.322
2026-02-25T03:45:00+00:00,83.098,1.632,-0.319,1.58,11.344
2026-02-25T03:50:00+00:00,82.898,1.632,-0.301,1.584,11.352
2026-02-25T03:55:00+00:00,84.058,1.655,-0.296,1.613,11.371
2026-02-25T04:00:00+00:00,83.425,1.646,-0.314,1.602,11.376
