ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,127.399,2.468,0.695,-2.184,11.216
2026-02-25T00:10:00+00:00,129.566,2.524,0.738,-2.244,11.268
2026-02-25T00:15:00+00:00,129.356,2.526,0.752,-2.242,11.262
2026-02-25T00:20:00+00:00,128.791,2.513,0.742,-2.249,11.256
2026-02-25T00:25:00+00:00,128.199,2.491,0.755,-2.226,11.253
2026-02-25T00:30:00+00:00,127.008,2.479,0.745,-2.218,11.269
2026-02-25T00:35:00+00:00,128.474,2.5,0.752,-2.239,11.258
2026-02-25T00:40:00+00:00,131.426,2.555,0.746,-2.288,11.24
2026-02-25T00:45:00+00:00,132.84,2.594,0.744,-2.316,11.242
2026-02-25T00:50:00+00:00,132.831,2.584,0.718,-2.305,11.241
2026-02-25T00:55:00+00:00,129.85,2.552,0.766,-2.273,11.272
2026-02-25T01:00:00+00:00,129.483,2.53,0.724,-2.262,11.278
2026-02-25T01:05:00+00:00,132.172,2.574,0.719,-2.296,11.25
2026-02-25T01:10:00+00:00,132.1,2.567,0.731,-2.288,11.248
2026-02-25T01:15:00+00:00,131.054,2.555,0.74,-2.278,11.265
2026-02-25T01:20:00+00:00,130.1,2.54,0.731,-2.26,11.262
2026-02-25T01:25:00+00:00,128.095,2.499,0.736,-2.215,11.27
2026-02-25T01:30:00+00:00,127.47,2.496,0.74,-2.216,11.282
2026-02-25T01:35:00+00:00,127.492,2.488,0.752,-2.214,11.279
2026-02-25T01:40:00+00:00,127.076,2.484,0.748,-2.204,11.276
2026-02-25T01:45:00+00:00,126.448,2.476,0.76,-2.184,11.286
2026-02-25T01:50:00+00:00,125.709,2.463,0.753,-2.178,11.306
2026-02-25T01:55:00+00:00,125.218,2.46,0.739,-2.173,11.32
2026-02-25T02:00:00+00:00,122.985,2.415,0.762,-2.141,11.327
2026-02-25T02:05:00+00:00,126.164,2.466,0.746,-2.186,11.309
2026-02-25T02:10:00+00:00,126.204,2.474,0.747,-2.184,11.296
2026-02-25T02:15:00+00:00,125.232,2.454,0.742,-2.17,11.318
2026-02-25T02:20:00+00:00,123.344,2.422,0.75,-2.141,11.312
2026-02-25T02:25:00+00:00,121.953,2.386,0.748,-2.116,11.284
2026-02-25T02:30:00+00:00,121.282,2.372,0.751,-2.096,11.281
2026-02-25T02:35:00+00:00,119.804,2.336,0.742,-2.069,11.268
2026-02-25T02:40:00+00:00,118.797,2.328,0.753,-2.062,11.293
2026-02-25T02:45:00+00:00,117.768,2.303,0.752,-2.037,11.274
2026-02-25T02:50:00+00:00,116.119,2.285,0.755,-2.009,11.312
2026-02-25T02:55:00+00:00,114.902,2.26,0.754,-1.978,11.336
2026-02-25T03:00:00+00:00,115.548,2.258,0.748,-1.984,11.32
2026-02-25T03:05:00+00:00,116.296,2.272,0.728,-1.992,11.293
2026-02-25T03:10:00+00:00,116.32,2.284,0.733,-1.995,11.284
2026-02-25T03:15:00+00:00,115.079,2.26,0.736,-1.978,11.291
2026-02-25T03:20:00+00:00,114.876,2.244,0.744,-1.972,11.309
2026-02-25T03:25:00+00:00,114.522,2.24,0.718,-1.974,11.299
2026-02-25T03:30:00+00:00,113.126,2.216,0.765,-1.943,11.319
2026-02-25T03:35:00+00:00,112.368,2.201,0.741,-1.926,11.291
2026-02-25T03:40:00+00:00,111.849,2.18,0.748,-1.91,11.258
2026-02-25T03:45:00+00:00,111.503,2.181,0.768,-1.898,11.28
2026-02-25T03:50:00+00:00,110.91,2.164,0.764,-1.876,11.284
2026-02-25T03:55:00+00:00,110.775,2.171,0.768,-1.871,11.296
2026-02-25T04:00:00+00:00,110.334,2.157,0.742,-1.865,11.304
2026-02-25T04:05:00+00:00,110.524,2.168,0.766,-1.876,11.343
2026-02-25T04:10:00+00:00,111.46,2.188,0.758,-1.893,11.334
2026-02-25T04:15:00+00:00,110.222,2.157,0.764,-1.868,11.31
2026-02-25T04:20:00+00:00,107.825,2.122,0.733,-1.83,11.32
2026-02-25T04:25:00+00:00,107.303,2.11,0.754,-1.818,11.306
2026-02-25T04:30:00+00:00,106.378,2.082,0.76,-1.796,11.31
2026-02-25T04:35:00+00:00,105.97,2.069,0.764,-1.788,11.308
2026-02-25T04:40:00+00:00,106.831,2.081,0.758,-1.798,11.331
2026-02-25T04:45:00+00:00,106.134,2.09,0.765,-1.803,11.323
2026-02-25T04:50:00+00:00,104.332,2.047,0.756,-1.756,11.312
2026-02-25T04:55:00+00:00,105.504,2.062,0.76,-1.773,11.31
2026-02-25T05:00:00+00:00,105.026,2.068,0.77,-1.788,11.33
2026-02-25T05:05:00+00:00,103.35,2.024,0.748,-1.756,11.314
2026-02-25T05:10:00+00:00,103.998,2.039,0.755,-1.769,11.31
2026-02-25T05:15:00+00:00,103.74,2.038,0.756,-1.755,11.314
2026-02-25T05:20:00+00:00,104.422,2.046,0.764,-1.768,11.321
2026-02-25T05:25:00+00:00,103.274,2.018,0.772,-1.748,11.321
2026-02-25T05:30:00+00:00,103.449,2.035,0.767,-1.761,11.331
2026-02-25T05:35:00+00:00,105.188,2.061,0.752,-1.792,11.326
2026-02-25T05:40:00+00:00,104.51,2.056,0.768,-1.776,11.324
2026-02-25T05:45:00+00:00,105.998,2.074,0.75,-1.798,11.288
2026-02-25T05:50:00+00:00,107.906,2.109,0.768,-1.828,11.291
2026-02-25T05:55:00+00:00,109.068,2.13,0.77,-1.848,11.304
2026-02-25T06:00:00+00:00,109.97,2.143,0.743,-1.875,11.289
2026-02-25T06:05:00+00:00,113.765,2.21,0.744,-1.949,11.24
2026-02-25T06:10:00+00:00,117.242,2.276,0.734,-2.008,11.225
2026-02-25T06:15:00+00:00,119.204,2.32,0.766,-2.026,11.234
2026-02-25T06:20:00+00:00,118.529,2.304,0.765,-2.022,11.222
2026-02-25T06:25:00+00:00,122.729,2.382,0.76,-2.115,11.228
2026-02-25T06:30:00+00:00,124.972,2.432,0.753,-2.148,11.235
2026-02-25T06:35:00+00:00,126.206,2.448,0.768,-2.174,11.228
2026-02-25T06:40:00+00:00,128.727,2.499,0.748,-2.236,11.218
2026-02-25T06:45:00+00:00,134.321,2.61,0.74,-2.349,11.216
2026-02-25T06:50:00+00:00,134.974,2.626,0.736,-2.36,11.236
2026-02-25T06:55:00+00:00,137.851,2.68,0.748,-2.412,11.22
2026-02-25T07:00:00+00:00,141.496,2.752,0.747,-2.484,11.232
2026-02-25T07:05:00+00:00,147.19,2.852,0.722,-2.573,11.201
2026-02-25T07:10:00+00:00,155.838,3.028,0.632,-2.676,11.223
2026-02-25T07:15:00+00:00,159.364,3.099,0.682,-2.733,11.232
2026-02-25T07:20:00+00:00,159.558,3.117,0.656,-2.748,11.275
2026-02-25T07:25:00+00:00,159.993,3.124,0.686,-2.752,11.284
2026-02-25T07:30:00+00:00,162.949,3.19,0.651,-2.798,11.295
2026-02-25T07:35:00+00:00,163.366,3.182,0.629,-2.803,11.254
2026-02-25T07:40:00+00:00,164.738,3.206,0.648,-2.856,11.246
2026-02-25T07:45:00+00:00,170.524,3.337,0.615,-2.95,11.298
2026-02-25T07:50:00+00:00,166.895,3.257,0.634,-2.895,11.274
2026-02-25T07:55:00+00:00,168.795,3.293,0.605,-2.924,11.266
2026-02-25T08:00:00+00:00,169.211,3.308,0.606,-2.934,11.271
2026-02-25T08:05:00+00:00,172.584,3.37,0.599,-2.99,11.285
2026-02-25T08:10:00+00:00,173.54,3.386,0.605,-3.017,11.275
2026-02-25T08:15:00+00:00,170.432,3.327,0.6,-2.952,11.278
2026-02-25T08:20:00+00:00,168.774,3.303,0.616,-2.932,11.289
2026-02-25T08:25:00+00:00,171.662,3.357,0.632,-2.984,11.296
2026-02-25T08:30:00+00:00,170.736,3.344,0.644,-2.971,11.303
2026-02-25T08:35:00+00:00,172.639,3.367,0.607,-2.984,11.267
2026-02-25T08:40:00+00:00,173.085,3.374,0.626,-3.007,11.255
2026-02-25T08:45:00+00:00,176.255,3.431,0.594,-3.056,11.238
2026-02-25T08:50:00+00:00,172.132,3.352,0.602,-2.996,11.24
2026-02-25T08:55:00+00:00,171.878,3.342,0.572,-2.978,11.224
2026-02-25T09:00:00+00:00,174.594,3.394,0.55,-3.012,11.224
2026-02-25T09:05:00+00:00,169.948,3.303,0.576,-2.926,11.226
2026-02-25T09:10:00+00:00,166.89,3.248,0.594,-2.889,11.236
2026-02-25T09:15:00+00:00,168.587,3.281,0.583,-2.93,11.25
2026-02-25T09:20:00+00:00,169.457,3.32,0.561,-2.944,11.307
2026-02-25T09:25:00+00:00,167.518,3.279,0.576,-2.901,11.322
2026-02-25T09:30:00+00:00,170.735,3.334,0.592,-2.962,11.282
2026-02-25T09:35:00+00:00,166.121,3.239,0.624,-2.872,11.26
2026-02-25T09:40:00+00:00,164.314,3.205,0.6,-2.848,11.258
2026-02-25T09:45:00+00:00,161.86,3.167,0.655,-2.814,11.289
2026-02-25T09:50:00+00:00,161.972,3.166,0.607,-2.808,11.29
2026-02-25T09:55:00+00:00,161.253,3.15,0.615,-2.798,11.281
2026-02-25T10:00:00+00:00,167.896,3.282,0.62,-2.912,11.289
2026-02-25T10:05:00+00:00,166.822,3.261,0.614,-2.89,11.292
2026-02-25T10:10:00+00:00,164.848,3.228,0.613,-2.872,11.312
2026-02-25T10:15:00+00:00,164.074,3.218,0.614,-2.858,11.32
2026-02-25T10:20:00+00:00,158.957,3.119,0.603,-2.776,11.315
2026-02-25T10:25:00+00:00,161.494,3.16,0.588,-2.814,11.302
2026-02-25T10:30:00+00:00,165.173,3.229,0.604,-2.886,11.299
2026-02-25T10:35:00+00:00,164.842,3.228,0.59,-2.881,11.316
2026-02-25T10:40:00+00:00,167.828,3.286,0.576,-2.92,11.298
2026-02-25T10:45:00+00:00,170.921,3.352,0.578,-2.985,11.321
2026-02-25T10:50:00+00:00,168.094,3.291,0.625,-2.94,11.304
2026-02-25T10:55:00+00:00,160.953,3.156,0.638,-2.812,11.332
2026-02-25T11:00:00+00:00,158.588,3.113,0.626,-2.783,11.334
2026-02-25T11:05:00+00:00,158.358,3.108,0.618,-2.768,11.318
2026-02-25T11:10:00+00:00,152.921,3.002,0.633,-2.665,11.338
2026-02-25T11:15:00+00:00,149.286,2.919,0.619,-2.586,11.3
2026-02-25T11:20:00+00:00,145.593,2.848,0.63,-2.524,11.284
2026-02-25T11:25:00+00:00,145.462,2.851,0.617,-2.517,11.308
2026-02-25T11:30:00+00:00,144.983,2.84,0.612,-2.514,11.33
2026-02-25T11:35:00+00:00,141.294,2.778,0.638,-2.464,11.343
2026-02-25T11:40:00+00:00,140.526,2.761,0.614,-2.44,11.354
2026-02-25T11:45:00+00:00,143.113,2.814,0.608,-2.488,11.347
2026-02-25T11:50:00+00:00,141.042,2.768,0.638,-2.436,11.346
2026-02-25T11:55:00+00:00,145.244,2.851,0.605,-2.528,11.343
2026-02-25T12:00:00+00:00,153.226,3.002,0.593,-2.684,11.334
2026-02-25T12:05:00+00:00,155.106,3.044,0.57,-2.706,11.324
2026-02-25T12:10:00+00:00,152.907,3.005,0.586,-2.632,11.343
2026-02-25T12:15:00+00:00,145.247,2.853,0.615,-2.529,11.346
2026-02-25T12:20:00+00:00,147.063,2.89,0.636,-2.55,11.352
2026-02-25T12:25:00+00:00,144.05,2.83,0.624,-2.489,11.336
2026-02-25T12:30:00+00:00,145.838,2.862,0.63,-2.521,11.336
2026-02-25T12:35:00+00:00,158.89,3.104,0.599,-2.749,11.293
2026-02-25T12:40:00+00:00,163.968,3.204,0.582,-2.845,11.282
2026-02-25T12:45:00+00:00,167.218,3.274,0.61,-2.905,11.302
2026-02-25T12:50:00+00:00,167.528,3.28,0.62,-2.92,11.304
2026-02-25T12:55:00+00:00,166.572,3.258,0.624,-2.914,11.292
2026-02-25T13:00:00+00:00,169.324,3.304,0.624,-2.958,11.284
2026-02-25T13:05:00+00:00,171.514,3.344,0.598,-2.987,11.248
2026-02-25T13:10:00+00:00,170.868,3.328,0.602,-2.968,11.256
2026-02-25T13:15:00+00:00,171.066,3.337,0.583,-2.98,11.275
2026-02-25T13:20:00+00:00,171.054,3.34,0.628,-2.976,11.272
2026-02-25T13:25:00+00:00,169.288,3.305,0.633,-2.944,11.276
2026-02-25T13:30:00+00:00,169.04,3.303,0.63,-2.933,11.288
2026-02-25T13:35:00+00:00,169.246,3.312,0.66,-2.945,11.303
2026-02-25T13:40:00+00:00,167.157,3.272,0.632,-2.909,11.287
2026-02-25T13:45:00+00:00,166.992,3.261,0.629,-2.91,11.284
2026-02-25T13:50:00+00:00,170.163,3.332,0.659,-2.963,11.294
2026-02-25T13:55:00+00:00,164.078,3.22,0.648,-2.856,11.317
2026-02-25T14:00:00+00:00,163.028,3.192,0.637,-2.84,11.3
2026-02-25T14:05:00+00:00,164.0,3.212,0.599,-2.862,11.298
2026-02-25T14:10:00+00:00,164.057,3.21,0.649,-2.846,11.298
2026-02-25T14:15:00+00:00,166.235,3.252,0.597,-2.879,11.298
2026-02-25T14:20:00+00:00,166.538,3.26,0.632,-2.877,11.29
2026-02-25T14:25:00+00:00,166.08,3.248,0.617,-2.862,11.285
2026-02-25T14:30:00+00:00,167.175,3.27,0.61,-2.89,11.29
2026-02-25T14:35:00+00:00,168.642,3.303,0.614,-2.924,11.305
2026-02-25T14:40:00+00:00,169.452,3.314,0.622,-2.942,11.291
2026-02-25T14:45:00+00:00,169.215,3.3,0.618,-2.923,11.272
2026-02-25T14:50:00+00:00,168.17,3.298,0.616,-2.912,11.302
2026-02-25T14:55:00+00:00,165.327,3.253,0.628,-2.864,11.346
2026-02-25T15:00:00+00:00,163.633,3.226,0.63,-2.833,11.374
2026-02-25T15:05:00+00:00,164.392,3.242,0.646,-2.864,11.38
2026-02-25T15:10:00+00:00,163.698,3.236,0.634,-2.87,11.407
2026-02-25T15:15:00+00:00,164.456,3.245,0.634,-2.892,11.399
2026-02-25T15:20:00+00:00,166.98,3.294,0.658,-2.93,11.404
2026-02-25T15:25:00+00:00,166.211,3.286,0.666,-2.921,11.412
2026-02-25T15:30:00+00:00,164.21,3.241,0.638,-2.868,11.385
2026-02-25T15:35:00+00:00,164.39,3.242,0.627,-2.869,11.38
2026-02-25T15:40:00+00:00,165.328,3.257,0.702,-2.888,11.378
2026-02-25T15:45:00+00:00,166.654,3.283,0.699,-2.912,11.383
2026-02-25T15:50:00+00:00,168.178,3.322,0.685,-2.937,11.39
2026-02-25T15:55:00+00:00,170.752,3.363,0.669,-2.998,11.37
2026-02-25T16:00:00+00:00,173.4,3.398,0.669,-3.029,11.314
2026-02-25T16:05:00+00:00,174.685,3.411,0.684,-3.061,11.285
2026-02-25T16:10:00+00:00,172.65,3.367,0.672,-3.015,11.261
2026-02-25T16:15:00+00:00,174.408,3.406,0.695,-3.04,11.28
2026-02-25T16:20:00+00:00,178.507,3.488,0.642,-3.108,11.28
2026-02-25T16:25:00+00:00,179.566,3.5,0.679,-3.137,11.262
2026-02-25T16:30:00+00:00,180.671,3.52,0.654,-3.158,11.261
2026-02-25T16:35:00+00:00,184.134,3.598,0.699,-3.235,11.292
2026-02-25T16:40:00+00:00,184.942,3.617,0.682,-3.253,11.288
2026-02-25T16:45:00+00:00,188.256,3.68,0.628,-3.292,11.294
2026-02-25T16:50:00+00:00,190.036,3.718,0.658,-3.33,11.302
2026-02-25T16:55:00+00:00,194.196,3.802,0.628,-3.416,11.311
2026-02-25T17:00:00+00:00,197.757,3.881,0.605,-3.481,11.334
2026-02-25T17:05:00+00:00,198.456,3.894,0.611,-3.512,11.334
2026-02-25T17:10:00+00:00,203.076,3.986,0.609,-3.578,11.328
2026-02-25T17:15:00+00:00,204.368,4.011,0.6,-3.618,11.343
2026-02-25T17:20:00+00:00,208.066,4.086,0.597,-3.684,11.343
2026-02-25T17:25:00+00:00,210.27,4.122,0.568,-3.711,11.324
2026-02-25T17:30:00+00:00,210.628,4.13,0.592,-3.716,11.318
2026-02-25T17:35:00+00:00,212.354,4.163,0.584,-3.766,11.32
2026-02-25T17:40:00+00:00,212.41,4.162,0.586,-3.772,11.312
2026-02-25T17:45:00+00:00,214.683,4.202,0.584,-3.824,11.304
2026-02-25T17:50:00+00:00,217.133,4.248,0.567,-3.868,11.3
