ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,66.25,1.274,-0.125,1.104,11.106
2026-02-25T00:10:00+00:00,68.163,1.3,-0.113,1.14,11.056
2026-02-25T00:15:00+00:00,67.786,1.296,-0.13,1.122,11.044
2026-02-25T00:20:00+00:00,66.286,1.272,-0.129,1.088,11.042
2026-02-25T00:25:00+00:00,65.909,1.258,-0.12,1.086,11.048
2026-02-25T00:30:00+00:00,64.034,1.23,-0.12,1.054,11.061
2026-02-25T00:35:00+00:00,66.116,1.261,-0.12,1.088,11.026
2026-02-25T00:40:00+00:00,70.5,1.338,-0.122,1.183,10.992
2026-02-25T00:45:00+00:00,72.792,1.384,-0.124,1.225,10.99
2026-02-25T00:50:00+00:00,72.218,1.378,-0.126,1.224,10.998
2026-02-25T00:55:00+00:00,72.014,1.37,-0.128,1.221,11.006
2026-02-25T01:00:00+00:00,72.093,1.372,-0.298,1.221,11.005
2026-02-25T01:05:00+00:00,68.954,1.314,-0.146,1.239,10.994
2026-02-25T01:10:00+00:00,68.664,1.306,-0.13,1.242,11.011
2026-02-25T01:15:00+00:00,66.628,1.269,-0.133,1.212,11.03
2026-02-25T01:20:00+00:00,66.666,1.268,-0.12,1.22,11.008
2026-02-25T01:25:00+00:00,67.112,1.281,-0.096,1.218,11.008
2026-02-25T01:30:00+00:00,69.523,1.326,-0.063,1.26,10.997
2026-02-25T01:35:00+00:00,70.284,1.336,-0.058,1.284,11.014
2026-02-25T01:40:00+00:00,70.344,1.341,-0.068,1.284,11.001
2026-02-25T01:45:00+00:00,70.922,1.354,-0.061,1.295,11.018
2026-02-25T01:50:00+00:00,71.428,1.368,-0.062,1.308,11.056
2026-02-25T01:55:00+00:00,69.322,1.326,-0.068,1.269,11.068
2026-02-25T02:00:00+00:00,68.954,1.319,-0.067,1.252,11.057
2026-02-25T02:05:00+00:00,69.488,1.325,-0.055,1.275,11.019
2026-02-25T02:10:00+00:00,69.37,1.322,-0.059,1.273,11.026
2026-02-25T02:15:00+00:00,68.959,1.321,-0.055,1.284,11.076
