ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,49.734,0.972,-0.036,0.915,11.292
2026-02-25T00:10:00+00:00,52.263,1.022,-0.041,0.975,11.285
2026-02-25T00:15:00+00:00,54.097,1.056,-0.034,1.004,11.276
2026-02-25T00:20:00+00:00,56.53,1.106,-0.04,1.04,11.303
2026-02-25T00:25:00+00:00,57.065,1.117,-0.042,1.064,11.304
2026-02-25T00:30:00+00:00,56.184,1.1,-0.04,1.032,11.304
2026-02-25T00:35:00+00:00,60.679,1.186,-0.032,1.116,11.284
2026-02-25T00:40:00+00:00,64.379,1.262,-0.036,1.204,11.316
2026-02-25T00:45:00+00:00,65.5,1.288,-0.05,1.216,11.342
2026-02-25T00:50:00+00:00,65.908,1.296,-0.068,1.244,11.348
2026-02-25T00:55:00+00:00,67.145,1.319,-0.068,1.26,11.348
2026-02-25T01:00:00+00:00,66.372,1.303,-0.056,1.236,11.337
2026-02-25T01:05:00+00:00,67.334,1.319,-0.043,1.258,11.312
2026-02-25T01:10:00+00:00,66.585,1.304,-0.041,1.232,11.312
2026-02-25T01:15:00+00:00,67.475,1.322,-0.063,1.24,11.316
2026-02-25T01:20:00+00:00,66.195,1.298,-0.064,1.216,11.322
2026-02-25T01:25:00+00:00,65.35,1.284,-0.064,1.216,11.325
2026-02-25T01:30:00+00:00,64.278,1.261,-0.066,1.18,11.33
2026-02-25T01:35:00+00:00,66.013,1.296,-0.058,1.219,11.323
2026-02-25T01:40:00+00:00,66.158,1.298,-0.058,1.228,11.33
2026-02-25T01:45:00+00:00,66.132,1.3,-0.062,1.23,11.342
2026-02-25T01:50:00+00:00,62.695,1.233,-0.056,1.174,11.362
2026-02-25T01:55:00+00:00,61.549,1.212,-0.049,1.153,11.366
2026-02-25T02:00:00+00:00,60.993,1.2,-0.058,1.142,11.365
2026-02-25T02:05:00+00:00,63.906,1.256,-0.06,1.178,11.347
2026-02-25T02:10:00+00:00,64.168,1.261,-0.067,1.198,11.35
2026-02-25T02:15:00+00:00,62.784,1.237,-0.064,1.156,11.374
2026-02-25T02:20:00+00:00,60.544,1.195,-0.058,1.108,11.386
2026-02-25T02:25:00+00:00,59.518,1.175,-0.057,1.098,11.391
2026-02-25T02:30:00+00:00,59.608,1.176,-0.064,1.103,11.396
2026-02-25T02:35:00+00:00,58.304,1.149,-0.066,1.072,11.389
2026-02-25T02:40:00+00:00,58.424,1.152,-0.07,1.08,11.386
2026-02-25T02:45:00+00:00,57.608,1.135,-0.074,1.07,11.4
2026-02-25T02:50:00+00:00,58.021,1.146,-0.062,1.082,11.417
2026-02-25T02:55:00+00:00,56.317,1.114,-0.052,1.052,11.426
2026-02-25T03:00:00+00:00,55.622,1.1,-0.035,1.035,11.426
2026-02-25T03:05:00+00:00,54.878,1.084,-0.037,1.036,11.403
2026-02-25T03:10:00+00:00,55.08,1.089,-0.033,1.036,11.401
2026-02-25T03:15:00+00:00,54.696,1.081,-0.03,1.036,11.41
2026-02-25T03:20:00+00:00,56.426,1.114,-0.022,1.052,11.407
2026-02-25T03:25:00+00:00,55.34,1.094,-0.043,1.036,11.408
2026-02-25T03:30:00+00:00,53.928,1.067,-0.03,1.009,11.419
2026-02-25T03:35:00+00:00,51.874,1.022,-0.073,0.98,11.367
2026-02-25T03:40:00+00:00,53.276,1.047,-0.128,0.999,11.346
2026-02-25T03:45:00+00:00,53.303,1.048,-0.171,0.997,11.356
2026-02-25T03:50:00+00:00,50.313,0.99,-0.232,0.956,11.363
2026-02-25T03:55:00+00:00,49.983,0.983,-0.282,0.953,11.367
2026-02-25T04:00:00+00:00,49.685,0.978,-0.321,0.928,11.372
2026-02-25T04:05:00+00:00,60.948,1.203,-0.128,0.926,11.388
2026-02-25T04:10:00+00:00,65.793,1.292,-0.064,0.96,11.339
2026-02-25T04:15:00+00:00,66.009,1.291,-0.057,0.948,11.295
2026-02-25T04:20:00+00:00,65.866,1.289,-0.053,0.937,11.297
2026-02-25T04:25:00+00:00,65.036,1.274,-0.062,0.924,11.303
2026-02-25T04:30:00+00:00,65.208,1.275,-0.068,0.919,11.298
2026-02-25T04:35:00+00:00,65.353,1.279,-0.06,0.927,11.294
2026-02-25T04:40:00+00:00,64.423,1.26,-0.057,0.92,11.297
2026-02-25T04:45:00+00:00,63.882,1.25,-0.067,0.916,11.304
2026-02-25T04:50:00+00:00,63.9,1.251,-0.058,0.902,11.294
2026-02-25T04:55:00+00:00,64.433,1.258,-0.053,0.908,11.288
2026-02-25T05:00:00+00:00,65.498,1.28,-0.058,0.922,11.289
2026-02-25T05:05:00+00:00,64.922,1.268,-0.06,0.897,11.281
