ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,163.704,3.154,0.772,-2.83,11.12
2026-02-25T00:10:00+00:00,166.002,3.18,0.746,-2.869,11.092
2026-02-25T00:15:00+00:00,164.642,3.153,0.771,-2.858,11.086
2026-02-25T00:20:00+00:00,163.068,3.126,0.78,-2.827,11.08
2026-02-25T00:25:00+00:00,164.048,3.141,0.792,-2.83,11.068
2026-02-25T00:30:00+00:00,162.572,3.12,0.82,-2.79,11.068
2026-02-25T00:35:00+00:00,161.17,3.085,0.817,-2.78,11.048
2026-02-25T00:40:00+00:00,163.064,3.109,0.819,-2.802,11.044
2026-02-25T00:45:00+00:00,164.969,3.156,0.823,-2.792,11.057
2026-02-25T00:50:00+00:00,163.957,3.145,0.808,-2.784,11.067
2026-02-25T00:55:00+00:00,160.651,3.086,0.798,-2.723,11.08
2026-02-25T01:00:00+00:00,160.287,3.072,0.814,-2.73,11.072
2026-02-25T01:05:00+00:00,158.868,3.051,0.786,-2.726,11.057
2026-02-25T01:10:00+00:00,155.139,2.98,0.811,-2.694,11.1
2026-02-25T01:15:00+00:00,157.263,3.024,0.845,-2.698,11.106
2026-02-25T01:20:00+00:00,157.221,3.032,0.856,-2.698,11.144
2026-02-25T01:25:00+00:00,155.666,3.016,0.812,-2.672,11.166
2026-02-25T01:30:00+00:00,152.878,2.968,0.777,-2.698,11.179
2026-02-25T01:35:00+00:00,154.758,2.994,0.82,-2.761,11.191
2026-02-25T01:40:00+00:00,153.924,2.991,0.826,-2.718,11.17
2026-02-25T01:45:00+00:00,154.057,2.977,0.798,-2.724,11.178
2026-02-25T01:50:00+00:00,150.842,2.946,0.822,-2.693,11.215
2026-02-25T01:55:00+00:00,151.342,2.941,0.806,-2.684,11.229
2026-02-25T02:00:00+00:00,148.336,2.889,0.775,-2.622,11.222
2026-02-25T02:05:00+00:00,149.888,2.897,0.78,-2.667,11.191
2026-02-25T02:10:00+00:00,149.912,2.916,0.83,-2.632,11.209
2026-02-25T02:15:00+00:00,149.089,2.896,0.802,-2.619,11.247
2026-02-25T02:20:00+00:00,147.472,2.883,0.779,-2.588,11.282
2026-02-25T02:25:00+00:00,146.946,2.875,0.778,-2.6,11.284
2026-02-25T02:30:00+00:00,145.453,2.846,0.772,-2.574,11.282
2026-02-25T02:35:00+00:00,143.801,2.802,0.775,-2.496,11.27
2026-02-25T02:40:00+00:00,142.856,2.778,0.786,-2.496,11.276
2026-02-25T02:45:00+00:00,141.933,2.77,0.786,-2.486,11.282
2026-02-25T02:50:00+00:00,141.486,2.77,0.79,-2.474,11.309
2026-02-25T02:55:00+00:00,141.534,2.767,0.785,-2.502,11.314
2026-02-25T03:00:00+00:00,142.689,2.783,0.788,-2.503,11.304
2026-02-25T03:05:00+00:00,143.084,2.78,0.775,-2.5,11.282
2026-02-25T03:10:00+00:00,141.659,2.766,0.794,-2.477,11.27
2026-02-25T03:15:00+00:00,142.264,2.782,0.82,-2.464,11.285
2026-02-25T03:20:00+00:00,141.651,2.775,0.819,-2.456,11.302
2026-02-25T03:25:00+00:00,140.136,2.74,0.778,-2.436,11.296
2026-02-25T03:30:00+00:00,140.83,2.75,0.791,-2.429,11.298
2026-02-25T03:35:00+00:00,140.213,2.726,0.823,-2.383,11.27
2026-02-25T03:40:00+00:00,139.652,2.723,0.818,-2.358,11.259
2026-02-25T03:45:00+00:00,137.912,2.708,0.8,-2.348,11.28
2026-02-25T03:50:00+00:00,136.7,2.675,0.821,-2.361,11.282
2026-02-25T03:55:00+00:00,136.227,2.652,0.814,-2.366,11.288
2026-02-25T04:00:00+00:00,136.365,2.664,0.767,-2.357,11.294
2026-02-25T04:05:00+00:00,136.073,2.654,0.8,-2.36,11.276
2026-02-25T04:10:00+00:00,135.846,2.633,0.788,-2.36,11.204
2026-02-25T04:15:00+00:00,134.469,2.602,0.774,-2.343,11.171
2026-02-25T04:20:00+00:00,133.894,2.594,0.778,-2.32,11.167
2026-02-25T04:25:00+00:00,133.335,2.589,0.784,-2.291,11.176
2026-02-25T04:30:00+00:00,132.371,2.562,0.788,-2.322,11.173
2026-02-25T04:35:00+00:00,131.956,2.55,0.778,-2.314,11.169
2026-02-25T04:40:00+00:00,132.624,2.561,0.782,-2.345,11.166
2026-02-25T04:45:00+00:00,133.704,2.586,0.778,-2.339,11.172
2026-02-25T04:50:00+00:00,133.884,2.588,0.786,-2.35,11.172
2026-02-25T04:55:00+00:00,134.27,2.597,0.784,-2.316,11.174
