ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,59.878,1.152,0.001,0.18,11.082
2026-02-25T00:10:00+00:00,58.908,1.14,-0.001,0.191,11.048
2026-02-25T00:15:00+00:00,57.939,1.12,-0.007,0.187,11.047
2026-02-25T00:20:00+00:00,58.689,1.11,-0.013,0.178,11.046
2026-02-25T00:25:00+00:00,58.702,1.124,-0.018,0.189,11.044
2026-02-25T00:30:00+00:00,59.604,1.134,-0.005,0.196,11.054
2026-02-25T00:35:00+00:00,59.746,1.146,-0.003,0.201,11.04
2026-02-25T00:40:00+00:00,59.184,1.133,-0.005,0.206,11.03
2026-02-25T00:45:00+00:00,58.594,1.118,-0.007,0.21,11.041
2026-02-25T00:50:00+00:00,56.888,1.088,-0.008,0.208,11.05
2026-02-25T00:55:00+00:00,57.439,1.102,-0.009,0.202,11.061
2026-02-25T01:00:00+00:00,56.988,1.082,-0.011,0.21,11.058
2026-02-25T01:05:00+00:00,57.686,1.08,-0.012,0.204,11.042
2026-02-25T01:10:00+00:00,57.76,1.086,-0.014,0.211,11.043
2026-02-25T01:15:00+00:00,57.688,1.1,-0.016,0.208,11.049
2026-02-25T01:20:00+00:00,57.733,1.105,-0.018,0.2,11.054
2026-02-25T01:25:00+00:00,57.075,1.1,-0.019,0.197,11.056
2026-02-25T01:30:00+00:00,57.405,1.092,-0.021,0.205,11.067
2026-02-25T01:35:00+00:00,57.738,1.086,-0.022,0.203,11.057
2026-02-25T01:40:00+00:00,57.543,1.084,-0.024,0.209,11.062
2026-02-25T01:45:00+00:00,58.137,1.092,-0.026,0.196,11.076
2026-02-25T01:50:00+00:00,56.911,1.096,-0.011,0.191,11.093
2026-02-25T01:55:00+00:00,57.096,1.096,-0.006,0.208,11.103
2026-02-25T02:00:00+00:00,56.791,1.082,-0.009,0.187,11.099
2026-02-25T02:05:00+00:00,57.12,1.088,-0.013,0.178,11.091
2026-02-25T02:10:00+00:00,58.138,1.114,-0.017,0.204,11.099
2026-02-25T02:15:00+00:00,57.97,1.124,-0.02,0.198,11.12
2026-02-25T02:20:00+00:00,57.418,1.097,-0.024,0.186,11.136
2026-02-25T02:25:00+00:00,57.782,1.096,-0.028,0.168,11.145
2026-02-25T02:30:00+00:00,57.972,1.106,-0.03,0.185,11.145
2026-02-25T02:35:00+00:00,55.722,1.1,-0.017,0.184,11.134
2026-02-25T02:40:00+00:00,55.461,1.07,0.026,0.186,11.146
2026-02-25T02:45:00+00:00,55.808,1.07,0.091,0.188,11.152
2026-02-25T02:50:00+00:00,56.434,1.078,0.209,0.191,11.035
2026-02-25T02:55:00+00:00,54.246,1.055,0.043,0.183,11.205
2026-02-25T03:00:00+00:00,54.439,1.063,0.068,0.182,11.227
2026-02-25T03:05:00+00:00,53.769,1.069,0.173,0.187,11.227
2026-02-25T03:10:00+00:00,54.305,1.058,0.288,0.203,11.323
2026-02-25T03:15:00+00:00,56.37,1.083,0.403,0.208,11.32
2026-02-25T03:20:00+00:00,60.2,1.178,0.463,0.246,11.266
2026-02-25T03:25:00+00:00,61.468,1.191,0.466,0.231,11.26
2026-02-25T03:30:00+00:00,62.27,1.194,0.479,0.24,11.268
2026-02-25T03:35:00+00:00,61.768,1.204,0.46,0.229,11.238
2026-02-25T03:40:00+00:00,60.688,1.192,0.457,0.218,11.228
2026-02-25T03:45:00+00:00,60.879,1.195,0.466,0.226,11.247
2026-02-25T03:50:00+00:00,60.746,1.193,0.466,0.215,11.25
2026-02-25T03:55:00+00:00,60.49,1.198,0.478,0.239,11.26
2026-02-25T04:00:00+00:00,60.306,1.19,0.47,0.217,11.268
2026-02-25T04:05:00+00:00,57.941,1.178,0.381,0.206,11.291
2026-02-25T04:10:00+00:00,56.124,1.086,-0.002,0.157,11.212
2026-02-25T04:15:00+00:00,55.392,1.074,-0.006,0.158,11.2
2026-02-25T04:20:00+00:00,56.579,1.085,-0.009,0.167,11.197
2026-02-25T04:25:00+00:00,56.66,1.103,-0.013,0.163,11.194
2026-02-25T04:30:00+00:00,55.613,1.094,-0.016,0.152,11.2
2026-02-25T04:35:00+00:00,54.26,1.064,-0.02,0.152,11.2
2026-02-25T04:40:00+00:00,55.628,1.074,-0.024,0.15,11.208
2026-02-25T04:45:00+00:00,55.803,1.074,-0.028,0.159,11.216
2026-02-25T04:50:00+00:00,57.288,1.092,-0.031,0.149,11.208
2026-02-25T04:55:00+00:00,54.619,1.072,-0.034,0.143,11.209
2026-02-25T05:00:00+00:00,54.394,1.056,-0.038,0.153,11.21
2026-02-25T05:05:00+00:00,55.258,1.076,-0.042,0.159,11.2
2026-02-25T05:10:00+00:00,55.562,1.076,-0.038,0.16,11.189
2026-02-25T05:15:00+00:00,57.165,1.104,-0.016,0.162,11.194
2026-02-25T05:20:00+00:00,56.694,1.1,-0.01,0.155,11.198
2026-02-25T05:25:00+00:00,56.294,1.092,-0.007,0.163,11.202
2026-02-25T05:30:00+00:00,59.354,1.142,-0.01,0.163,11.206
2026-02-25T05:35:00+00:00,59.66,1.162,-0.009,0.16,11.2
2026-02-25T05:40:00+00:00,59.084,1.14,-0.014,0.168,11.191
2026-02-25T05:45:00+00:00,61.617,1.199,0.006,0.166,11.172
2026-02-25T05:50:00+00:00,61.463,1.204,-0.003,0.176,11.17
2026-02-25T05:55:00+00:00,63.627,1.232,0.005,0.17,11.172
2026-02-25T06:00:00+00:00,64.637,1.245,0.014,0.169,11.166
2026-02-25T06:05:00+00:00,66.978,1.276,0.022,0.176,11.133
2026-02-25T06:10:00+00:00,68.398,1.307,0.029,0.186,11.09
2026-02-25T06:15:00+00:00,66.886,1.282,0.036,0.189,11.064
2026-02-25T06:20:00+00:00,70.386,1.34,0.012,0.179,11.05
2026-02-25T06:25:00+00:00,72.969,1.392,0.004,0.186,11.053
2026-02-25T06:30:00+00:00,75.274,1.43,0.024,0.194,11.044
2026-02-25T06:35:00+00:00,77.777,1.474,0.022,0.205,11.044
2026-02-25T06:40:00+00:00,77.398,1.47,0.023,0.197,11.035
2026-02-25T06:45:00+00:00,77.049,1.468,0.032,0.211,11.026
2026-02-25T06:50:00+00:00,74.935,1.435,0.044,0.206,11.014
2026-02-25T06:55:00+00:00,75.61,1.454,0.03,0.218,11.1
2026-02-25T07:00:00+00:00,77.432,1.49,0.011,0.235,11.147
2026-02-25T07:05:00+00:00,78.304,1.496,0.034,0.235,11.123
2026-02-25T07:10:00+00:00,78.524,1.516,0.052,0.228,11.086
2026-02-25T07:15:00+00:00,78.023,1.508,0.052,0.231,11.08
2026-02-25T07:20:00+00:00,80.187,1.527,0.063,0.248,11.11
2026-02-25T07:25:00+00:00,80.641,1.545,0.056,0.235,11.125
2026-02-25T07:30:00+00:00,81.844,1.56,0.049,0.24,11.123
2026-02-25T07:35:00+00:00,81.591,1.562,0.046,0.234,11.117
2026-02-25T07:40:00+00:00,82.526,1.589,0.05,0.237,11.099
2026-02-25T07:45:00+00:00,81.638,1.568,0.033,0.226,11.098
2026-02-25T07:50:00+00:00,81.41,1.592,0.046,0.208,11.094
2026-02-25T07:55:00+00:00,84.18,1.606,0.059,0.211,11.086
2026-02-25T08:00:00+00:00,84.096,1.624,0.037,0.203,11.1
2026-02-25T08:05:00+00:00,83.95,1.616,0.026,0.208,11.104
2026-02-25T08:10:00+00:00,84.946,1.621,0.054,0.217,11.098
2026-02-25T08:15:00+00:00,87.029,1.676,0.079,0.198,11.099
2026-02-25T08:20:00+00:00,85.636,1.658,0.069,0.211,11.117
2026-02-25T08:25:00+00:00,85.022,1.64,0.052,0.194,11.12
2026-02-25T08:30:00+00:00,85.274,1.648,0.054,0.203,11.138
2026-02-25T08:35:00+00:00,84.528,1.64,0.057,0.188,11.134
2026-02-25T08:40:00+00:00,83.022,1.612,0.026,0.188,11.132
2026-02-25T08:45:00+00:00,84.503,1.618,0.037,0.166,11.135
2026-02-25T08:50:00+00:00,82.714,1.596,0.014,0.16,11.131
2026-02-25T08:55:00+00:00,80.752,1.556,0.044,0.143,11.13
2026-02-25T09:00:00+00:00,80.362,1.54,0.028,0.162,11.126
2026-02-25T09:05:00+00:00,78.803,1.539,0.019,0.17,11.13
2026-02-25T09:10:00+00:00,80.626,1.545,0.008,0.151,11.132
2026-02-25T09:15:00+00:00,79.344,1.531,0.01,0.152,11.122
2026-02-25T09:20:00+00:00,77.706,1.503,0.032,0.15,11.138
2026-02-25T09:25:00+00:00,79.345,1.536,0.034,0.136,11.15
2026-02-25T09:30:00+00:00,78.33,1.522,0.02,0.134,11.162
2026-02-25T09:35:00+00:00,78.418,1.51,0.03,0.127,11.166
2026-02-25T09:40:00+00:00,77.176,1.496,0.001,0.125,11.17
2026-02-25T09:45:00+00:00,75.716,1.473,0.022,0.127,11.188
2026-02-25T09:50:00+00:00,75.302,1.466,0.006,0.12,11.183
2026-02-25T09:55:00+00:00,77.296,1.496,0.008,0.129,11.19
2026-02-25T10:00:00+00:00,77.0,1.495,-0.005,0.115,11.206
2026-02-25T10:05:00+00:00,74.751,1.442,-0.026,0.076,11.212
