ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,52.746,1.015,-0.05,-0.666,11.125
2026-02-25T00:10:00+00:00,53.767,1.031,-0.069,-0.696,11.09
2026-02-25T00:15:00+00:00,54.52,1.035,-0.05,-0.685,11.086
2026-02-25T00:20:00+00:00,54.643,1.04,-0.046,-0.712,11.082
2026-02-25T00:25:00+00:00,54.712,1.044,-0.044,-0.727,11.08
2026-02-25T00:30:00+00:00,54.39,1.05,-0.046,-0.718,11.091
2026-02-25T00:35:00+00:00,55.244,1.058,-0.035,-0.723,11.085
2026-02-25T00:40:00+00:00,54.198,1.051,-0.025,-0.704,11.077
2026-02-25T00:45:00+00:00,55.08,1.046,-0.035,-0.688,11.082
2026-02-25T00:50:00+00:00,55.891,1.062,-0.043,-0.724,11.084
2026-02-25T00:55:00+00:00,55.525,1.062,-0.012,-0.72,11.094
2026-02-25T01:00:00+00:00,55.502,1.062,0.005,-0.718,11.096
2026-02-25T01:05:00+00:00,54.892,1.064,-0.05,-0.718,11.072
2026-02-25T01:10:00+00:00,54.454,1.043,-0.049,-0.71,11.072
2026-02-25T01:15:00+00:00,54.814,1.058,-0.038,-0.721,11.082
2026-02-25T01:20:00+00:00,53.824,1.042,-0.038,-0.692,11.086
2026-02-25T01:25:00+00:00,54.498,1.048,-0.053,-0.687,11.093
2026-02-25T01:30:00+00:00,54.888,1.064,-0.052,-0.72,11.096
2026-02-25T01:35:00+00:00,55.162,1.066,-0.055,-0.726,11.093
2026-02-25T01:40:00+00:00,54.254,1.066,-0.048,-0.718,11.1
2026-02-25T01:45:00+00:00,53.673,1.056,-0.042,-0.704,11.111
2026-02-25T01:50:00+00:00,53.702,1.034,-0.061,-0.69,11.128
2026-02-25T01:55:00+00:00,53.781,1.034,-0.034,-0.685,11.136
2026-02-25T02:00:00+00:00,53.423,1.032,-0.037,-0.687,11.134
2026-02-25T02:05:00+00:00,54.674,1.06,-0.068,-0.714,11.121
2026-02-25T02:10:00+00:00,54.556,1.062,-0.046,-0.715,11.123
2026-02-25T02:15:00+00:00,54.052,1.053,-0.028,-0.696,11.145
2026-02-25T02:20:00+00:00,54.628,1.053,-0.029,-0.718,11.16
2026-02-25T02:25:00+00:00,53.589,1.052,-0.023,-0.69,11.168
2026-02-25T02:30:00+00:00,53.886,1.052,-0.028,-0.688,11.174
2026-02-25T02:35:00+00:00,54.038,1.054,-0.034,-0.692,11.163
2026-02-25T02:40:00+00:00,54.45,1.053,-0.032,-0.68,11.17
2026-02-25T02:45:00+00:00,53.454,1.021,-0.031,-0.677,11.173
2026-02-25T02:50:00+00:00,54.742,1.062,-0.043,-0.712,11.195
2026-02-25T02:55:00+00:00,54.52,1.068,-0.04,-0.72,11.208
2026-02-25T03:00:00+00:00,53.536,1.055,-0.038,-0.688,11.204
2026-02-25T03:05:00+00:00,53.282,1.051,-0.033,-0.687,11.18
2026-02-25T03:10:00+00:00,53.64,1.034,-0.034,-0.691,11.17
2026-02-25T03:15:00+00:00,53.667,1.054,-0.029,-0.69,11.175
2026-02-25T03:20:00+00:00,53.088,1.05,-0.033,-0.684,11.184
2026-02-25T03:25:00+00:00,53.572,1.022,-0.031,-0.665,11.184
2026-02-25T03:30:00+00:00,53.396,1.043,-0.027,-0.682,11.192
2026-02-25T03:35:00+00:00,52.879,1.018,-0.018,-0.654,11.162
2026-02-25T03:40:00+00:00,52.412,1.022,-0.033,-0.651,11.146
2026-02-25T03:45:00+00:00,52.418,1.012,-0.028,-0.656,11.158
2026-02-25T03:50:00+00:00,52.591,1.011,-0.032,-0.654,11.167
2026-02-25T03:55:00+00:00,53.064,1.014,-0.041,-0.657,11.176
