ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,59.7,1.164,0.056,-1.11,11.224
2026-02-25T00:10:00+00:00,59.885,1.162,0.05,-1.098,11.19
2026-02-25T00:15:00+00:00,61.353,1.189,0.051,-1.107,11.198
2026-02-25T00:20:00+00:00,60.704,1.177,0.051,-1.1,11.192
2026-02-25T00:25:00+00:00,59.232,1.148,0.067,-1.088,11.188
2026-02-25T00:30:00+00:00,58.089,1.124,0.069,-1.064,11.194
2026-02-25T00:35:00+00:00,57.61,1.112,0.067,-1.042,11.175
2026-02-25T00:40:00+00:00,56.696,1.095,0.056,-1.041,11.166
2026-02-25T00:45:00+00:00,56.034,1.085,0.062,-1.035,11.18
2026-02-25T00:50:00+00:00,54.83,1.062,0.068,-1.01,11.188
2026-02-25T00:55:00+00:00,55.64,1.076,0.052,-1.026,11.202
2026-02-25T01:00:00+00:00,56.19,1.088,0.054,-1.042,11.2
2026-02-25T01:05:00+00:00,57.21,1.108,0.06,-1.058,11.174
2026-02-25T01:10:00+00:00,57.502,1.114,0.067,-1.048,11.179
2026-02-25T01:15:00+00:00,57.224,1.109,0.062,-1.047,11.191
2026-02-25T01:20:00+00:00,58.148,1.122,0.051,-1.057,11.176
2026-02-25T01:25:00+00:00,57.776,1.118,0.068,-1.066,11.183
2026-02-25T01:30:00+00:00,56.889,1.1,0.07,-1.056,11.185
2026-02-25T01:35:00+00:00,57.056,1.106,0.07,-1.064,11.176
2026-02-25T01:40:00+00:00,55.988,1.084,0.062,-1.048,11.172
2026-02-25T01:45:00+00:00,54.898,1.066,0.062,-1.033,11.18
2026-02-25T01:50:00+00:00,54.427,1.055,0.075,-1.024,11.2
2026-02-25T01:55:00+00:00,54.305,1.056,0.058,-1.024,11.217
2026-02-25T02:00:00+00:00,53.939,1.047,0.057,-1.011,11.212
2026-02-25T02:05:00+00:00,54.202,1.054,0.07,-1.008,11.201
2026-02-25T02:10:00+00:00,55.0,1.066,0.054,-1.03,11.206
2026-02-25T02:15:00+00:00,54.094,1.055,0.054,-1.015,11.233
2026-02-25T02:20:00+00:00,53.778,1.048,0.052,-1.009,11.242
2026-02-25T02:25:00+00:00,53.184,1.034,0.053,-1.001,11.248
2026-02-25T02:30:00+00:00,53.374,1.04,0.07,-0.989,11.258
2026-02-25T02:35:00+00:00,53.676,1.043,0.069,-0.99,11.25
2026-02-25T02:40:00+00:00,52.974,1.03,0.076,-0.996,11.243
2026-02-25T02:45:00+00:00,52.234,1.014,0.11,-0.984,11.232
2026-02-25T02:50:00+00:00,51.114,0.998,0.146,-0.964,11.27
2026-02-25T02:55:00+00:00,51.918,1.016,0.094,-0.97,11.287
2026-02-25T03:00:00+00:00,51.762,1.008,0.082,-0.966,11.289
2026-02-25T03:05:00+00:00,51.88,1.004,0.068,-0.97,11.25
2026-02-25T03:10:00+00:00,52.368,1.018,0.08,-0.99,11.234
2026-02-25T03:15:00+00:00,51.889,1.008,0.112,-0.984,11.238
2026-02-25T03:20:00+00:00,52.72,1.028,0.072,-1.0,11.249
2026-02-25T03:25:00+00:00,52.259,1.018,0.07,-0.99,11.247
2026-02-25T03:30:00+00:00,50.588,0.986,0.064,-0.954,11.254
2026-02-25T03:35:00+00:00,49.528,0.965,0.106,-0.933,11.224
2026-02-25T03:40:00+00:00,49.678,0.962,0.137,-0.937,11.2
2026-02-25T03:45:00+00:00,49.079,0.952,0.131,-0.924,11.221
2026-02-25T03:50:00+00:00,48.726,0.946,0.143,-0.916,11.234
2026-02-25T03:55:00+00:00,49.804,0.968,0.096,-0.942,11.25
2026-02-25T04:00:00+00:00,51.034,0.994,0.068,-0.964,11.254
2026-02-25T04:05:00+00:00,52.101,1.018,0.064,-0.985,11.291
2026-02-25T04:10:00+00:00,51.784,1.009,0.064,-0.986,11.273
2026-02-25T04:15:00+00:00,51.092,0.998,0.068,-0.974,11.254
2026-02-25T04:20:00+00:00,49.492,0.968,0.08,-0.944,11.253
2026-02-25T04:25:00+00:00,49.441,0.964,0.083,-0.93,11.255
2026-02-25T04:30:00+00:00,49.582,0.967,0.087,-0.932,11.253
2026-02-25T04:35:00+00:00,49.463,0.962,0.066,-0.938,11.249
2026-02-25T04:40:00+00:00,49.253,0.96,0.092,-0.936,11.249
2026-02-25T04:45:00+00:00,50.055,0.975,0.128,-0.95,11.247
2026-02-25T04:50:00+00:00,50.139,0.974,0.096,-0.944,11.248
2026-02-25T04:55:00+00:00,50.102,0.974,0.121,-0.95,11.246
2026-02-25T05:00:00+00:00,50.061,0.976,0.134,-0.95,11.251
2026-02-25T05:05:00+00:00,49.681,0.969,0.138,-0.943,11.247
2026-02-25T05:10:00+00:00,50.602,0.982,0.126,-0.958,11.24
2026-02-25T05:15:00+00:00,50.798,0.988,0.08,-0.962,11.236
2026-02-25T05:20:00+00:00,52.436,1.018,0.066,-0.99,11.232
2026-02-25T05:25:00+00:00,52.71,1.03,0.059,-1.0,11.24
2026-02-25T05:30:00+00:00,52.914,1.031,0.084,-0.999,11.248
2026-02-25T05:35:00+00:00,52.778,1.03,0.084,-0.996,11.256
2026-02-25T05:40:00+00:00,51.715,1.008,0.066,-0.975,11.252
2026-02-25T05:45:00+00:00,54.511,1.062,0.064,-1.02,11.234
2026-02-25T05:50:00+00:00,54.406,1.059,0.05,-1.024,11.227
2026-02-25T05:55:00+00:00,55.927,1.092,0.052,-1.062,11.236
2026-02-25T06:00:00+00:00,55.528,1.079,0.065,-1.054,11.232
2026-02-25T06:05:00+00:00,58.658,1.134,0.072,-1.112,11.198
2026-02-25T06:10:00+00:00,61.444,1.182,0.063,-1.156,11.157
2026-02-25T06:15:00+00:00,61.654,1.184,0.031,-1.16,11.136
2026-02-25T06:20:00+00:00,63.372,1.222,0.038,-1.198,11.122
2026-02-25T06:25:00+00:00,65.207,1.256,0.036,-1.232,11.128
2026-02-25T06:30:00+00:00,64.935,1.254,0.036,-1.228,11.125
2026-02-25T06:35:00+00:00,65.374,1.264,0.039,-1.241,11.148
2026-02-25T06:40:00+00:00,65.79,1.271,0.031,-1.254,11.149
2026-02-25T06:45:00+00:00,65.864,1.271,0.034,-1.251,11.136
2026-02-25T06:50:00+00:00,66.158,1.272,0.019,-1.256,11.112
2026-02-25T06:55:00+00:00,69.454,1.334,0.128,-1.296,11.113
2026-02-25T07:00:00+00:00,71.296,1.377,0.038,-1.312,11.18
2026-02-25T07:05:00+00:00,73.687,1.422,0.031,-1.356,11.154
2026-02-25T07:10:00+00:00,74.72,1.44,0.019,-1.391,11.143
2026-02-25T07:15:00+00:00,72.106,1.4,0.019,-1.374,11.2
2026-02-25T07:20:00+00:00,72.315,1.41,0.018,-1.385,11.247
2026-02-25T07:25:00+00:00,73.784,1.439,-0.008,-1.408,11.27
2026-02-25T07:30:00+00:00,74.032,1.446,-0.013,-1.422,11.284
2026-02-25T07:35:00+00:00,74.592,1.454,-0.01,-1.428,11.263
2026-02-25T07:40:00+00:00,75.024,1.46,0.002,-1.435,11.247
2026-02-25T07:45:00+00:00,75.042,1.458,0.003,-1.438,11.238
2026-02-25T07:50:00+00:00,76.327,1.483,-0.015,-1.46,11.225
2026-02-25T07:55:00+00:00,75.022,1.458,-0.008,-1.432,11.222
2026-02-25T08:00:00+00:00,75.477,1.47,-0.021,-1.446,11.238
2026-02-25T08:05:00+00:00,74.83,1.46,-0.016,-1.433,11.254
2026-02-25T08:10:00+00:00,75.346,1.471,-0.016,-1.447,11.258
2026-02-25T08:15:00+00:00,74.053,1.445,-0.016,-1.424,11.257
2026-02-25T08:20:00+00:00,74.836,1.459,0.004,-1.436,11.265
2026-02-25T08:25:00+00:00,75.779,1.48,-0.034,-1.454,11.271
2026-02-25T08:30:00+00:00,75.944,1.486,-0.012,-1.465,11.283
2026-02-25T08:35:00+00:00,73.089,1.428,-0.014,-1.403,11.282
2026-02-25T08:40:00+00:00,73.356,1.431,-0.018,-1.408,11.279
2026-02-25T08:45:00+00:00,73.11,1.428,-0.021,-1.402,11.276
2026-02-25T08:50:00+00:00,72.684,1.419,-0.011,-1.398,11.272
2026-02-25T08:55:00+00:00,75.941,1.482,-0.029,-1.459,11.259
2026-02-25T09:00:00+00:00,77.439,1.513,-0.035,-1.49,11.26
2026-02-25T09:05:00+00:00,78.648,1.534,-0.032,-1.511,11.26
2026-02-25T09:10:00+00:00,79.862,1.556,-0.033,-1.534,11.25
2026-02-25T09:15:00+00:00,79.03,1.536,-0.015,-1.514,11.229
2026-02-25T09:20:00+00:00,79.593,1.552,-0.017,-1.529,11.254
2026-02-25T09:25:00+00:00,81.184,1.584,-0.038,-1.562,11.271
2026-02-25T09:30:00+00:00,80.942,1.58,-0.03,-1.562,11.28
2026-02-25T09:35:00+00:00,82.11,1.602,-0.03,-1.582,11.268
2026-02-25T09:40:00+00:00,80.362,1.568,-0.027,-1.547,11.27
2026-02-25T09:45:00+00:00,80.388,1.568,-0.009,-1.547,11.284
2026-02-25T09:50:00+00:00,80.316,1.568,-0.019,-1.549,11.288
2026-02-25T09:55:00+00:00,78.726,1.538,-0.013,-1.522,11.296
2026-02-25T10:00:00+00:00,78.88,1.546,-0.016,-1.527,11.3
2026-02-25T10:05:00+00:00,78.152,1.532,-0.015,-1.509,11.307
2026-02-25T10:10:00+00:00,77.471,1.518,-0.016,-1.493,11.322
2026-02-25T10:15:00+00:00,77.092,1.51,-0.014,-1.488,11.33
2026-02-25T10:20:00+00:00,78.901,1.547,-0.01,-1.526,11.333
2026-02-25T10:25:00+00:00,79.321,1.554,-0.01,-1.535,11.326
2026-02-25T10:30:00+00:00,78.011,1.53,-0.023,-1.506,11.334
2026-02-25T10:35:00+00:00,78.104,1.535,-0.034,-1.516,11.336
2026-02-25T10:40:00+00:00,78.458,1.54,-0.038,-1.523,11.332
2026-02-25T10:45:00+00:00,78.619,1.542,-0.066,-1.527,11.328
2026-02-25T10:50:00+00:00,79.812,1.566,-0.053,-1.546,11.332
2026-02-25T10:55:00+00:00,81.152,1.596,-0.024,-1.58,11.352
2026-02-25T11:00:00+00:00,79.733,1.573,-0.048,-1.553,11.36
2026-02-25T11:05:00+00:00,79.886,1.568,-0.039,-1.55,11.346
2026-02-25T11:10:00+00:00,80.733,1.582,-0.059,-1.568,11.34
2026-02-25T11:15:00+00:00,81.524,1.596,-0.056,-1.576,11.297
2026-02-25T11:20:00+00:00,81.69,1.593,-0.061,-1.576,11.27
2026-02-25T11:25:00+00:00,79.958,1.562,-0.022,-1.543,11.286
2026-02-25T11:30:00+00:00,77.352,1.518,-0.041,-1.495,11.316
2026-02-25T11:35:00+00:00,75.914,1.489,-0.076,-1.47,11.333
2026-02-25T11:40:00+00:00,75.662,1.484,-0.061,-1.462,11.335
2026-02-25T11:45:00+00:00,75.632,1.484,-0.034,-1.463,11.334
2026-02-25T11:50:00+00:00,76.162,1.491,-0.04,-1.472,11.327
2026-02-25T11:55:00+00:00,78.673,1.541,-0.048,-1.519,11.32
2026-02-25T12:00:00+00:00,80.84,1.582,-0.08,-1.566,11.313
2026-02-25T12:05:00+00:00,80.981,1.588,-0.053,-1.57,11.318
2026-02-25T12:10:00+00:00,80.334,1.574,-0.098,-1.556,11.332
2026-02-25T12:15:00+00:00,80.356,1.578,-0.118,-1.564,11.332
2026-02-25T12:20:00+00:00,81.6,1.599,-0.108,-1.584,11.332
2026-02-25T12:25:00+00:00,80.248,1.573,-0.102,-1.556,11.32
2026-02-25T12:30:00+00:00,80.519,1.582,-0.092,-1.562,11.31
2026-02-25T12:35:00+00:00,81.067,1.586,-0.094,-1.568,11.288
2026-02-25T12:40:00+00:00,81.562,1.596,-0.07,-1.573,11.288
2026-02-25T12:45:00+00:00,81.996,1.602,-0.096,-1.584,11.294
2026-02-25T12:50:00+00:00,81.43,1.593,-0.014,-1.578,11.304
2026-02-25T12:55:00+00:00,81.95,1.602,-0.021,-1.588,11.31
2026-02-25T13:00:00+00:00,81.766,1.602,-0.022,-1.579,11.311
2026-02-25T13:05:00+00:00,81.739,1.6,-0.038,-1.584,11.292
2026-02-25T13:10:00+00:00,81.761,1.6,-0.038,-1.582,11.294
2026-02-25T13:15:00+00:00,81.881,1.604,-0.048,-1.584,11.305
2026-02-25T13:20:00+00:00,83.163,1.628,-0.052,-1.61,11.298
2026-02-25T13:25:00+00:00,82.89,1.621,-0.016,-1.601,11.298
2026-02-25T13:30:00+00:00,83.271,1.63,-0.016,-1.618,11.31
2026-02-25T13:35:00+00:00,83.568,1.64,-0.008,-1.62,11.316
2026-02-25T13:40:00+00:00,82.107,1.608,-0.014,-1.592,11.309
2026-02-25T13:45:00+00:00,81.759,1.599,-0.013,-1.584,11.306
2026-02-25T13:50:00+00:00,82.928,1.622,-0.031,-1.6,11.316
2026-02-25T13:55:00+00:00,83.821,1.64,-0.02,-1.619,11.328
2026-02-25T14:00:00+00:00,82.746,1.624,-0.038,-1.601,11.33
2026-02-25T14:05:00+00:00,82.156,1.612,-0.052,-1.584,11.322
2026-02-25T14:10:00+00:00,85.05,1.668,-0.037,-1.644,11.322
2026-02-25T14:15:00+00:00,86.178,1.69,-0.035,-1.663,11.324
2026-02-25T14:20:00+00:00,86.266,1.691,-0.046,-1.664,11.318
2026-02-25T14:25:00+00:00,86.054,1.687,-0.046,-1.657,11.32
2026-02-25T14:30:00+00:00,86.042,1.689,-0.03,-1.662,11.328
2026-02-25T14:35:00+00:00,86.018,1.686,-0.018,-1.662,11.318
2026-02-25T14:40:00+00:00,84.571,1.654,-0.029,-1.636,11.304
2026-02-25T14:45:00+00:00,86.087,1.68,-0.031,-1.662,11.294
2026-02-25T14:50:00+00:00,84.718,1.662,-0.02,-1.644,11.325
2026-02-25T14:55:00+00:00,84.863,1.669,-0.126,-1.654,11.356
2026-02-25T15:00:00+00:00,88.47,1.733,-0.06,-1.655,11.322
2026-02-25T15:05:00+00:00,87.125,1.711,-0.022,-1.634,11.316
2026-02-25T15:10:00+00:00,85.464,1.678,-0.025,-1.61,11.33
2026-02-25T15:15:00+00:00,87.254,1.714,-0.032,-1.658,11.332
2026-02-25T15:20:00+00:00,87.498,1.716,-0.025,-1.662,11.334
2026-02-25T15:25:00+00:00,86.92,1.691,-0.022,-1.66,11.264
2026-02-25T15:30:00+00:00,87.004,1.692,-0.015,-1.664,11.249
2026-02-25T15:35:00+00:00,88.405,1.722,-0.022,-1.686,11.246
2026-02-25T15:40:00+00:00,89.245,1.736,0.003,-1.702,11.242
2026-02-25T15:45:00+00:00,89.73,1.75,-0.004,-1.712,11.24
2026-02-25T15:50:00+00:00,90.468,1.756,0.004,-1.724,11.24
2026-02-25T15:55:00+00:00,93.003,1.804,0.012,-1.77,11.213
2026-02-25T16:00:00+00:00,93.829,1.814,0.001,-1.783,11.16
2026-02-25T16:05:00+00:00,96.15,1.852,0.002,-1.822,11.143
2026-02-25T16:10:00+00:00,96.086,1.85,-0.003,-1.817,11.12
2026-02-25T16:15:00+00:00,98.0,1.888,-0.017,-1.858,11.128
2026-02-25T16:20:00+00:00,96.254,1.858,-0.032,-1.822,11.128
2026-02-25T16:25:00+00:00,97.42,1.877,-0.029,-1.842,11.117
2026-02-25T16:30:00+00:00,96.147,1.863,-0.053,-1.811,11.162
2026-02-25T16:35:00+00:00,94.475,1.826,-0.03,-1.779,11.176
2026-02-25T16:40:00+00:00,94.649,1.836,-0.022,-1.792,11.189
2026-02-25T16:45:00+00:00,95.146,1.838,-0.059,-1.795,11.159
2026-02-25T16:50:00+00:00,95.28,1.841,-0.041,-1.792,11.154
2026-02-25T16:55:00+00:00,97.238,1.872,-0.06,-1.828,11.136
2026-02-25T17:00:00+00:00,99.515,1.916,-0.06,-1.868,11.125
2026-02-25T17:05:00+00:00,98.447,1.897,-0.023,-1.848,11.13
2026-02-25T17:10:00+00:00,99.981,1.924,-0.02,-1.877,11.131
2026-02-25T17:15:00+00:00,102.681,1.986,-0.006,-1.939,11.153
2026-02-25T17:20:00+00:00,104.494,2.021,-0.027,-1.978,11.163
2026-02-25T17:25:00+00:00,105.532,2.039,-0.012,-1.998,11.157
2026-02-25T17:30:00+00:00,106.324,2.054,-0.013,-2.015,11.16
2026-02-25T17:35:00+00:00,106.248,2.056,-0.01,-2.016,11.166
2026-02-25T17:40:00+00:00,107.752,2.083,-0.016,-2.045,11.16
2026-02-25T17:45:00+00:00,108.46,2.095,-0.014,-2.052,11.151
2026-02-25T17:50:00+00:00,107.337,2.074,-0.015,-2.03,11.147
2026-02-25T17:55:00+00:00,105.318,2.035,0.014,-1.993,11.151
2026-02-25T18:00:00+00:00,104.538,2.018,0.007,-1.981,11.146
2026-02-25T18:05:00+00:00,107.158,2.068,-0.012,-2.028,11.144
2026-02-25T18:10:00+00:00,107.352,2.074,-0.016,-2.03,11.154
2026-02-25T18:15:00+00:00,107.288,2.074,-0.028,-2.026,11.156
2026-02-25T18:20:00+00:00,107.188,2.072,-0.017,-2.025,11.157
2026-02-25T18:25:00+00:00,109.532,2.117,-0.02,-2.069,11.156
2026-02-25T18:30:00+00:00,107.796,2.083,0.016,-2.044,11.161
2026-02-25T18:35:00+00:00,108.353,2.093,0.017,-2.05,11.16
2026-02-25T18:40:00+00:00,109.28,2.112,-0.008,-2.069,11.156
2026-02-25T18:45:00+00:00,108.092,2.089,-0.014,-2.043,11.156
2026-02-25T18:50:00+00:00,109.62,2.12,-0.016,-2.076,11.169
2026-02-25T18:55:00+00:00,108.266,2.097,-0.009,-2.056,11.183
2026-02-25T19:00:00+00:00,108.266,2.1,-0.024,-2.058,11.192
2026-02-25T19:05:00+00:00,106.964,2.07,-0.023,-2.026,11.165
2026-02-25T19:10:00+00:00,104.498,2.019,-0.007,-1.974,11.152
2026-02-25T19:15:00+00:00,105.81,2.046,0.01,-2.002,11.157
2026-02-25T19:20:00+00:00,104.094,2.014,-0.001,-1.97,11.17
2026-02-25T19:25:00+00:00,101.586,1.966,0.002,-1.92,11.174
2026-02-25T19:30:00+00:00,102.979,1.994,0.013,-1.949,11.175
2026-02-25T19:35:00+00:00,102.266,1.982,0.018,-1.934,11.19
2026-02-25T19:40:00+00:00,100.417,1.947,0.005,-1.898,11.184
2026-02-25T19:45:00+00:00,100.217,1.94,-0.009,-1.888,11.18
2026-02-25T19:50:00+00:00,99.964,1.926,-0.006,-1.836,11.119
2026-02-25T19:55:00+00:00,99.219,1.928,0.001,-1.864,11.211
2026-02-25T20:00:00+00:00,99.464,1.928,0.014,-1.872,11.193
2026-02-25T20:05:00+00:00,100.17,1.938,0.003,-1.89,11.17
2026-02-25T20:10:00+00:00,100.526,1.949,0.003,-1.903,11.192
2026-02-25T20:15:00+00:00,100.656,1.947,0.006,-1.908,11.184
2026-02-25T20:20:00+00:00,99.608,1.93,0.009,-1.888,11.182
2026-02-25T20:25:00+00:00,99.486,1.93,-0.006,-1.89,11.196
2026-02-25T20:30:00+00:00,96.968,1.878,0.014,-1.842,11.182
