ValueDate,Current Inst,Derived MVA,Volts Inst
2026-02-25T00:05:00+00:00,172.027,3.299,11.074
2026-02-25T00:10:00+00:00,171.124,3.274,11.049
2026-02-25T00:15:00+00:00,173.625,3.316,11.044
2026-02-25T00:20:00+00:00,174.248,3.335,11.048
2026-02-25T00:25:00+00:00,173.062,3.308,11.041
2026-02-25T00:30:00+00:00,169.841,3.254,11.066
2026-02-25T00:35:00+00:00,166.561,3.193,11.062
2026-02-25T00:40:00+00:00,165.315,3.172,11.082
2026-02-25T00:45:00+00:00,163.772,3.153,11.11
2026-02-25T00:50:00+00:00,161.78,3.114,11.116
2026-02-25T00:55:00+00:00,161.138,3.109,11.141
2026-02-25T01:00:00+00:00,161.35,3.112,11.145
2026-02-25T01:05:00+00:00,163.284,3.146,11.117
2026-02-25T01:10:00+00:00,161.921,3.118,11.115
2026-02-25T01:15:00+00:00,158.653,3.058,11.122
2026-02-25T01:20:00+00:00,157.743,3.042,11.126
2026-02-25T01:25:00+00:00,157.054,3.023,11.116
2026-02-25T01:30:00+00:00,155.202,2.996,11.138
2026-02-25T01:35:00+00:00,155.532,3.002,11.138
2026-02-25T01:40:00+00:00,156.397,3.016,11.136
2026-02-25T01:45:00+00:00,156.334,3.012,11.132
2026-02-25T01:50:00+00:00,157.726,3.046,11.152
2026-02-25T01:55:00+00:00,156.082,3.024,11.179
2026-02-25T02:00:00+00:00,153.429,2.976,11.19
2026-02-25T02:05:00+00:00,153.321,2.966,11.171
2026-02-25T02:10:00+00:00,153.624,2.97,11.16
2026-02-25T02:15:00+00:00,154.644,2.99,11.168
2026-02-25T02:20:00+00:00,151.505,2.934,11.182
2026-02-25T02:25:00+00:00,148.508,2.882,11.195
2026-02-25T02:30:00+00:00,148.992,2.89,11.199
2026-02-25T02:35:00+00:00,148.902,2.888,11.197
2026-02-25T02:40:00+00:00,148.87,2.892,11.214
2026-02-25T02:45:00+00:00,147.646,2.862,11.188
2026-02-25T02:50:00+00:00,145.737,2.832,11.227
2026-02-25T02:55:00+00:00,145.644,2.818,11.172
2026-02-25T03:00:00+00:00,145.824,2.805,11.112
2026-02-25T03:05:00+00:00,146.301,2.81,11.09
2026-02-25T03:10:00+00:00,144.779,2.782,11.092
2026-02-25T03:15:00+00:00,144.166,2.771,11.105
2026-02-25T03:20:00+00:00,143.81,2.77,11.116
2026-02-25T03:25:00+00:00,144.17,2.773,11.106
2026-02-25T03:30:00+00:00,142.94,2.753,11.12
2026-02-25T03:35:00+00:00,142.753,2.744,11.09
2026-02-25T03:40:00+00:00,141.144,2.704,11.052
