ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,127.908,2.452,-1.258,-2.05,11.07
2026-02-25T00:10:00+00:00,130.318,2.489,-1.254,-2.09,11.026
2026-02-25T00:15:00+00:00,128.154,2.446,-1.238,-2.054,11.022
2026-02-25T00:20:00+00:00,126.916,2.421,-1.246,-2.02,11.014
2026-02-25T00:25:00+00:00,128.778,2.456,-1.258,-2.052,11.008
2026-02-25T00:30:00+00:00,127.839,2.438,-1.258,-2.029,11.016
2026-02-25T00:35:00+00:00,126.516,2.41,-1.24,-2.01,10.994
2026-02-25T00:40:00+00:00,127.346,2.426,-1.25,-2.023,11.0
2026-02-25T00:45:00+00:00,129.111,2.468,-1.255,-2.065,11.035
2026-02-25T00:50:00+00:00,129.104,2.47,-1.247,-2.077,11.044
2026-02-25T00:55:00+00:00,127.668,2.443,-1.244,-2.046,11.05
2026-02-25T01:00:00+00:00,126.866,2.427,-1.25,-2.022,11.048
2026-02-25T01:05:00+00:00,127.405,2.431,-1.248,-2.029,11.016
2026-02-25T01:10:00+00:00,127.716,2.436,-1.252,-2.034,11.019
2026-02-25T01:15:00+00:00,129.648,2.474,-1.276,-2.064,11.018
2026-02-25T01:20:00+00:00,129.512,2.466,-1.258,-2.063,10.992
2026-02-25T01:25:00+00:00,127.611,2.43,-1.266,-2.022,10.996
2026-02-25T01:30:00+00:00,131.192,2.498,-1.278,-2.087,10.993
2026-02-25T01:35:00+00:00,127.428,2.432,-1.254,-2.027,11.022
2026-02-25T01:40:00+00:00,130.28,2.483,-1.269,-2.077,11.006
2026-02-25T01:45:00+00:00,128.523,2.455,-1.252,-2.056,11.029
2026-02-25T01:50:00+00:00,127.478,2.443,-1.258,-2.038,11.064
2026-02-25T01:55:00+00:00,128.698,2.468,-1.258,-2.068,11.07
2026-02-25T02:00:00+00:00,125.487,2.404,-1.242,-2.001,11.062
2026-02-25T02:05:00+00:00,128.509,2.453,-1.258,-2.051,11.024
2026-02-25T02:10:00+00:00,125.327,2.396,-1.25,-1.986,11.038
2026-02-25T02:15:00+00:00,123.782,2.378,-1.238,-1.971,11.092
2026-02-25T02:20:00+00:00,121.848,2.349,-1.227,-1.943,11.13
2026-02-25T02:25:00+00:00,120.452,2.322,-1.236,-1.906,11.131
2026-02-25T02:30:00+00:00,122.178,2.354,-1.235,-1.946,11.131
2026-02-25T02:35:00+00:00,121.476,2.341,-1.243,-1.928,11.128
2026-02-25T02:40:00+00:00,123.197,2.376,-1.253,-1.959,11.142
2026-02-25T02:45:00+00:00,120.61,2.33,-1.25,-1.907,11.152
2026-02-25T02:50:00+00:00,118.846,2.302,-1.254,-1.868,11.182
2026-02-25T02:55:00+00:00,121.092,2.346,-1.278,-1.91,11.179
2026-02-25T03:00:00+00:00,118.901,2.302,-1.246,-1.874,11.18
2026-02-25T03:05:00+00:00,120.706,2.331,-1.25,-1.908,11.15
2026-02-25T03:10:00+00:00,118.762,2.294,-1.239,-1.873,11.154
2026-02-25T03:15:00+00:00,118.931,2.299,-1.253,-1.869,11.163
2026-02-25T03:20:00+00:00,118.061,2.284,-1.252,-1.85,11.17
2026-02-25T03:25:00+00:00,120.014,2.322,-1.268,-1.886,11.172
2026-02-25T03:30:00+00:00,120.917,2.34,-1.28,-1.899,11.176
2026-02-25T03:35:00+00:00,120.459,2.322,-1.28,-1.881,11.136
2026-02-25T03:40:00+00:00,120.215,2.316,-1.258,-1.883,11.129
2026-02-25T03:45:00+00:00,119.896,2.321,-1.248,-1.896,11.183
2026-02-25T03:50:00+00:00,122.161,2.371,-1.256,-1.951,11.21
2026-02-25T03:55:00+00:00,122.294,2.374,-1.268,-1.952,11.212
2026-02-25T04:00:00+00:00,123.748,2.404,-1.273,-1.98,11.221
2026-02-25T04:05:00+00:00,121.658,2.354,-1.25,-1.969,11.165
2026-02-25T04:10:00+00:00,121.456,2.338,-1.22,-1.972,11.116
2026-02-25T04:15:00+00:00,120.988,2.324,-1.235,-1.947,11.091
2026-02-25T04:20:00+00:00,122.992,2.36,-1.258,-1.977,11.08
2026-02-25T04:25:00+00:00,121.83,2.338,-1.25,-1.954,11.088
2026-02-25T04:30:00+00:00,119.364,2.292,-1.228,-1.914,11.088
2026-02-25T04:35:00+00:00,120.811,2.319,-1.212,-1.958,11.084
2026-02-25T04:40:00+00:00,117.614,2.258,-1.23,-1.881,11.085
2026-02-25T04:45:00+00:00,118.202,2.27,-1.247,-1.884,11.093
2026-02-25T04:50:00+00:00,116.779,2.246,-1.235,-1.858,11.102
2026-02-25T04:55:00+00:00,115.129,2.216,-1.224,-1.826,11.108
2026-02-25T05:00:00+00:00,115.298,2.22,-1.243,-1.82,11.111
2026-02-25T05:05:00+00:00,115.004,2.214,-1.242,-1.814,11.116
2026-02-25T05:10:00+00:00,115.351,2.224,-1.244,-1.824,11.13
2026-02-25T05:15:00+00:00,113.883,2.191,-1.228,-1.792,11.114
2026-02-25T05:20:00+00:00,117.989,2.27,-1.239,-1.886,11.108
2026-02-25T05:25:00+00:00,119.896,2.308,-1.24,-1.922,11.108
2026-02-25T05:30:00+00:00,121.342,2.335,-1.246,-1.953,11.112
2026-02-25T05:35:00+00:00,118.936,2.292,-1.24,-1.909,11.13
2026-02-25T05:40:00+00:00,121.206,2.334,-1.26,-1.939,11.119
2026-02-25T05:45:00+00:00,121.02,2.325,-1.26,-1.926,11.095
2026-02-25T05:50:00+00:00,119.683,2.303,-1.254,-1.906,11.101
2026-02-25T05:55:00+00:00,120.478,2.318,-1.264,-1.916,11.104
2026-02-25T06:00:00+00:00,120.476,2.314,-1.253,-1.924,11.093
2026-02-25T06:05:00+00:00,124.806,2.391,-1.259,-2.011,11.057
2026-02-25T06:10:00+00:00,128.704,2.45,-1.312,-2.049,10.996
2026-02-25T06:15:00+00:00,129.404,2.456,-1.322,-2.052,10.96
2026-02-25T06:20:00+00:00,131.445,2.49,-1.302,-2.098,10.936
2026-02-25T06:25:00+00:00,130.556,2.476,-1.318,-2.081,10.942
2026-02-25T06:30:00+00:00,131.11,2.482,-1.318,-2.086,10.93
2026-02-25T06:35:00+00:00,133.208,2.528,-1.34,-2.12,10.954
2026-02-25T06:40:00+00:00,134.527,2.552,-1.348,-2.148,10.953
2026-02-25T06:45:00+00:00,133.654,2.525,-1.326,-2.127,10.907
2026-02-25T06:50:00+00:00,138.773,2.625,-1.332,-2.218,10.916
2026-02-25T06:55:00+00:00,137.706,2.601,-1.352,-2.161,10.91
2026-02-25T07:00:00+00:00,136.35,2.582,-1.343,-2.144,10.931
2026-02-25T07:05:00+00:00,140.57,2.674,-1.362,-2.246,10.984
2026-02-25T07:10:00+00:00,139.512,2.662,-1.358,-2.23,11.011
2026-02-25T07:15:00+00:00,140.99,2.688,-1.361,-2.261,11.006
2026-02-25T07:20:00+00:00,137.354,2.626,-1.346,-2.194,11.038
2026-02-25T07:25:00+00:00,139.672,2.673,-1.364,-2.239,11.052
2026-02-25T07:30:00+00:00,130.532,2.507,-1.312,-2.077,11.091
2026-02-25T07:35:00+00:00,130.376,2.502,-1.305,-2.07,11.084
2026-02-25T07:40:00+00:00,130.133,2.496,-1.294,-2.074,11.072
2026-02-25T07:45:00+00:00,129.016,2.476,-1.308,-2.041,11.078
2026-02-25T07:50:00+00:00,130.298,2.496,-1.288,-2.079,11.061
2026-02-25T07:55:00+00:00,132.627,2.538,-1.297,-2.122,11.046
2026-02-25T08:00:00+00:00,134.61,2.582,-1.321,-2.164,11.08
2026-02-25T08:05:00+00:00,136.888,2.625,-1.342,-2.2,11.067
2026-02-25T08:10:00+00:00,135.286,2.593,-1.338,-2.166,11.07
2026-02-25T08:15:00+00:00,137.326,2.638,-1.33,-2.218,11.087
2026-02-25T08:20:00+00:00,132.034,2.54,-1.313,-2.115,11.104
2026-02-25T08:25:00+00:00,132.88,2.553,-1.333,-2.119,11.095
2026-02-25T08:30:00+00:00,132.963,2.561,-1.35,-2.117,11.117
2026-02-25T08:35:00+00:00,132.163,2.552,-1.336,-2.114,11.145
2026-02-25T08:40:00+00:00,134.673,2.588,-1.328,-2.163,11.099
2026-02-25T08:45:00+00:00,133.644,2.568,-1.328,-2.138,11.094
2026-02-25T08:50:00+00:00,132.598,2.55,-1.318,-2.122,11.102
2026-02-25T08:55:00+00:00,131.868,2.532,-1.32,-2.1,11.082
2026-02-25T09:00:00+00:00,134.408,2.58,-1.325,-2.157,11.083
2026-02-25T09:05:00+00:00,132.664,2.554,-1.344,-2.112,11.114
2026-02-25T09:10:00+00:00,129.564,2.486,-1.302,-2.06,11.078
2026-02-25T09:15:00+00:00,132.89,2.542,-1.29,-2.136,11.048
2026-02-25T09:20:00+00:00,130.416,2.504,-1.316,-2.07,11.089
2026-02-25T09:25:00+00:00,127.203,2.45,-1.328,-2.0,11.124
2026-02-25T09:30:00+00:00,125.46,2.415,-1.324,-1.966,11.114
2026-02-25T09:35:00+00:00,123.302,2.37,-1.288,-1.934,11.094
2026-02-25T09:40:00+00:00,121.232,2.329,-1.284,-1.887,11.09
2026-02-25T09:45:00+00:00,118.812,2.288,-1.298,-1.831,11.124
2026-02-25T09:50:00+00:00,115.665,2.23,-1.304,-1.755,11.136
2026-02-25T09:55:00+00:00,116.612,2.251,-1.32,-1.766,11.145
2026-02-25T10:00:00+00:00,116.618,2.254,-1.341,-1.756,11.158
2026-02-25T10:05:00+00:00,115.023,2.203,-1.311,-1.716,11.058
2026-02-25T10:10:00+00:00,116.223,2.22,-1.354,-1.706,11.032
2026-02-25T10:15:00+00:00,120.788,2.304,-1.428,-1.755,11.016
2026-02-25T10:20:00+00:00,123.299,2.351,-1.424,-1.81,11.012
2026-02-25T10:25:00+00:00,125.872,2.394,-1.429,-1.874,10.99
2026-02-25T10:30:00+00:00,126.398,2.41,-1.424,-1.89,11.008
2026-02-25T10:35:00+00:00,127.51,2.426,-1.445,-1.898,10.985
2026-02-25T10:40:00+00:00,129.887,2.466,-1.412,-1.974,10.961
2026-02-25T10:45:00+00:00,133.234,2.528,-1.387,-2.054,10.959
2026-02-25T10:50:00+00:00,136.806,2.597,-1.398,-2.132,10.965
2026-02-25T10:55:00+00:00,133.136,2.541,-1.396,-2.064,11.02
2026-02-25T11:00:00+00:00,133.483,2.546,-1.43,-2.052,11.014
2026-02-25T11:05:00+00:00,134.802,2.567,-1.451,-2.072,10.993
2026-02-25T11:10:00+00:00,135.792,2.582,-1.444,-2.085,10.984
2026-02-25T11:15:00+00:00,137.33,2.602,-1.43,-2.122,10.938
2026-02-25T11:20:00+00:00,137.957,2.617,-1.429,-2.14,10.952
2026-02-25T11:25:00+00:00,136.677,2.594,-1.408,-2.13,10.965
2026-02-25T11:30:00+00:00,140.092,2.674,-1.424,-2.207,11.018
2026-02-25T11:35:00+00:00,137.854,2.639,-1.422,-2.165,11.053
2026-02-25T11:40:00+00:00,138.332,2.647,-1.442,-2.17,11.05
2026-02-25T11:45:00+00:00,139.077,2.66,-1.458,-2.173,11.044
2026-02-25T11:50:00+00:00,138.448,2.646,-1.452,-2.16,11.038
2026-02-25T11:55:00+00:00,138.396,2.642,-1.452,-2.157,11.029
2026-02-25T12:00:00+00:00,141.234,2.696,-1.463,-2.218,11.023
2026-02-25T12:05:00+00:00,143.796,2.744,-1.481,-2.258,11.008
2026-02-25T12:10:00+00:00,146.914,2.799,-1.49,-2.33,11.0
2026-02-25T12:15:00+00:00,144.92,2.762,-1.489,-2.275,11.001
2026-02-25T12:20:00+00:00,144.153,2.747,-1.475,-2.27,11.006
2026-02-25T12:25:00+00:00,143.94,2.735,-1.465,-2.264,10.972
2026-02-25T12:30:00+00:00,148.782,2.823,-1.484,-2.347,10.952
2026-02-25T12:35:00+00:00,151.638,2.872,-1.477,-2.415,10.933
2026-02-25T12:40:00+00:00,153.652,2.91,-1.482,-2.446,10.932
2026-02-25T12:45:00+00:00,151.062,2.87,-1.476,-2.408,10.968
2026-02-25T12:50:00+00:00,151.91,2.878,-1.48,-2.418,10.937
2026-02-25T12:55:00+00:00,152.214,2.88,-1.487,-2.413,10.926
2026-02-25T13:00:00+00:00,154.536,2.926,-1.478,-2.47,10.93
2026-02-25T13:05:00+00:00,141.733,2.689,-1.364,-2.264,10.95
2026-02-25T13:10:00+00:00,136.834,2.604,-1.338,-2.179,10.989
2026-02-25T13:15:00+00:00,135.212,2.58,-1.33,-2.16,11.015
2026-02-25T13:20:00+00:00,134.738,2.574,-1.317,-2.161,11.031
2026-02-25T13:25:00+00:00,132.996,2.546,-1.316,-2.126,11.054
2026-02-25T13:30:00+00:00,136.548,2.614,-1.348,-2.19,11.05
2026-02-25T13:35:00+00:00,134.356,2.57,-1.31,-2.158,11.048
2026-02-25T13:40:00+00:00,134.373,2.566,-1.312,-2.155,11.022
2026-02-25T13:45:00+00:00,134.769,2.574,-1.302,-2.165,11.024
2026-02-25T13:50:00+00:00,133.608,2.554,-1.28,-2.156,11.038
2026-02-25T13:55:00+00:00,134.142,2.574,-1.307,-2.165,11.08
2026-02-25T14:00:00+00:00,139.242,2.666,-1.374,-2.24,11.064
2026-02-25T14:05:00+00:00,139.258,2.664,-1.406,-2.204,11.042
2026-02-25T14:10:00+00:00,138.078,2.64,-1.395,-2.187,11.046
2026-02-25T14:15:00+00:00,144.221,2.756,-1.424,-2.312,11.033
2026-02-25T14:20:00+00:00,143.514,2.74,-1.4,-2.3,11.019
2026-02-25T14:25:00+00:00,142.83,2.73,-1.4,-2.292,11.036
2026-02-25T14:30:00+00:00,142.228,2.72,-1.396,-2.282,11.043
2026-02-25T14:35:00+00:00,139.533,2.664,-1.382,-2.22,11.03
2026-02-25T14:40:00+00:00,141.104,2.693,-1.386,-2.264,11.018
2026-02-25T14:45:00+00:00,142.508,2.718,-1.402,-2.279,11.012
2026-02-25T14:50:00+00:00,142.715,2.732,-1.4,-2.288,11.052
2026-02-25T14:55:00+00:00,141.66,2.714,-1.394,-2.282,11.07
2026-02-25T15:00:00+00:00,140.024,2.696,-1.398,-2.254,11.119
2026-02-25T15:05:00+00:00,142.206,2.736,-1.416,-2.284,11.108
2026-02-25T15:10:00+00:00,142.102,2.742,-1.446,-2.274,11.138
2026-02-25T15:15:00+00:00,144.078,2.776,-1.429,-2.329,11.124
2026-02-25T15:20:00+00:00,142.572,2.749,-1.443,-2.285,11.132
2026-02-25T15:25:00+00:00,138.678,2.676,-1.428,-2.209,11.14
2026-02-25T15:30:00+00:00,140.432,2.704,-1.43,-2.238,11.129
2026-02-25T15:35:00+00:00,143.732,2.761,-1.424,-2.308,11.094
2026-02-25T15:40:00+00:00,144.201,2.77,-1.424,-2.316,11.096
2026-02-25T15:45:00+00:00,143.448,2.757,-1.44,-2.295,11.093
2026-02-25T15:50:00+00:00,145.243,2.785,-1.438,-2.327,11.076
2026-02-25T15:55:00+00:00,139.388,2.674,-1.414,-2.21,11.07
2026-02-25T16:00:00+00:00,141.36,2.695,-1.414,-2.238,11.009
2026-02-25T16:05:00+00:00,146.882,2.796,-1.43,-2.343,11.002
2026-02-25T16:10:00+00:00,145.776,2.777,-1.422,-2.32,10.999
2026-02-25T16:15:00+00:00,148.236,2.824,-1.421,-2.386,11.0
2026-02-25T16:20:00+00:00,149.106,2.84,-1.407,-2.42,11.002
2026-02-25T16:25:00+00:00,144.868,2.758,-1.388,-2.326,10.992
2026-02-25T16:30:00+00:00,140.216,2.668,-1.322,-2.261,10.991
2026-02-25T16:35:00+00:00,138.575,2.636,-1.308,-2.232,10.983
2026-02-25T16:40:00+00:00,138.608,2.638,-1.298,-2.239,10.991
2026-02-25T16:45:00+00:00,141.353,2.684,-1.314,-2.286,10.964
2026-02-25T16:50:00+00:00,141.974,2.698,-1.314,-2.298,10.969
2026-02-25T16:55:00+00:00,140.885,2.672,-1.32,-2.27,10.951
2026-02-25T17:00:00+00:00,141.587,2.682,-1.31,-2.285,10.933
2026-02-25T17:05:00+00:00,144.492,2.734,-1.312,-2.34,10.924
2026-02-25T17:10:00+00:00,144.974,2.746,-1.322,-2.354,10.933
2026-02-25T17:15:00+00:00,144.576,2.744,-1.328,-2.342,10.956
2026-02-25T17:20:00+00:00,143.666,2.734,-1.332,-2.328,10.99
2026-02-25T17:25:00+00:00,145.522,2.769,-1.32,-2.372,10.982
2026-02-25T17:30:00+00:00,148.367,2.822,-1.334,-2.426,10.976
2026-02-25T17:35:00+00:00,147.714,2.808,-1.305,-2.424,10.972
2026-02-25T17:40:00+00:00,146.974,2.784,-1.299,-2.407,10.939
2026-02-25T17:45:00+00:00,143.784,2.723,-1.278,-2.343,10.936
2026-02-25T17:50:00+00:00,145.389,2.751,-1.272,-2.38,10.924
2026-02-25T17:55:00+00:00,143.948,2.726,-1.263,-2.356,10.938
2026-02-25T18:00:00+00:00,145.362,2.754,-1.25,-2.391,10.942
2026-02-25T18:05:00+00:00,141.498,2.683,-1.242,-2.318,10.946
2026-02-25T18:10:00+00:00,141.858,2.692,-1.242,-2.328,10.956
2026-02-25T18:15:00+00:00,144.032,2.732,-1.246,-2.37,10.951
2026-02-25T18:20:00+00:00,142.342,2.7,-1.241,-2.335,10.952
2026-02-25T18:25:00+00:00,142.672,2.706,-1.227,-2.35,10.952
2026-02-25T18:30:00+00:00,145.646,2.772,-1.247,-2.412,10.99
2026-02-25T18:35:00+00:00,143.96,2.751,-1.252,-2.391,11.034
2026-02-25T18:40:00+00:00,148.967,2.847,-1.278,-2.487,11.034
2026-02-25T18:45:00+00:00,151.152,2.89,-1.286,-2.528,11.038
2026-02-25T18:50:00+00:00,143.306,2.747,-1.254,-2.38,11.07
2026-02-25T18:55:00+00:00,143.89,2.762,-1.251,-2.401,11.082
2026-02-25T19:00:00+00:00,141.51,2.722,-1.241,-2.359,11.102
2026-02-25T19:05:00+00:00,140.015,2.689,-1.238,-2.325,11.086
2026-02-25T19:10:00+00:00,140.194,2.689,-1.247,-2.32,11.072
2026-02-25T19:15:00+00:00,133.028,2.557,-1.219,-2.192,11.099
2026-02-25T19:20:00+00:00,133.086,2.562,-1.208,-2.194,11.112
2026-02-25T19:25:00+00:00,131.65,2.536,-1.214,-2.167,11.118
2026-02-25T19:30:00+00:00,136.639,2.63,-1.251,-2.252,11.114
2026-02-25T19:35:00+00:00,136.878,2.638,-1.256,-2.261,11.13
2026-02-25T19:40:00+00:00,136.275,2.622,-1.264,-2.236,11.111
2026-02-25T19:45:00+00:00,136.088,2.619,-1.265,-2.232,11.115
2026-02-25T19:50:00+00:00,136.868,2.602,-1.243,-2.232,10.978
2026-02-25T19:55:00+00:00,131.084,2.493,-1.199,-2.121,10.981
2026-02-25T20:00:00+00:00,126.962,2.423,-1.22,-2.032,11.024
2026-02-25T20:05:00+00:00,127.374,2.455,-1.215,-2.07,11.126
2026-02-25T20:10:00+00:00,123.856,2.394,-1.202,-2.004,11.158
2026-02-25T20:15:00+00:00,120.782,2.336,-1.204,-1.94,11.175
2026-02-25T20:20:00+00:00,119.151,2.308,-1.2,-1.899,11.183
