ValueDate,Current Inst,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,78.551,1.533,0.148,-1.51,5.619
2026-02-25T00:10:00+00:00,81.118,1.57,0.132,-1.545,5.597
2026-02-25T00:15:00+00:00,83.487,1.612,0.155,-1.588,5.59
2026-02-25T00:20:00+00:00,81.743,1.58,0.155,-1.549,5.587
2026-02-25T00:25:00+00:00,83.002,1.604,0.18,-1.572,5.585
2026-02-25T00:30:00+00:00,84.711,1.634,0.184,-1.613,5.586
2026-02-25T00:35:00+00:00,90.438,1.742,0.213,-1.713,5.568
2026-02-25T00:40:00+00:00,96.822,1.857,0.198,-1.842,5.559
2026-02-25T00:45:00+00:00,100.912,1.947,0.207,-1.924,5.564
2026-02-25T00:50:00+00:00,98.706,1.902,0.212,-1.879,5.568
2026-02-25T00:55:00+00:00,98.327,1.898,0.22,-1.874,5.57
2026-02-25T01:00:00+00:00,99.298,1.911,0.21,-1.896,5.568
2026-02-25T01:05:00+00:00,99.453,1.912,0.221,-1.901,5.552
2026-02-25T01:10:00+00:00,98.631,1.897,0.21,-1.868,5.554
2026-02-25T01:15:00+00:00,96.968,1.871,0.22,-1.842,5.559
2026-02-25T01:20:00+00:00,95.768,1.835,0.231,-1.804,5.546
2026-02-25T01:25:00+00:00,96.522,1.856,0.22,-1.826,5.545
2026-02-25T01:30:00+00:00,96.991,1.866,0.219,-1.829,5.546
2026-02-25T01:35:00+00:00,95.919,1.858,0.235,-1.823,5.558
2026-02-25T01:40:00+00:00,93.146,1.795,0.218,-1.762,5.55
2026-02-25T01:45:00+00:00,94.28,1.815,0.221,-1.781,5.56
2026-02-25T01:50:00+00:00,94.781,1.824,0.219,-1.793,5.578
2026-02-25T01:55:00+00:00,92.793,1.803,0.244,-1.771,5.583
2026-02-25T02:00:00+00:00,92.901,1.797,0.2,-1.775,5.576
2026-02-25T02:05:00+00:00,94.724,1.818,0.214,-1.782,5.56
2026-02-25T02:10:00+00:00,93.431,1.794,0.22,-1.768,5.567
2026-02-25T02:15:00+00:00,91.819,1.778,0.235,-1.75,5.592
2026-02-25T02:20:00+00:00,94.42,1.834,0.241,-1.797,5.608
2026-02-25T02:25:00+00:00,92.254,1.792,0.236,-1.765,5.61
2026-02-25T02:30:00+00:00,91.565,1.784,0.219,-1.759,5.61
2026-02-25T02:35:00+00:00,92.808,1.806,0.216,-1.772,5.608
2026-02-25T02:40:00+00:00,93.59,1.818,0.226,-1.786,5.613
2026-02-25T02:45:00+00:00,89.601,1.753,0.26,-1.706,5.62
2026-02-25T02:50:00+00:00,91.468,1.78,0.238,-1.748,5.636
2026-02-25T02:55:00+00:00,94.184,1.846,0.244,-1.82,5.635
2026-02-25T03:00:00+00:00,92.957,1.811,0.217,-1.781,5.634
2026-02-25T03:05:00+00:00,92.31,1.799,0.224,-1.765,5.62
2026-02-25T03:10:00+00:00,92.465,1.801,0.218,-1.769,5.619
2026-02-25T03:15:00+00:00,92.846,1.817,0.193,-1.795,5.624
2026-02-25T03:20:00+00:00,89.118,1.743,0.184,-1.713,5.63
2026-02-25T03:25:00+00:00,87.827,1.714,0.169,-1.686,5.634
2026-02-25T03:30:00+00:00,86.502,1.689,0.151,-1.671,5.636
2026-02-25T03:35:00+00:00,84.779,1.654,0.17,-1.635,5.618
2026-02-25T03:40:00+00:00,84.699,1.642,0.177,-1.62,5.613
2026-02-25T03:45:00+00:00,82.747,1.616,0.179,-1.587,5.638
2026-02-25T03:50:00+00:00,80.695,1.579,0.168,-1.546,5.652
2026-02-25T03:55:00+00:00,81.436,1.591,0.162,-1.565,5.653
2026-02-25T04:00:00+00:00,83.189,1.629,0.18,-1.59,5.657
2026-02-25T04:05:00+00:00,83.537,1.626,0.162,-1.598,5.618
2026-02-25T04:10:00+00:00,81.535,1.579,0.168,-1.548,5.594
2026-02-25T04:15:00+00:00,80.092,1.547,0.169,-1.526,5.584
2026-02-25T04:20:00+00:00,79.171,1.533,0.18,-1.508,5.582
2026-02-25T04:25:00+00:00,78.831,1.525,0.195,-1.497,5.584
2026-02-25T04:30:00+00:00,76.951,1.485,0.155,-1.462,5.582
2026-02-25T04:35:00+00:00,78.413,1.518,0.163,-1.491,5.581
2026-02-25T04:40:00+00:00,77.431,1.501,0.155,-1.479,5.582
2026-02-25T04:45:00+00:00,79.01,1.53,0.178,-1.507,5.585
2026-02-25T04:50:00+00:00,75.721,1.469,0.158,-1.442,5.592
2026-02-25T04:55:00+00:00,74.113,1.433,0.139,-1.41,5.592
2026-02-25T05:00:00+00:00,76.593,1.475,0.136,-1.442,5.593
2026-02-25T05:05:00+00:00,76.965,1.492,0.117,-1.466,5.592
2026-02-25T05:10:00+00:00,79.484,1.54,0.121,-1.511,5.597
2026-02-25T05:15:00+00:00,79.447,1.538,0.119,-1.518,5.586
2026-02-25T05:20:00+00:00,80.401,1.558,0.132,-1.534,5.585
2026-02-25T05:25:00+00:00,80.948,1.562,0.118,-1.54,5.584
2026-02-25T05:30:00+00:00,77.684,1.503,0.139,-1.477,5.591
2026-02-25T05:35:00+00:00,77.383,1.499,0.162,-1.471,5.598
2026-02-25T05:40:00+00:00,79.603,1.543,0.177,-1.517,5.595
2026-02-25T05:45:00+00:00,80.466,1.555,0.169,-1.53,5.582
2026-02-25T05:50:00+00:00,82.176,1.591,0.148,-1.561,5.584
2026-02-25T05:55:00+00:00,81.834,1.586,0.157,-1.552,5.587
2026-02-25T06:00:00+00:00,84.444,1.627,0.121,-1.606,5.58
2026-02-25T06:05:00+00:00,85.807,1.646,0.119,-1.628,5.563
2026-02-25T06:10:00+00:00,89.31,1.712,0.105,-1.688,5.538
2026-02-25T06:15:00+00:00,90.45,1.73,0.097,-1.705,5.522
2026-02-25T06:20:00+00:00,89.695,1.714,0.12,-1.683,5.512
2026-02-25T06:25:00+00:00,90.921,1.738,0.135,-1.718,5.514
2026-02-25T06:30:00+00:00,93.111,1.776,0.12,-1.749,5.507
2026-02-25T06:35:00+00:00,96.203,1.837,0.091,-1.811,5.517
2026-02-25T06:40:00+00:00,98.469,1.882,0.085,-1.861,5.516
2026-02-25T06:45:00+00:00,103.103,1.964,0.082,-1.938,5.492
2026-02-25T06:50:00+00:00,103.999,1.987,0.056,-1.958,5.514
2026-02-25T06:55:00+00:00,106.217,2.03,0.019,-2.009,5.522
2026-02-25T07:00:00+00:00,107.099,2.054,0.036,-2.025,5.529
2026-02-25T07:05:00+00:00,103.481,1.988,0.029,-1.969,5.561
2026-02-25T07:10:00+00:00,107.96,2.085,0.041,-2.06,5.571
2026-02-25T07:15:00+00:00,109.451,2.109,0.03,-2.084,5.568
2026-02-25T07:20:00+00:00,107.438,2.075,0.038,-2.053,5.583
2026-02-25T07:25:00+00:00,109.386,2.118,0.044,-2.098,5.591
2026-02-25T07:30:00+00:00,112.283,2.18,0.01,-2.146,5.604
2026-02-25T07:35:00+00:00,110.81,2.151,0.051,-2.123,5.602
2026-02-25T07:40:00+00:00,112.898,2.187,0.034,-2.156,5.592
2026-02-25T07:45:00+00:00,111.927,2.171,0.016,-2.146,5.598
2026-02-25T07:50:00+00:00,106.573,2.064,0.027,-2.037,5.59
2026-02-25T07:55:00+00:00,106.34,2.054,0.052,-2.028,5.586
2026-02-25T08:00:00+00:00,109.302,2.122,0.021,-2.099,5.604
2026-02-25T08:05:00+00:00,108.472,2.107,0.045,-2.085,5.601
2026-02-25T08:10:00+00:00,108.29,2.101,0.085,-2.077,5.6
