ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,88.986,0.273,-1.552,10.839
2026-02-25T00:10:00+00:00,92.7,0.396,-1.688,11.005
2026-02-25T00:15:00+00:00,98.836,0.372,-1.764,11.104
2026-02-25T00:20:00+00:00,101.934,0.272,-1.733,10.962
2026-02-25T00:25:00+00:00,99.982,0.276,-1.688,10.962
2026-02-25T00:30:00+00:00,97.73,0.266,-1.65,10.98
2026-02-25T00:35:00+00:00,99.905,0.265,-1.704,10.945
2026-02-25T00:40:00+00:00,104.539,0.273,-1.783,10.919
2026-02-25T00:45:00+00:00,104.418,0.289,-1.77,10.927
2026-02-25T00:50:00+00:00,104.272,0.274,-1.796,10.939
2026-02-25T00:55:00+00:00,103.363,0.266,-1.778,10.954
2026-02-25T01:00:00+00:00,103.707,0.27,-1.78,10.959
2026-02-25T01:05:00+00:00,102.62,0.268,-1.747,10.937
2026-02-25T01:10:00+00:00,101.04,0.271,-1.741,10.946
2026-02-25T01:15:00+00:00,100.242,0.272,-1.698,10.957
2026-02-25T01:20:00+00:00,98.031,0.27,-1.676,10.967
2026-02-25T01:25:00+00:00,97.464,0.272,-1.667,10.978
2026-02-25T01:30:00+00:00,97.254,0.267,-1.656,10.986
2026-02-25T01:35:00+00:00,97.916,0.252,-1.671,10.978
2026-02-25T01:40:00+00:00,96.25,0.272,-1.637,10.992
2026-02-25T01:45:00+00:00,96.034,0.271,-1.63,11.006
2026-02-25T01:50:00+00:00,94.862,0.266,-1.609,11.024
2026-02-25T01:55:00+00:00,96.323,0.275,-1.638,11.038
2026-02-25T02:00:00+00:00,94.311,0.272,-1.592,11.042
2026-02-25T02:05:00+00:00,91.784,0.258,-1.545,11.026
2026-02-25T02:10:00+00:00,92.336,0.25,-1.55,11.032
2026-02-25T02:15:00+00:00,91.512,0.415,-1.552,11.066
2026-02-25T02:20:00+00:00,83.966,0.382,-1.541,11.0
2026-02-25T02:25:00+00:00,83.25,0.381,-1.532,10.999
2026-02-25T02:30:00+00:00,83.558,0.391,-1.526,11.014
2026-02-25T02:35:00+00:00,80.971,0.38,-1.489,11.001
2026-02-25T02:40:00+00:00,81.23,0.386,-1.493,11.004
2026-02-25T02:45:00+00:00,80.209,0.394,-1.493,11.018
2026-02-25T02:50:00+00:00,79.465,0.4,-1.436,10.94
2026-02-25T02:55:00+00:00,79.39,0.383,-1.438,10.913
2026-02-25T03:00:00+00:00,79.404,0.36,-1.438,10.914
2026-02-25T03:05:00+00:00,79.532,0.347,-1.444,10.878
2026-02-25T03:10:00+00:00,79.384,0.35,-1.442,10.867
2026-02-25T03:15:00+00:00,78.78,0.362,-1.407,10.878
2026-02-25T03:20:00+00:00,79.46,0.366,-1.434,10.887
2026-02-25T03:25:00+00:00,76.971,0.366,-1.386,10.893
2026-02-25T03:30:00+00:00,76.53,0.368,-1.378,10.896
2026-02-25T03:35:00+00:00,75.024,0.369,-1.36,10.88
2026-02-25T03:40:00+00:00,76.197,0.371,-1.377,10.881
2026-02-25T03:45:00+00:00,76.466,0.372,-1.37,10.906
2026-02-25T03:50:00+00:00,76.078,0.374,-1.372,10.912
2026-02-25T03:55:00+00:00,76.563,0.372,-1.373,10.926
2026-02-25T04:00:00+00:00,77.578,0.378,-1.398,10.941
2026-02-25T04:05:00+00:00,75.796,0.366,-1.359,10.972
2026-02-25T04:10:00+00:00,75.709,0.364,-1.353,10.982
2026-02-25T04:15:00+00:00,76.73,0.364,-1.379,10.971
2026-02-25T04:20:00+00:00,74.686,0.367,-1.351,10.96
2026-02-25T04:25:00+00:00,72.017,0.369,-1.304,10.966
2026-02-25T04:30:00+00:00,75.047,0.369,-1.34,10.968
2026-02-25T04:35:00+00:00,74.104,0.374,-1.343,10.966
2026-02-25T04:40:00+00:00,72.879,0.392,-1.304,10.972
2026-02-25T04:45:00+00:00,71.239,0.387,-1.278,10.991
2026-02-25T04:50:00+00:00,70.619,0.376,-1.288,10.989
2026-02-25T04:55:00+00:00,72.423,0.374,-1.314,10.986
2026-02-25T05:00:00+00:00,72.935,0.378,-1.314,10.996
2026-02-25T05:05:00+00:00,77.361,0.372,-1.394,10.981
2026-02-25T05:10:00+00:00,76.777,0.395,-1.374,10.956
2026-02-25T05:15:00+00:00,75.056,0.422,-1.35,10.958
2026-02-25T05:20:00+00:00,76.43,0.446,-1.374,10.959
2026-02-25T05:25:00+00:00,76.28,0.474,-1.378,10.954
2026-02-25T05:30:00+00:00,73.702,0.498,-1.318,10.965
2026-02-25T05:35:00+00:00,74.856,0.521,-1.358,10.965
2026-02-25T05:40:00+00:00,75.358,0.56,-1.36,10.962
2026-02-25T05:45:00+00:00,77.125,0.584,-1.378,10.939
2026-02-25T05:50:00+00:00,77.466,0.602,-1.392,10.922
2026-02-25T05:55:00+00:00,78.894,0.644,-1.42,10.92
2026-02-25T06:00:00+00:00,82.946,0.659,-1.49,10.91
2026-02-25T06:05:00+00:00,84.218,0.679,-1.525,10.862
2026-02-25T06:10:00+00:00,92.812,0.429,-1.606,10.852
2026-02-25T06:15:00+00:00,95.167,0.278,-1.608,10.932
2026-02-25T06:20:00+00:00,99.051,0.267,-1.665,10.966
2026-02-25T06:25:00+00:00,98.622,0.27,-1.663,10.984
2026-02-25T06:30:00+00:00,98.444,0.265,-1.666,10.977
2026-02-25T06:35:00+00:00,100.821,0.251,-1.729,11.04
2026-02-25T06:40:00+00:00,103.414,0.254,-1.772,10.99
2026-02-25T06:45:00+00:00,106.077,0.251,-1.834,10.974
2026-02-25T06:50:00+00:00,109.944,0.253,-1.892,10.955
2026-02-25T06:55:00+00:00,108.746,0.24,-1.875,10.93
2026-02-25T07:00:00+00:00,109.962,0.236,-1.901,10.934
2026-02-25T07:05:00+00:00,112.303,0.234,-1.95,10.913
2026-02-25T07:10:00+00:00,111.72,0.219,-1.958,11.024
2026-02-25T07:15:00+00:00,113.643,0.221,-1.994,10.986
2026-02-25T07:20:00+00:00,117.42,0.223,-2.064,10.98
2026-02-25T07:25:00+00:00,116.171,0.237,-2.034,10.983
2026-02-25T07:30:00+00:00,118.614,0.225,-2.077,10.997
2026-02-25T07:35:00+00:00,121.19,0.236,-2.124,10.986
2026-02-25T07:40:00+00:00,117.579,0.226,-2.056,10.965
2026-02-25T07:45:00+00:00,116.864,0.218,-2.058,10.965
2026-02-25T07:50:00+00:00,115.749,0.199,-2.049,10.969
2026-02-25T07:55:00+00:00,114.265,0.216,-2.019,10.96
2026-02-25T08:00:00+00:00,116.978,0.218,-2.071,10.958
2026-02-25T08:05:00+00:00,120.815,0.201,-2.138,10.972
2026-02-25T08:10:00+00:00,119.678,0.216,-2.126,10.962
2026-02-25T08:15:00+00:00,119.786,0.232,-2.106,10.974
2026-02-25T08:20:00+00:00,119.584,0.234,-2.106,10.99
