ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,80.547,1.532,0.011,1.533,10.868
2026-02-25T00:10:00+00:00,83.997,1.637,0.021,1.635,10.811
2026-02-25T00:15:00+00:00,87.333,1.669,0.031,1.664,10.979
2026-02-25T00:20:00+00:00,87.244,1.673,0.021,1.672,10.868
2026-02-25T00:25:00+00:00,86.547,1.64,-0.02,1.64,10.953
2026-02-25T00:30:00+00:00,87.138,1.685,-0.04,1.685,10.962
2026-02-25T00:35:00+00:00,89.102,1.712,-0.046,1.712,10.937
2026-02-25T00:40:00+00:00,89.259,1.735,-0.051,1.732,10.963
2026-02-25T00:45:00+00:00,89.482,1.713,-0.056,1.712,11.022
2026-02-25T00:50:00+00:00,89.999,1.709,-0.061,1.706,11.044
2026-02-25T00:55:00+00:00,86.02,1.645,-0.066,1.647,11.045
2026-02-25T01:00:00+00:00,85.439,1.624,-0.071,1.625,10.917
2026-02-25T01:05:00+00:00,88.876,1.695,-0.075,1.694,10.873
2026-02-25T01:10:00+00:00,87.004,1.66,-0.08,1.661,10.886
2026-02-25T01:15:00+00:00,83.915,1.581,-0.085,1.579,10.922
2026-02-25T01:20:00+00:00,85.059,1.611,-0.075,1.609,10.919
2026-02-25T01:25:00+00:00,83.149,1.57,-0.016,1.567,10.942
2026-02-25T01:30:00+00:00,81.984,1.603,-0.052,1.604,10.955
2026-02-25T01:35:00+00:00,85.461,1.644,-0.043,1.642,10.935
2026-02-25T01:40:00+00:00,88.435,1.701,-0.061,1.711,10.945
2026-02-25T01:45:00+00:00,86.549,1.674,-0.037,1.672,10.976
2026-02-25T01:50:00+00:00,87.844,1.713,-0.075,1.711,11.0
2026-02-25T01:55:00+00:00,88.463,1.675,-0.04,1.672,11.006
2026-02-25T02:00:00+00:00,85.744,1.643,-0.036,1.64,11.006
2026-02-25T02:05:00+00:00,85.786,1.626,-0.097,1.624,10.99
2026-02-25T02:10:00+00:00,84.633,1.64,-0.115,1.638,11.008
2026-02-25T02:15:00+00:00,86.242,1.712,-0.131,1.708,11.029
2026-02-25T02:20:00+00:00,89.513,1.69,-0.148,1.686,11.03
2026-02-25T02:25:00+00:00,82.523,1.629,-0.165,1.624,11.065
2026-02-25T02:30:00+00:00,89.217,1.685,-0.163,1.685,11.066
2026-02-25T02:35:00+00:00,87.593,1.641,-0.107,1.64,11.046
2026-02-25T02:40:00+00:00,85.602,1.636,-0.109,1.634,11.06
2026-02-25T02:45:00+00:00,84.447,1.641,-0.117,1.635,11.067
2026-02-25T02:50:00+00:00,86.953,1.588,-0.125,1.583,10.934
2026-02-25T02:55:00+00:00,83.24,1.598,-0.133,1.595,10.934
2026-02-25T03:00:00+00:00,83.575,1.593,-0.141,1.591,10.938
2026-02-25T03:05:00+00:00,85.648,1.571,-0.149,1.572,10.874
2026-02-25T03:10:00+00:00,84.901,1.528,-0.158,1.528,10.857
2026-02-25T03:15:00+00:00,85.573,1.595,-0.166,1.592,10.87
2026-02-25T03:20:00+00:00,85.44,1.593,-0.156,1.588,10.886
2026-02-25T03:25:00+00:00,90.482,1.704,-0.124,1.693,10.866
2026-02-25T03:30:00+00:00,83.775,1.605,-0.101,1.6,10.87
2026-02-25T03:35:00+00:00,86.022,1.638,-0.149,1.625,10.873
2026-02-25T03:40:00+00:00,87.426,1.653,-0.152,1.631,10.868
2026-02-25T03:45:00+00:00,85.18,1.668,-0.115,1.653,10.925
2026-02-25T03:50:00+00:00,87.673,1.682,-0.161,1.673,10.93
2026-02-25T03:55:00+00:00,87.938,1.664,-0.157,1.659,10.935
2026-02-25T04:00:00+00:00,86.716,1.664,-0.127,1.66,10.95
2026-02-25T04:05:00+00:00,87.165,1.694,-0.115,1.686,10.952
2026-02-25T04:10:00+00:00,87.85,1.708,-0.165,1.699,10.942
2026-02-25T04:15:00+00:00,88.005,1.748,-0.198,1.735,10.942
2026-02-25T04:20:00+00:00,92.63,1.778,-0.227,1.767,10.907
2026-02-25T04:25:00+00:00,93.772,1.79,-0.25,1.791,10.905
2026-02-25T04:30:00+00:00,95.421,1.801,-0.269,1.816,10.889
2026-02-25T04:35:00+00:00,98.224,1.853,-0.273,1.836,10.852
2026-02-25T04:40:00+00:00,96.017,1.815,-0.275,1.797,10.871
2026-02-25T04:45:00+00:00,94.667,1.797,-0.278,1.772,10.876
2026-02-25T04:50:00+00:00,96.8,1.837,-0.28,1.821,10.868
2026-02-25T04:55:00+00:00,95.763,1.825,-0.283,1.805,10.875
2026-02-25T05:00:00+00:00,95.657,1.847,-0.285,1.825,10.89
2026-02-25T05:05:00+00:00,97.731,1.852,-0.287,1.828,10.887
2026-02-25T05:10:00+00:00,97.111,1.807,-0.29,1.789,10.841
2026-02-25T05:15:00+00:00,95.803,1.795,-0.292,1.779,10.842
2026-02-25T05:20:00+00:00,98.402,1.879,-0.295,1.859,10.817
2026-02-25T05:25:00+00:00,100.94,1.867,-0.297,1.845,10.782
2026-02-25T05:30:00+00:00,99.342,1.868,-0.3,1.845,10.796
2026-02-25T05:35:00+00:00,98.635,1.846,-0.304,1.82,10.802
2026-02-25T05:40:00+00:00,99.348,1.871,-0.308,1.861,10.81
2026-02-25T05:45:00+00:00,99.697,1.868,-0.313,1.845,10.767
