ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,73.93,0.146,-1.23,11.294
2026-02-25T00:10:00+00:00,76.63,0.14,-1.282,11.228
2026-02-25T00:15:00+00:00,79.157,0.142,-1.318,11.206
2026-02-25T00:20:00+00:00,81.036,0.125,-1.364,11.236
2026-02-25T00:25:00+00:00,79.974,0.124,-1.358,11.27
2026-02-25T00:30:00+00:00,79.559,0.109,-1.358,11.281
2026-02-25T00:35:00+00:00,83.309,0.124,-1.428,11.256
2026-02-25T00:40:00+00:00,85.954,0.132,-1.45,11.292
2026-02-25T00:45:00+00:00,86.383,0.126,-1.474,11.292
2026-02-25T00:50:00+00:00,85.71,0.128,-1.46,11.308
2026-02-25T00:55:00+00:00,85.604,0.138,-1.456,11.322
2026-02-25T01:00:00+00:00,85.587,0.139,-1.453,11.325
2026-02-25T01:05:00+00:00,85.194,0.145,-1.457,11.302
2026-02-25T01:10:00+00:00,84.964,0.143,-1.445,11.307
2026-02-25T01:15:00+00:00,84.25,0.144,-1.427,11.324
2026-02-25T01:20:00+00:00,84.168,0.142,-1.428,11.33
2026-02-25T01:25:00+00:00,83.801,0.142,-1.427,11.343
2026-02-25T01:30:00+00:00,82.482,0.143,-1.401,11.356
2026-02-25T01:35:00+00:00,82.613,0.142,-1.397,11.352
2026-02-25T01:40:00+00:00,82.702,0.142,-1.4,11.359
2026-02-25T01:45:00+00:00,82.708,0.143,-1.402,11.371
2026-02-25T01:50:00+00:00,82.911,0.13,-1.412,11.392
2026-02-25T01:55:00+00:00,83.908,0.128,-1.42,11.345
2026-02-25T02:00:00+00:00,82.415,0.127,-1.398,11.336
2026-02-25T02:05:00+00:00,82.575,0.137,-1.393,11.324
2026-02-25T02:10:00+00:00,82.136,0.143,-1.384,11.332
2026-02-25T02:15:00+00:00,81.816,0.143,-1.371,11.305
2026-02-25T02:20:00+00:00,82.416,0.142,-1.374,11.293
2026-02-25T02:25:00+00:00,81.109,0.143,-1.35,11.304
2026-02-25T02:30:00+00:00,80.95,0.139,-1.358,11.313
2026-02-25T02:35:00+00:00,82.453,0.144,-1.376,11.3
2026-02-25T02:40:00+00:00,81.583,0.142,-1.35,11.306
2026-02-25T02:45:00+00:00,81.561,0.144,-1.358,11.319
2026-02-25T02:50:00+00:00,81.546,0.14,-1.361,11.361
2026-02-25T02:55:00+00:00,81.31,0.142,-1.364,11.34
2026-02-25T03:00:00+00:00,81.013,0.143,-1.35,11.328
2026-02-25T03:05:00+00:00,79.96,0.142,-1.336,11.296
2026-02-25T03:10:00+00:00,79.387,0.14,-1.326,11.285
2026-02-25T03:15:00+00:00,79.238,0.118,-1.328,11.294
2026-02-25T03:20:00+00:00,78.408,0.124,-1.314,11.302
2026-02-25T03:25:00+00:00,78.106,0.126,-1.308,11.307
2026-02-25T03:30:00+00:00,77.768,0.135,-1.302,11.32
2026-02-25T03:35:00+00:00,76.832,0.147,-1.28,11.306
2026-02-25T03:40:00+00:00,76.526,0.15,-1.265,11.304
2026-02-25T03:45:00+00:00,75.338,0.17,-1.25,11.324
2026-02-25T03:50:00+00:00,74.196,0.164,-1.237,11.335
2026-02-25T03:55:00+00:00,74.676,0.163,-1.251,11.344
2026-02-25T04:00:00+00:00,73.838,0.158,-1.243,11.356
2026-02-25T04:05:00+00:00,75.674,0.153,-1.258,11.328
2026-02-25T04:10:00+00:00,77.238,0.144,-1.275,11.294
2026-02-25T04:15:00+00:00,78.221,0.138,-1.294,11.261
2026-02-25T04:20:00+00:00,78.026,0.144,-1.286,11.259
2026-02-25T04:25:00+00:00,78.786,0.143,-1.296,11.258
2026-02-25T04:30:00+00:00,74.34,0.14,-1.212,11.262
2026-02-25T04:35:00+00:00,75.694,0.141,-1.247,11.256
2026-02-25T04:40:00+00:00,75.48,0.142,-1.25,11.264
2026-02-25T04:45:00+00:00,73.532,0.142,-1.212,11.282
2026-02-25T04:50:00+00:00,73.172,0.144,-1.21,11.282
2026-02-25T04:55:00+00:00,73.612,0.143,-1.224,11.278
2026-02-25T05:00:00+00:00,73.384,0.162,-1.219,11.288
2026-02-25T05:05:00+00:00,74.746,0.142,-1.24,11.266
2026-02-25T05:10:00+00:00,73.768,0.146,-1.218,11.248
2026-02-25T05:15:00+00:00,75.27,0.144,-1.238,11.245
2026-02-25T05:20:00+00:00,74.099,0.14,-1.216,11.251
2026-02-25T05:25:00+00:00,73.398,0.142,-1.203,11.248
2026-02-25T05:30:00+00:00,75.26,0.144,-1.228,11.253
2026-02-25T05:35:00+00:00,74.164,0.14,-1.218,11.252
2026-02-25T05:40:00+00:00,74.491,0.143,-1.228,11.247
2026-02-25T05:45:00+00:00,76.115,0.134,-1.262,11.224
2026-02-25T05:50:00+00:00,78.778,0.126,-1.309,11.27
2026-02-25T05:55:00+00:00,77.602,0.126,-1.298,11.276
2026-02-25T06:00:00+00:00,78.384,0.126,-1.312,11.266
2026-02-25T06:05:00+00:00,79.246,0.128,-1.322,11.23
2026-02-25T06:10:00+00:00,83.296,0.109,-1.375,11.24
2026-02-25T06:15:00+00:00,84.08,0.102,-1.401,11.234
2026-02-25T06:20:00+00:00,85.868,0.091,-1.439,11.245
2026-02-25T06:25:00+00:00,84.364,0.104,-1.41,11.265
2026-02-25T06:30:00+00:00,83.337,0.112,-1.396,11.26
2026-02-25T06:35:00+00:00,85.302,0.108,-1.426,11.247
2026-02-25T06:40:00+00:00,86.361,0.106,-1.437,11.262
2026-02-25T06:45:00+00:00,87.524,0.112,-1.462,11.277
2026-02-25T06:50:00+00:00,87.892,0.116,-1.472,11.288
2026-02-25T06:55:00+00:00,90.028,0.097,-1.492,11.304
2026-02-25T07:00:00+00:00,92.559,0.09,-1.531,11.266
2026-02-25T07:05:00+00:00,93.759,0.082,-1.556,11.255
2026-02-25T07:10:00+00:00,94.272,0.086,-1.589,11.302
2026-02-25T07:15:00+00:00,93.972,0.087,-1.578,11.294
2026-02-25T07:20:00+00:00,93.649,0.077,-1.564,11.3
2026-02-25T07:25:00+00:00,93.778,0.078,-1.569,11.305
2026-02-25T07:30:00+00:00,95.559,0.074,-1.611,11.315
2026-02-25T07:35:00+00:00,95.67,0.05,-1.612,11.298
2026-02-25T07:40:00+00:00,95.798,0.028,-1.628,11.279
2026-02-25T07:45:00+00:00,95.968,0.028,-1.626,11.26
2026-02-25T07:50:00+00:00,94.818,0.009,-1.61,11.252
2026-02-25T07:55:00+00:00,94.801,-0.004,-1.596,11.251
